param_value,timestep,ranking,count,total,proportion
0.2,0,1,20,200,0.1
0.2,0,2,20,200,0.1
0.2,0,3,25,200,0.125
0.2,0,4,15,200,0.075
0.2,0,5,20,200,0.1
0.2,0,6,20,200,0.1
0.2,0,7,20,200,0.1
0.2,0,8,23,200,0.115
0.2,0,9,21,200,0.105
0.2,0,10,16,200,0.08
0.2,1,6,4,200,0.02
0.2,1,7,55,200,0.275
0.2,1,8,61,200,0.305
0.2,1,9,43,200,0.215
0.2,1,10,37,200,0.185
0.2,2,7,1,200,0.005
0.2,2,8,48,200,0.24
0.2,2,9,95,200,0.475
0.2,2,10,56,200,0.28
0.2,3,9,51,200,0.255
0.2,3,10,149,200,0.745
0.2,4,9,9,200,0.045
0.2,4,10,191,200,0.955
0.2,5,9,8,200,0.04
0.2,5,10,192,200,0.96
0.2,6,9,7,200,0.035
0.2,6,10,193,200,0.965
0.2,7,9,3,200,0.015
0.2,7,10,197,200,0.985
0.2,8,9,2,200,0.01
0.2,8,10,198,200,0.99
0.2,9,9,1,200,0.005
0.2,9,10,199,200,0.995
0.2,10,10,200,200,1.0
0.2,11,10,200,200,1.0
0.2,12,10,200,200,1.0
0.2,13,10,200,200,1.0
0.2,14,10,200,200,1.0
0.2,15,10,200,200,1.0
0.2,16,10,200,200,1.0
0.2,17,10,200,200,1.0
0.2,18,10,200,200,1.0
0.2,19,10,200,200,1.0
0.2,20,10,200,200,1.0
