param_value,timestep,ranking,count,total,proportion
0.3,0,1,23,210,0.10952380952380952
0.3,0,2,24,210,0.11428571428571428
0.3,0,3,14,210,0.06666666666666667
0.3,0,4,26,210,0.12380952380952381
0.3,0,5,16,210,0.0761904761904762
0.3,0,6,25,210,0.11904761904761904
0.3,0,7,21,210,0.1
0.3,0,8,16,210,0.0761904761904762
0.3,0,9,17,210,0.08095238095238096
0.3,0,10,28,210,0.13333333333333333
0.3,1,1,10,130,0.07692307692307693
0.3,1,2,11,130,0.08461538461538462
0.3,1,3,5,130,0.038461538461538464
0.3,1,4,13,130,0.1
0.3,1,5,8,130,0.06153846153846154
0.3,1,6,5,130,0.038461538461538464
0.3,1,7,12,130,0.09230769230769231
0.3,1,8,33,130,0.25384615384615383
0.3,1,9,22,130,0.16923076923076924
0.3,1,10,11,130,0.08461538461538462
0.3,2,1,10,130,0.07692307692307693
0.3,2,2,11,130,0.08461538461538462
0.3,2,3,5,130,0.038461538461538464
0.3,2,4,13,130,0.1
0.3,2,5,8,130,0.06153846153846154
0.3,2,6,7,130,0.05384615384615385
0.3,2,7,10,130,0.07692307692307693
0.3,2,8,10,130,0.07692307692307693
0.3,2,9,44,130,0.3384615384615385
0.3,2,10,12,130,0.09230769230769231
0.3,3,1,5,130,0.038461538461538464
0.3,3,2,8,130,0.06153846153846154
0.3,3,3,4,130,0.03076923076923077
0.3,3,4,8,130,0.06153846153846154
0.3,3,5,4,130,0.03076923076923077
0.3,3,6,7,130,0.05384615384615385
0.3,3,7,6,130,0.046153846153846156
0.3,3,8,42,130,0.3230769230769231
0.3,3,9,33,130,0.25384615384615383
0.3,3,10,13,130,0.1
0.3,4,1,5,130,0.038461538461538464
0.3,4,2,7,130,0.05384615384615385
0.3,4,3,4,130,0.03076923076923077
0.3,4,4,8,130,0.06153846153846154
0.3,4,5,3,130,0.023076923076923078
0.3,4,6,7,130,0.05384615384615385
0.3,4,7,9,130,0.06923076923076923
0.3,4,8,36,130,0.27692307692307694
0.3,4,9,36,130,0.27692307692307694
0.3,4,10,15,130,0.11538461538461539
0.3,5,1,7,130,0.05384615384615385
0.3,5,2,7,130,0.05384615384615385
0.3,5,3,1,130,0.007692307692307693
0.3,5,4,6,130,0.046153846153846156
0.3,5,5,4,130,0.03076923076923077
0.3,5,6,9,130,0.06923076923076923
0.3,5,7,15,130,0.11538461538461539
0.3,5,8,26,130,0.2
0.3,5,9,41,130,0.3153846153846154
0.3,5,10,14,130,0.1076923076923077
0.3,6,1,6,130,0.046153846153846156
0.3,6,2,6,130,0.046153846153846156
0.3,6,4,4,130,0.03076923076923077
0.3,6,5,5,130,0.038461538461538464
0.3,6,6,10,130,0.07692307692307693
0.3,6,7,15,130,0.11538461538461539
0.3,6,8,30,130,0.23076923076923078
0.3,6,9,42,130,0.3230769230769231
0.3,6,10,12,130,0.09230769230769231
0.3,7,1,2,130,0.015384615384615385
0.3,7,2,5,130,0.038461538461538464
0.3,7,4,3,130,0.023076923076923078
0.3,7,5,4,130,0.03076923076923077
0.3,7,6,8,130,0.06153846153846154
0.3,7,7,13,130,0.1
0.3,7,8,38,130,0.2923076923076923
0.3,7,9,43,130,0.33076923076923076
0.3,7,10,14,130,0.1076923076923077
0.3,8,1,2,130,0.015384615384615385
0.3,8,2,3,130,0.023076923076923078
0.3,8,4,2,130,0.015384615384615385
0.3,8,5,2,130,0.015384615384615385
0.3,8,6,8,130,0.06153846153846154
0.3,8,7,15,130,0.11538461538461539
0.3,8,8,39,130,0.3
0.3,8,9,46,130,0.35384615384615387
0.3,8,10,13,130,0.1
0.3,9,1,1,130,0.007692307692307693
0.3,9,2,2,130,0.015384615384615385
0.3,9,4,2,130,0.015384615384615385
0.3,9,5,1,130,0.007692307692307693
0.3,9,6,9,130,0.06923076923076923
0.3,9,7,14,130,0.1076923076923077
0.3,9,8,40,130,0.3076923076923077
0.3,9,9,41,130,0.3153846153846154
0.3,9,10,20,130,0.15384615384615385
0.3,10,1,1,130,0.007692307692307693
0.3,10,2,2,130,0.015384615384615385
0.3,10,4,2,130,0.015384615384615385
0.3,10,6,13,130,0.1
0.3,10,7,11,130,0.08461538461538462
0.3,10,8,46,130,0.35384615384615387
0.3,10,9,38,130,0.2923076923076923
0.3,10,10,17,130,0.13076923076923078
0.3,11,1,1,130,0.007692307692307693
0.3,11,2,2,130,0.015384615384615385
0.3,11,4,2,130,0.015384615384615385
0.3,11,5,2,130,0.015384615384615385
0.3,11,6,7,130,0.05384615384615385
0.3,11,7,11,130,0.08461538461538462
0.3,11,8,44,130,0.3384615384615385
0.3,11,9,43,130,0.33076923076923076
0.3,11,10,18,130,0.13846153846153847
0.3,12,2,3,130,0.023076923076923078
0.3,12,3,1,130,0.007692307692307693
0.3,12,4,2,130,0.015384615384615385
0.3,12,6,5,130,0.038461538461538464
0.3,12,7,9,130,0.06923076923076923
0.3,12,8,54,130,0.4153846153846154
0.3,12,9,40,130,0.3076923076923077
0.3,12,10,16,130,0.12307692307692308
0.3,13,2,2,120,0.016666666666666666
0.3,13,4,3,120,0.025
0.3,13,6,5,120,0.041666666666666664
0.3,13,7,7,120,0.058333333333333334
0.3,13,8,53,120,0.44166666666666665
0.3,13,9,36,120,0.3
0.3,13,10,14,120,0.11666666666666667
0.3,14,2,3,110,0.02727272727272727
0.3,14,4,1,110,0.00909090909090909
0.3,14,6,7,110,0.06363636363636363
0.3,14,7,11,110,0.1
0.3,14,8,44,110,0.4
0.3,14,9,28,110,0.2545454545454545
0.3,14,10,16,110,0.14545454545454545
0.3,15,1,1,110,0.00909090909090909
0.3,15,2,3,110,0.02727272727272727
0.3,15,4,1,110,0.00909090909090909
0.3,15,6,5,110,0.045454545454545456
0.3,15,7,11,110,0.1
0.3,15,8,39,110,0.35454545454545455
0.3,15,9,32,110,0.2909090909090909
0.3,15,10,18,110,0.16363636363636364
0.5,0,1,23,210,0.10952380952380952
0.5,0,2,17,210,0.08095238095238096
0.5,0,3,24,210,0.11428571428571428
0.5,0,4,19,210,0.09047619047619047
0.5,0,5,18,210,0.08571428571428572
0.5,0,6,19,210,0.09047619047619047
0.5,0,7,24,210,0.11428571428571428
0.5,0,8,20,210,0.09523809523809523
0.5,0,9,12,210,0.05714285714285714
0.5,0,10,34,210,0.1619047619047619
0.5,1,1,12,119,0.10084033613445378
0.5,1,2,3,119,0.025210084033613446
0.5,1,3,3,119,0.025210084033613446
0.5,1,4,7,119,0.058823529411764705
0.5,1,5,7,119,0.058823529411764705
0.5,1,6,3,119,0.025210084033613446
0.5,1,7,11,119,0.09243697478991597
0.5,1,8,38,119,0.31932773109243695
0.5,1,9,18,119,0.15126050420168066
0.5,1,10,17,119,0.14285714285714285
0.5,2,1,10,98,0.10204081632653061
0.5,2,2,2,98,0.02040816326530612
0.5,2,3,3,98,0.030612244897959183
0.5,2,4,6,98,0.061224489795918366
0.5,2,5,7,98,0.07142857142857142
0.5,2,6,2,98,0.02040816326530612
0.5,2,7,10,98,0.10204081632653061
0.5,2,8,16,98,0.16326530612244897
0.5,2,9,27,98,0.2755102040816326
0.5,2,10,15,98,0.15306122448979592
0.5,3,1,6,90,0.06666666666666667
0.5,3,2,2,90,0.022222222222222223
0.5,3,3,3,90,0.03333333333333333
0.5,3,4,3,90,0.03333333333333333
0.5,3,5,7,90,0.07777777777777778
0.5,3,6,1,90,0.011111111111111112
0.5,3,7,4,90,0.044444444444444446
0.5,3,8,21,90,0.23333333333333334
0.5,3,9,28,90,0.3111111111111111
0.5,3,10,15,90,0.16666666666666666
0.5,4,1,5,90,0.05555555555555555
0.5,4,2,2,90,0.022222222222222223
0.5,4,3,3,90,0.03333333333333333
0.5,4,4,3,90,0.03333333333333333
0.5,4,5,6,90,0.06666666666666667
0.5,4,6,4,90,0.044444444444444446
0.5,4,7,5,90,0.05555555555555555
0.5,4,8,20,90,0.2222222222222222
0.5,4,9,25,90,0.2777777777777778
0.5,4,10,17,90,0.18888888888888888
0.5,5,1,10,90,0.1111111111111111
0.5,5,2,2,90,0.022222222222222223
0.5,5,3,3,90,0.03333333333333333
0.5,5,4,2,90,0.022222222222222223
0.5,5,5,6,90,0.06666666666666667
0.5,5,6,4,90,0.044444444444444446
0.5,5,7,7,90,0.07777777777777778
0.5,5,8,19,90,0.2111111111111111
0.5,5,9,21,90,0.23333333333333334
0.5,5,10,16,90,0.17777777777777778
0.5,6,1,10,90,0.1111111111111111
0.5,6,2,2,90,0.022222222222222223
0.5,6,3,3,90,0.03333333333333333
0.5,6,4,1,90,0.011111111111111112
0.5,6,5,4,90,0.044444444444444446
0.5,6,6,3,90,0.03333333333333333
0.5,6,7,6,90,0.06666666666666667
0.5,6,8,22,90,0.24444444444444444
