param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
0.3,0,5.5,2.9659148196978533,1,10,6.0
0.3,1,6.346153846153846,2.83037658343459,1,10,8.0
0.3,2,6.515384615384615,2.965524426175259,1,10,8.0
0.3,3,7.1692307692307695,2.530859037108267,1,10,8.0
0.3,4,7.269230769230769,2.514418765694862,1,10,8.0
0.3,5,7.2615384615384615,2.5351906068849983,1,10,8.0
0.3,6,7.4,2.3578994725137505,1,10,8.0
0.3,7,7.8,1.9703224463614222,1,10,8.0
0.3,8,7.961538461538462,1.7626787496529925,1,10,8.0
0.3,9,8.146153846153846,1.5999590036489015,1,10,8.0
0.3,10,8.061538461538461,1.578704434752653,1,10,8.0
0.3,11,8.161538461538461,1.5789499314753905,1,10,8.0
0.3,12,8.169230769230769,1.5103696428227904,2,10,8.0
0.3,13,8.191666666666666,1.4040507624076015,2,10,8.0
0.3,14,8.118181818181819,1.5249112964535707,2,10,8.0
0.3,15,8.163636363636364,1.6729212637266753,1,10,8.0
0.5,0,5.642857142857143,3.0041552449024747,1,10,6.0
0.5,1,6.899159663865547,2.778229401954531,1,10,8.0
0.5,2,6.989795918367347,2.8736086654318505,1,10,8.0
0.5,3,7.444444444444445,2.639846399647683,1,10,8.0
0.5,4,7.488888888888889,2.562672606165682,1,10,8.0
0.5,5,7.055555555555555,2.9043211166405647,1,10,8.0
0.5,6,7.233333333333333,2.8914830376994036,1,10,8.0
0.5,7,7.844444444444444,2.5124906444506285,1,10,9.0
0.5,8,8.077777777777778,2.3040159262176703,1,10,9.0
0.5,9,8.377777777777778,2.1336142137190066,1,10,9.0
0.5,10,8.233333333333333,2.088222726938717,1,10,9.0
0.5,11,8.133333333333333,1.915049798396135,1,10,8.5
0.5,12,8.177777777777777,1.8877355662380126,1,10,8.0
0.5,13,8.511111111111111,1.812840867254353,1,10,9.0
0.5,14,8.488888888888889,1.6022767820798032,1,10,9.0
0.5,15,8.705128205128204,1.6125238293535695,1,10,9.0
0.7,0,5.7,2.895384877441468,1,10,6.0
0.7,1,6.4,2.7411449429182184,1,10,8.0
0.7,2,6.59047619047619,2.7010373272080237,1,10,8.0
0.7,3,7.1,2.47948520664112,1,10,8.0
0.7,4,7.333333333333333,2.58877468814204,1,10,8.0
0.7,5,7.095238095238095,2.675509376083051,1,10,8.0
0.7,6,7.523809523809524,2.388550192263393,1,10,8.0
0.7,7,7.466666666666667,2.4614410789226655,1,10,8.0
0.7,8,7.771428571428571,2.2637443802857824,1,10,8.0
0.7,9,8.042857142857143,2.121449226731447,1,10,9.0
0.7,10,8.104761904761904,2.113632260020466,1,10,9.0
0.7,11,8.104761904761904,2.0139409318574146,1,10,9.0
0.7,12,8.242857142857142,1.8072346446529584,1,10,9.0
0.7,13,8.276190476190477,1.7689249463834158,1,10,9.0
0.7,14,8.371428571428572,1.7070478328055094,1,10,9.0
0.7,15,8.357142857142858,1.6136592279338613,1,10,9.0
