param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.3,0,Aggressive,5.2727272727272725,3.1279953931718016,44
0.3,0,Assertive,5.619047619047619,2.892864254414653,63
0.3,0,Passive,5.17741935483871,3.0542858549182452,62
0.3,0,Passive-Aggressive,6.048780487804878,2.7744478686055283,41
0.3,1,Aggressive,5.75,3.2617309651301536,28
0.3,1,Assertive,7.769230769230769,1.677428145163373,39
0.3,1,Passive,5.368421052631579,3.0172571456188564,38
0.3,1,Passive-Aggressive,6.28,2.716001963671357,25
0.3,2,Aggressive,5.75,3.2617309651301536,28
0.3,2,Assertive,8.179487179487179,1.7751470639120353,39
0.3,2,Passive,5.421052631578948,3.133356536742066,38
0.3,2,Passive-Aggressive,6.44,2.8442925306655784,25
0.3,3,Aggressive,6.142857142857143,3.1939095480395503,28
0.3,3,Assertive,8.35897435897436,1.158201407064089,39
0.3,3,Passive,6.605263157894737,2.8048170310244647,38
0.3,3,Passive-Aggressive,7.32,2.154839514519198,25
0.3,4,Aggressive,6.142857142857143,3.1939095480395503,28
0.3,4,Assertive,8.564102564102564,1.252258418657473,39
0.3,4,Passive,6.7105263157894735,2.6702352840642596,38
0.3,4,Passive-Aggressive,7.36,2.0792626898334263,25
0.3,5,Aggressive,6.285714285714286,3.065424178939254,28
0.3,5,Assertive,8.025641025641026,2.2300245394823923,39
0.3,5,Passive,7.026315789473684,2.5092999142677135,38
0.3,5,Passive-Aggressive,7.52,2.0436894741292444,25
0.3,6,Aggressive,6.714285714285714,3.0411637983964703,28
0.3,6,Assertive,8.102564102564102,1.7887789395190608,39
0.3,6,Passive,7.131578947368421,2.4180744252465214,38
0.3,6,Passive-Aggressive,7.48,1.98158185969358,25
0.3,7,Aggressive,7.0,2.8674417556808756,28
0.3,7,Assertive,8.41025641025641,1.5511956121845045,39
0.3,7,Passive,7.894736842105263,1.6072382504598095,38
0.3,7,Passive-Aggressive,7.6,1.5545631755148024,25
0.3,8,Aggressive,7.0,2.8674417556808756,28
0.3,8,Assertive,8.564102564102564,0.9677666039547423,39
0.3,8,Passive,8.157894736842104,1.1514107865705487,38
0.3,8,Passive-Aggressive,7.8,1.4719601443879744,25
0.3,9,Aggressive,7.357142857142857,2.6135584613105234,28
0.3,9,Assertive,8.794871794871796,0.8638800836460916,39
0.3,9,Passive,8.105263157894736,1.2900759182397719,38
0.3,9,Passive-Aggressive,8.08,0.9539392014169457,25
0.3,10,Aggressive,7.214285714285714,2.5871068190396955,28
0.3,10,Assertive,8.487179487179487,1.0971684818034504,39
0.3,10,Passive,8.105263157894736,1.1098934374027798,38
0.3,10,Passive-Aggressive,8.28,0.9363047936792097,25
0.3,11,Aggressive,7.392857142857143,2.586851163441558,28
0.3,11,Assertive,8.64102564102564,0.959363261620065,39
0.3,11,Passive,8.210526315789474,1.2116081503933411,38
0.3,11,Passive-Aggressive,8.2,1.0408329997330665,25
0.3,12,Aggressive,7.607142857142857,2.249926512615315,28
