param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
p,0.3,0,Aggressive,5.2727272727272725,3.1279953931718016,5.5,0.0,0.0
p,0.3,0,Assertive,5.619047619047619,2.892864254414653,6.0,0.0,0.0
p,0.3,0,Passive,5.17741935483871,3.0542858549182452,4.5,0.0,0.0
p,0.3,0,Passive-Aggressive,6.048780487804878,2.7744478686055283,6.0,0.0,0.0
p,0.3,1,Aggressive,5.75,3.2617309651301536,6.0,0.0,0.0
p,0.3,1,Assertive,7.769230769230769,1.677428145163373,8.0,2.1025641025641026,2.381893008720848
p,0.3,1,Passive,5.368421052631579,3.0172571456188564,5.0,-0.10526315789473684,1.0852692699674602
p,0.3,1,Passive-Aggressive,6.28,2.716001963671357,8.0,-0.16,0.9433981132056605
p,0.3,2,Aggressive,5.75,3.2617309651301536,6.0,0.0,0.0
p,0.3,2,Assertive,8.179487179487179,1.7751470639120353,9.0,0.41025641025641024,1.1405896147895271
p,0.3,2,Passive,5.421052631578948,3.133356536742066,5.0,0.05263157894736842,0.7692526531518908
p,0.3,2,Passive-Aggressive,6.44,2.8442925306655784,8.0,0.16,0.6244997998398398
p,0.3,3,Aggressive,6.142857142857143,3.1939095480395503,6.5,0.39285714285714285,1.4991179064218054
p,0.3,3,Assertive,8.35897435897436,1.158201407064089,8.0,0.1794871794871795,1.6362954769812215
p,0.3,3,Passive,6.605263157894737,2.8048170310244647,8.0,1.1842105263157894,2.3579109301415087
p,0.3,3,Passive-Aggressive,7.32,2.154839514519198,8.0,0.88,2.420743687382041
p,0.3,4,Aggressive,6.142857142857143,3.1939095480395503,6.5,0.0,0.0
p,0.3,4,Assertive,8.564102564102564,1.252258418657473,9.0,0.20512820512820512,1.1511890232891515
p,0.3,4,Passive,6.7105263157894735,2.6702352840642596,8.0,0.10526315789473684,1.842288143736457
p,0.3,4,Passive-Aggressive,7.36,2.0792626898334263,8.0,0.04,0.9780933834080806
p,0.3,5,Aggressive,6.285714285714286,3.065424178939254,7.0,0.14285714285714285,0.9704632614370015
p,0.3,5,Assertive,8.025641025641026,2.2300245394823923,9.0,-0.5384615384615384,2.5736125934912035
p,0.3,5,Passive,7.026315789473684,2.5092999142677135,8.0,0.3157894736842105,1.7874224709385107
p,0.3,5,Passive-Aggressive,7.52,2.0436894741292444,8.0,0.16,0.5537749241945383
p,0.3,6,Aggressive,6.714285714285714,3.0411637983964703,7.5,0.42857142857142855,1.3451854182690988
p,0.3,6,Assertive,8.102564102564102,1.7887789395190608,9.0,0.07692307692307693,2.8780897848601947
p,0.3,6,Passive,7.131578947368421,2.4180744252465214,8.0,0.10526315789473684,1.997153023467785
p,0.3,6,Passive-Aggressive,7.48,1.98158185969358,8.0,-0.04,0.6110100926607787
p,0.3,7,Aggressive,7.0,2.8674417556808756,8.0,0.2857142857142857,1.7182493859684491
p,0.3,7,Assertive,8.41025641025641,1.5511956121845045,9.0,0.3076923076923077,2.129416106698169
p,0.3,7,Passive,7.894736842105263,1.6072382504598095,8.0,0.7631578947368421,1.9787275535434896
p,0.3,7,Passive-Aggressive,7.6,1.5545631755148024,8.0,0.12,1.268857754044952
p,0.3,8,Aggressive,7.0,2.8674417556808756,8.0,0.0,0.0
p,0.3,8,Assertive,8.564102564102564,0.9677666039547423,9.0,0.15384615384615385,1.4055989833605782
p,0.3,8,Passive,8.157894736842104,1.1514107865705487,8.0,0.2631578947368421,1.5010664772054712
p,0.3,8,Passive-Aggressive,7.8,1.4719601443879744,8.0,0.2,2.0
p,0.3,9,Aggressive,7.357142857142857,2.6135584613105234,8.0,0.35714285714285715,1.445664930039838
p,0.3,9,Assertive,8.794871794871796,0.8638800836460916,9.0,0.23076923076923078,1.062805088372485
p,0.3,9,Passive,8.105263157894736,1.2900759182397719,8.0,-0.05263157894736842,0.8682809490846758
p,0.3,9,Passive-Aggressive,8.08,0.9539392014169457,8.0,0.28,1.1
p,0.3,10,Aggressive,7.214285714285714,2.5871068190396955,8.0,-0.14285714285714285,0.4483951394230328
p,0.3,10,Assertive,8.487179487179487,1.0971684818034504,9.0,-0.3076923076923077,1.1954705339617746
p,0.3,10,Passive,8.105263157894736,1.1098934374027798,8.0,0.0,1.0904995136125415
p,0.3,10,Passive-Aggressive,8.28,0.9363047936792097,8.0,0.2,0.9574271077563382
p,0.3,11,Aggressive,7.392857142857143,2.586851163441558,8.0,0.17857142857142858,0.6696362433535825
p,0.3,11,Assertive,8.64102564102564,0.959363261620065,9.0,0.15384615384615385,1.328601590483324
p,0.3,11,Passive,8.210526315789474,1.2116081503933411,8.0,0.10526315789473684,1.0342636415477418
p,0.3,11,Passive-Aggressive,8.2,1.0408329997330665,8.0,-0.08,1.2884098726725128
p,0.3,12,Aggressive,7.607142857142857,2.249926512615315,8.0,0.21428571428571427,1.3432173332088908
p,0.3,12,Assertive,8.538461538461538,0.7555462940344226,9.0,-0.10256410256410256,0.9677666039547418
p,0.3,12,Passive,8.263157894736842,1.3291779724715407,8.0,0.05263157894736842,1.4877403221002128
p,0.3,12,Passive-Aggressive,8.08,1.525341491819673,8.0,-0.12,1.6911534525287764
p,0.3,13,Aggressive,7.642857142857143,2.2478678904486475,8.0,0.03571428571428571,0.33134326579600165
p,0.3,13,Assertive,8.461538461538462,0.7896086254446048,8.0,-0.07692307692307693,0.9565457422857623
p,0.3,13,Passive,8.40625,0.9455967564487794,8.0,0.15625,1.1103435969220548
p,0.3,13,Passive-Aggressive,8.095238095238095,1.300183137283433,8.0,0.09523809523809523,1.8413245749938252
p,0.3,14,Aggressive,7.916666666666667,2.1652726842366645,8.0,0.0,0.0
p,0.3,14,Assertive,8.242424242424242,1.2507573463281914,8.0,-0.24242424242424243,1.1734112405264996
p,0.3,14,Passive,8.34375,1.0658746219314073,8.0,-0.0625,0.7156093726283554
p,0.3,14,Passive-Aggressive,7.809523809523809,1.661897939677633,8.0,-0.2857142857142857,1.8477785890862883
p,0.3,15,Aggressive,7.916666666666667,2.1652726842366645,8.0,0.0,0.0
p,0.3,15,Assertive,8.545454545454545,1.0335288182638251,9.0,0.30303030303030304,1.1587937824751349
p,0.3,15,Passive,8.0625,1.7027018377822631,8.0,-0.28125,1.5499089463370046
p,0.3,15,Passive-Aggressive,8.0,1.8165902124584952,8.0,0.19047619047619047,2.135861597085533
p,0.5,0,Aggressive,6.116279069767442,3.230872669416123,7.0,0.0,0.0
p,0.5,0,Assertive,5.467741935483871,2.78000909265811,5.0,0.0,0.0
p,0.5,0,Passive,6.03125,3.0130338557462335,7.0,0.0,0.0
p,0.5,0,Passive-Aggressive,4.804878048780488,2.9767390899701134,4.0,0.0,0.0
p,0.5,1,Aggressive,7.0,3.1622776601683795,8.0,0.46153846153846156,1.7258219892160191
p,0.5,1,Assertive,7.815789473684211,1.6250615482380595,8.0,2.1578947368421053,2.4662732119916817
p,0.5,1,Passive,6.852941176470588,2.7538661852261277,8.0,0.2647058823529412,0.9941898949582402
p,0.5,1,Passive-Aggressive,5.190476190476191,3.310876736138747,5.0,0.7142857142857143,2.101020160371079
p,0.5,2,Aggressive,7.0,3.333333333333333,8.0,0.0,0.0
