param_value,timestep,ranking,count,total,proportion
2.0,0,1,12,210,0.05714285714285714
2.0,0,2,12,210,0.05714285714285714
2.0,0,3,17,210,0.08095238095238096
2.0,0,4,21,210,0.1
2.0,0,5,21,210,0.1
2.0,0,6,29,210,0.1380952380952381
2.0,0,7,20,210,0.09523809523809523
2.0,0,8,26,210,0.12380952380952381
2.0,0,9,19,210,0.09047619047619047
2.0,0,10,33,210,0.15714285714285714
2.0,1,1,10,210,0.047619047619047616
2.0,1,2,8,210,0.0380952380952381
2.0,1,3,15,210,0.07142857142857142
2.0,1,4,17,210,0.08095238095238096
2.0,1,5,14,210,0.06666666666666667
2.0,1,6,7,210,0.03333333333333333
2.0,1,7,12,210,0.05714285714285714
2.0,1,8,64,210,0.3047619047619048
2.0,1,9,46,210,0.21904761904761905
2.0,1,10,17,210,0.08095238095238096
2.0,2,1,10,210,0.047619047619047616
2.0,2,2,9,210,0.04285714285714286
2.0,2,3,14,210,0.06666666666666667
2.0,2,4,16,210,0.0761904761904762
2.0,2,5,15,210,0.07142857142857142
2.0,2,6,19,210,0.09047619047619047
2.0,2,7,22,210,0.10476190476190476
2.0,2,8,42,210,0.2
2.0,2,9,45,210,0.21428571428571427
2.0,2,10,18,210,0.08571428571428572
2.0,3,1,9,210,0.04285714285714286
2.0,3,2,10,210,0.047619047619047616
2.0,3,3,12,210,0.05714285714285714
2.0,3,4,14,210,0.06666666666666667
2.0,3,5,21,210,0.1
2.0,3,6,17,210,0.08095238095238096
2.0,3,7,19,210,0.09047619047619047
2.0,3,8,49,210,0.23333333333333334
2.0,3,9,38,210,0.18095238095238095
2.0,3,10,21,210,0.1
2.0,4,1,7,210,0.03333333333333333
2.0,4,2,10,210,0.047619047619047616
2.0,4,3,11,210,0.05238095238095238
2.0,4,4,12,210,0.05714285714285714
2.0,4,5,17,210,0.08095238095238096
2.0,4,6,17,210,0.08095238095238096
2.0,4,7,24,210,0.11428571428571428
2.0,4,8,53,210,0.2523809523809524
2.0,4,9,41,210,0.19523809523809524
2.0,4,10,18,210,0.08571428571428572
2.0,5,1,8,210,0.0380952380952381
2.0,5,2,9,210,0.04285714285714286
2.0,5,3,11,210,0.05238095238095238
2.0,5,4,10,210,0.047619047619047616
2.0,5,5,15,210,0.07142857142857142
2.0,5,6,20,210,0.09523809523809523
2.0,5,7,19,210,0.09047619047619047
2.0,5,8,61,210,0.2904761904761905
2.0,5,9,39,210,0.18571428571428572
2.0,5,10,18,210,0.08571428571428572
2.0,6,1,9,210,0.04285714285714286
2.0,6,2,6,210,0.02857142857142857
2.0,6,3,10,210,0.047619047619047616
2.0,6,4,10,210,0.047619047619047616
2.0,6,5,13,210,0.06190476190476191
2.0,6,6,15,210,0.07142857142857142
2.0,6,7,22,210,0.10476190476190476
2.0,6,8,67,210,0.319047619047619
2.0,6,9,40,210,0.19047619047619047
2.0,6,10,18,210,0.08571428571428572
2.0,7,1,7,210,0.03333333333333333
2.0,7,2,3,210,0.014285714285714285
2.0,7,3,7,210,0.03333333333333333
2.0,7,4,7,210,0.03333333333333333
