param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
2.0,0,6.185714285714286,2.737089872585176,1,10,6.0
2.0,1,6.814285714285714,2.5971618138565695,1,10,8.0
2.0,2,6.6571428571428575,2.580117468593823,1,10,7.5
2.0,3,6.690476190476191,2.553617335202302,1,10,8.0
2.0,4,6.838095238095238,2.4401890644604043,1,10,8.0
2.0,5,6.885714285714286,2.431115229208538,1,10,8.0
2.0,6,7.0285714285714285,2.375944608351568,1,10,8.0
2.0,7,7.433333333333334,2.164929987339023,1,10,8.0
2.0,8,7.6380952380952385,2.0077543909142843,1,10,8.0
2.0,9,7.857142857142857,1.8711026937340909,1,10,8.0
2.0,10,7.880952380952381,1.8638127941649258,1,10,8.0
2.0,11,7.928571428571429,1.7823276155980161,1,10,8.0
2.0,12,7.995238095238095,1.720958948901736,1,10,8.0
2.0,13,8.014285714285714,1.678683043365252,1,10,8.0
2.0,14,8.004761904761905,1.6470870881813662,1,10,8.0
2.0,15,8.066666666666666,1.5637439227128505,1,10,8.0
3.0,0,5.661904761904762,2.9663142581270185,1,10,6.0
3.0,1,6.295238095238095,2.8734848207028603,1,10,8.0
3.0,2,6.3619047619047615,2.8841218826444397,1,10,8.0
3.0,3,6.795238095238095,2.5753665954450358,1,10,8.0
3.0,4,7.104761904761904,2.4295777470918316,1,10,8.0
3.0,5,7.3238095238095235,2.27528951034582,1,10,8.0
3.0,6,7.466666666666667,2.112014692327224,1,10,8.0
3.0,7,7.580952380952381,2.0833399407505158,1,10,8.0
3.0,8,7.852380952380952,1.8872828111347886,1,10,8.0
3.0,9,7.923809523809524,1.8775696297984268,1,10,8.0
3.0,10,7.961904761904762,1.8556718151718392,1,10,8.0
3.0,11,8.052380952380952,1.7722256565194754,1,10,8.0
3.0,12,8.195238095238095,1.593940736735849,1,10,8.0
3.0,13,8.166666666666666,1.60317667104923,1,10,8.0
3.0,14,8.095238095238095,1.5744600929168524,1,10,8.0
3.0,15,8.238095238095237,1.5092937574868255,1,10,8.0
4.0,0,6.190476190476191,2.9120940297638707,1,10,6.0
4.0,1,6.695238095238095,2.67586701782925,1,10,8.0
4.0,2,6.642857142857143,2.700535376403558,1,10,7.0
4.0,3,7.1,2.4386246025481477,1,10,8.0
4.0,4,7.276190476190476,2.281589465671031,1,10,8.0
4.0,5,7.390476190476191,2.226397687321341,1,10,8.0
4.0,6,7.719047619047619,1.9933187559427992,1,10,8.0
4.0,7,7.880952380952381,1.8867756977464876,1,10,8.0
4.0,8,7.980952380952381,1.7138945403172363,1,10,8.0
4.0,9,8.095238095238095,1.6341089755571239,1,10,8.0
4.0,10,8.123809523809523,1.689796217125383,1,10,8.0
4.0,11,8.271428571428572,1.5857145936093004,1,10,8.5
4.0,12,8.3,1.6075479856961632,1,10,9.0
4.0,13,8.119047619047619,1.817016600877691,1,10,8.0
4.0,14,7.923809523809524,2.1035183017606185,1,10,8.0
4.0,15,7.8619047619047615,2.181912639407435,1,10,8.0
