param_value,timestep,variance,bimodality_kurtosis
2.0,0,7.455986394557822,-1.0212401081332352
2.0,1,6.71312925170068,-0.5644850708516267
2.0,2,6.625306122448979,-0.652952652288489
2.0,3,6.4899092970521535,-0.6080342901425109
2.0,4,5.926167800453515,-0.3193417341181788
2.0,5,5.882176870748299,-0.15137510796746767
2.0,6,5.618231292517008,0.24407209829764964
2.0,7,4.664603174603174,1.3525201580740962
2.0,8,4.011882086167801,2.1200653751270337
2.0,9,3.484353741496599,3.4661806776046706
2.0,10,3.457256235827664,3.6678633871980963
2.0,11,3.16156462585034,4.081790894998992
2.0,12,2.947596371882086,4.151160591183454
2.0,13,2.804557823129252,4.207569785925804
2.0,14,2.6999773242630383,4.565406757173375
2.0,15,2.4336507936507936,5.041041080558124
3.0,0,8.757120181405895,-1.3101781091946851
3.0,1,8.217596371882086,-1.1014176743930801
3.0,2,8.278548752834467,-1.1083378047767278
3.0,3,6.600929705215419,-0.44832981199535826
3.0,4,5.874739229024943,0.35972072242293285
3.0,5,5.152290249433106,1.0647250749759243
3.0,6,4.439365079365079,1.4131806487571286
3.0,7,4.319637188208617,1.8383653996171176
3.0,8,3.544875283446712,3.4520583380780057
3.0,9,3.5084807256235835,3.7803766073906298
3.0,10,3.427120181405896,4.037214450233827
3.0,11,3.1258276643990928,4.609690340426283
3.0,12,2.528548752834467,6.381100977495542
3.0,13,2.5579365079365077,6.037361775610432
3.0,14,2.4671201814058956,6.254553349372836
3.0,15,2.2671201814058954,7.056493595178326
4.0,0,8.439909297052154,-1.1067034502432778
4.0,1,7.126167800453515,-0.6389413999731817
4.0,2,7.2581632653061225,-0.7384558273208044
4.0,3,5.918571428571428,0.37164059271579264
4.0,4,5.180861678004535,0.8210041291917238
4.0,5,4.933242630385487,1.370159651168227
4.0,6,3.9543990929705215,2.8023149670753726
4.0,7,3.5429705215419496,3.4077055387529933
4.0,8,2.9234467120181407,4.507164557012887
4.0,9,2.657596371882086,5.48013168470221
4.0,10,2.841814058956916,6.203348156202976
4.0,11,2.502517006802721,7.284833399884933
4.0,12,2.5719047619047624,7.948897049484522
4.0,13,3.2858276643990925,6.395903589577312
4.0,14,4.4037188208616795,3.7111688761057087
4.0,15,4.738072562358277,3.5296738009525184
