param_value,timestep,communication_style,mean_ranking,std_ranking,count
2.0,0,Aggressive,6.325581395348837,2.8260769563929347,43
2.0,0,Assertive,6.203125,2.601462882107705,64
2.0,0,Passive,6.081967213114754,2.8768911575241147,61
2.0,0,Passive-Aggressive,6.166666666666667,2.731180988784144,42
2.0,1,Aggressive,6.325581395348837,2.8260769563929347,43
2.0,1,Assertive,7.828125,1.732551907190983,64
2.0,1,Passive,6.409836065573771,2.859936183322557,61
2.0,1,Passive-Aggressive,6.357142857142857,2.703398300165549,42
2.0,2,Aggressive,6.325581395348837,2.8260769563929347,43
2.0,2,Assertive,7.6875,1.6891342762417096,64
2.0,2,Passive,6.065573770491803,2.8158412150961,61
2.0,2,Passive-Aggressive,6.285714285714286,2.707583877364037,42
2.0,3,Aggressive,6.232558139534884,2.901864829827008,43
2.0,3,Assertive,7.984375,1.474569482503337,64
2.0,3,Passive,6.19672131147541,2.725311432547037,61
2.0,3,Passive-Aggressive,5.904761904761905,2.5643857611856866,42
2.0,4,Aggressive,6.255813953488372,2.8626746006705814,43
2.0,4,Assertive,8.234375,1.1232349469419771,64
2.0,4,Passive,6.262295081967213,2.555397159896822,61
2.0,4,Passive-Aggressive,6.142857142857143,2.465087230153288,42
2.0,5,Aggressive,6.511627906976744,2.7977209519387283,43
2.0,5,Assertive,7.9375,1.5823932046012623,64
2.0,5,Passive,6.524590163934426,2.5794479860172226,61
2.0,5,Passive-Aggressive,6.190476190476191,2.4418914623818617,42
2.0,6,Aggressive,6.651162790697675,2.810555960339795,43
2.0,6,Assertive,8.046875,1.6176574038375606,64
2.0,6,Passive,6.573770491803279,2.459397056146367,61
2.0,6,Passive-Aggressive,6.523809523809524,2.3398779959657396,42
2.0,7,Aggressive,7.023255813953488,2.6321127860932165,43
2.0,7,Assertive,8.078125,1.6359521037347904,64
2.0,7,Passive,7.081967213114754,2.2604946506403794,61
2.0,7,Passive-Aggressive,7.380952380952381,2.047632552692951,42
2.0,8,Aggressive,7.186046511627907,2.6118394717816384,43
2.0,8,Assertive,8.40625,1.2813528317232064,64
2.0,8,Passive,7.442622950819672,1.9708254629632938,61
2.0,8,Passive-Aggressive,7.214285714285714,1.9943299417038063,42
2.0,9,Aggressive,7.209302325581396,2.6327438116633384,43
2.0,9,Assertive,8.421875,1.2447309583721935,64
2.0,9,Passive,7.950819672131147,1.5644618830788288,61
2.0,9,Passive-Aggressive,7.523809523809524,1.928453130109476,42
2.0,10,Aggressive,7.209302325581396,2.623684609520084,43
2.0,10,Assertive,8.390625,1.2800940875638296,64
2.0,10,Passive,8.049180327868852,1.5644618830788297,61
2.0,10,Passive-Aggressive,7.5476190476190474,1.8767171772887834,42
2.0,11,Aggressive,7.186046511627907,2.6027075092559944,43
2.0,11,Assertive,8.46875,1.1679414803778918,64
2.0,11,Passive,8.114754098360656,1.2396015577022816,61
2.0,11,Passive-Aggressive,7.595238095238095,1.926193311595518,42
2.0,12,Aggressive,7.186046511627907,2.6027075092559944,43
2.0,12,Assertive,8.625,0.7663560447348136,64
2.0,12,Passive,8.163934426229508,1.1573004200703814,61
2.0,12,Passive-Aggressive,7.619047619047619,1.9500141456945455,42
2.0,13,Aggressive,7.27906976744186,2.6306398044450887,43
2.0,13,Assertive,8.5625,0.8705954904182006,64
2.0,13,Passive,8.081967213114755,1.228753866961879,61
2.0,13,Passive-Aggressive,7.833333333333333,1.6808340941427031,42
2.0,14,Aggressive,7.27906976744186,2.566501986634252,43
2.0,14,Assertive,8.453125,0.9072842347024896,64
2.0,14,Passive,8.163934426229508,1.1573004200703816,61
2.0,14,Passive-Aggressive,7.833333333333333,1.7096093786717121,42
2.0,15,Aggressive,7.604651162790698,2.371854155996959,43
2.0,15,Assertive,8.46875,0.9079673793175401,64
2.0,15,Passive,8.180327868852459,1.176268063570991,61
2.0,15,Passive-Aggressive,7.761904761904762,1.6792786460847657,42
3.0,0,Aggressive,6.288888888888889,3.027316710330531,45
3.0,0,Assertive,5.442622950819672,2.9127569423940063,61
3.0,0,Passive,5.698412698412699,2.739407285991958,63
3.0,0,Passive-Aggressive,5.2439024390243905,3.2922673631167783,41
3.0,1,Aggressive,6.288888888888889,3.027316710330531,45
3.0,1,Assertive,7.39344262295082,2.1235087985422476,61
3.0,1,Passive,5.9523809523809526,2.8704758031388335,63
3.0,1,Passive-Aggressive,5.195121951219512,3.20327576236516,41
3.0,2,Aggressive,6.355555555555555,3.053727644249324,45
3.0,2,Assertive,7.852459016393443,2.0642679539711772,61
3.0,2,Passive,5.73015873015873,2.695314627671563,63
3.0,2,Passive-Aggressive,5.121951219512195,3.1559081256527377,41
3.0,3,Aggressive,6.5777777777777775,2.9656280102112427,45
3.0,3,Assertive,7.885245901639344,1.560965093093988,61
3.0,3,Passive,6.507936507936508,2.513659559884853,63
3.0,3,Passive-Aggressive,5.853658536585366,2.937354044116542,41
3.0,4,Aggressive,6.666666666666667,3.0075662163042303,45
3.0,4,Assertive,8.131147540983607,1.3225658123015473,61
3.0,4,Passive,6.7936507936507935,2.2658668508466002,63
3.0,4,Passive-Aggressive,6.536585365853658,2.8292893186771275,41
3.0,5,Aggressive,6.866666666666666,2.9817627489304197,45
3.0,5,Assertive,8.147540983606557,1.4004292862520227,61
3.0,5,Passive,7.015873015873016,2.121259999060688,63
3.0,5,Passive-Aggressive,7.073170731707317,2.4227076165154453,41
3.0,6,Aggressive,6.844444444444444,2.9692021851267754,45
3.0,6,Assertive,8.19672131147541,1.4354984283185122,61
3.0,6,Passive,7.190476190476191,2.0069005380400027,63
3.0,6,Passive-Aggressive,7.487804878048781,1.7047280020506523,41
3.0,7,Aggressive,7.0,2.9154759474226504,45
3.0,7,Assertive,8.21311475409836,1.4504568716828579,61
3.0,7,Passive,7.317460317460317,2.022657121975279,63
3.0,7,Passive-Aggressive,7.682926829268292,1.649833694501417,41
3.0,8,Aggressive,7.2444444444444445,2.7564433239193944,45
3.0,8,Assertive,8.39344262295082,1.3696555348528348,61
3.0,8,Passive,7.587301587301587,1.801745754099838,63
3.0,8,Passive-Aggressive,8.121951219512194,1.1660858019721254,41
3.0,9,Aggressive,7.2444444444444445,2.7564433239193944,45
3.0,9,Assertive,8.491803278688524,1.3493572645235226,61
3.0,9,Passive,7.746031746031746,1.8047272510240537,63
3.0,9,Passive-Aggressive,8.097560975609756,1.0909829982355472,41
3.0,10,Aggressive,7.333333333333333,2.6967994498529677,45
3.0,10,Assertive,8.540983606557377,1.3610507030942829,61
3.0,10,Passive,7.698412698412699,1.8017457540998383,63
3.0,10,Passive-Aggressive,8.195121951219512,1.0300367031111546,41
3.0,11,Aggressive,7.533333333333333,2.5459415118612174,45
3.0,11,Assertive,8.59016393442623,1.3949557840104692,61
3.0,11,Passive,7.809523809523809,1.7492592243865355,63
3.0,11,Passive-Aggressive,8.195121951219512,0.872339159820363,41
3.0,12,Aggressive,7.622222222222222,2.386409330971847,45
3.0,12,Assertive,8.80327868852459,0.9095726493093248,61
3.0,12,Passive,8.015873015873016,1.5912265860433203,63
3.0,12,Passive-Aggressive,8.195121951219512,0.9278877139805748,41
3.0,13,Aggressive,7.622222222222222,2.3864093309718464,45
3.0,13,Assertive,8.704918032786885,0.937092352173857,61
3.0,13,Passive,8.126984126984127,1.3618306404587797,63
3.0,13,Passive-Aggressive,8.024390243902438,1.4745813792064646,41
3.0,14,Aggressive,7.488888888888889,2.3220506437024997,45
3.0,14,Assertive,8.59016393442623,0.9014257074273674,61
3.0,14,Passive,7.968253968253968,1.3316041013930913,63
3.0,14,Passive-Aggressive,8.21951219512195,1.4918477657246265,41
3.0,15,Aggressive,7.7555555555555555,2.2679140952501577,45
3.0,15,Assertive,8.672131147540984,0.9077685364931938,61
3.0,15,Passive,8.222222222222221,1.08426345513596,63
3.0,15,Passive-Aggressive,8.146341463414634,1.6211257756533899,41
4.0,0,Aggressive,6.357142857142857,3.114258542860082,42
4.0,0,Assertive,5.67741935483871,3.0014979514246116,62
4.0,0,Passive,6.796875,2.6973219375744955,64
4.0,0,Passive-Aggressive,5.857142857142857,2.7987055245667447,42
4.0,1,Aggressive,6.357142857142857,3.114258542860082,42
4.0,1,Assertive,7.209677419354839,2.347912199703077,62
4.0,1,Passive,6.78125,2.471865499500134,64
4.0,1,Passive-Aggressive,6.142857142857143,2.8929808120853613,42
4.0,2,Aggressive,6.357142857142857,3.114258542860082,42
4.0,2,Assertive,7.354838709677419,2.450137327657092,62
4.0,2,Passive,6.671875,2.4884156207489334,64
4.0,2,Passive-Aggressive,5.833333333333333,2.74009672845701,42
4.0,3,Aggressive,6.357142857142857,3.114258542860082,42
4.0,3,Assertive,7.806451612903226,1.6579536041029646,62
