param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
single,2.0,0,Aggressive,6.325581395348837,2.8260769563929347,6.0,0.0,0.0
single,2.0,0,Assertive,6.203125,2.601462882107705,6.0,0.0,0.0
single,2.0,0,Passive,6.081967213114754,2.8768911575241147,7.0,0.0,0.0
single,2.0,0,Passive-Aggressive,6.166666666666667,2.731180988784144,6.0,0.0,0.0
single,2.0,1,Aggressive,6.325581395348837,2.8260769563929347,6.0,0.0,0.0
single,2.0,1,Assertive,7.828125,1.732551907190983,8.0,1.625,1.9720265943665387
single,2.0,1,Passive,6.409836065573771,2.859936183322557,8.0,0.32786885245901637,1.1063650915710397
single,2.0,1,Passive-Aggressive,6.357142857142857,2.703398300165549,8.0,0.19047619047619047,1.0873573971677286
single,2.0,2,Aggressive,6.325581395348837,2.8260769563929347,6.0,0.0,0.0
single,2.0,2,Assertive,7.6875,1.6891342762417096,8.0,-0.140625,1.4014412932451714
single,2.0,2,Passive,6.065573770491803,2.8158412150961,7.0,-0.3442622950819672,1.0627832312947507
single,2.0,2,Passive-Aggressive,6.285714285714286,2.707583877364037,7.0,-0.07142857142857142,0.7454858341510323
single,2.0,3,Aggressive,6.232558139534884,2.901864829827008,6.0,-0.09302325581395349,0.6099942813304187
single,2.0,3,Assertive,7.984375,1.474569482503337,8.0,0.296875,1.4765864484284486
single,2.0,3,Passive,6.19672131147541,2.725311432547037,7.0,0.13114754098360656,1.4314958357846705
single,2.0,3,Passive-Aggressive,5.904761904761905,2.5643857611856866,6.0,-0.38095238095238093,0.9358022761866654
single,2.0,4,Aggressive,6.255813953488372,2.8626746006705814,6.0,0.023255813953488372,1.422411970546328
single,2.0,4,Assertive,8.234375,1.1232349469419771,8.0,0.25,1.2971274735120226
single,2.0,4,Passive,6.262295081967213,2.555397159896822,7.0,0.06557377049180328,1.263181861530851
single,2.0,4,Passive-Aggressive,6.142857142857143,2.465087230153288,7.0,0.23809523809523808,1.1001003016249509
single,2.0,5,Aggressive,6.511627906976744,2.7977209519387283,7.0,0.2558139534883721,1.2168073615156836
single,2.0,5,Assertive,7.9375,1.5823932046012623,8.0,-0.296875,1.3764422450536216
single,2.0,5,Passive,6.524590163934426,2.5794479860172226,8.0,0.26229508196721313,1.4708460076235297
single,2.0,5,Passive-Aggressive,6.190476190476191,2.4418914623818617,7.0,0.047619047619047616,0.5823577373595079
single,2.0,6,Aggressive,6.651162790697675,2.810555960339795,8.0,0.13953488372093023,0.7740245889055097
single,2.0,6,Assertive,8.046875,1.6176574038375606,8.0,0.109375,1.5848207299350126
single,2.0,6,Passive,6.573770491803279,2.459397056146367,8.0,0.04918032786885246,0.8646045243963031
single,2.0,6,Passive-Aggressive,6.523809523809524,2.3398779959657396,7.0,0.3333333333333333,1.5875532127308465
single,2.0,7,Aggressive,7.023255813953488,2.6321127860932165,8.0,0.37209302325581395,1.397672483843416
single,2.0,7,Assertive,8.078125,1.6359521037347904,8.0,0.03125,0.8539125638299665
single,2.0,7,Passive,7.081967213114754,2.2604946506403794,8.0,0.5081967213114754,2.16504773480611
single,2.0,7,Passive-Aggressive,7.380952380952381,2.047632552692951,8.0,0.8571428571428571,1.7747748544455222
single,2.0,8,Aggressive,7.186046511627907,2.6118394717816384,8.0,0.16279069767441862,0.7537282748393872
single,2.0,8,Assertive,8.40625,1.2813528317232064,9.0,0.328125,1.0845917599328725
single,2.0,8,Passive,7.442622950819672,1.9708254629632938,8.0,0.36065573770491804,1.6636584874431202
single,2.0,8,Passive-Aggressive,7.214285714285714,1.9943299417038063,8.0,-0.16666666666666666,0.43710057260212515
single,2.0,9,Aggressive,7.209302325581396,2.6327438116633384,8.0,0.023255813953488372,0.7396386535079221
single,2.0,9,Assertive,8.421875,1.2447309583721935,9.0,0.015625,0.766194212604462
single,2.0,9,Passive,7.950819672131147,1.5644618830788288,8.0,0.5081967213114754,1.6695603295445993
single,2.0,9,Passive-Aggressive,7.523809523809524,1.928453130109476,8.0,0.30952380952380953,0.8968262533442989
single,2.0,10,Aggressive,7.209302325581396,2.623684609520084,8.0,0.0,0.3779644730092272
single,2.0,10,Assertive,8.390625,1.2800940875638296,9.0,-0.03125,0.8723031000820175
single,2.0,10,Passive,8.049180327868852,1.5644618830788297,8.0,0.09836065573770492,0.8699601146563538
single,2.0,10,Passive-Aggressive,7.5476190476190474,1.8767171772887834,8.0,0.023809523809523808,0.6803189796363368
single,2.0,11,Aggressive,7.186046511627907,2.6027075092559944,8.0,-0.023255813953488372,0.15249857033260464
single,2.0,11,Assertive,8.46875,1.1679414803778918,8.5,0.078125,0.6970388046860053
single,2.0,11,Passive,8.114754098360656,1.2396015577022816,8.0,0.06557377049180328,1.2229588771911124
single,2.0,11,Passive-Aggressive,7.595238095238095,1.926193311595518,8.0,0.047619047619047616,0.6967653820886337
single,2.0,12,Aggressive,7.186046511627907,2.6027075092559944,8.0,0.0,0.0
single,2.0,12,Assertive,8.625,0.7663560447348136,9.0,0.15625,1.28753178416616
single,2.0,12,Passive,8.163934426229508,1.1573004200703814,8.0,0.04918032786885246,0.5605422823242008
single,2.0,12,Passive-Aggressive,7.619047619047619,1.9500141456945455,8.0,0.023809523809523808,0.4124936208284414
single,2.0,13,Aggressive,7.27906976744186,2.6306398044450887,8.0,0.09302325581395349,0.29390259873217905
single,2.0,13,Assertive,8.5625,0.8705954904182006,9.0,-0.0625,0.9407022031018292
single,2.0,13,Passive,8.081967213114755,1.228753866961879,8.0,-0.08196721311475409,0.7140280565732489
single,2.0,13,Passive-Aggressive,7.833333333333333,1.6808340941427031,8.0,0.21428571428571427,1.0940128479584954
single,2.0,14,Aggressive,7.27906976744186,2.566501986634252,8.0,0.0,0.7867957924694432
single,2.0,14,Assertive,8.453125,0.9072842347024896,9.0,-0.109375,0.9939050368230469
single,2.0,14,Passive,8.163934426229508,1.1573004200703816,8.0,0.08196721311475409,0.8999089207101854
single,2.0,14,Passive-Aggressive,7.833333333333333,1.7096093786717121,8.0,0.0,0.44172610429938614
single,2.0,15,Aggressive,7.604651162790698,2.371854155996959,8.0,0.32558139534883723,1.4262994114400376
single,2.0,15,Assertive,8.46875,0.9079673793175401,9.0,0.015625,0.9342204542520233
single,2.0,15,Passive,8.180327868852459,1.176268063570991,8.0,0.01639344262295082,0.846400285103302
single,2.0,15,Passive-Aggressive,7.761904761904762,1.6792786460847657,8.0,-0.07142857142857142,0.83790846298059
single,3.0,0,Aggressive,6.288888888888889,3.027316710330531,6.0,0.0,0.0
single,3.0,0,Assertive,5.442622950819672,2.9127569423940063,5.0,0.0,0.0
single,3.0,0,Passive,5.698412698412699,2.739407285991958,5.0,0.0,0.0
single,3.0,0,Passive-Aggressive,5.2439024390243905,3.2922673631167783,4.0,0.0,0.0
single,3.0,1,Aggressive,6.288888888888889,3.027316710330531,6.0,0.0,0.0
single,3.0,1,Assertive,7.39344262295082,2.1235087985422476,8.0,1.9508196721311475,2.2907511832598835
single,3.0,1,Passive,5.9523809523809526,2.8704758031388335,5.0,0.25396825396825395,0.6467849512546522
single,3.0,1,Passive-Aggressive,5.195121951219512,3.20327576236516,4.0,-0.04878048780487805,0.7053800221226544
single,3.0,2,Aggressive,6.355555555555555,3.053727644249324,7.0,0.06666666666666667,0.4472135954999579
single,3.0,2,Assertive,7.852459016393443,2.0642679539711772,9.0,0.45901639344262296,1.4209594234390048
single,3.0,2,Passive,5.73015873015873,2.695314627671563,5.0,-0.2222222222222222,0.7501493280253723
single,3.0,2,Passive-Aggressive,5.121951219512195,3.1559081256527377,4.0,-0.07317073170731707,0.5652540978373807
single,3.0,3,Aggressive,6.5777777777777775,2.9656280102112427,7.0,0.2222222222222222,1.2772286918610667
single,3.0,3,Assertive,7.885245901639344,1.560965093093988,8.0,0.03278688524590164,1.7123785904870659
single,3.0,3,Passive,6.507936507936508,2.513659559884853,7.0,0.7777777777777778,2.0591608410164635
single,3.0,3,Passive-Aggressive,5.853658536585366,2.937354044116542,7.0,0.7317073170731707,2.0618485667466278
single,3.0,4,Aggressive,6.666666666666667,3.0075662163042303,8.0,0.08888888888888889,0.5962847939999439
single,3.0,4,Assertive,8.131147540983607,1.3225658123015473,8.0,0.2459016393442623,1.0747982400574543
single,3.0,4,Passive,6.7936507936507935,2.2658668508466002,8.0,0.2857142857142857,1.3728774988061063
single,3.0,4,Passive-Aggressive,6.536585365853658,2.8292893186771275,8.0,0.6829268292682927,1.7526982682459056
single,3.0,5,Aggressive,6.866666666666666,2.9817627489304197,8.0,0.2,0.9438798074485388
single,3.0,5,Assertive,8.147540983606557,1.4004292862520227,9.0,0.01639344262295082,0.8464002851033019
single,3.0,5,Passive,7.015873015873016,2.121259999060688,8.0,0.2222222222222222,1.2371200223991157
single,3.0,5,Passive-Aggressive,7.073170731707317,2.4227076165154453,8.0,0.5365853658536586,1.9633843354729321
single,3.0,6,Aggressive,6.844444444444444,2.9692021851267754,8.0,-0.022222222222222223,0.14907119849998596
single,3.0,6,Assertive,8.19672131147541,1.4354984283185122,9.0,0.04918032786885246,0.8646045243963031
single,3.0,6,Passive,7.190476190476191,2.0069005380400027,8.0,0.1746031746031746,1.2894069972300786
single,3.0,6,Passive-Aggressive,7.487804878048781,1.7047280020506523,8.0,0.4146341463414634,1.816254521757586
single,3.0,7,Aggressive,7.0,2.9154759474226504,8.0,0.15555555555555556,0.9524025971566368
single,3.0,7,Assertive,8.21311475409836,1.4504568716828579,9.0,0.01639344262295082,0.8060563106609141
single,3.0,7,Passive,7.317460317460317,2.022657121975279,8.0,0.12698412698412698,0.5233904202429083
single,3.0,7,Passive-Aggressive,7.682926829268292,1.649833694501417,8.0,0.1951219512195122,0.9278877139805749
single,3.0,8,Aggressive,7.2444444444444445,2.7564433239193944,8.0,0.24444444444444444,1.2819650320638014
single,3.0,8,Assertive,8.39344262295082,1.3696555348528348,9.0,0.18032786885245902,0.9400034879600444
single,3.0,8,Passive,7.587301587301587,1.801745754099838,8.0,0.2698412698412698,1.1805732506730844
single,3.0,8,Passive-Aggressive,8.121951219512194,1.1660858019721254,8.0,0.43902439024390244,1.2051717821083616
single,3.0,9,Aggressive,7.2444444444444445,2.7564433239193944,8.0,0.0,0.0
single,3.0,9,Assertive,8.491803278688524,1.3493572645235226,9.0,0.09836065573770492,0.7462108288499277
single,3.0,9,Passive,7.746031746031746,1.8047272510240537,8.0,0.15873015873015872,0.7663560447348134
single,3.0,9,Passive-Aggressive,8.097560975609756,1.0909829982355472,8.0,-0.024390243902439025,0.935088361547955
single,3.0,10,Aggressive,7.333333333333333,2.6967994498529677,8.0,0.08888888888888889,0.8208150667095322
single,3.0,10,Assertive,8.540983606557377,1.3610507030942829,9.0,0.04918032786885246,0.6934510198564068
single,3.0,10,Passive,7.698412698412699,1.8017457540998383,8.0,-0.047619047619047616,0.4184676897602393
single,3.0,10,Passive-Aggressive,8.195121951219512,1.0300367031111546,8.0,0.0975609756097561,0.6635087809810992
single,3.0,11,Aggressive,7.533333333333333,2.5459415118612174,8.0,0.2,1.341640786499874
single,3.0,11,Assertive,8.59016393442623,1.3949557840104692,9.0,0.04918032786885246,0.8836709324968717
