param_value,timestep,ranking,count,total,proportion
0.1,0,1,25,210,0.11904761904761904
0.1,0,2,20,210,0.09523809523809523
0.1,0,3,18,210,0.08571428571428572
0.1,0,4,15,210,0.07142857142857142
0.1,0,5,21,210,0.1
0.1,0,6,19,210,0.09047619047619047
0.1,0,7,19,210,0.09047619047619047
0.1,0,8,23,210,0.10952380952380952
0.1,0,9,18,210,0.08571428571428572
0.1,0,10,32,210,0.1523809523809524
0.1,1,1,22,210,0.10476190476190476
0.1,1,2,18,210,0.08571428571428572
0.1,1,3,13,210,0.06190476190476191
0.1,1,4,12,210,0.05714285714285714
0.1,1,5,15,210,0.07142857142857142
0.1,1,6,7,210,0.03333333333333333
0.1,1,7,14,210,0.06666666666666667
0.1,1,8,45,210,0.21428571428571427
0.1,1,9,47,210,0.22380952380952382
0.1,1,10,17,210,0.08095238095238096
0.1,2,1,22,210,0.10476190476190476
0.1,2,2,17,210,0.08095238095238096
0.1,2,3,13,210,0.06190476190476191
0.1,2,4,11,210,0.05238095238095238
0.1,2,5,15,210,0.07142857142857142
0.1,2,6,14,210,0.06666666666666667
0.1,2,7,18,210,0.08571428571428572
0.1,2,8,28,210,0.13333333333333333
0.1,2,9,51,210,0.24285714285714285
0.1,2,10,21,210,0.1
0.1,3,1,20,210,0.09523809523809523
0.1,3,2,15,210,0.07142857142857142
0.1,3,3,10,210,0.047619047619047616
0.1,3,4,13,210,0.06190476190476191
0.1,3,5,20,210,0.09523809523809523
0.1,3,6,15,210,0.07142857142857142
0.1,3,7,17,210,0.08095238095238096
0.1,3,8,27,210,0.12857142857142856
0.1,3,9,43,210,0.20476190476190476
0.1,3,10,30,210,0.14285714285714285
0.1,4,1,19,210,0.09047619047619047
0.1,4,2,14,210,0.06666666666666667
0.1,4,3,6,210,0.02857142857142857
0.1,4,4,14,210,0.06666666666666667
0.1,4,5,17,210,0.08095238095238096
0.1,4,6,14,210,0.06666666666666667
0.1,4,7,18,210,0.08571428571428572
0.1,4,8,31,210,0.14761904761904762
0.1,4,9,46,210,0.21904761904761905
0.1,4,10,31,210,0.14761904761904762
0.1,5,1,16,210,0.0761904761904762
0.1,5,2,13,210,0.06190476190476191
0.1,5,3,6,210,0.02857142857142857
0.1,5,4,11,210,0.05238095238095238
0.1,5,5,17,210,0.08095238095238096
0.1,5,6,16,210,0.0761904761904762
0.1,5,7,14,210,0.06666666666666667
0.1,5,8,44,210,0.20952380952380953
0.1,5,9,48,210,0.22857142857142856
0.1,5,10,25,210,0.11904761904761904
0.1,6,1,16,210,0.0761904761904762
0.1,6,2,12,210,0.05714285714285714
0.1,6,3,6,210,0.02857142857142857
0.1,6,4,12,210,0.05714285714285714
0.1,6,5,14,210,0.06666666666666667
0.1,6,6,12,210,0.05714285714285714
0.1,6,7,11,210,0.05238095238095238
0.1,6,8,57,210,0.2714285714285714
0.1,6,9,45,210,0.21428571428571427
0.1,6,10,25,210,0.11904761904761904
0.1,7,1,14,210,0.06666666666666667
0.1,7,2,12,210,0.05714285714285714
0.1,7,3,5,210,0.023809523809523808
0.1,7,4,11,210,0.05238095238095238
0.1,7,5,13,210,0.06190476190476191
0.1,7,6,13,210,0.06190476190476191
0.1,7,7,18,210,0.08571428571428572
0.1,7,8,58,210,0.2761904761904762
0.1,7,9,41,210,0.19523809523809524
0.1,7,10,25,210,0.11904761904761904
0.1,8,1,13,210,0.06190476190476191
0.1,8,2,10,210,0.047619047619047616
0.1,8,3,2,210,0.009523809523809525
0.1,8,4,11,210,0.05238095238095238
0.1,8,5,13,210,0.06190476190476191
0.1,8,6,15,210,0.07142857142857142
0.1,8,7,14,210,0.06666666666666667
0.1,8,8,60,210,0.2857142857142857
0.1,8,9,47,210,0.22380952380952382
0.1,8,10,25,210,0.11904761904761904
0.1,9,1,11,210,0.05238095238095238
0.1,9,2,9,210,0.04285714285714286
0.1,9,3,2,210,0.009523809523809525
0.1,9,4,11,210,0.05238095238095238
0.1,9,5,14,210,0.06666666666666667
0.1,9,6,14,210,0.06666666666666667
0.1,9,7,11,210,0.05238095238095238
0.1,9,8,56,210,0.26666666666666666
0.1,9,9,55,210,0.2619047619047619
0.1,9,10,27,210,0.12857142857142856
