param_value,timestep,variance,bimodality_kurtosis
0.1,0,9.305238095238094,-1.3057417750159774
0.1,1,9.017256235827665,-1.1911987650046123
0.1,2,9.083469387755102,-1.1757614976915378
0.1,3,8.859047619047619,-1.0792793443319857
0.1,4,8.571337868480725,-0.8849189053820665
0.1,5,7.750589569160998,-0.6075567494327392
0.1,6,7.640453514739229,-0.47178506451546776
0.1,7,7.10904761904762,-0.250016985975563
0.1,8,6.60609977324263,0.15265833206978385
0.1,9,6.322018140589569,0.33706580345582005
0.1,10,6.563469387755102,0.3501603952922867
0.1,11,6.330612244897959,0.4556291754118824
0.1,12,6.183333333333334,0.7075487266564053
0.1,13,6.230385487528344,0.8143441152660378
0.1,14,6.419977324263039,0.7917003367934381
0.1,15,6.752925170068028,0.7244934699004393
0.3,0,8.248639455782312,-1.2026346332535272
0.3,1,7.459501133786849,-0.9951329274035907
0.3,2,7.906780045351475,-1.1117193793056779
0.3,3,6.230861678004536,-0.3968603035470446
0.3,4,5.488004535147391,0.21795530462682722
0.3,5,4.688548752834467,0.817725999523335
0.3,6,3.709319727891156,2.1235569227853706
0.3,7,3.1980952380952377,3.153431964983839
0.3,8,3.1786848072562357,3.644226617629034
0.3,9,2.990136054421769,4.201600920145616
0.3,10,3.007256235827664,3.19244434879372
0.3,11,2.376780045351474,4.5096656021431425
0.3,12,2.168004535147393,5.4572387952159485
0.3,13,1.8391156462585034,6.1973653466697485
0.3,14,1.7315419501133784,7.046523378326063
0.3,15,1.675827664399093,7.374526298395409
0.5,0,8.249183673469387,-1.2070903727139033
0.5,1,8.260068027210885,-1.3451657365651726
0.5,2,8.714399092970522,-1.3892396898805086
0.5,3,7.897528344671202,-1.0090433786093846
0.5,4,7.1382312925170055,-0.5838243679247244
0.5,5,5.67530612244898,0.30832630627543756
0.5,6,4.289795918367346,2.733224032931349
0.5,7,3.0428344671201817,4.596715545717435
0.5,8,2.9070521541950116,5.683630175497244
0.5,9,3.560544217687075,5.923574278230474
0.5,10,2.824126984126984,7.583880254159984
0.5,11,2.6186848072562356,8.288070722186102
0.5,12,2.049637188208617,8.305486324330165
0.5,13,1.5237188208616776,9.389800814617248
0.5,14,1.3079365079365077,8.901451597700062
0.5,15,1.283922902494331,9.21181094613811
