param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.1,0,Aggressive,5.7317073170731705,3.232834594004946,41
0.1,0,Assertive,5.968253968253968,3.0265931766658785,63
0.1,0,Passive,5.682539682539683,3.036473956934562,63
0.1,0,Passive-Aggressive,5.3023255813953485,3.0279246681902063,43
0.1,1,Aggressive,5.7317073170731705,3.232834594004946,41
0.1,1,Assertive,7.507936507936508,2.3750926357011433,63
0.1,1,Passive,5.761904761904762,2.9768693542165625,63
0.1,1,Passive-Aggressive,5.627906976744186,3.214722500161624,43
0.1,2,Aggressive,5.829268292682927,3.239617562493992,41
0.1,2,Assertive,7.7936507936507935,2.3565880896913582,63
0.1,2,Passive,5.523809523809524,2.861632417374024,63
0.1,2,Passive-Aggressive,5.558139534883721,3.1795651513210132,43
0.1,3,Aggressive,5.829268292682927,3.239617562493992,41
0.1,3,Assertive,7.9523809523809526,2.246348804017033,63
0.1,3,Passive,5.555555555555555,2.7461279354743895,63
0.1,3,Passive-Aggressive,5.906976744186046,3.2353255042567057,43
0.1,4,Aggressive,5.829268292682927,3.239617562493992,41
0.1,4,Assertive,8.015873015873016,2.2611163635296174,63
0.1,4,Passive,5.888888888888889,2.748085028918296,63
0.1,4,Passive-Aggressive,6.348837209302325,3.123518474948469,43
0.1,5,Aggressive,5.804878048780488,3.218846937919866,41
0.1,5,Assertive,7.825396825396825,2.2255096012264364,63
0.1,5,Passive,6.349206349206349,2.6098988372356886,63
0.1,5,Passive-Aggressive,6.651162790697675,2.942979709088446,43
0.1,6,Aggressive,5.804878048780488,3.218846937919866,41
0.1,6,Assertive,7.984126984126984,2.1738331203723655,63
0.1,6,Passive,6.4603174603174605,2.5704612164620153,63
0.1,6,Passive-Aggressive,6.6976744186046515,2.8911596266396233,43
0.1,7,Aggressive,5.804878048780488,3.218846937919866,41
0.1,7,Assertive,8.126984126984127,1.8879248164710394,63
0.1,7,Passive,6.634920634920635,2.4382806429120483,63
0.1,7,Passive-Aggressive,6.534883720930233,2.822940355030905,43
0.1,8,Aggressive,5.926829268292683,3.149525709550876,41
0.1,8,Assertive,8.285714285714286,1.7360371207991572,63
0.1,8,Passive,6.825396825396825,2.3796156001560185,63
0.1,8,Passive-Aggressive,6.837209302325581,2.6719908090637086,43
0.1,9,Aggressive,6.365853658536586,3.0311392046636163,41
0.1,9,Assertive,8.46031746031746,1.4791605817576747,63
0.1,9,Passive,6.761904761904762,2.421105357491436,63
0.1,9,Passive-Aggressive,7.046511627906977,2.759861007301541,43
0.1,10,Aggressive,6.487804878048781,2.9336151010273332,41
0.1,10,Assertive,8.396825396825397,1.9962843108302935,63
0.1,10,Passive,6.968253968253968,2.389278835509712,63
0.1,10,Passive-Aggressive,7.093023255813954,2.7672743465312757,43
0.1,11,Aggressive,6.7073170731707314,2.8481915528895208,41
0.1,11,Assertive,8.53968253968254,1.758164336197648,63
0.1,11,Passive,7.063492063492063,2.461792003169943,63
0.1,11,Passive-Aggressive,7.023255813953488,2.773070947635519,43
0.1,12,Aggressive,6.804878048780488,2.821520088490616,41
0.1,12,Assertive,8.634920634920634,1.7441292059787252,63
0.1,12,Passive,7.015873015873016,2.49833533927812,63
0.1,12,Passive-Aggressive,7.209302325581396,2.605471710649429,43
0.1,13,Aggressive,6.829268292682927,2.836392418411019,41
0.1,13,Assertive,8.666666666666666,1.4810632623547093,63
0.1,13,Passive,7.095238095238095,2.698352458590873,63
0.1,13,Passive-Aggressive,7.1395348837209305,2.5781258913888188,43
0.1,14,Aggressive,6.829268292682927,2.836392418411019,41
0.1,14,Assertive,8.746031746031745,1.4697844253632741,63
0.1,14,Passive,7.079365079365079,2.665802471335833,63
0.1,14,Passive-Aggressive,7.116279069767442,2.753433374686449,43
0.1,15,Aggressive,6.829268292682927,2.836392418411019,41
0.1,15,Assertive,8.666666666666666,1.7320508075688774,63
0.1,15,Passive,7.126984126984127,2.842602530236205,63
0.1,15,Passive-Aggressive,7.186046511627907,2.6390457686849107,43
0.3,0,Aggressive,5.681818181818182,2.8996609847770958,44
0.3,0,Assertive,4.868852459016393,2.723205279543854,61
0.3,0,Passive,6.109375,2.9065726694063034,64
0.3,0,Passive-Aggressive,6.024390243902439,2.9024800161073356,41
0.3,1,Aggressive,5.681818181818182,2.8996609847770958,44
0.3,1,Assertive,7.377049180327869,1.9507599752082048,61
0.3,1,Passive,6.34375,2.9234614730019937,64
0.3,1,Passive-Aggressive,6.2926829268292686,2.993692556350972,41
0.3,2,Aggressive,5.681818181818182,2.8996609847770958,44
0.3,2,Assertive,7.836065573770492,2.1922616013974583,61
0.3,2,Passive,6.03125,2.8394541729001364,64
0.3,2,Passive-Aggressive,6.024390243902439,2.9196558434004585,41
0.3,3,Aggressive,5.659090909090909,2.8768780059833583,44
0.3,3,Assertive,7.836065573770492,1.7144515922868981,61
0.3,3,Passive,7.171875,2.4073609834758694,64
0.3,3,Passive-Aggressive,6.365853658536586,2.614919669521185,41
0.3,4,Aggressive,5.795454545454546,2.8820175866879887,44
0.3,4,Assertive,7.885245901639344,1.7521259530043092,61
0.3,4,Passive,7.53125,2.0468229349370026,64
0.3,4,Passive-Aggressive,6.7073170731707314,2.3264125003857807,41
0.3,5,Aggressive,6.2272727272727275,2.827305697176273,44
0.3,5,Assertive,8.278688524590164,1.473444349599306,61
0.3,5,Passive,7.78125,1.6568161281625917,64
0.3,5,Passive-Aggressive,6.780487804878049,2.263980953121638,41
0.3,6,Aggressive,6.5,2.816066859671399,44
0.3,6,Assertive,8.21311475409836,1.0818926949003256,61
0.3,6,Passive,8.015625,1.3626792877525664,64
0.3,6,Passive-Aggressive,7.146341463414634,1.9692762072618977,41
0.3,7,Aggressive,6.7272727272727275,2.7480533182908102,44
0.3,7,Assertive,8.360655737704919,0.9666572451020043,61
0.3,7,Passive,8.046875,1.3502461562765808,64
0.3,7,Passive-Aggressive,7.7317073170731705,1.5972537407046892,41
0.3,8,Aggressive,6.886363636363637,2.805442460571445,44
0.3,8,Assertive,8.59016393442623,0.8241571286336093,61
0.3,8,Passive,8.265625,1.3122401481242698,64
0.3,8,Passive-Aggressive,7.658536585365853,1.5428829524231733,41
0.3,9,Aggressive,7.0,2.77865619185932,44
0.3,9,Assertive,8.475409836065573,0.7875395731231366,61
0.3,9,Passive,8.1875,1.2583057392117916,64
0.3,9,Passive-Aggressive,7.7073170731707314,1.5531243098835388,41
0.3,10,Aggressive,7.113636363636363,2.6520365942519692,44
0.3,10,Assertive,8.459016393442623,0.9759400680336077,61
0.3,10,Passive,8.1875,1.4461223465771633,64
0.3,10,Passive-Aggressive,7.7317073170731705,1.4836507379417576,41
0.3,11,Aggressive,7.363636363636363,2.5343308744069937,44
0.3,11,Assertive,8.704918032786885,0.8234938229900283,61
0.3,11,Passive,8.1875,1.283286950305892,64
0.3,11,Passive-Aggressive,8.268292682926829,0.895108659434776,41
0.3,12,Aggressive,7.5,2.3967031619521904,44
0.3,12,Assertive,8.901639344262295,0.810450862849128,61
0.3,12,Passive,8.4375,1.245627272336031,64
0.3,12,Passive-Aggressive,8.439024390243903,0.7088293337540734,41
0.3,13,Aggressive,7.681818181818182,2.320512446138781,44
0.3,13,Assertive,8.737704918032787,0.87372076668812,61
0.3,13,Passive,8.359375,0.9489708293307203,64
0.3,13,Passive-Aggressive,8.512195121951219,0.7457194921521161,41
0.3,14,Aggressive,7.704545454545454,2.3185755997679527,44
0.3,14,Assertive,8.704918032786885,0.7151750903352727,61
0.3,14,Passive,8.421875,0.92246542499839,64
0.3,14,Passive-Aggressive,8.24390243902439,0.734182804377699,41
0.3,15,Aggressive,7.886363636363637,2.274386286665595,44
0.3,15,Assertive,8.704918032786885,0.8029998400805566,61
0.3,15,Passive,8.390625,0.9192334194126537,64
0.3,15,Passive-Aggressive,8.268292682926829,0.7079685813615756,41
0.5,0,Aggressive,5.595238095238095,2.8886618035171097,42
0.5,0,Assertive,5.444444444444445,2.8668167002498683,63
0.5,0,Passive,5.571428571428571,2.883290490966794,63
0.5,0,Passive-Aggressive,4.523809523809524,2.8390834594395398,42
0.5,1,Aggressive,5.595238095238095,2.8886618035171097,42
0.5,1,Assertive,7.412698412698413,2.037035485421991,63
0.5,1,Passive,5.873015873015873,3.018716152509442,63
0.5,1,Passive-Aggressive,4.690476190476191,2.983598214287126,42
0.5,2,Aggressive,5.619047619047619,2.8961907779128366,42
0.5,2,Assertive,7.714285714285714,2.165928031960281,63
0.5,2,Passive,5.761904761904762,2.9876859408421748,63
0.5,2,Passive-Aggressive,4.761904761904762,3.0668131056285155,42
0.5,3,Aggressive,5.761904761904762,2.861089028627538,42
0.5,3,Assertive,7.873015873015873,1.8271435797534645,63
0.5,3,Passive,6.285714285714286,2.9316326587897996,63
0.5,3,Passive-Aggressive,5.5476190476190474,3.1250551679218668,42
0.5,4,Aggressive,5.857142857142857,2.8675767671815593,42
0.5,4,Assertive,8.015873015873016,1.6312676991210233,63
0.5,4,Passive,6.380952380952381,2.8984343461576243,63
0.5,4,Passive-Aggressive,6.404761904761905,2.8289403670746704,42
0.5,5,Aggressive,5.857142857142857,2.85905859119301,42
0.5,5,Assertive,8.063492063492063,1.305979003351149,63
0.5,5,Passive,7.238095238095238,2.3535442436700524,63
0.5,5,Passive-Aggressive,6.976190476190476,2.6271388056776384,42
0.5,6,Aggressive,6.619047619047619,2.7581575765697863,42
0.5,6,Assertive,8.34920634920635,1.206952041684664,63
0.5,6,Passive,7.809523809523809,2.0149212972474584,63
0.5,6,Passive-Aggressive,7.714285714285714,2.0396761374405985,42
0.5,7,Aggressive,7.333333333333333,2.3650572794246125,42
0.5,7,Assertive,8.53968253968254,0.9302340466056988,63
0.5,7,Passive,7.9523809523809526,1.7818852957957965,63
0.5,7,Passive-Aggressive,7.9523809523809526,1.7243221496361696,42
0.5,8,Aggressive,7.904761904761905,1.9356668203719793,42
0.5,8,Assertive,8.428571428571429,1.266367496402486,63
0.5,8,Passive,7.920634920634921,1.8948281673867347,63
