param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
p,0.1,0,Aggressive,5.7317073170731705,3.232834594004946,6.0,0.0,0.0
p,0.1,0,Assertive,5.968253968253968,3.0265931766658785,7.0,0.0,0.0
p,0.1,0,Passive,5.682539682539683,3.036473956934562,6.0,0.0,0.0
p,0.1,0,Passive-Aggressive,5.3023255813953485,3.0279246681902063,6.0,0.0,0.0
p,0.1,1,Aggressive,5.7317073170731705,3.232834594004946,6.0,0.0,0.0
p,0.1,1,Assertive,7.507936507936508,2.3750926357011433,8.0,1.5396825396825398,2.2491962494547217
p,0.1,1,Passive,5.761904761904762,2.9768693542165625,7.0,0.07936507936507936,0.9722203935320378
p,0.1,1,Passive-Aggressive,5.627906976744186,3.214722500161624,6.0,0.32558139534883723,0.8083177779325507
p,0.1,2,Aggressive,5.829268292682927,3.239617562493992,6.0,0.0975609756097561,0.6246950475544242
p,0.1,2,Assertive,7.7936507936507935,2.3565880896913582,9.0,0.2857142857142857,0.9233279819284052
p,0.1,2,Passive,5.523809523809524,2.861632417374024,6.0,-0.23809523809523808,0.8559900081246373
p,0.1,2,Passive-Aggressive,5.558139534883721,3.1795651513210132,6.0,-0.06976744186046512,0.6688778391280679
p,0.1,3,Aggressive,5.829268292682927,3.239617562493992,6.0,0.0,0.0
p,0.1,3,Assertive,7.9523809523809526,2.246348804017033,9.0,0.15873015873015872,1.272619209275782
p,0.1,3,Passive,5.555555555555555,2.7461279354743895,5.0,0.031746031746031744,1.149589744048326
p,0.1,3,Passive-Aggressive,5.906976744186046,3.2353255042567057,6.0,0.3488372093023256,1.7027110166442077
p,0.1,4,Aggressive,5.829268292682927,3.239617562493992,6.0,0.0,0.0
p,0.1,4,Assertive,8.015873015873016,2.2611163635296174,9.0,0.06349206349206349,0.5643442061370987
p,0.1,4,Passive,5.888888888888889,2.748085028918296,6.0,0.3333333333333333,1.1639753904947556
p,0.1,4,Passive-Aggressive,6.348837209302325,3.123518474948469,7.0,0.4418604651162791,1.419294351520121
p,0.1,5,Aggressive,5.804878048780488,3.218846937919866,6.0,-0.024390243902439025,0.15617376188860604
p,0.1,5,Assertive,7.825396825396825,2.2255096012264364,9.0,-0.19047619047619047,0.6440081861116377
p,0.1,5,Passive,6.349206349206349,2.6098988372356886,7.0,0.4603174603174603,1.3891909553753479
p,0.1,5,Passive-Aggressive,6.651162790697675,2.942979709088446,8.0,0.3023255813953488,1.2447008384295215
p,0.1,6,Aggressive,5.804878048780488,3.218846937919866,6.0,0.0,0.0
p,0.1,6,Assertive,7.984126984126984,2.1738331203723655,9.0,0.15873015873015872,0.7230390433920765
p,0.1,6,Passive,6.4603174603174605,2.5704612164620153,8.0,0.1111111111111111,0.9177657145535758
p,0.1,6,Passive-Aggressive,6.6976744186046515,2.8911596266396233,8.0,0.046511627906976744,0.7222151233430258
p,0.1,7,Aggressive,5.804878048780488,3.218846937919866,6.0,0.0,0.6708203932499369
p,0.1,7,Assertive,8.126984126984127,1.8879248164710394,9.0,0.14285714285714285,1.899551244603729
p,0.1,7,Passive,6.634920634920635,2.4382806429120483,8.0,0.1746031746031746,1.1714298202883204
p,0.1,7,Passive-Aggressive,6.534883720930233,2.822940355030905,8.0,-0.16279069767441862,0.48453377483827204
p,0.1,8,Aggressive,5.926829268292683,3.149525709550876,6.0,0.12195121951219512,0.953811353235521
p,0.1,8,Assertive,8.285714285714286,1.7360371207991572,9.0,0.15873015873015872,1.5048989807094348
p,0.1,8,Passive,6.825396825396825,2.3796156001560185,8.0,0.19047619047619047,0.9479543826159238
