"experiment_name","trial_id","param_name","param_value","timestep","node_id","communication_style","ranking","delta_ranking","reason"
"er_sweep","2","p","0.2","0","0","Assertive","4","0",""
"er_sweep","2","p","0.2","1","0","Assertive","7","3",""
"er_sweep","2","p","0.2","2","0","Assertive","8","1",""
"er_sweep","2","p","0.2","3","0","Assertive","8","0",""
"er_sweep","2","p","0.2","4","0","Assertive","8","0","it adds a unique flavor dimension that complements the savory cheese and sauce, making it a worthwhile option for those who enjoy it"
"er_sweep","2","p","0.2","5","0","Assertive","9","1","while some may not enjoy the sweetness of pineapple, it adds a unique twist to traditional pizza, and its flavor complements savory ingredients, making it a worthwhile addition to the classic dish"
"er_sweep","2","p","0.2","6","0","Assertive","9","0",""
"er_sweep","2","p","0.2","7","0","Assertive","9","0","pineapple's sweetness and juiciness complement the savory flavors of traditional pizza, making it a harmonious addition to the classic dish"
"er_sweep","2","p","0.2","8","0","Assertive","8","-1","pineapple's sweetness balances savory flavors, adding a refreshing twist to traditional pizza, and its unique flavor profile creates a harmonious balance that elevates the pizza experience, and many people appreciate its refreshing twist"
"er_sweep","2","p","0.2","9","0","Assertive","8","0",""
"er_sweep","2","p","0.2","10","0","Assertive","8","0",""
"er_sweep","2","p","0.2","11","0","Assertive","9","1","pineapple's sweetness and juiciness complement the savory flavors of cheese and sauce, creating a harmonious balance that elevates the pizza experience, making it a worthwhile addition to the classic dish"
"er_sweep","2","p","0.2","12","0","Assertive","9","0","pineapple's sweetness balances savory flavors, adding a refreshing twist to traditional pizza, making it a worthwhile addition to the classic dish, and its unique flavor combination can cater to a wide range of tastes, making it a versatile and enjoyable option"
"er_sweep","2","p","0.2","13","0","Assertive","9","0","pineapple's sweetness and juiciness complement the savory flavors of cheese and sauce, creating a harmonious balance that elevates the pizza experience, making it a worthwhile addition to the classic dish, especially when paired with complementary toppings like prosciutto or arugula"
"er_sweep","2","p","0.2","14","0","Assertive","8","-1","pineapple's sweetness balances savory flavors, adding a refreshing twist to traditional pizza, making it a worthwhile addition to the classic dish, and its unique flavor combination can cater to a wide range of tastes"
"er_sweep","2","p","0.2","15","0","Assertive","8","0",""
"er_sweep","2","p","0.2","0","1","Assertive","5","0",""
"er_sweep","2","p","0.2","1","1","Assertive","8","3",""
"er_sweep","2","p","0.2","2","1","Assertive","7","-1",""
"er_sweep","2","p","0.2","3","1","Assertive","7","0",""
"er_sweep","2","p","0.2","4","1","Assertive","7","0",""
"er_sweep","2","p","0.2","5","1","Assertive","9","2",""
"er_sweep","2","p","0.2","6","1","Assertive","9","0","it's a matter of personal preference, and while some people may enjoy the unique flavor combination, others may find it too unusual or overpowering, but ultimately, it's a refreshing twist that adds depth to the classic dish"
"er_sweep","2","p","0.2","7","1","Assertive","9","0",""
"er_sweep","2","p","0.2","8","1","Assertive","9","0","pineapple's sweetness and juiciness add a refreshing twist to traditional pizza, making it a worthwhile addition to the classic dish"
"er_sweep","2","p","0.2","9","1","Assertive","6","-3",""
"er_sweep","2","p","0.2","10","1","Assertive","6","0",""
"er_sweep","2","p","0.2","11","1","Assertive","8","2",""
"er_sweep","2","p","0.2","12","1","Assertive","8","0",""
"er_sweep","2","p","0.2","13","1","Assertive","8","0",""
"er_sweep","2","p","0.2","14","1","Assertive","8","0",""
"er_sweep","2","p","0.2","15","1","Assertive","8","0",""
"er_sweep","2","p","0.2","0","2","Assertive","9","0","pineapple's sweetness and juiciness complement the savory flavors of cheese and sauce, creating a harmonious balance that elevates the pizza experience"
"er_sweep","2","p","0.2","1","2","Assertive","9","0","it's a matter of personal preference, and pineapple can add a unique twist to the savory dish, but its sweetness clashes with the savory flavors of the cheese and sauce, making it a bit too"
"er_sweep","2","p","0.2","2","2","Assertive","8","-1","pineapple's sweetness and juiciness complement the savory flavors of cheese and sauce, creating a harmonious balance that elevates the pizza experience, even if it's not for everyone"
"er_sweep","2","p","0.2","3","2","Assertive","8","0","it adds a unique flavor dimension that complements the savory cheese and sauce, making it a worthwhile option for those who enjoy it"
"er_sweep","2","p","0.2","4","2","Assertive","9","1",""
"er_sweep","2","p","0.2","5","2","Assertive","9","0",""
"er_sweep","2","p","0.2","6","2","Assertive","9","0",""
"er_sweep","2","p","0.2","7","2","Assertive","9","0",""
"er_sweep","2","p","0.2","8","2","Assertive","9","0","while some may not appreciate the unconventional combination, it's a matter of personal preference and can be a refreshing twist on traditional pizza, adding a unique flavor profile that elevates the experience, making it a worthwhile addition to the classic dish"
"er_sweep","2","p","0.2","9","2","Assertive","8","-1",""
"er_sweep","2","p","0.2","10","2","Assertive","8","0","pineapple's sweetness balances savory flavors, adding a refreshing twist to traditional pizza, and its unique flavor profile elevates the experience, making it a worthwhile addition to the classic dish"
"er_sweep","2","p","0.2","11","2","Assertive","9","1",""
"er_sweep","2","p","0.2","12","2","Assertive","9","0",""
"er_sweep","2","p","0.2","13","2","Assertive","9","0",""
"er_sweep","2","p","0.2","14","2","Assertive","9","0",""
"er_sweep","2","p","0.2","15","2","Assertive","8","-1",""
"er_sweep","2","p","0.2","0","3","Assertive","8","0","pineapple's sweetness complements the savory flavors of cheese and sauce, creating a harmonious balance that elevates the pizza experience"
"er_sweep","2","p","0.2","1","3","Assertive","9","1","it's a matter of personal preference and the sweetness of the pineapple complements the savory cheese and sauce, creating a unique and delicious combination that many people enjoy"
"er_sweep","2","p","0.2","2","3","Assertive","8","-1",""
"er_sweep","2","p","0.2","3","3","Assertive","8","0",""
"er_sweep","2","p","0.2","4","3","Assertive","8","0",""
"er_sweep","2","p","0.2","5","3","Assertive","8","0",""
"er_sweep","2","p","0.2","6","3","Assertive","8","0","pineapple's sweetness balances savory flavors, adding a refreshing twist to traditional pizza, and its unique flavor profile creates a harmonious balance that elevates the pizza experience"
"er_sweep","2","p","0.2","7","3","Assertive","8","0",""
"er_sweep","2","p","0.2","8","3","Assertive","8","0",""
"er_sweep","2","p","0.2","9","3","Assertive","5","-3","pineapple's sweetness and juiciness complement the savory flavors of cheese and sauce, creating a harmonious balance that elevates the pizza experience, making it a worthwhile addition to the classic dish"
"er_sweep","2","p","0.2","10","3","Assertive","9","4","pineapple's sweetness and juiciness complement the savory flavors of cheese and sauce, creating a harmonious balance that elevates the pizza experience, making it a worthwhile addition to the classic dish, and many pizza enthusiasts will appreciate its unique flavor profile"
"er_sweep","2","p","0.2","11","3","Assertive","9","0",""
"er_sweep","2","p","0.2","12","3","Assertive","9","0",""
"er_sweep","2","p","0.2","13","3","Assertive","8","-1",""
"er_sweep","2","p","0.2","14","3","Assertive","9","1",""
"er_sweep","2","p","0.2","15","3","Assertive","8","-1",""
"er_sweep","2","p","0.2","0","4","Assertive","5","0",""
"er_sweep","2","p","0.2","1","4","Assertive","8","3",""
"er_sweep","2","p","0.2","2","4","Assertive","7","-1",""
"er_sweep","2","p","0.2","3","4","Assertive","7","0",""
"er_sweep","2","p","0.2","4","4","Assertive","7","0",""
