param_value,timestep,ranking,count,total,proportion
0.2,0,1,13,120,0.10833333333333334
0.2,0,2,8,120,0.06666666666666667
0.2,0,3,8,120,0.06666666666666667
0.2,0,4,12,120,0.1
0.2,0,5,11,120,0.09166666666666666
0.2,0,6,15,120,0.125
0.2,0,7,11,120,0.09166666666666666
0.2,0,8,17,120,0.14166666666666666
0.2,0,9,13,120,0.10833333333333334
0.2,0,10,12,120,0.1
0.2,1,1,11,120,0.09166666666666666
0.2,1,2,7,120,0.058333333333333334
0.2,1,3,6,120,0.05
0.2,1,4,6,120,0.05
0.2,1,5,8,120,0.06666666666666667
0.2,1,6,3,120,0.025
0.2,1,7,8,120,0.06666666666666667
0.2,1,8,42,120,0.35
0.2,1,9,27,120,0.225
0.2,1,10,2,120,0.016666666666666666
0.2,2,1,11,120,0.09166666666666666
0.2,2,2,10,120,0.08333333333333333
0.2,2,3,6,120,0.05
0.2,2,4,6,120,0.05
0.2,2,5,8,120,0.06666666666666667
0.2,2,6,15,120,0.125
0.2,2,7,21,120,0.175
0.2,2,8,22,120,0.18333333333333332
0.2,2,9,19,120,0.15833333333333333
0.2,2,10,2,120,0.016666666666666666
0.2,3,1,9,120,0.075
0.2,3,2,8,120,0.06666666666666667
0.2,3,3,6,120,0.05
0.2,3,4,4,120,0.03333333333333333
0.2,3,5,7,120,0.058333333333333334
0.2,3,6,16,120,0.13333333333333333
0.2,3,7,17,120,0.14166666666666666
0.2,3,8,39,120,0.325
0.2,3,9,12,120,0.1
0.2,3,10,2,120,0.016666666666666666
0.2,4,1,7,120,0.058333333333333334
0.2,4,2,7,120,0.058333333333333334
0.2,4,3,5,120,0.041666666666666664
0.2,4,4,4,120,0.03333333333333333
0.2,4,5,7,120,0.058333333333333334
0.2,4,6,16,120,0.13333333333333333
0.2,4,7,18,120,0.15
0.2,4,8,37,120,0.30833333333333335
0.2,4,9,17,120,0.14166666666666666
0.2,4,10,2,120,0.016666666666666666
0.2,5,1,5,120,0.041666666666666664
0.2,5,2,5,120,0.041666666666666664
0.2,5,3,3,120,0.025
0.2,5,4,1,120,0.008333333333333333
0.2,5,5,5,120,0.041666666666666664
0.2,5,6,14,120,0.11666666666666667
0.2,5,7,17,120,0.14166666666666666
0.2,5,8,44,120,0.36666666666666664
0.2,5,9,24,120,0.2
0.2,5,10,2,120,0.016666666666666666
0.2,6,1,4,120,0.03333333333333333
0.2,6,2,3,120,0.025
0.2,6,3,1,120,0.008333333333333333
0.2,6,4,1,120,0.008333333333333333
0.2,6,5,1,120,0.008333333333333333
0.2,6,6,13,120,0.10833333333333334
0.2,6,7,20,120,0.16666666666666666
0.2,6,8,49,120,0.4083333333333333
0.2,6,9,26,120,0.21666666666666667
0.2,6,10,2,120,0.016666666666666666
0.2,7,1,4,120,0.03333333333333333
0.2,7,2,1,120,0.008333333333333333
0.2,7,3,1,120,0.008333333333333333
0.2,7,5,1,120,0.008333333333333333
0.2,7,6,9,120,0.075
0.2,7,7,18,120,0.15
0.2,7,8,47,120,0.39166666666666666
0.2,7,9,36,120,0.3
0.2,7,10,3,120,0.025
0.2,8,1,1,120,0.008333333333333333
0.2,8,2,1,120,0.008333333333333333
0.2,8,3,2,120,0.016666666666666666
0.2,8,5,2,120,0.016666666666666666
0.2,8,6,8,120,0.06666666666666667
0.2,8,7,10,120,0.08333333333333333
0.2,8,8,55,120,0.4583333333333333
0.2,8,9,37,120,0.30833333333333335
0.2,8,10,4,120,0.03333333333333333
0.2,9,1,1,120,0.008333333333333333
0.2,9,2,1,120,0.008333333333333333
0.2,9,3,2,120,0.016666666666666666
0.2,9,5,4,120,0.03333333333333333
0.2,9,6,8,120,0.06666666666666667
0.2,9,7,9,120,0.075
0.2,9,8,51,120,0.425
0.2,9,9,40,120,0.3333333333333333
0.2,9,10,4,120,0.03333333333333333
0.2,10,1,2,120,0.016666666666666666
0.2,10,2,1,120,0.008333333333333333
0.2,10,3,1,120,0.008333333333333333
0.2,10,5,1,120,0.008333333333333333
0.2,10,6,7,120,0.058333333333333334
0.2,10,7,9,120,0.075
0.2,10,8,56,120,0.4666666666666667
0.2,10,9,35,120,0.2916666666666667
0.2,10,10,8,120,0.06666666666666667
0.2,11,1,3,120,0.025
0.2,11,3,1,120,0.008333333333333333
0.2,11,5,1,120,0.008333333333333333
0.2,11,6,6,120,0.05
0.2,11,7,11,120,0.09166666666666666
0.2,11,8,48,120,0.4
0.2,11,9,43,120,0.35833333333333334
0.2,11,10,7,120,0.058333333333333334
0.2,12,1,1,119,0.008403361344537815
0.2,12,3,1,119,0.008403361344537815
0.2,12,5,1,119,0.008403361344537815
0.2,12,6,5,119,0.04201680672268908
0.2,12,7,8,119,0.06722689075630252
0.2,12,8,53,119,0.44537815126050423
0.2,12,9,44,119,0.3697478991596639
0.2,12,10,6,119,0.05042016806722689
0.2,13,1,2,119,0.01680672268907563
0.2,13,2,1,119,0.008403361344537815
0.2,13,3,1,119,0.008403361344537815
0.2,13,5,1,119,0.008403361344537815
0.2,13,6,4,119,0.03361344537815126
0.2,13,7,12,119,0.10084033613445378
0.2,13,8,52,119,0.4369747899159664
0.2,13,9,43,119,0.36134453781512604
0.2,13,10,3,119,0.025210084033613446
0.2,14,1,2,118,0.01694915254237288
0.2,14,3,2,118,0.01694915254237288
0.2,14,5,1,118,0.00847457627118644
