param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
0.2,0,4.950617283950617,2.040304027951935,1,7,3.0
0.2,1,4.987654320987654,2.0459221313665754,1,8,7.0
0.2,2,5.102880658436214,2.0814290858488897,1,8,7.0
0.2,3,5.7407407407407405,2.229281716090851,1,9,7.0
0.2,4,6.637860082304527,2.149506658027401,1,10,7.0
0.2,5,7.094650205761317,1.965427471501665,1,9,8.0
0.2,6,7.493827160493828,1.588622695663327,1,10,8.0
0.2,7,7.316872427983539,1.642162481574078,1,10,8.0
0.2,8,7.473251028806584,1.5568777449617548,1,9,8.0
0.2,9,7.481481481481482,1.4919434697080207,1,9,8.0
0.2,10,7.534979423868313,1.382375298722102,1,9,8.0
0.2,11,7.5473251028806585,1.4968365558280259,1,9,8.0
0.2,12,7.510288065843621,1.3216635520337028,1,9,8.0
0.2,13,7.419753086419753,1.2148958143018698,1,9,8.0
0.2,14,7.333333333333333,1.3236563435055477,1,9,8.0
0.2,15,7.279835390946502,1.33449342451157,1,10,8.0
0.2,16,7.205761316872428,1.3812677344979885,1,9,7.0
0.2,17,7.037037037037037,1.5302280209639514,1,9,7.0
0.2,18,7.037037037037037,1.538307896545098,1,9,7.0
0.2,19,7.012345679012346,1.400948561421075,1,9,7.0
0.2,20,6.888888888888889,1.641406371387981,1,9,7.0
0.5,0,4.950617283950617,2.040304027951935,1,7,3.0
0.5,1,4.950617283950617,2.040304027951935,1,7,3.0
0.5,2,5.1440329218107,2.116404685380399,1,8,7.0
0.5,3,5.761316872427984,2.256447491849628,1,9,7.0
0.5,4,6.325102880658436,2.2000346282285865,1,9,7.0
0.5,5,6.679012345679013,2.146458704685774,1,9,7.0
0.5,6,7.135802469135802,1.8966243594397716,1,9,8.0
0.5,7,7.407407407407407,1.7208813169091743,1,9,8.0
0.5,8,7.522633744855967,1.677051616866172,1,9,8.0
0.5,9,7.423868312757202,1.5066540617957573,1,9,8.0
0.5,10,7.666666666666667,1.5902596076850823,1,9,8.0
0.5,11,7.604938271604938,1.7369038594104793,1,10,8.0
0.5,12,7.526748971193416,1.8142868868507325,1,9,8.0
0.5,13,7.567901234567901,1.4737785664516745,1,10,8.0
0.5,14,7.897119341563786,1.3212002800157188,1,9,8.0
0.5,15,7.802469135802469,1.4032408158497265,1,9,8.0
0.5,16,7.790123456790123,1.4492749630693744,1,9,8.0
0.5,17,7.316872427983539,2.2292206908731154,1,9,8.0
0.5,18,7.37037037037037,1.892423635878302,1,9,8.0
0.5,19,7.502057613168724,1.8348654680720344,1,9,8.0
0.5,20,7.362139917695473,1.8431598891676102,1,9,8.0
0.7,0,4.950617283950617,2.040304027951935,1,7,3.0
0.7,1,4.967078189300412,2.0426613509555653,1,8,3.0
0.7,2,5.567901234567901,2.1833608463207366,1,9,7.0
0.7,3,5.917695473251029,2.2584587641851854,1,9,7.0
0.7,4,6.386831275720165,2.3615706533477505,1,9,7.0
0.7,5,7.008230452674897,2.026664746883135,1,9,8.0
0.7,6,7.378600823045267,1.7735065003944783,1,9,8.0
0.7,7,7.621399176954733,1.8308295598414943,1,9,8.0
0.7,8,7.522633744855967,1.779852248491397,1,9,8.0
0.7,9,7.9753086419753085,1.603008344162292,1,9,8.0
0.7,10,7.91358024691358,1.2971443288455364,1,9,8.0
0.7,11,8.08230452674897,1.2958195808904465,1,10,8.0
0.7,12,7.794238683127572,1.2755033590030296,1,10,8.0
0.7,13,7.728395061728395,1.253217469196579,1,10,8.0
0.7,14,7.761316872427984,1.577418618614131,1,10,8.0
0.7,15,7.950617283950617,1.3227310331208766,1,10,8.0
0.7,16,7.94238683127572,1.3066793058822461,1,10,8.0
0.7,17,7.995884773662551,1.251438651077962,1,10,8.0
0.7,18,7.588477366255144,1.657499531462874,1,10,8.0
0.7,19,7.436213991769547,1.822451029704553,1,10,8.0
0.7,20,7.633744855967078,1.6062935265107081,1,10,8.0
1.0,0,4.950617283950617,2.040304027951935,1,7,3.0
1.0,1,4.950617283950617,2.040304027951935,1,7,3.0
1.0,2,5.0,2.063055585074586,1,9,7.0
1.0,3,5.106995884773663,2.0702717781779723,1,9,6.0
1.0,4,5.296296296296297,2.4399114828364445,1,9,7.0
1.0,5,6.172839506172839,2.4365847429696506,1,9,7.0
1.0,6,6.765432098765432,2.1490240237530833,1,9,8.0
1.0,7,7.065843621399177,2.1095478561205643,1,9,8.0
1.0,8,7.345679012345679,1.8440914838134796,1,9,8.0
1.0,9,7.197530864197531,2.4867570891272153,1,9,8.0
1.0,10,7.551440329218107,2.441130848132823,1,10,8.0
1.0,11,7.279835390946502,2.6527478295480824,1,10,8.0
1.0,12,7.222222222222222,2.6127468842181667,1,10,8.0
1.0,13,7.205761316872428,2.6172598867318806,1,10,8.0
1.0,14,7.037037037037037,2.5231708591716493,1,10,8.0
1.0,15,7.11522633744856,2.390385064031482,1,10,8.0
1.0,16,7.1646090534979425,2.29751540059055,1,10,8.0
1.0,17,7.20164609053498,2.2773764643073258,1,10,8.0
1.0,18,7.152263374485597,2.2410208852291387,1,10,8.0
1.0,19,7.222222222222222,2.2100446874805852,1,10,8.0
1.0,20,6.596707818930041,2.843346130166067,1,10,8.0
