param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.2,0,Aggressive,4.84,2.131972354991729,50
0.2,0,Assertive,5.0,2.014035259912054,72
0.2,0,Passive,5.0,2.014035259912054,72
0.2,0,Passive-Aggressive,4.918367346938775,2.080031396937291,49
0.2,1,Aggressive,4.84,2.131972354991729,50
0.2,1,Assertive,5.125,2.027539270386087,72
0.2,1,Passive,5.0,2.014035259912054,72
0.2,1,Passive-Aggressive,4.918367346938775,2.080031396937291,49
0.2,2,Aggressive,4.84,2.131972354991729,50
0.2,2,Assertive,5.333333333333333,2.055566129482595,72
0.2,2,Passive,5.125,2.068799066479098,72
0.2,2,Passive-Aggressive,5.0,2.111476576553321,49
0.2,3,Aggressive,4.98,2.2631926158253806,50
0.2,3,Assertive,6.222222222222222,2.1244533495534315,72
0.2,3,Passive,5.805555555555555,2.2052363348731485,72
0.2,3,Passive-Aggressive,5.714285714285714,2.23606797749979,49
0.2,4,Aggressive,5.94,2.4445691578163498,50
0.2,4,Assertive,7.347222222222222,1.72928155905426,72
0.2,4,Passive,6.694444444444445,2.0393238929929893,72
0.2,4,Passive-Aggressive,6.224489795918367,2.275460632143605,49
0.2,5,Aggressive,6.6,2.5394841192330255,50
0.2,5,Assertive,7.444444444444445,1.5187920412208322,72
0.2,5,Passive,7.430555555555555,1.6936200821865575,72
0.2,5,Passive-Aggressive,6.591836734693878,2.0908368275539297,49
0.2,6,Aggressive,7.18,2.246902629971185,50
0.2,6,Assertive,7.638888888888889,1.2481598348752978,72
0.2,6,Passive,7.708333333333333,1.053999759467594,72
0.2,6,Passive-Aggressive,7.285714285714286,1.8371173070873834,49
0.2,7,Aggressive,6.96,2.258408325185086,50
0.2,7,Assertive,7.625,1.2037207574731912,72
0.2,7,Passive,7.666666666666667,1.3321591073606576,72
0.2,7,Passive-Aggressive,6.714285714285714,1.670828137980285,49
0.2,8,Aggressive,7.14,2.0304819976688155,50
0.2,8,Assertive,7.638888888888889,1.3353857442971249,72
0.2,8,Passive,7.680555555555555,1.2762885109046824,72
0.2,8,Passive-Aggressive,7.26530612244898,1.6428571428571432,49
0.2,9,Aggressive,7.04,1.9790742012055915,50
0.2,9,Assertive,7.472222222222222,1.342398759234748,72
0.2,9,Passive,7.833333333333333,1.1258799375612027,72
0.2,9,Passive-Aggressive,7.428571428571429,1.5138251770487454,49
0.2,10,Aggressive,7.22,1.8983343934585806,50
0.2,10,Assertive,7.555555555555555,1.124489103259335,72
0.2,10,Passive,7.694444444444445,1.146198725351267,72
0.2,10,Passive-Aggressive,7.591836734693878,1.413010488091218,49
0.2,11,Aggressive,7.3,1.8871206876604152,50
0.2,11,Assertive,7.5,1.556449553075077,72
0.2,11,Passive,7.833333333333333,1.07467649898227,72
0.2,11,Passive-Aggressive,7.448979591836735,1.47282642802023,49
0.2,12,Aggressive,7.12,1.8696283598837582,50
0.2,12,Assertive,7.638888888888889,1.0387635601807137,72
0.2,12,Passive,7.736111111111111,1.0069204977995472,72
0.2,12,Passive-Aggressive,7.387755102040816,1.366509033550642,49
0.2,13,Aggressive,7.04,1.653197273313078,50
0.2,13,Assertive,7.555555555555555,0.9913554370173759,72
0.2,13,Passive,7.638888888888889,0.9085750421394745,72
0.2,13,Passive-Aggressive,7.285714285714286,1.3070322617798433,49
0.2,14,Aggressive,7.1,1.7172593257387585,50
0.2,14,Assertive,7.486111111111111,1.3107685688181423,72
0.2,14,Passive,7.486111111111111,0.9493223017241614,72
0.2,14,Passive-Aggressive,7.122448979591836,1.3328017647863788,49
0.2,15,Aggressive,6.92,1.92555319377077,50
0.2,15,Assertive,7.402777777777778,1.1089866230949061,72
0.2,15,Passive,7.458333333333333,0.9920458303815731,72
0.2,15,Passive-Aggressive,7.204081632653061,1.3067069270487854,49
0.2,16,Aggressive,7.0,1.8952141659173718,50
0.2,16,Assertive,7.472222222222222,1.1255323901111685,72
0.2,16,Passive,7.222222222222222,1.2128678878187986,72
0.2,16,Passive-Aggressive,7.0,1.3070322617798433,49
0.2,17,Aggressive,6.68,1.87834056158784,50
0.2,17,Assertive,7.166666666666667,1.2782029638916534,72
0.2,17,Passive,7.152777777777778,1.3179125857675724,72
0.2,17,Passive-Aggressive,7.040816326530612,1.743549823318668,49
0.2,18,Aggressive,6.92,1.8608753700495748,50
0.2,18,Assertive,7.236111111111111,1.4388283139617113,72
0.2,18,Passive,7.027777777777778,1.2556601117017832,72
0.2,18,Passive-Aggressive,6.877551020408164,1.7033380592876117,49
0.2,19,Aggressive,6.9,1.6690459207925608,50
0.2,19,Assertive,7.125,1.1978560660319655,72
0.2,19,Passive,7.111111111111111,1.2732962165521708,72
0.2,19,Passive-Aggressive,6.816326530612245,1.5635625638766304,49
0.2,20,Aggressive,6.76,1.813329331728278,50
0.2,20,Assertive,7.027777777777778,1.352850118409094,72
0.2,20,Passive,6.902777777777778,1.737407184447457,72
0.2,20,Passive-Aggressive,6.795918367346939,1.7318053181186237,49
0.5,0,Aggressive,4.918367346938775,2.080031396937291,49
0.5,0,Assertive,4.945205479452055,2.0540637970111297,73
0.5,0,Passive,4.945205479452055,2.0540637970111297,73
0.5,0,Passive-Aggressive,5.0,2.0211646105596452,48
0.5,1,Aggressive,4.918367346938775,2.080031396937291,49
0.5,1,Assertive,4.945205479452055,2.0540637970111297,73
0.5,1,Passive,4.945205479452055,2.0540637970111297,73
0.5,1,Passive-Aggressive,5.0,2.0211646105596452,48
0.5,2,Aggressive,5.040816326530612,2.1307195935633008,49
0.5,2,Assertive,5.410958904109589,2.178401659463731,73
0.5,2,Passive,4.931506849315069,2.0570256785741754,73
0.5,2,Passive-Aggressive,5.166666666666667,2.1171371007910893,48
0.5,3,Aggressive,5.510204081632653,2.171044765579388,49
0.5,3,Assertive,6.082191780821918,2.3199223206436024,73
0.5,3,Passive,5.616438356164384,2.28296917404057,73
0.5,3,Passive-Aggressive,5.75,2.2169559348397696,48
0.5,4,Aggressive,5.836734693877551,2.2392980557114153,49
0.5,4,Assertive,6.876712328767123,2.0203492924041906,73
0.5,4,Passive,6.178082191780822,2.2872986599518117,73
0.5,4,Passive-Aggressive,6.208333333333333,2.1827011699183934,48
0.5,5,Aggressive,6.204081632653061,2.272843225242474,49
0.5,5,Assertive,6.958904109589041,2.0168619476001126,73
0.5,5,Passive,6.671232876712328,2.1412275459064487,73
0.5,5,Passive-Aggressive,6.75,2.1976776911190945,48
0.5,6,Aggressive,6.448979591836735,2.2827361550870258,49
0.5,6,Assertive,7.3561643835616435,1.8361331879016431,73
0.5,6,Passive,7.260273972602739,1.8411001938776987,73
0.5,6,Passive-Aggressive,7.3125,1.4897700807899927,48
0.5,7,Aggressive,6.877551020408164,2.2326428011553974,49
0.5,7,Assertive,7.616438356164384,1.6213003781798574,73
0.5,7,Passive,7.3561643835616435,1.7430007889787416,73
0.5,7,Passive-Aggressive,7.708333333333333,1.0097046826172942,48
0.5,8,Aggressive,7.040816326530612,2.2263496250726713,49
0.5,8,Assertive,7.671232876712328,1.616364185796732,73
0.5,8,Passive,7.506849315068493,1.6083401353157794,73
0.5,8,Passive-Aggressive,7.8125,1.0448709581325994,48
0.5,9,Aggressive,6.918367346938775,2.049763550325963,49
0.5,9,Assertive,7.3561643835616435,1.5126307382770314,73
0.5,9,Passive,7.6438356164383565,1.2513311025297402,73
0.5,9,Passive-Aggressive,7.708333333333333,1.0305613701224456,48
0.5,10,Aggressive,7.408163265306122,1.8920708160079829,49
0.5,10,Assertive,7.808219178082192,1.38099736751072,73
0.5,10,Passive,7.821917808219178,1.5215349135496974,73
0.5,10,Passive-Aggressive,7.479166666666667,1.6501396889075184,48
0.5,11,Aggressive,7.653061224489796,1.6900569567345365,49
0.5,11,Assertive,7.671232876712328,1.7799406553820518,73
0.5,11,Passive,7.657534246575342,1.617776063357347,73
0.5,11,Passive-Aggressive,7.375,1.9199401586419194,48
0.5,12,Aggressive,7.224489795918367,2.502209907615408,49
0.5,12,Assertive,7.794520547945205,1.571967133788365,73
0.5,12,Passive,7.191780821917808,1.8383079043766744,73
0.5,12,Passive-Aggressive,7.9375,1.0190995190790908,48
0.5,13,Aggressive,7.428571428571429,1.6832508230603465,49
0.5,13,Assertive,7.5479452054794525,1.6333426521027616,73
0.5,13,Passive,7.684931506849315,1.3831999165458406,73
0.5,13,Passive-Aggressive,7.5625,1.1090776309570771,48
0.5,14,Aggressive,7.938775510204081,1.4777257761126568,49
0.5,14,Assertive,7.986301369863014,1.0864461775917171,73
0.5,14,Passive,7.739726027397261,1.5901379854545294,73
0.5,14,Passive-Aggressive,7.958333333333333,1.0097046826172942,48
