param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
p,0.2,0,Aggressive,4.84,2.131972354991729,3.0,0.0,0.0
p,0.2,0,Assertive,5.0,2.014035259912054,5.0,0.0,0.0
p,0.2,0,Passive,5.0,2.014035259912054,5.0,0.0,0.0
p,0.2,0,Passive-Aggressive,4.918367346938775,2.080031396937291,3.0,0.0,0.0
p,0.2,1,Aggressive,4.84,2.131972354991729,3.0,0.0,0.0
p,0.2,1,Assertive,5.125,2.027539270386087,7.0,0.125,0.7494129157613039
p,0.2,1,Passive,5.0,2.014035259912054,5.0,0.0,0.0
p,0.2,1,Passive-Aggressive,4.918367346938775,2.080031396937291,3.0,0.0,0.0
p,0.2,2,Aggressive,4.84,2.131972354991729,3.0,0.0,0.0
p,0.2,2,Assertive,5.333333333333333,2.055566129482595,7.0,0.20833333333333334,1.0061431029739119
p,0.2,2,Passive,5.125,2.068799066479098,7.0,0.125,0.8547711991035387
p,0.2,2,Passive-Aggressive,5.0,2.111476576553321,5.0,0.08163265306122448,0.34379831138556316
p,0.2,3,Aggressive,4.98,2.2631926158253806,4.5,0.14,0.9691148917798076
p,0.2,3,Assertive,6.222222222222222,2.1244533495534315,7.0,0.8888888888888888,1.6913662745852485
p,0.2,3,Passive,5.805555555555555,2.2052363348731485,7.0,0.6805555555555556,1.6852833496777617
p,0.2,3,Passive-Aggressive,5.714285714285714,2.23606797749979,7.0,0.7142857142857143,1.4860462083439172
p,0.2,4,Aggressive,5.94,2.4445691578163498,7.0,0.96,1.9162037299551107
p,0.2,4,Assertive,7.347222222222222,1.72928155905426,7.5,1.125,2.2947429203338956
p,0.2,4,Passive,6.694444444444445,2.0393238929929893,7.0,0.8888888888888888,1.939620665364392
p,0.2,4,Passive-Aggressive,6.224489795918367,2.275460632143605,7.0,0.5102040816326531,1.3862787264771081
p,0.2,5,Aggressive,6.6,2.5394841192330255,8.0,0.66,2.2552433236747627
p,0.2,5,Assertive,7.444444444444445,1.5187920412208322,8.0,0.09722222222222222,1.972770427898127
p,0.2,5,Passive,7.430555555555555,1.6936200821865575,8.0,0.7361111111111112,1.815372972624072
p,0.2,5,Passive-Aggressive,6.591836734693878,2.0908368275539297,7.0,0.3673469387755102,2.2332140286947832
p,0.2,6,Aggressive,7.18,2.246902629971185,8.0,0.58,1.8080319664864155
p,0.2,6,Assertive,7.638888888888889,1.2481598348752978,8.0,0.19444444444444445,1.7003635807465607
p,0.2,6,Passive,7.708333333333333,1.053999759467594,8.0,0.2777777777777778,1.7540474098834773
p,0.2,6,Passive-Aggressive,7.285714285714286,1.8371173070873834,8.0,0.6938775510204082,1.9279099394665402
p,0.2,7,Aggressive,6.96,2.258408325185086,8.0,-0.22,1.1301074538037774
p,0.2,7,Assertive,7.625,1.2037207574731912,8.0,-0.013888888888888888,1.5057921555279312
p,0.2,7,Passive,7.666666666666667,1.3321591073606576,8.0,-0.041666666666666664,1.41856404284825
p,0.2,7,Passive-Aggressive,6.714285714285714,1.670828137980285,7.0,-0.5714285714285714,1.6072751268321592
p,0.2,8,Aggressive,7.14,2.0304819976688155,8.0,0.18,1.4940699106665603
p,0.2,8,Assertive,7.638888888888889,1.3353857442971249,8.0,0.013888888888888888,1.4091557312108487
p,0.2,8,Passive,7.680555555555555,1.2762885109046824,8.0,0.013888888888888888,1.4774650498052166
p,0.2,8,Passive-Aggressive,7.26530612244898,1.6428571428571432,8.0,0.5510204081632653,1.9155202131731293
p,0.2,9,Aggressive,7.04,1.9790742012055915,8.0,-0.1,1.5286381827880497
p,0.2,9,Assertive,7.472222222222222,1.342398759234748,8.0,-0.16666666666666666,1.1383209775310845
p,0.2,9,Passive,7.833333333333333,1.1258799375612027,8.0,0.1527777777777778,1.3495927630133806
p,0.2,9,Passive-Aggressive,7.428571428571429,1.5138251770487454,8.0,0.16326530612244897,1.3125506145083543
p,0.2,10,Aggressive,7.22,1.8983343934585806,8.0,0.18,1.5211435011268362
p,0.2,10,Assertive,7.555555555555555,1.124489103259335,8.0,0.08333333333333333,1.2189813341301605
p,0.2,10,Passive,7.694444444444445,1.146198725351267,8.0,-0.1388888888888889,1.2481598348752982
p,0.2,10,Passive-Aggressive,7.591836734693878,1.413010488091218,8.0,0.16326530612244897,1.359334070656017
p,0.2,11,Aggressive,7.3,1.8871206876604152,8.0,0.08,1.2094863136295273
p,0.2,11,Assertive,7.5,1.556449553075077,8.0,-0.05555555555555555,1.2659004354067769
