param_value,timestep,ranking,count,total,proportion
0.2,0,1,19,120,0.15833333333333333
0.2,0,2,10,120,0.08333333333333333
0.2,0,3,14,120,0.11666666666666667
0.2,0,4,14,120,0.11666666666666667
0.2,0,5,8,120,0.06666666666666667
0.2,0,6,8,120,0.06666666666666667
0.2,0,7,11,120,0.09166666666666666
0.2,0,8,17,120,0.14166666666666666
0.2,0,9,11,120,0.09166666666666666
0.2,0,10,8,120,0.06666666666666667
0.2,1,1,14,120,0.11666666666666667
0.2,1,2,9,120,0.075
0.2,1,3,13,120,0.10833333333333334
0.2,1,4,11,120,0.09166666666666666
0.2,1,5,7,120,0.058333333333333334
0.2,1,6,2,120,0.016666666666666666
0.2,1,7,5,120,0.041666666666666664
0.2,1,8,32,120,0.26666666666666666
0.2,1,9,25,120,0.20833333333333334
0.2,1,10,2,120,0.016666666666666666
0.2,2,1,13,120,0.10833333333333334
0.2,2,2,8,120,0.06666666666666667
0.2,2,3,13,120,0.10833333333333334
0.2,2,4,11,120,0.09166666666666666
0.2,2,5,8,120,0.06666666666666667
0.2,2,6,4,120,0.03333333333333333
0.2,2,7,14,120,0.11666666666666667
0.2,2,8,19,120,0.15833333333333333
0.2,2,9,28,120,0.23333333333333334
0.2,2,10,2,120,0.016666666666666666
0.2,3,1,8,120,0.06666666666666667
0.2,3,2,6,120,0.05
0.2,3,3,8,120,0.06666666666666667
0.2,3,4,8,120,0.06666666666666667
0.2,3,5,3,120,0.025
0.2,3,6,6,120,0.05
0.2,3,7,14,120,0.11666666666666667
0.2,3,8,33,120,0.275
0.2,3,9,32,120,0.26666666666666666
0.2,3,10,2,120,0.016666666666666666
0.2,4,1,5,120,0.041666666666666664
0.2,4,2,4,120,0.03333333333333333
0.2,4,3,5,120,0.041666666666666664
0.2,4,4,7,120,0.058333333333333334
0.2,4,5,3,120,0.025
0.2,4,6,7,120,0.058333333333333334
0.2,4,7,13,120,0.10833333333333334
0.2,4,8,48,120,0.4
0.2,4,9,27,120,0.225
0.2,4,10,1,120,0.008333333333333333
0.2,5,1,4,120,0.03333333333333333
0.2,5,2,4,120,0.03333333333333333
0.2,5,3,3,120,0.025
0.2,5,4,7,120,0.058333333333333334
0.2,5,5,4,120,0.03333333333333333
0.2,5,6,8,120,0.06666666666666667
0.2,5,7,13,120,0.10833333333333334
0.2,5,8,46,120,0.38333333333333336
0.2,5,9,30,120,0.25
0.2,5,10,1,120,0.008333333333333333
0.2,6,1,2,120,0.016666666666666666
0.2,6,2,3,120,0.025
0.2,6,3,2,120,0.016666666666666666
0.2,6,4,6,120,0.05
0.2,6,5,4,120,0.03333333333333333
0.2,6,6,10,120,0.08333333333333333
0.2,6,7,12,120,0.1
0.2,6,8,47,120,0.39166666666666666
0.2,6,9,33,120,0.275
0.2,6,10,1,120,0.008333333333333333
0.2,7,1,2,120,0.016666666666666666
0.2,7,2,3,120,0.025
0.2,7,4,6,120,0.05
0.2,7,5,4,120,0.03333333333333333
0.2,7,6,8,120,0.06666666666666667
0.2,7,7,14,120,0.11666666666666667
0.2,7,8,54,120,0.45
0.2,7,9,29,120,0.24166666666666667
0.2,8,1,2,120,0.016666666666666666
0.2,8,2,1,120,0.008333333333333333
0.2,8,4,6,120,0.05
0.2,8,5,3,120,0.025
0.2,8,6,6,120,0.05
0.2,8,7,10,120,0.08333333333333333
0.2,8,8,54,120,0.45
0.2,8,9,38,120,0.31666666666666665
0.2,9,1,1,120,0.008333333333333333
0.2,9,2,1,120,0.008333333333333333
0.2,9,4,8,120,0.06666666666666667
0.2,9,5,4,120,0.03333333333333333
0.2,9,6,7,120,0.058333333333333334
0.2,9,7,7,120,0.058333333333333334
0.2,9,8,51,120,0.425
0.2,9,9,41,120,0.3416666666666667
0.2,10,1,1,120,0.008333333333333333
0.2,10,2,2,120,0.016666666666666666
0.2,10,3,1,120,0.008333333333333333
0.2,10,4,8,120,0.06666666666666667
0.2,10,5,5,120,0.041666666666666664
0.2,10,6,7,120,0.058333333333333334
0.2,10,7,8,120,0.06666666666666667
0.2,10,8,44,120,0.36666666666666664
0.2,10,9,44,120,0.36666666666666664
0.2,11,2,3,120,0.025
0.2,11,3,1,120,0.008333333333333333
0.2,11,4,8,120,0.06666666666666667
0.2,11,5,7,120,0.058333333333333334
0.2,11,6,7,120,0.058333333333333334
0.2,11,7,12,120,0.1
0.2,11,8,43,120,0.35833333333333334
0.2,11,9,38,120,0.31666666666666665
0.2,11,10,1,120,0.008333333333333333
0.2,12,2,1,120,0.008333333333333333
0.2,12,3,1,120,0.008333333333333333
0.2,12,4,6,120,0.05
0.2,12,5,8,120,0.06666666666666667
0.2,12,6,6,120,0.05
0.2,12,7,12,120,0.1
0.2,12,8,50,120,0.4166666666666667
0.2,12,9,34,120,0.2833333333333333
0.2,12,10,2,120,0.016666666666666666
0.2,13,3,1,120,0.008333333333333333
0.2,13,4,5,120,0.041666666666666664
0.2,13,5,7,120,0.058333333333333334
0.2,13,6,6,120,0.05
0.2,13,7,11,120,0.09166666666666666
0.2,13,8,50,120,0.4166666666666667
0.2,13,9,40,120,0.3333333333333333
0.2,14,3,1,120,0.008333333333333333
0.2,14,4,4,120,0.03333333333333333
0.2,14,5,4,120,0.03333333333333333
0.2,14,6,5,120,0.041666666666666664
0.2,14,7,10,120,0.08333333333333333
0.2,14,8,49,120,0.4083333333333333
0.2,14,9,47,120,0.39166666666666666
0.2,15,3,1,120,0.008333333333333333
0.2,15,4,5,120,0.041666666666666664
0.2,15,5,2,120,0.016666666666666666
0.2,15,6,9,120,0.075
0.2,15,7,10,120,0.08333333333333333
0.2,15,8,49,120,0.4083333333333333
0.2,15,9,44,120,0.36666666666666664
0.5,0,1,10,120,0.08333333333333333
0.5,0,2,16,120,0.13333333333333333
0.5,0,3,12,120,0.1
0.5,0,4,9,120,0.075
0.5,0,5,9,120,0.075
0.5,0,6,12,120,0.1
0.5,0,7,12,120,0.1
0.5,0,8,18,120,0.15
0.5,0,9,7,120,0.058333333333333334
0.5,0,10,15,120,0.125
0.5,1,1,10,120,0.08333333333333333
0.5,1,2,12,120,0.1
0.5,1,3,8,120,0.06666666666666667
0.5,1,4,7,120,0.058333333333333334
0.5,1,5,9,120,0.075
0.5,1,6,3,120,0.025
0.5,1,7,11,120,0.09166666666666666
0.5,1,8,31,120,0.25833333333333336
0.5,1,9,25,120,0.20833333333333334
0.5,1,10,4,120,0.03333333333333333
0.5,2,1,9,120,0.075
0.5,2,2,10,120,0.08333333333333333
0.5,2,3,6,120,0.05
0.5,2,4,6,120,0.05
0.5,2,5,4,120,0.03333333333333333
0.5,2,6,4,120,0.03333333333333333
0.5,2,7,11,120,0.09166666666666666
0.5,2,8,48,120,0.4
0.5,2,9,19,120,0.15833333333333333
0.5,2,10,3,120,0.025
0.5,3,1,8,120,0.06666666666666667
0.5,3,2,8,120,0.06666666666666667
0.5,3,3,5,120,0.041666666666666664
0.5,3,4,5,120,0.041666666666666664
0.5,3,5,3,120,0.025
0.5,3,6,5,120,0.041666666666666664
0.5,3,7,9,120,0.075
0.5,3,8,45,120,0.375
0.5,3,9,29,120,0.24166666666666667
0.5,3,10,3,120,0.025
0.5,4,1,5,120,0.041666666666666664
0.5,4,2,6,120,0.05
0.5,4,3,4,120,0.03333333333333333
0.5,4,4,5,120,0.041666666666666664
0.5,4,5,3,120,0.025
0.5,4,6,3,120,0.025
0.5,4,7,12,120,0.1
0.5,4,8,55,120,0.4583333333333333
0.5,4,9,26,120,0.21666666666666667
0.5,4,10,1,120,0.008333333333333333
0.5,5,1,5,120,0.041666666666666664
0.5,5,2,4,120,0.03333333333333333
0.5,5,3,2,120,0.016666666666666666
0.5,5,4,5,120,0.041666666666666664
0.5,5,5,2,120,0.016666666666666666
0.5,5,6,3,120,0.025
0.5,5,7,13,120,0.10833333333333334
0.5,5,8,53,120,0.44166666666666665
0.5,5,9,32,120,0.26666666666666666
0.5,5,10,1,120,0.008333333333333333
0.5,6,1,5,120,0.041666666666666664
0.5,6,2,3,120,0.025
0.5,6,3,2,120,0.016666666666666666
0.5,6,4,5,120,0.041666666666666664
0.5,6,5,2,120,0.016666666666666666
0.5,6,6,1,120,0.008333333333333333
0.5,6,7,16,120,0.13333333333333333
0.5,6,8,63,120,0.525
0.5,6,9,21,120,0.175
0.5,6,10,2,120,0.016666666666666666
0.5,7,1,5,120,0.041666666666666664
0.5,7,2,3,120,0.025
0.5,7,3,2,120,0.016666666666666666
0.5,7,4,5,120,0.041666666666666664
0.5,7,5,1,120,0.008333333333333333
0.5,7,6,4,120,0.03333333333333333
0.5,7,7,14,120,0.11666666666666667
0.5,7,8,60,120,0.5
0.5,7,9,25,120,0.20833333333333334
0.5,7,10,1,120,0.008333333333333333
0.5,8,1,3,120,0.025
0.5,8,2,1,120,0.008333333333333333
0.5,8,3,2,120,0.016666666666666666
0.5,8,4,3,120,0.025
0.5,8,5,1,120,0.008333333333333333
0.5,8,6,1,120,0.008333333333333333
0.5,8,7,14,120,0.11666666666666667
0.5,8,8,58,120,0.48333333333333334
0.5,8,9,34,120,0.2833333333333333
0.5,8,10,3,120,0.025
0.5,9,1,2,120,0.016666666666666666
0.5,9,2,1,120,0.008333333333333333
0.5,9,3,2,120,0.016666666666666666
0.5,9,4,2,120,0.016666666666666666
0.5,9,5,1,120,0.008333333333333333
0.5,9,6,4,120,0.03333333333333333
0.5,9,7,9,120,0.075
0.5,9,8,55,120,0.4583333333333333
0.5,9,9,44,120,0.36666666666666664
0.5,10,1,1,120,0.008333333333333333
0.5,10,2,1,120,0.008333333333333333
0.5,10,3,2,120,0.016666666666666666
0.5,10,4,2,120,0.016666666666666666
0.5,10,5,1,120,0.008333333333333333
0.5,10,6,2,120,0.016666666666666666
0.5,10,7,8,120,0.06666666666666667
0.5,10,8,61,120,0.5083333333333333
0.5,10,9,42,120,0.35
0.5,11,1,1,120,0.008333333333333333
0.5,11,2,1,120,0.008333333333333333
0.5,11,3,2,120,0.016666666666666666
0.5,11,4,2,120,0.016666666666666666
0.5,11,5,1,120,0.008333333333333333
0.5,11,6,3,120,0.025
0.5,11,7,8,120,0.06666666666666667
0.5,11,8,75,120,0.625
0.5,11,9,27,120,0.225
0.5,12,1,1,120,0.008333333333333333
0.5,12,2,1,120,0.008333333333333333
0.5,12,3,1,120,0.008333333333333333
0.5,12,4,2,120,0.016666666666666666
0.5,12,6,4,120,0.03333333333333333
0.5,12,7,7,120,0.058333333333333334
0.5,12,8,66,120,0.55
0.5,12,9,38,120,0.31666666666666665
0.5,13,1,1,120,0.008333333333333333
0.5,13,2,1,120,0.008333333333333333
0.5,13,3,1,120,0.008333333333333333
0.5,13,6,1,120,0.008333333333333333
0.5,13,7,7,120,0.058333333333333334
0.5,13,8,52,120,0.43333333333333335
0.5,13,9,56,120,0.4666666666666667
0.5,13,10,1,120,0.008333333333333333
0.5,14,1,1,120,0.008333333333333333
0.5,14,2,1,120,0.008333333333333333
0.5,14,3,1,120,0.008333333333333333
0.5,14,6,1,120,0.008333333333333333
0.5,14,7,5,120,0.041666666666666664
0.5,14,8,64,120,0.5333333333333333
0.5,14,9,47,120,0.39166666666666666
0.5,15,1,1,120,0.008333333333333333
0.5,15,2,1,120,0.008333333333333333
0.5,15,3,1,120,0.008333333333333333
0.5,15,6,1,120,0.008333333333333333
0.5,15,7,9,120,0.075
0.5,15,8,40,120,0.3333333333333333
0.5,15,9,67,120,0.5583333333333333
0.7,0,1,21,120,0.175
0.7,0,2,9,120,0.075
0.7,0,3,10,120,0.08333333333333333
0.7,0,4,13,120,0.10833333333333334
0.7,0,5,15,120,0.125
0.7,0,6,15,120,0.125
0.7,0,7,10,120,0.08333333333333333
0.7,0,8,7,120,0.058333333333333334
0.7,0,9,12,120,0.1
0.7,0,10,8,120,0.06666666666666667
0.7,1,1,19,120,0.15833333333333333
0.7,1,2,7,120,0.058333333333333334
0.7,1,3,7,120,0.058333333333333334
0.7,1,4,13,120,0.10833333333333334
0.7,1,5,14,120,0.11666666666666667
0.7,1,6,2,120,0.016666666666666666
0.7,1,7,4,120,0.03333333333333333
0.7,1,8,31,120,0.25833333333333336
0.7,1,9,21,120,0.175
0.7,1,10,2,120,0.016666666666666666
0.7,2,1,13,120,0.10833333333333334
0.7,2,2,6,120,0.05
0.7,2,3,7,120,0.058333333333333334
0.7,2,4,9,120,0.075
0.7,2,5,10,120,0.08333333333333333
0.7,2,6,2,120,0.016666666666666666
0.7,2,7,10,120,0.08333333333333333
0.7,2,8,38,120,0.31666666666666665
0.7,2,9,23,120,0.19166666666666668
0.7,2,10,2,120,0.016666666666666666
0.7,3,1,9,120,0.075
0.7,3,2,4,120,0.03333333333333333
0.7,3,3,5,120,0.041666666666666664
0.7,3,4,5,120,0.041666666666666664
0.7,3,5,6,120,0.05
0.7,3,6,2,120,0.016666666666666666
0.7,3,7,5,120,0.041666666666666664
0.7,3,8,60,120,0.5
0.7,3,9,24,120,0.2
0.7,4,1,6,120,0.05
0.7,4,2,3,120,0.025
0.7,4,3,4,120,0.03333333333333333
0.7,4,4,4,120,0.03333333333333333
0.7,4,5,3,120,0.025
0.7,4,6,2,120,0.016666666666666666
0.7,4,7,5,120,0.041666666666666664
0.7,4,8,68,120,0.5666666666666667
0.7,4,9,25,120,0.20833333333333334
0.7,5,1,4,120,0.03333333333333333
0.7,5,2,1,120,0.008333333333333333
0.7,5,3,4,120,0.03333333333333333
0.7,5,4,2,120,0.016666666666666666
0.7,5,5,2,120,0.016666666666666666
0.7,5,7,8,120,0.06666666666666667
0.7,5,8,55,120,0.4583333333333333
0.7,5,9,44,120,0.36666666666666664
0.7,6,1,4,120,0.03333333333333333
0.7,6,3,4,120,0.03333333333333333
0.7,6,4,2,120,0.016666666666666666
0.7,6,5,1,120,0.008333333333333333
0.7,6,7,3,120,0.025
0.7,6,8,67,120,0.5583333333333333
0.7,6,9,38,120,0.31666666666666665
0.7,6,10,1,120,0.008333333333333333
0.7,7,1,4,120,0.03333333333333333
0.7,7,3,3,120,0.025
0.7,7,4,1,120,0.008333333333333333
0.7,7,5,1,120,0.008333333333333333
0.7,7,7,11,120,0.09166666666666666
0.7,7,8,60,120,0.5
0.7,7,9,40,120,0.3333333333333333
0.7,8,3,2,120,0.016666666666666666
0.7,8,4,1,120,0.008333333333333333
0.7,8,6,6,120,0.05
0.7,8,7,10,120,0.08333333333333333
0.7,8,8,52,120,0.43333333333333335
0.7,8,9,49,120,0.4083333333333333
0.7,9,6,2,120,0.016666666666666666
0.7,9,7,10,120,0.08333333333333333
0.7,9,8,42,120,0.35
0.7,9,9,65,120,0.5416666666666666
0.7,9,10,1,120,0.008333333333333333
0.7,10,6,1,120,0.008333333333333333
0.7,10,7,5,120,0.041666666666666664
0.7,10,8,46,120,0.38333333333333336
0.7,10,9,68,120,0.5666666666666667
0.7,11,4,1,120,0.008333333333333333
0.7,11,6,1,120,0.008333333333333333
0.7,11,7,2,120,0.016666666666666666
0.7,11,8,61,120,0.5083333333333333
0.7,11,9,55,120,0.4583333333333333
0.7,12,6,3,120,0.025
0.7,12,7,3,120,0.025
0.7,12,8,44,120,0.36666666666666664
0.7,12,9,69,120,0.575
0.7,12,10,1,120,0.008333333333333333
0.7,13,7,1,120,0.008333333333333333
0.7,13,8,70,120,0.5833333333333334
0.7,13,9,48,120,0.4
0.7,13,10,1,120,0.008333333333333333
0.7,14,7,5,120,0.041666666666666664
0.7,14,8,38,120,0.31666666666666665
0.7,14,9,77,120,0.6416666666666667
0.7,15,6,3,120,0.025
0.7,15,7,1,120,0.008333333333333333
0.7,15,8,77,120,0.6416666666666667
0.7,15,9,37,120,0.30833333333333335
0.7,15,10,2,120,0.016666666666666666
1.0,0,1,10,120,0.08333333333333333
1.0,0,2,13,120,0.10833333333333334
1.0,0,3,17,120,0.14166666666666666
1.0,0,4,16,120,0.13333333333333333
1.0,0,5,11,120,0.09166666666666666
1.0,0,6,11,120,0.09166666666666666
1.0,0,7,12,120,0.1
1.0,0,8,8,120,0.06666666666666667
1.0,0,9,8,120,0.06666666666666667
1.0,0,10,14,120,0.11666666666666667
1.0,1,1,7,120,0.058333333333333334
1.0,1,2,10,120,0.08333333333333333
1.0,1,3,12,120,0.1
1.0,1,4,14,120,0.11666666666666667
1.0,1,5,9,120,0.075
1.0,1,6,4,120,0.03333333333333333
1.0,1,7,11,120,0.09166666666666666
1.0,1,8,32,120,0.26666666666666666
1.0,1,9,18,120,0.15
1.0,1,10,3,120,0.025
1.0,2,1,3,120,0.025
1.0,2,2,3,120,0.025
1.0,2,3,5,120,0.041666666666666664
1.0,2,4,2,120,0.016666666666666666
1.0,2,5,1,120,0.008333333333333333
1.0,2,6,6,120,0.05
1.0,2,7,14,120,0.11666666666666667
1.0,2,8,70,120,0.5833333333333334
1.0,2,9,13,120,0.10833333333333334
1.0,2,10,3,120,0.025
1.0,3,1,2,120,0.016666666666666666
1.0,3,2,1,120,0.008333333333333333
1.0,3,3,3,120,0.025
1.0,3,4,1,120,0.008333333333333333
1.0,3,5,1,120,0.008333333333333333
1.0,3,6,4,120,0.03333333333333333
1.0,3,7,17,120,0.14166666666666666
1.0,3,8,41,120,0.3416666666666667
1.0,3,9,47,120,0.39166666666666666
1.0,3,10,3,120,0.025
1.0,4,3,2,120,0.016666666666666666
1.0,4,4,1,120,0.008333333333333333
1.0,4,5,1,120,0.008333333333333333
1.0,4,6,1,120,0.008333333333333333
1.0,4,7,14,120,0.11666666666666667
1.0,4,8,72,120,0.6
1.0,4,9,28,120,0.23333333333333334
1.0,4,10,1,120,0.008333333333333333
1.0,5,3,1,120,0.008333333333333333
1.0,5,4,1,120,0.008333333333333333
1.0,5,5,1,120,0.008333333333333333
1.0,5,6,3,120,0.025
1.0,5,7,20,120,0.16666666666666666
1.0,5,8,13,120,0.10833333333333334
1.0,5,9,81,120,0.675
1.0,6,3,1,120,0.008333333333333333
1.0,6,4,1,120,0.008333333333333333
1.0,6,5,1,120,0.008333333333333333
1.0,6,6,1,120,0.008333333333333333
1.0,6,7,3,120,0.025
1.0,6,8,33,120,0.275
1.0,6,9,79,120,0.6583333333333333
1.0,6,10,1,120,0.008333333333333333
1.0,7,3,1,120,0.008333333333333333
1.0,7,4,1,120,0.008333333333333333
1.0,7,5,1,120,0.008333333333333333
1.0,7,6,1,120,0.008333333333333333
1.0,7,7,9,120,0.075
1.0,7,8,52,120,0.43333333333333335
1.0,7,9,55,120,0.4583333333333333
1.0,8,3,1,120,0.008333333333333333
1.0,8,4,1,120,0.008333333333333333
1.0,8,5,1,120,0.008333333333333333
1.0,8,6,9,120,0.075
1.0,8,7,7,120,0.058333333333333334
1.0,8,8,64,120,0.5333333333333333
1.0,8,9,37,120,0.30833333333333335
1.0,9,3,1,120,0.008333333333333333
1.0,9,4,1,120,0.008333333333333333
1.0,9,5,1,120,0.008333333333333333
1.0,9,6,12,120,0.1
1.0,9,7,20,120,0.16666666666666666
1.0,9,8,39,120,0.325
1.0,9,9,46,120,0.38333333333333336
1.0,10,3,1,120,0.008333333333333333
1.0,10,4,1,120,0.008333333333333333
1.0,10,5,1,120,0.008333333333333333
1.0,10,6,7,120,0.058333333333333334
1.0,10,7,7,120,0.058333333333333334
1.0,10,8,34,120,0.2833333333333333
1.0,10,9,69,120,0.575
1.0,11,3,1,120,0.008333333333333333
1.0,11,4,1,120,0.008333333333333333
1.0,11,5,1,120,0.008333333333333333
1.0,11,6,6,120,0.05
1.0,11,7,6,120,0.05
1.0,11,8,45,120,0.375
1.0,11,9,58,120,0.48333333333333334
1.0,11,10,2,120,0.016666666666666666
1.0,12,3,1,120,0.008333333333333333
1.0,12,4,1,120,0.008333333333333333
1.0,12,5,1,120,0.008333333333333333
1.0,12,6,6,120,0.05
1.0,12,7,4,120,0.03333333333333333
1.0,12,8,29,120,0.24166666666666667
1.0,12,9,78,120,0.65
1.0,13,3,1,120,0.008333333333333333
1.0,13,4,1,120,0.008333333333333333
1.0,13,5,1,120,0.008333333333333333
1.0,13,6,6,120,0.05
1.0,13,7,6,120,0.05
1.0,13,8,50,120,0.4166666666666667
1.0,13,9,54,120,0.45
1.0,13,10,1,120,0.008333333333333333
1.0,14,3,1,120,0.008333333333333333
1.0,14,4,1,120,0.008333333333333333
1.0,14,5,1,120,0.008333333333333333
1.0,14,6,6,120,0.05
1.0,14,7,6,120,0.05
1.0,14,8,58,120,0.48333333333333334
1.0,14,9,47,120,0.39166666666666666
1.0,15,3,1,120,0.008333333333333333
1.0,15,4,1,120,0.008333333333333333
1.0,15,5,1,120,0.008333333333333333
1.0,15,6,5,120,0.041666666666666664
1.0,15,7,8,120,0.06666666666666667
1.0,15,8,63,120,0.525
1.0,15,9,41,120,0.3416666666666667
