param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
0.2,0,5.141666666666667,2.9599450180373155,1,10,5.0
0.2,1,5.816666666666666,2.9675650922988717,1,10,7.0
0.2,2,5.816666666666666,2.887187964393156,1,10,7.0
0.2,3,6.641666666666667,2.6243713399540076,1,10,8.0
0.2,4,7.008333333333334,2.258488500772862,1,10,8.0
0.2,5,7.133333333333334,2.153493676332857,1,10,8.0
0.2,6,7.375,1.9011827366982181,1,10,8.0
0.2,7,7.425,1.7712100027804663,1,9,8.0
0.2,8,7.691666666666666,1.633657716602228,1,9,8.0
0.2,9,7.691666666666666,1.623337330820632,1,9,8.0
0.2,10,7.591666666666667,1.7846018944203283,1,9,8.0
0.2,11,7.483333333333333,1.7727315168440836,2,10,8.0
0.2,12,7.625,1.5614176923821614,2,10,8.0
0.2,13,7.758333333333334,1.4082340889567044,3,9,8.0
0.2,14,7.95,1.3019055200717442,3,9,8.0
0.2,15,7.875,1.331975849580444,3,9,8.0
0.5,0,5.6,2.937443008565686,1,10,6.0
0.5,1,6.158333333333333,2.857970818409375,1,10,7.5
0.5,2,6.475,2.691294712009585,1,10,8.0
0.5,3,6.816666666666666,2.6153500764541944,1,10,8.0
0.5,4,7.083333333333333,2.2847074112853214,1,10,8.0
0.5,5,7.333333333333333,2.139399638292231,1,10,8.0
0.5,6,7.316666666666666,2.0373954923276094,1,10,8.0
0.5,7,7.325,2.04225324564015,1,10,8.0
0.5,8,7.766666666666667,1.7087679641139322,1,10,8.0
0.5,9,7.883333333333334,1.5674382747330242,1,9,8.0
0.5,10,7.966666666666667,1.401879490699032,1,9,8.0
0.5,11,7.825,1.3575961206819782,1,9,8.0
0.5,12,7.975,1.305853016552911,1,9,8.0
0.5,13,8.258333333333333,1.2056995830611528,1,10,8.0
0.5,14,8.183333333333334,1.1666466584918966,1,9,8.0
0.5,15,8.316666666666666,1.2229138184201345,1,9,9.0
0.7,0,5.0,2.869720215917757,1,10,5.0
0.7,1,5.608333333333333,2.9656176346896226,1,10,5.5
0.7,2,6.208333333333333,2.7892224552304716,1,10,8.0
0.7,3,6.875,2.4752981316068037,1,9,8.0
0.7,4,7.258333333333334,2.178951383499104,1,9,8.0
0.7,5,7.733333333333333,1.890859629918631,1,9,8.0
0.7,6,7.816666666666666,1.7821869924871736,1,10,8.0
0.7,7,7.825,1.6985535121430375,1,9,8.0
0.7,8,8.108333333333333,1.1136723514762208,3,9,8.0
0.7,9,8.441666666666666,0.7310155631047817,6,10,9.0
0.7,10,8.508333333333333,0.6216788510457264,6,9,9.0
0.7,11,8.391666666666667,0.7016886394824359,4,9,8.0
0.7,12,8.516666666666667,0.6857901451969842,6,10,9.0
0.7,13,8.408333333333333,0.5265366999161064,7,10,8.0
0.7,14,8.6,0.5710082487741028,7,9,9.0
0.7,15,8.283333333333333,0.6375284911522083,6,10,8.0
1.0,0,5.266666666666667,2.842455245158363,1,10,5.0
1.0,1,5.941666666666666,2.6829553294305684,1,10,7.0
1.0,2,7.316666666666666,1.896406745246749,1,10,8.0
1.0,3,7.883333333333334,1.6509907050384167,1,10,8.0
1.0,4,7.975,1.024592560956006,3,10,8.0
1.0,5,8.358333333333333,1.113672351476222,3,9,9.0
1.0,6,8.533333333333333,0.9432050966474552,3,10,9.0
1.0,7,8.266666666666667,0.9591078954852125,3,9,8.0
1.0,8,8.0,1.0451970985368821,3,9,8.0
1.0,9,7.916666666666667,1.1709604858336404,3,9,8.0
1.0,10,8.3,1.0969782789726579,3,9,9.0
1.0,11,8.266666666666667,1.0747939676185068,3,10,8.5
1.0,12,8.416666666666666,1.0657646746522866,3,9,9.0
1.0,13,8.216666666666667,1.0546681610686786,3,10,8.0
1.0,14,8.141666666666667,1.023224704313871,3,9,8.0
1.0,15,8.091666666666667,0.9957542923052137,3,9,8.0
