param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.2,0,Aggressive,5.583333333333333,2.8271458439897303,24
0.2,0,Assertive,5.388888888888889,3.1193202352690133,36
0.2,0,Passive,5.25,2.872281323269014,36
0.2,0,Passive-Aggressive,4.166666666666667,2.943920288775949,24
0.2,1,Aggressive,5.583333333333333,2.8271458439897303,24
0.2,1,Assertive,7.333333333333333,2.3421601750764793,36
0.2,1,Passive,5.361111111111111,2.8899112964911744,36
0.2,1,Passive-Aggressive,4.458333333333333,3.2568211584259603,24
0.2,2,Aggressive,5.583333333333333,2.8271458439897303,24
0.2,2,Assertive,7.416666666666667,2.247220505424423,36
0.2,2,Passive,5.111111111111111,2.6915505650915135,36
0.2,2,Passive-Aggressive,4.708333333333333,3.209756413169706,24
0.2,3,Aggressive,5.875,2.6915730005688685,24
0.2,3,Assertive,7.888888888888889,1.83268386764607,36
0.2,3,Passive,6.666666666666667,2.5856748221140036,36
0.2,3,Passive-Aggressive,5.5,2.9488391230979425,24
0.2,4,Aggressive,5.958333333333333,2.422344654087937,24
0.2,4,Assertive,8.0,1.3732131246511905,36
0.2,4,Passive,7.277777777777778,2.237487252779154,36
0.2,4,Passive-Aggressive,6.166666666666667,2.548088229082424,24
0.2,5,Aggressive,6.041666666666667,2.5104852582487034,24
0.2,5,Assertive,8.083333333333334,0.7699721701835351,36
0.2,5,Passive,7.388888888888889,2.1417986803856213,36
0.2,5,Passive-Aggressive,6.416666666666667,2.552350437072305,24
0.2,6,Aggressive,6.666666666666667,1.9486152645597752,24
0.2,6,Assertive,8.055555555555555,0.8600479868487223,36
0.2,6,Passive,7.5,2.1843599912625598,36
0.2,6,Passive-Aggressive,6.875,2.232419237547892,24
0.2,7,Aggressive,6.75,1.9615876444748834,24
0.2,7,Assertive,8.027777777777779,0.7740842003337551,36
0.2,7,Passive,7.583333333333333,2.1027193277821397,36
0.2,7,Passive-Aggressive,6.958333333333333,1.8528278426482996,24
0.2,8,Aggressive,6.875,1.9406968716999795,24
0.2,8,Assertive,8.333333333333334,0.7171371656006361,36
0.2,8,Passive,7.75,1.8263937926181983,36
0.2,8,Passive-Aggressive,7.458333333333333,1.6675722177612804,24
0.2,9,Aggressive,6.75,2.0483291175768223,24
0.2,9,Assertive,8.25,0.9063269671749659,36
0.2,9,Passive,8.027777777777779,1.5210167860651849,36
0.2,9,Passive-Aggressive,7.291666666666667,1.7062332443303203,24
0.2,10,Aggressive,6.583333333333333,2.2050666295102537,24
0.2,10,Assertive,7.972222222222222,1.5396866306605772,36
0.2,10,Passive,7.972222222222222,1.5581327856693659,36
0.2,10,Passive-Aggressive,7.458333333333333,1.6675722177612804,24
0.2,11,Aggressive,6.541666666666667,2.166527308784762,24
0.2,11,Assertive,7.833333333333333,1.828348200660132,36
0.2,11,Passive,7.888888888888889,1.3475433261580183,36
0.2,11,Passive-Aggressive,7.291666666666667,1.5174110293140939,24
0.2,12,Aggressive,6.916666666666667,2.0834057958412537,24
0.2,12,Assertive,8.13888888888889,1.268357267779926,36
0.2,12,Passive,7.805555555555555,1.2146591395930078,36
0.2,12,Passive-Aggressive,7.291666666666667,1.5736738147920994,24
0.2,13,Aggressive,7.375,1.7147062113681013,24
0.2,13,Assertive,8.055555555555555,1.0939951539314043,36
0.2,13,Passive,8.0,1.287300608693578,36
0.2,13,Passive-Aggressive,7.333333333333333,1.5510632164580769,24
0.2,14,Aggressive,7.416666666666667,1.7424786610050553,24
0.2,14,Assertive,8.38888888888889,0.8710511803161505,36
0.2,14,Passive,8.194444444444445,1.0642084770098776,36
0.2,14,Passive-Aggressive,7.458333333333333,1.3824731042801417,24
0.2,15,Aggressive,7.666666666666667,1.7362294645648626,24
0.2,15,Assertive,8.333333333333334,0.8280786712108252,36
0.2,15,Passive,7.888888888888889,1.2823589374447564,36
0.2,15,Passive-Aggressive,7.375,1.4084373085707131,24
0.5,0,Aggressive,6.041666666666667,2.835783254528926,24
0.5,0,Assertive,5.138888888888889,2.967950498025558,36
0.5,0,Passive,5.888888888888889,2.8261814498191,36
0.5,0,Passive-Aggressive,5.416666666666667,3.215677177538959,24
0.5,1,Aggressive,6.041666666666667,2.835783254528926,24
0.5,1,Assertive,6.833333333333333,2.6992062325273123,36
0.5,1,Passive,6.055555555555555,2.7973910748046693,36
0.5,1,Passive-Aggressive,5.416666666666667,3.1473476295841984,24
0.5,2,Aggressive,6.041666666666667,2.835783254528926,24
0.5,2,Assertive,6.805555555555555,2.670681501515986,36
0.5,2,Passive,6.5,2.5014281634983755,36
0.5,2,Passive-Aggressive,6.375,2.9460732893271606,24
0.5,3,Aggressive,6.541666666666667,2.7659288347389888,24
0.5,3,Assertive,7.166666666666667,2.569046515733026,36
0.5,3,Passive,6.916666666666667,2.346730248056401,36
0.5,3,Passive-Aggressive,6.416666666666667,2.9769647026089694,24
0.5,4,Aggressive,6.875,2.5420378678806355,24
0.5,4,Assertive,7.5,1.9493588689617924,36
0.5,4,Passive,6.833333333333333,2.2990681342044397,36
0.5,4,Passive-Aggressive,7.041666666666667,2.510485258248703,24
0.5,5,Aggressive,7.25,2.400181152583569,24
0.5,5,Assertive,7.638888888888889,1.7263136245070678,36
0.5,5,Passive,7.055555555555555,2.203172315995336,36
0.5,5,Passive-Aggressive,7.375,2.392242898820377,24
0.5,6,Aggressive,7.25,2.345207879911715,24
0.5,6,Assertive,7.555555555555555,1.731134136000269,36
0.5,6,Passive,7.111111111111111,1.9239509613260162,36
0.5,6,Passive-Aggressive,7.333333333333333,2.371326296779315,24
0.5,7,Aggressive,7.25,2.345207879911715,24
0.5,7,Assertive,7.75,1.6966353257466462,36
0.5,7,Passive,6.972222222222222,1.9344413901856763,36
0.5,7,Passive-Aggressive,7.291666666666667,2.3494526035295724,24
0.5,8,Aggressive,7.25,2.345207879911715,24
0.5,8,Assertive,8.527777777777779,0.7362496126066839,36
0.5,8,Passive,7.611111111111111,1.59064726767399,36
0.5,8,Passive-Aggressive,7.375,1.8838558977475588,24
0.5,9,Aggressive,7.25,2.3265948246871155,24
0.5,9,Assertive,8.444444444444445,0.7725447539304094,36
0.5,9,Passive,7.805555555555555,1.6872538033222495,36
0.5,9,Passive-Aggressive,7.791666666666667,1.062366786192884,24
0.5,10,Aggressive,7.333333333333333,2.371326296779315,24
0.5,10,Assertive,8.555555555555555,0.5577733510227167,36
0.5,10,Passive,7.916666666666667,1.1307393283031368,36
0.5,10,Passive-Aggressive,7.791666666666667,1.062366786192884,24
0.5,11,Aggressive,7.333333333333333,2.352919863501086,24
0.5,11,Assertive,8.25,0.6035608621222173,36
0.5,11,Passive,7.833333333333333,1.1588171308956141,36
0.5,11,Passive-Aggressive,7.666666666666667,0.9168313422570846,24
0.5,12,Aggressive,7.333333333333333,2.3529198635010866,24
0.5,12,Assertive,8.277777777777779,0.6594851286576787,36
0.5,12,Passive,8.083333333333334,0.7699721701835351,36
0.5,12,Passive-Aggressive,8.0,1.06321906614239,24
0.5,13,Aggressive,7.666666666666667,2.315668119696713,24
0.5,13,Assertive,8.694444444444445,0.5766625378327279,36
0.5,13,Passive,8.277777777777779,0.5662463427121808,36
0.5,13,Passive-Aggressive,8.166666666666666,0.701964118163034,24
0.5,14,Aggressive,7.666666666666667,2.315668119696713,24
0.5,14,Assertive,8.555555555555555,0.557773351022717,36
0.5,14,Passive,8.166666666666666,0.5606119105813878,36
0.5,14,Passive-Aggressive,8.166666666666666,0.48154341234307685,24
0.5,15,Aggressive,7.875,2.3831382305873396,24
0.5,15,Assertive,8.722222222222221,0.454256762579498,36
0.5,15,Passive,8.277777777777779,0.7014723744122012,36
