param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
p,0.2,0,Aggressive,5.583333333333333,2.8271458439897303,5.5,0.0,0.0
p,0.2,0,Assertive,5.388888888888889,3.1193202352690133,6.0,0.0,0.0
p,0.2,0,Passive,5.25,2.872281323269014,4.5,0.0,0.0
p,0.2,0,Passive-Aggressive,4.166666666666667,2.943920288775949,4.0,0.0,0.0
p,0.2,1,Aggressive,5.583333333333333,2.8271458439897303,5.5,0.0,0.0
p,0.2,1,Assertive,7.333333333333333,2.3421601750764793,8.0,1.9444444444444444,2.607072188648676
p,0.2,1,Passive,5.361111111111111,2.8899112964911744,4.5,0.1111111111111111,0.820375446375544
p,0.2,1,Passive-Aggressive,4.458333333333333,3.2568211584259603,4.0,0.2916666666666667,0.6240935455708451
p,0.2,2,Aggressive,5.583333333333333,2.8271458439897303,5.5,0.0,0.0
p,0.2,2,Assertive,7.416666666666667,2.247220505424423,8.0,0.08333333333333333,1.61023512036508
p,0.2,2,Passive,5.111111111111111,2.6915505650915135,4.5,-0.25,0.7699721701835351
p,0.2,2,Passive-Aggressive,4.708333333333333,3.209756413169706,4.0,0.25,1.5108304655560048
p,0.2,3,Aggressive,5.875,2.6915730005688685,6.0,0.2916666666666667,1.4288690166235205
p,0.2,3,Assertive,7.888888888888889,1.83268386764607,8.0,0.4722222222222222,1.5021149111666545
p,0.2,3,Passive,6.666666666666667,2.5856748221140036,8.0,1.5555555555555556,2.6234594874973163
p,0.2,3,Passive-Aggressive,5.5,2.9488391230979425,6.0,0.7916666666666666,2.501810938303391
p,0.2,4,Aggressive,5.958333333333333,2.422344654087937,6.5,0.08333333333333333,1.4116492564332
p,0.2,4,Assertive,8.0,1.3732131246511905,8.0,0.1111111111111111,1.389301526004607
p,0.2,4,Passive,7.277777777777778,2.237487252779154,8.0,0.6111111111111112,1.9015449024077806
p,0.2,4,Passive-Aggressive,6.166666666666667,2.548088229082424,7.0,0.6666666666666666,2.407717061715384
