param_value,timestep,ranking,count,total,proportion
0.2,0,1,3,123,0.024390243902439025
0.2,0,3,60,123,0.4878048780487805
0.2,0,7,60,123,0.4878048780487805
0.2,1,1,3,123,0.024390243902439025
0.2,1,3,59,123,0.4796747967479675
0.2,1,7,61,123,0.4959349593495935
0.2,2,1,3,123,0.024390243902439025
0.2,2,3,54,123,0.43902439024390244
0.2,2,4,1,123,0.008130081300813009
0.2,2,5,1,123,0.008130081300813009
0.2,2,7,57,123,0.4634146341463415
0.2,2,8,7,123,0.056910569105691054
0.2,3,1,3,123,0.024390243902439025
0.2,3,3,36,123,0.2926829268292683
0.2,3,4,1,123,0.008130081300813009
0.2,3,5,2,123,0.016260162601626018
0.2,3,6,6,123,0.04878048780487805
0.2,3,7,47,123,0.3821138211382114
0.2,3,8,17,123,0.13821138211382114
0.2,3,9,11,123,0.08943089430894309
0.2,4,1,3,123,0.024390243902439025
0.2,4,3,18,123,0.14634146341463414
0.2,4,5,1,123,0.008130081300813009
0.2,4,6,11,123,0.08943089430894309
0.2,4,7,43,123,0.34959349593495936
0.2,4,8,25,123,0.2032520325203252
0.2,4,9,21,123,0.17073170731707318
0.2,4,10,1,123,0.008130081300813009
0.2,5,1,4,123,0.032520325203252036
0.2,5,3,12,123,0.0975609756097561
0.2,5,4,3,123,0.024390243902439025
0.2,5,5,1,123,0.008130081300813009
0.2,5,6,18,123,0.14634146341463414
0.2,5,7,28,123,0.22764227642276422
0.2,5,8,39,123,0.3170731707317073
0.2,5,9,18,123,0.14634146341463414
0.2,6,1,3,123,0.024390243902439025
0.2,6,3,6,123,0.04878048780487805
0.2,6,4,2,123,0.016260162601626018
0.2,6,5,2,123,0.016260162601626018
0.2,6,6,18,123,0.14634146341463414
0.2,6,7,25,123,0.2032520325203252
0.2,6,8,51,123,0.4146341463414634
0.2,6,9,16,123,0.13008130081300814
0.2,7,1,3,123,0.024390243902439025
0.2,7,3,5,123,0.04065040650406504
0.2,7,4,6,123,0.04878048780487805
0.2,7,5,2,123,0.016260162601626018
0.2,7,6,29,123,0.23577235772357724
0.2,7,7,20,123,0.16260162601626016
0.2,7,8,39,123,0.3170731707317073
0.2,7,9,19,123,0.15447154471544716
0.2,8,1,4,123,0.032520325203252036
0.2,8,3,3,123,0.024390243902439025
0.2,8,4,6,123,0.04878048780487805
0.2,8,5,2,123,0.016260162601626018
0.2,8,6,25,123,0.2032520325203252
0.2,8,7,17,123,0.13821138211382114
0.2,8,8,48,123,0.3902439024390244
0.2,8,9,18,123,0.14634146341463414
0.2,9,1,4,123,0.032520325203252036
0.2,9,3,3,123,0.024390243902439025
0.2,9,4,4,123,0.032520325203252036
0.2,9,5,2,123,0.016260162601626018
0.2,9,6,25,123,0.2032520325203252
0.2,9,7,24,123,0.1951219512195122
0.2,9,8,40,123,0.3252032520325203
0.2,9,9,21,123,0.17073170731707318
0.2,10,1,3,123,0.024390243902439025
0.2,10,3,2,123,0.016260162601626018
0.2,10,4,5,123,0.04065040650406504
0.2,10,5,3,123,0.024390243902439025
0.2,10,6,26,123,0.21138211382113822
0.2,10,7,22,123,0.17886178861788618
0.2,10,8,43,123,0.34959349593495936
0.2,10,9,19,123,0.15447154471544716
0.2,11,1,5,123,0.04065040650406504
0.2,11,3,2,123,0.016260162601626018
0.2,11,4,5,123,0.04065040650406504
0.2,11,5,2,123,0.016260162601626018
0.2,11,6,24,123,0.1951219512195122
0.2,11,7,27,123,0.21951219512195122
0.2,11,8,44,123,0.35772357723577236
0.2,11,9,14,123,0.11382113821138211
0.2,12,1,3,123,0.024390243902439025
0.2,12,3,2,123,0.016260162601626018
0.2,12,4,3,123,0.024390243902439025
0.2,12,5,1,123,0.008130081300813009
0.2,12,6,18,123,0.14634146341463414
0.2,12,7,38,123,0.3089430894308943
0.2,12,8,49,123,0.3983739837398374
0.2,12,9,9,123,0.07317073170731707
0.2,13,1,3,123,0.024390243902439025
0.2,13,3,1,123,0.008130081300813009
0.2,13,4,1,123,0.008130081300813009
0.2,13,5,1,123,0.008130081300813009
0.2,13,6,21,123,0.17073170731707318
0.2,13,7,40,123,0.3252032520325203
0.2,13,8,51,123,0.4146341463414634
0.2,13,9,5,123,0.04065040650406504
0.2,14,1,4,123,0.032520325203252036
0.2,14,3,1,123,0.008130081300813009
0.2,14,4,1,123,0.008130081300813009
0.2,14,5,2,123,0.016260162601626018
0.2,14,6,26,123,0.21138211382113822
0.2,14,7,37,123,0.3008130081300813
0.2,14,8,46,123,0.37398373983739835
0.2,14,9,6,123,0.04878048780487805
0.2,15,1,3,123,0.024390243902439025
0.2,15,3,1,123,0.008130081300813009
0.2,15,4,1,123,0.008130081300813009
0.2,15,5,1,123,0.008130081300813009
0.2,15,6,32,123,0.2601626016260163
0.2,15,7,35,123,0.2845528455284553
0.2,15,8,45,123,0.36585365853658536
0.2,15,9,4,123,0.032520325203252036
0.2,15,10,1,123,0.008130081300813009
0.2,16,1,3,123,0.024390243902439025
0.2,16,2,1,123,0.008130081300813009
0.2,16,3,1,123,0.008130081300813009
0.2,16,4,1,123,0.008130081300813009
0.2,16,5,1,123,0.008130081300813009
0.2,16,6,34,123,0.2764227642276423
0.2,16,7,42,123,0.34146341463414637
0.2,16,8,38,123,0.3089430894308943
0.2,16,9,2,123,0.016260162601626018
0.2,17,1,4,123,0.032520325203252036
0.2,17,2,2,123,0.016260162601626018
0.2,17,3,4,123,0.032520325203252036
0.2,17,4,3,123,0.024390243902439025
0.2,17,5,5,123,0.04065040650406504
0.2,17,6,33,123,0.2682926829268293
0.2,17,7,43,123,0.34959349593495936
0.2,17,8,22,123,0.17886178861788618
0.2,17,9,7,123,0.056910569105691054
0.2,18,1,3,123,0.024390243902439025
0.2,18,2,4,123,0.032520325203252036
0.2,18,3,4,123,0.032520325203252036
0.2,18,4,3,123,0.024390243902439025
0.2,18,5,3,123,0.024390243902439025
0.2,18,6,23,123,0.18699186991869918
0.2,18,7,54,123,0.43902439024390244
0.2,18,8,23,123,0.18699186991869918
0.2,18,9,6,123,0.04878048780487805
0.2,19,1,3,123,0.024390243902439025
0.2,19,2,2,123,0.016260162601626018
0.2,19,3,1,123,0.008130081300813009
0.2,19,4,1,123,0.008130081300813009
0.2,19,5,4,123,0.032520325203252036
0.2,19,6,27,123,0.21951219512195122
0.2,19,7,50,123,0.4065040650406504
0.2,19,8,30,123,0.24390243902439024
0.2,19,9,5,123,0.04065040650406504
0.2,20,1,4,123,0.032520325203252036
0.2,20,2,6,123,0.04878048780487805
0.2,20,3,3,123,0.024390243902439025
0.2,20,4,3,123,0.024390243902439025
