param_name,param_value,trial_id,initial_variance,final_variance,variance_reduction,initial_range,final_range,final_mean,final_std,converged
p,0.2,0,4.390243902439025,6.162195121951219,-0.4036111111019176,6,8,5.7073170731707314,2.4823769097280977,False
p,0.2,1,4.390243902439025,1.1304878048780487,0.7424999999830876,6,6,6.658536585365853,1.0632440006311104,False
p,0.2,2,4.390243902439025,2.1390243902439026,0.5127777777660979,6,7,6.7560975609756095,1.462540389269268,False
p,0.5,0,4.390243902439025,2.19390243902439,0.5002777777663826,6,8,7.609756097560975,1.4811827837996194,False
p,0.5,1,4.390243902439025,3.2195121951219505,0.2666666666605928,6,8,8.073170731707316,1.7942999178292214,False
p,0.5,2,4.390243902439025,8.040243902439023,-0.8313888888699513,6,8,6.097560975609756,2.835532384304405,False
p,0.7,0,4.390243902439025,3.3097560975609754,0.24611111110550535,6,8,8.121951219512194,1.8192735081787388,False
p,0.7,1,4.390243902439025,3.2121951219512197,0.2683333333272213,6,9,7.7073170731707314,1.792259780821748,False
p,0.7,2,4.390243902439025,4.378048780487805,0.0027777777777146097,6,8,7.146341463414634,2.0923787373436493,False
p,1.0,0,4.390243902439025,9.604878048780488,-1.1877777777507228,6,9,6.463414634146342,3.0991737687294156,False
p,1.0,1,4.390243902439025,12.8890243902439,-1.9358333332892386,6,8,4.7560975609756095,3.5901287428508604,False
p,1.0,2,4.390243902439025,9.748780487804876,-1.2205555555277532,6,8,5.585365853658536,3.122303714856208,False
