param_value,timestep,variance,bimodality_kurtosis
0.2,0,4.283164782867341,-1.8286296296296296
0.2,1,4.2884526406239685,-1.8260290609544174
0.2,2,4.507369951748299,-1.7410332797466335
0.2,3,5.021349725692378,-1.1653991669285304
0.2,4,4.228832044418005,0.39857999373770703
0.2,5,3.987837927159759,0.924538239509729
0.2,6,2.9400489126842486,2.9867528025690966
0.2,7,3.193733888558398,1.540493480967986
0.2,8,3.243836340802432,2.304834012309482
0.2,9,3.128428845264062,2.710979550328557
0.2,10,2.776257518672748,2.731809001791645
0.2,11,3.1572476700376755,3.0145360608219445
0.2,12,2.218124132460836,5.564514501777069
0.2,13,1.8506180183753063,8.144277827218788
0.2,14,2.218917311124331,6.302935117768397
0.2,15,1.9424945468966885,6.476117242544142
0.2,16,1.9294070989490382,6.521619280702289
0.2,17,2.8665476898671423,2.426013471713798
0.2,18,2.8828078524687695,2.4888520198421693
0.2,19,2.184414039262344,5.210835635391893
0.2,20,3.291030471280321,1.8629000274743044
0.5,0,4.283164782867341,-1.8286296296296296
0.5,1,4.283164782867341,-1.8286296296296296
0.5,2,4.655694361821666,-1.7436573802482227
0.5,3,5.431423094718752,-1.2687420206154876
0.5,4,5.118910701302135,-0.8896362096817292
0.5,5,5.192676317007072,-0.5757558384163404
0.5,6,5.065635534404124,-0.1564551773851579
0.5,7,4.458060678167756,0.5011196574019308
0.5,8,3.695948178993985,2.197108162883037
0.5,9,3.348932513715381,2.7029937570720364
0.5,10,3.0450128891532824,5.052965017928914
0.5,11,4.642606913874016,2.2249047315998913
0.5,12,4.460440214158239,2.9754390270054065
0.5,13,3.0134179390574403,4.691567691298131
0.5,14,2.9224667856434663,6.707436348619716
0.5,15,3.2073501222817096,4.377126022062309
0.5,16,3.534139731641219,5.7376814638645985
0.5,17,8.192478022341199,-0.2281042328467029
0.5,18,5.671756229757422,1.7964821863443063
0.5,19,5.80540683455615,1.396368367835719
0.5,20,5.08678696543063,2.288417227839715
0.7,0,4.283164782867341,-1.8286296296296296
0.7,1,4.299424945468967,-1.8133721437833659
0.7,2,4.550465992464801,-1.7673369738416858
0.7,3,4.903033908387865,-1.6810066526166338
0.7,4,5.338092405314298,-1.564331390791935
0.7,5,4.270473924251438,0.14959880404820458
0.7,6,4.528389186330888,1.358285257471091
0.7,7,4.9220701963117195,1.949228733382263
0.7,8,4.884129816907926,1.2274579786817714
0.7,9,4.022341199021746,4.616460614347838
0.7,10,2.785379073302928,8.03630867028769
0.7,11,2.729327781082689,9.58389802745345
0.7,12,2.3836340802432416,8.906034045698405
0.7,13,2.487937074492696,6.656179805100281
0.7,14,3.5494745191354355,3.7149324053556336
0.7,15,2.9598783792715975,7.761957483172656
0.7,16,2.430828210721131,11.313589041126356
0.7,17,2.0048912684248785,13.607658076241648
0.7,18,2.4125851014607704,8.772626738224805
0.7,19,3.143367043426532,6.757237938822062
0.7,20,3.7045409478485025,5.1372008153960955
1.0,0,4.283164782867341,-1.8286296296296296
1.0,1,4.283164782867341,-1.8286296296296296
1.0,2,4.283164782867341,-1.8286296296296296
1.0,3,4.214158239143367,-1.7333739898183955
1.0,4,6.117919227972767,-1.648282245689674
1.0,5,6.293872694824509,-1.3662737411601589
1.0,6,5.6741357657479,-0.46152215886471026
1.0,7,5.4483442395399555,-0.1527350403674732
1.0,8,4.848833366382447,1.017073267085336
1.0,9,8.949567056646174,-0.9441779211540924
1.0,10,9.750677506775068,-0.5825475582290327
1.0,11,11.299755436578756,-1.161896639833267
1.0,12,11.078062000132196,-1.1378091627696354
1.0,13,10.877387798268225,-1.1555732480099727
1.0,14,10.554167492894441,-0.9050908985584885
1.0,15,9.27913279132791,-0.7026971514979463
1.0,16,9.197831978319783,-0.4651563697453551
1.0,17,8.396192742415229,-0.3609096330094057
1.0,18,7.8560380725758465,-0.13609120898308857
1.0,19,7.659858549805009,-0.16465594966468533
1.0,20,10.97137946989226,-1.685391313633658
