param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.2,0,Aggressive,4.6923076923076925,2.240878948434846,26
0.2,0,Assertive,5.0,2.02837021134844,36
0.2,0,Passive,5.0,2.02837021134844,36
0.2,0,Passive-Aggressive,4.84,2.1540659228538015,25
0.2,1,Aggressive,4.6923076923076925,2.240878948434846,26
0.2,1,Assertive,5.111111111111111,2.025237591392008,36
0.2,1,Passive,5.0,2.02837021134844,36
0.2,1,Passive-Aggressive,4.84,2.1540659228538015,25
0.2,2,Aggressive,4.6923076923076925,2.240878948434846,26
0.2,2,Assertive,5.527777777777778,2.063092146839109,36
0.2,2,Passive,5.111111111111111,2.1081851067789197,36
0.2,2,Passive-Aggressive,4.96,2.169485346036397,25
0.2,3,Aggressive,4.884615384615385,2.3887557108574007,26
0.2,3,Assertive,6.638888888888889,2.002181350110464,36
0.2,3,Passive,6.055555555555555,2.1639176700003357,36
0.2,3,Passive-Aggressive,5.64,2.2524061208701536,25
0.2,4,Aggressive,5.884615384615385,2.627956210851666,26
0.2,4,Assertive,7.5,1.3201731488169057,36
0.2,4,Passive,6.972222222222222,1.7482417471131408,36
0.2,4,Passive-Aggressive,6.16,2.32163735324878,25
0.2,5,Aggressive,5.8076923076923075,2.7279183385025405,26
0.2,5,Assertive,7.277777777777778,1.2097487604837889,36
0.2,5,Passive,7.222222222222222,1.7256238807393043,36
0.2,5,Passive-Aggressive,6.48,2.1039645117412666,25
0.2,6,Aggressive,6.461538461538462,2.656776531524911,26
0.2,6,Assertive,7.333333333333333,1.121223821162776,36
0.2,6,Passive,7.5,0.9710083124552249,36
0.2,6,Passive-Aggressive,6.88,1.92180470738661,25
0.2,7,Aggressive,6.3076923076923075,2.634679954290172,26
0.2,7,Assertive,7.083333333333333,1.2955969390869324,36
0.2,7,Passive,7.472222222222222,1.3624790663893542,36
0.2,7,Passive-Aggressive,6.44,1.6852299546352718,25
0.2,8,Aggressive,6.6923076923076925,2.4620191838282786,26
0.2,8,Assertive,7.222222222222222,1.569551548529727,36
0.2,8,Passive,7.361111111111111,1.312636992094872,36
0.2,8,Passive-Aggressive,6.52,1.8956089610817244,25
0.2,9,Aggressive,6.384615384615385,2.4507455694449076,26
0.2,9,Assertive,7.055555555555555,1.5481684006675103,36
0.2,9,Passive,7.527777777777778,1.1828805304029437,36
0.2,9,Passive-Aggressive,7.0,1.8484227510682365,25
0.2,10,Aggressive,6.653846153846154,2.382306574600468,26
0.2,10,Assertive,7.111111111111111,1.2823589374447562,36
0.2,10,Passive,7.361111111111111,1.3763881881375053,36
0.2,10,Passive-Aggressive,7.0,1.6832508230603465,25
0.2,11,Aggressive,6.653846153846154,2.3484856004209638,26
