param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
p,0.2,0,Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
p,0.2,0,Assertive,5.0,2.02837021134844,5.0,0.0,0.0
p,0.2,0,Passive,5.0,2.02837021134844,5.0,0.0,0.0
p,0.2,0,Passive-Aggressive,4.84,2.1540659228538015,3.0,0.0,0.0
p,0.2,1,Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
p,0.2,1,Assertive,5.111111111111111,2.025237591392008,7.0,0.1111111111111111,0.6666666666666666
p,0.2,1,Passive,5.0,2.02837021134844,5.0,0.0,0.0
p,0.2,1,Passive-Aggressive,4.84,2.1540659228538015,3.0,0.0,0.0
p,0.2,2,Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
p,0.2,2,Assertive,5.527777777777778,2.063092146839109,7.0,0.4166666666666667,1.4015297764534704
p,0.2,2,Passive,5.111111111111111,2.1081851067789197,5.5,0.1111111111111111,1.0079052613579393
p,0.2,2,Passive-Aggressive,4.96,2.169485346036397,5.0,0.12,0.4396968652757639
p,0.2,3,Aggressive,4.884615384615385,2.3887557108574007,4.5,0.19230769230769232,1.296741478297992
p,0.2,3,Assertive,6.638888888888889,2.002181350110464,7.0,1.1111111111111112,1.9090428084368471
p,0.2,3,Passive,6.055555555555555,2.1639176700003357,7.0,0.9444444444444444,1.9704161191331344
p,0.2,3,Passive-Aggressive,5.64,2.2524061208701536,7.0,0.68,1.4059397805975429
p,0.2,4,Aggressive,5.884615384615385,2.627956210851666,7.0,1.0,1.7435595774162695
p,0.2,4,Assertive,7.5,1.3201731488169057,7.0,0.8611111111111112,2.3071661996951742
p,0.2,4,Passive,6.972222222222222,1.7482417471131408,7.0,0.9166666666666666,2.0336455654106214
p,0.2,4,Passive-Aggressive,6.16,2.32163735324878,7.0,0.52,1.0847426730181986
p,0.2,5,Aggressive,5.8076923076923075,2.7279183385025405,7.0,-0.07692307692307693,1.9374844912530667
p,0.2,5,Assertive,7.277777777777778,1.2097487604837889,7.5,-0.2222222222222222,1.6752161670510486
p,0.2,5,Passive,7.222222222222222,1.7256238807393043,8.0,0.25,1.4015297764534704
p,0.2,5,Passive-Aggressive,6.48,2.1039645117412666,7.0,0.32,2.212088003071608
p,0.2,6,Aggressive,6.461538461538462,2.656776531524911,8.0,0.6538461538461539,1.7191232112285078
p,0.2,6,Assertive,7.333333333333333,1.121223821162776,8.0,0.05555555555555555,1.2408394495995603
p,0.2,6,Passive,7.5,0.9710083124552249,8.0,0.2777777777777778,1.5966234212256656
p,0.2,6,Passive-Aggressive,6.88,1.92180470738661,7.0,0.4,1.7559422921421237
p,0.2,7,Aggressive,6.3076923076923075,2.634679954290172,7.0,-0.15384615384615385,0.9671528397231823
p,0.2,7,Assertive,7.083333333333333,1.2955969390869324,7.0,-0.25,1.3174650984805196
p,0.2,7,Passive,7.472222222222222,1.3624790663893542,8.0,-0.027777777777777776,1.275843947266976
p,0.2,7,Passive-Aggressive,6.44,1.6852299546352718,7.0,-0.44,1.7578395831246945
p,0.2,8,Aggressive,6.6923076923076925,2.4620191838282786,7.5,0.38461538461538464,1.6511068548564163
p,0.2,8,Assertive,7.222222222222222,1.569551548529727,8.0,0.1388888888888889,1.6239770895248453
p,0.2,8,Passive,7.361111111111111,1.312636992094872,8.0,-0.1111111111111111,1.3261712403495103
p,0.2,8,Passive-Aggressive,6.52,1.8956089610817244,7.0,0.08,1.7540429489230491
p,0.2,9,Aggressive,6.384615384615385,2.4507455694449076,7.0,-0.3076923076923077,1.3196736193235286
p,0.2,9,Assertive,7.055555555555555,1.5481684006675103,8.0,-0.16666666666666666,0.87831006565368
p,0.2,9,Passive,7.527777777777778,1.1828805304029437,8.0,0.16666666666666666,1.133893419027682
p,0.2,9,Passive-Aggressive,7.0,1.8484227510682365,7.0,0.48,1.6613247725836147
p,0.2,10,Aggressive,6.653846153846154,2.382306574600468,7.5,0.2692307692307692,1.888018904729342
p,0.2,10,Assertive,7.111111111111111,1.2823589374447562,7.5,0.05555555555555555,1.4331672107497624
p,0.2,10,Passive,7.361111111111111,1.3763881881375053,8.0,-0.16666666666666666,1.4242792663559447
p,0.2,10,Passive-Aggressive,7.0,1.6832508230603465,7.0,0.0,1.632993161855452
p,0.2,11,Aggressive,6.653846153846154,2.3484856004209638,7.5,0.0,1.5999999999999999
p,0.2,11,Assertive,6.722222222222222,1.8144044455587873,7.0,-0.3888888888888889,1.5358157958330025
p,0.2,11,Passive,7.416666666666667,1.2041594578792294,8.0,0.05555555555555555,1.3510724722962961
p,0.2,11,Passive-Aggressive,6.8,1.7320508075688772,7.0,-0.2,1.6832508230603467
p,0.2,12,Aggressive,6.538461538461538,2.2843952237871488,7.0,-0.11538461538461539,0.8161824833662176
p,0.2,12,Assertive,7.222222222222222,1.0720104240194444,7.0,0.5,1.7647338933351155
p,0.2,12,Passive,7.444444444444445,0.9394358320501099,8.0,0.027777777777777776,1.133543397899099
p,0.2,12,Passive-Aggressive,7.0,1.5545631755148024,7.0,0.2,1.5545631755148028
p,0.2,13,Aggressive,6.653846153846154,2.018758186456371,7.0,0.11538461538461539,1.4234303095528935
p,0.2,13,Assertive,7.277777777777778,0.9444911286314402,7.0,0.05555555555555555,0.9839989676081822
p,0.2,13,Passive,7.444444444444445,0.9394358320501099,8.0,0.0,1.1952286093343936
p,0.2,13,Passive-Aggressive,6.84,1.4628738838327793,7.0,-0.16,0.6244997998398399
p,0.2,14,Aggressive,6.653846153846154,2.0580050085907504,7.0,0.0,0.6928203230275509
p,0.2,14,Assertive,7.083333333333333,1.4417251570848826,7.0,-0.19444444444444445,1.4505062061115954
p,0.2,14,Passive,7.361111111111111,0.9607371508460952,8.0,-0.08333333333333333,0.5542047068934521
p,0.2,14,Passive-Aggressive,6.6,1.4433756729740645,7.0,-0.24,0.7234178138070234
p,0.2,15,Aggressive,6.615384615384615,2.0606197723388577,7.0,-0.038461538461538464,1.076318511622623
p,0.2,15,Assertive,7.027777777777778,1.0552213338878547,7.0,-0.05555555555555555,1.2175958617454656
p,0.2,15,Passive,7.25,0.9964221709983891,7.5,-0.1111111111111111,0.820375446375544
p,0.2,15,Passive-Aggressive,6.88,1.4809906594348705,7.0,0.28,0.6137317546507324
p,0.2,16,Aggressive,6.5,2.0248456731316584,7.0,-0.11538461538461539,0.7656068482934606
p,0.2,16,Assertive,7.027777777777778,0.9407022031018292,7.0,0.0,0.8618916073713346
p,0.2,16,Passive,6.888888888888889,1.1899046246960368,7.0,-0.3611111111111111,1.4172967786353567
p,0.2,16,Passive-Aggressive,6.68,1.4352700094407327,7.0,-0.2,0.6454972243679028
p,0.2,17,Aggressive,5.923076923076923,2.1151468397835065,7.0,-0.5769230769230769,1.6774522806465026
p,0.2,17,Assertive,6.722222222222222,1.3858697343671667,7.0,-0.3055555555555556,1.470071804746663
p,0.2,17,Passive,6.666666666666667,1.3522468075656264,7.0,-0.2222222222222222,1.658073083192158
p,0.2,17,Passive-Aggressive,6.36,2.0182500670960803,7.0,-0.32,1.676305461424021
p,0.2,18,Aggressive,6.461538461538462,2.3018387298986736,7.0,0.5384615384615384,1.5028178660308569
p,0.2,18,Assertive,6.722222222222222,1.4265064440515627,7.0,0.0,1.788854381999832
p,0.2,18,Passive,6.583333333333333,1.31746509848052,7.0,-0.08333333333333333,1.696635325746646
p,0.2,18,Passive-Aggressive,6.28,1.9043809142780932,7.0,-0.08,2.612789058968723
p,0.2,19,Aggressive,6.576923076923077,1.9010118763032897,7.0,0.11538461538461539,1.9864928507683703
