param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
0.2,0,5.44,2.852557699177298,1,10,5.5
0.2,1,8.27,1.1150410678152498,6,10,8.0
0.2,2,9.03,0.7360767930223929,7,10,9.0
0.2,3,9.745,0.4369549727846181,9,10,10.0
0.2,4,9.955,0.2078243363368918,9,10,10.0
0.2,5,9.96,0.1964509221768143,9,10,10.0
0.2,6,9.965,0.18424093903932043,9,10,10.0
0.2,7,9.985,0.1218574832792626,9,10,10.0
0.2,8,9.99,0.09974842727441169,9,10,10.0
0.2,9,9.995,0.07071067811865475,9,10,10.0
0.2,10,10.0,0.0,10,10,10.0
0.2,11,10.0,0.0,10,10,10.0
0.2,12,10.0,0.0,10,10,10.0
0.2,13,10.0,0.0,10,10,10.0
0.2,14,10.0,0.0,10,10,10.0
0.2,15,10.0,0.0,10,10,10.0
0.2,16,10.0,0.0,10,10,10.0
0.2,17,10.0,0.0,10,10,10.0
0.2,18,10.0,0.0,10,10,10.0
0.2,19,10.0,0.0,10,10,10.0
0.2,20,10.0,0.0,10,10,10.0
