param_value,timestep,personality,mean_ranking,std_ranking,count
0.2,0,ESFJ,5.416666666666667,2.6121727216406683,60
0.2,0,ISFJ,5.383333333333334,2.8941300420964113,60
0.2,0,ISFP,5.133333333333334,3.1919438822019472,30
0.2,0,ISTJ,5.72,2.927979034161583,50
0.2,1,ESFJ,8.183333333333334,0.9653605046586494,60
0.2,1,ISFJ,8.216666666666667,1.090664028286837,60
0.2,1,ISFP,7.9,1.373392477244478,30
0.2,1,ISTJ,8.66,1.0615737258948172,50
0.2,2,ESFJ,8.933333333333334,0.6604227374117243,60
0.2,2,ISFJ,9.033333333333333,0.735692148832042,60
0.2,2,ISFP,8.8,0.8051557998728979,30
0.2,2,ISTJ,9.28,0.7295511619887832,50
0.2,3,ESFJ,9.633333333333333,0.4859611014169711,60
0.2,3,ISFJ,9.816666666666666,0.3902049294994231,60
0.2,3,ISFP,9.7,0.46609159969939906,30
0.2,3,ISTJ,9.82,0.3880879344916034,50
0.2,4,ESFJ,9.983333333333333,0.12909944487358058,60
0.2,4,ISFJ,9.966666666666667,0.1810203347193925,60
0.2,4,ISFP,9.933333333333334,0.2537081317024623,30
0.2,4,ISTJ,9.92,0.2740475156178698,50
0.2,5,ESFJ,9.983333333333333,0.12909944487358058,60
0.2,5,ISFJ,9.95,0.21978417765108277,60
0.2,5,ISFP,10.0,0.0,30
0.2,5,ISTJ,9.92,0.27404751561786994,50
0.2,6,ESFJ,9.983333333333333,0.12909944487358058,60
0.2,6,ISFJ,9.95,0.219784177651083,60
0.2,6,ISFP,9.966666666666667,0.1825741858350553,30
0.2,6,ISTJ,9.96,0.19794866372215714,50
0.2,7,ESFJ,10.0,0.0,60
0.2,7,ISFJ,9.983333333333333,0.12909944487358058,60
0.2,7,ISFP,10.0,0.0,30
0.2,7,ISTJ,9.96,0.1979486637221575,50
0.2,8,ESFJ,10.0,0.0,60
0.2,8,ISFJ,9.966666666666667,0.1810203347193924,60
0.2,8,ISFP,10.0,0.0,30
0.2,8,ISTJ,10.0,0.0,50
0.2,9,ESFJ,10.0,0.0,60
0.2,9,ISFJ,10.0,0.0,60
0.2,9,ISFP,9.966666666666667,0.1825741858350553,30
0.2,9,ISTJ,10.0,0.0,50
0.2,10,ESFJ,10.0,0.0,60
0.2,10,ISFJ,10.0,0.0,60
0.2,10,ISFP,10.0,0.0,30
0.2,10,ISTJ,10.0,0.0,50
0.2,11,ESFJ,10.0,0.0,60
0.2,11,ISFJ,10.0,0.0,60
0.2,11,ISFP,10.0,0.0,30
0.2,11,ISTJ,10.0,0.0,50
0.2,12,ESFJ,10.0,0.0,60
0.2,12,ISFJ,10.0,0.0,60
0.2,12,ISFP,10.0,0.0,30
0.2,12,ISTJ,10.0,0.0,50
0.2,13,ESFJ,10.0,0.0,60
0.2,13,ISFJ,10.0,0.0,60
0.2,13,ISFP,10.0,0.0,30
0.2,13,ISTJ,10.0,0.0,50
0.2,14,ESFJ,10.0,0.0,60
0.2,14,ISFJ,10.0,0.0,60
0.2,14,ISFP,10.0,0.0,30
0.2,14,ISTJ,10.0,0.0,50
0.2,15,ESFJ,10.0,0.0,60
0.2,15,ISFJ,10.0,0.0,60
0.2,15,ISFP,10.0,0.0,30
0.2,15,ISTJ,10.0,0.0,50
0.2,16,ESFJ,10.0,0.0,60
0.2,16,ISFJ,10.0,0.0,60
0.2,16,ISFP,10.0,0.0,30
0.2,16,ISTJ,10.0,0.0,50
0.2,17,ESFJ,10.0,0.0,60
0.2,17,ISFJ,10.0,0.0,60
0.2,17,ISFP,10.0,0.0,30
0.2,17,ISTJ,10.0,0.0,50
0.2,18,ESFJ,10.0,0.0,60
0.2,18,ISFJ,10.0,0.0,60
0.2,18,ISFP,10.0,0.0,30
0.2,18,ISTJ,10.0,0.0,50
0.2,19,ESFJ,10.0,0.0,60
0.2,19,ISFJ,10.0,0.0,60
0.2,19,ISFP,10.0,0.0,30
0.2,19,ISTJ,10.0,0.0,50
0.2,20,ESFJ,10.0,0.0,60
0.2,20,ISFJ,10.0,0.0,60
0.2,20,ISFP,10.0,0.0,30
0.2,20,ISTJ,10.0,0.0,50
