param_value,timestep,ranking,count,total,proportion
0.25,0,1,3,243,0.012345679012345678
0.25,0,3,120,243,0.49382716049382713
0.25,0,7,120,243,0.49382716049382713
0.25,1,1,3,243,0.012345679012345678
0.25,1,3,119,243,0.4897119341563786
0.25,1,7,120,243,0.49382716049382713
0.25,1,8,1,243,0.00411522633744856
0.25,2,1,3,243,0.012345679012345678
0.25,2,3,116,243,0.4773662551440329
0.25,2,6,2,243,0.00823045267489712
0.25,2,7,119,243,0.4897119341563786
0.25,2,8,3,243,0.012345679012345678
0.25,3,1,3,243,0.012345679012345678
0.25,3,2,1,243,0.00411522633744856
0.25,3,3,88,243,0.36213991769547327
0.25,3,4,1,243,0.00411522633744856
0.25,3,5,1,243,0.00411522633744856
0.25,3,6,14,243,0.05761316872427984
0.25,3,7,91,243,0.37448559670781895
0.25,3,8,30,243,0.12345679012345678
0.25,3,9,12,243,0.04938271604938271
0.25,3,10,2,243,0.00823045267489712
0.25,4,1,3,243,0.012345679012345678
0.25,4,2,2,243,0.00823045267489712
0.25,4,3,48,243,0.19753086419753085
0.25,4,4,1,243,0.00411522633744856
0.25,4,5,1,243,0.00411522633744856
0.25,4,6,18,243,0.07407407407407407
0.25,4,7,73,243,0.3004115226337449
0.25,4,8,52,243,0.2139917695473251
0.25,4,9,41,243,0.16872427983539096
0.25,4,10,4,243,0.01646090534979424
0.25,5,1,3,243,0.012345679012345678
0.25,5,2,2,243,0.00823045267489712
0.25,5,3,30,243,0.12345679012345678
0.25,5,4,1,243,0.00411522633744856
0.25,5,5,1,243,0.00411522633744856
0.25,5,6,16,243,0.06584362139917696
0.25,5,7,61,243,0.25102880658436216
0.25,5,8,81,243,0.3333333333333333
0.25,5,9,45,243,0.18518518518518517
0.25,5,10,3,243,0.012345679012345678
0.25,6,1,5,243,0.0205761316872428
0.25,6,3,15,243,0.06172839506172839
0.25,6,6,15,243,0.06172839506172839
0.25,6,7,44,243,0.18106995884773663
0.25,6,8,102,243,0.41975308641975306
0.25,6,9,60,243,0.24691358024691357
0.25,6,10,2,243,0.00823045267489712
0.25,7,1,3,243,0.012345679012345678
0.25,7,3,8,243,0.03292181069958848
0.25,7,6,18,243,0.07407407407407407
0.25,7,7,44,243,0.18106995884773663
0.25,7,8,115,243,0.4732510288065844
0.25,7,9,55,243,0.22633744855967078
0.25,8,1,3,243,0.012345679012345678
0.25,8,3,5,243,0.0205761316872428
0.25,8,6,26,243,0.10699588477366255
0.25,8,7,44,243,0.18106995884773663
0.25,8,8,104,243,0.4279835390946502
0.25,8,9,61,243,0.25102880658436216
0.25,9,1,4,243,0.01646090534979424
0.25,9,3,4,243,0.01646090534979424
0.25,9,4,3,243,0.012345679012345678
0.25,9,5,2,243,0.00823045267489712
0.25,9,6,21,243,0.08641975308641975
0.25,9,7,39,243,0.16049382716049382
0.25,9,8,115,243,0.4732510288065844
0.25,9,9,55,243,0.22633744855967078
0.25,10,1,3,243,0.012345679012345678
0.25,10,3,4,243,0.01646090534979424
0.25,10,4,3,243,0.012345679012345678
0.25,10,5,3,243,0.012345679012345678
0.25,10,6,20,243,0.0823045267489712
0.25,10,7,38,243,0.15637860082304528
0.25,10,8,119,243,0.4897119341563786
0.25,10,9,53,243,0.21810699588477367
0.25,11,1,3,243,0.012345679012345678
0.25,11,3,5,243,0.0205761316872428
0.25,11,4,5,243,0.0205761316872428
0.25,11,5,2,243,0.00823045267489712
0.25,11,6,27,243,0.1111111111111111
0.25,11,7,35,243,0.1440329218106996
0.25,11,8,109,243,0.448559670781893
0.25,11,9,57,243,0.2345679012345679
0.25,12,1,3,243,0.012345679012345678
0.25,12,3,5,243,0.0205761316872428
0.25,12,4,5,243,0.0205761316872428
0.25,12,5,3,243,0.012345679012345678
0.25,12,6,26,243,0.10699588477366255
0.25,12,7,44,243,0.18106995884773663
0.25,12,8,99,243,0.4074074074074074
0.25,12,9,57,243,0.2345679012345679
0.25,12,10,1,243,0.00411522633744856
0.25,13,1,4,243,0.01646090534979424
0.25,13,3,4,243,0.01646090534979424
0.25,13,4,4,243,0.01646090534979424
0.25,13,5,3,243,0.012345679012345678
0.25,13,6,24,243,0.09876543209876543
0.25,13,7,33,243,0.13580246913580246
0.25,13,8,117,243,0.48148148148148145
0.25,13,9,53,243,0.21810699588477367
0.25,13,10,1,243,0.00411522633744856
0.25,14,1,4,243,0.01646090534979424
0.25,14,3,5,243,0.0205761316872428
0.25,14,4,5,243,0.0205761316872428
0.25,14,5,1,243,0.00411522633744856
0.25,14,6,27,243,0.1111111111111111
0.25,14,7,33,243,0.13580246913580246
0.25,14,8,90,243,0.37037037037037035
0.25,14,9,77,243,0.3168724279835391
0.25,14,10,1,243,0.00411522633744856
0.25,15,1,3,243,0.012345679012345678
0.25,15,3,1,243,0.00411522633744856
0.25,15,4,6,243,0.024691358024691357
0.25,15,5,1,243,0.00411522633744856
0.25,15,6,27,243,0.1111111111111111
0.25,15,7,32,243,0.13168724279835392
0.25,15,8,109,243,0.448559670781893
0.25,15,9,62,243,0.2551440329218107
0.25,15,10,2,243,0.00823045267489712
0.25,16,1,4,243,0.01646090534979424
0.25,16,3,1,243,0.00411522633744856
0.25,16,5,2,243,0.00823045267489712
0.25,16,6,27,243,0.1111111111111111
0.25,16,7,27,243,0.1111111111111111
0.25,16,8,118,243,0.48559670781893005
0.25,16,9,63,243,0.25925925925925924
0.25,16,10,1,243,0.00411522633744856
0.25,17,1,3,243,0.012345679012345678
0.25,17,3,1,243,0.00411522633744856
0.25,17,4,2,243,0.00823045267489712
0.25,17,5,2,243,0.00823045267489712
0.25,17,6,29,243,0.11934156378600823
0.25,17,7,34,243,0.13991769547325103
0.25,17,8,125,243,0.51440329218107
0.25,17,9,47,243,0.1934156378600823
0.25,18,1,3,243,0.012345679012345678
0.25,18,3,1,243,0.00411522633744856
0.25,18,4,4,243,0.01646090534979424
0.25,18,5,1,243,0.00411522633744856
0.25,18,6,30,243,0.12345679012345678
0.25,18,7,39,243,0.16049382716049382
0.25,18,8,86,243,0.35390946502057613
0.25,18,9,77,243,0.3168724279835391
0.25,18,10,2,243,0.00823045267489712
0.25,19,1,3,243,0.012345679012345678
0.25,19,3,1,243,0.00411522633744856
0.25,19,4,4,243,0.01646090534979424
0.25,19,5,3,243,0.012345679012345678
0.25,19,6,28,243,0.11522633744855967
0.25,19,7,40,243,0.1646090534979424
0.25,19,8,114,243,0.4691358024691358
0.25,19,9,50,243,0.205761316872428
0.25,20,1,3,243,0.012345679012345678
0.25,20,3,1,243,0.00411522633744856
0.25,20,4,5,243,0.0205761316872428
0.25,20,6,35,243,0.1440329218106996
0.25,20,7,49,243,0.20164609053497942
0.25,20,8,84,243,0.345679012345679
0.25,20,9,66,243,0.2716049382716049
0.5,0,1,3,243,0.012345679012345678
0.5,0,3,120,243,0.49382716049382713
0.5,0,7,120,243,0.49382716049382713
0.5,1,1,3,243,0.012345679012345678
0.5,1,3,119,243,0.4897119341563786
0.5,1,7,120,243,0.49382716049382713
0.5,1,8,1,243,0.00411522633744856
0.5,2,1,3,243,0.012345679012345678
0.5,2,3,94,243,0.3868312757201646
0.5,2,4,2,243,0.00823045267489712
0.5,2,6,6,243,0.024691358024691357
0.5,2,7,107,243,0.4403292181069959
0.5,2,8,29,243,0.11934156378600823
0.5,2,9,2,243,0.00823045267489712
0.5,3,1,3,243,0.012345679012345678
0.5,3,3,74,243,0.3045267489711934
0.5,3,4,2,243,0.00823045267489712
0.5,3,5,2,243,0.00823045267489712
0.5,3,6,12,243,0.04938271604938271
0.5,3,7,106,243,0.43621399176954734
0.5,3,8,33,243,0.13580246913580246
0.5,3,9,11,243,0.04526748971193416
0.5,4,1,3,243,0.012345679012345678
0.5,4,2,1,243,0.00411522633744856
0.5,4,3,58,243,0.23868312757201646
0.5,4,6,17,243,0.06995884773662552
0.5,4,7,74,243,0.3045267489711934
0.5,4,8,67,243,0.2757201646090535
0.5,4,9,22,243,0.09053497942386832
0.5,4,10,1,243,0.00411522633744856
0.5,5,1,3,243,0.012345679012345678
0.5,5,3,41,243,0.16872427983539096
0.5,5,6,13,243,0.053497942386831275
0.5,5,7,78,243,0.32098765432098764
0.5,5,8,59,243,0.24279835390946503
0.5,5,9,48,243,0.19753086419753085
0.5,5,10,1,243,0.00411522633744856
0.5,6,1,3,243,0.012345679012345678
0.5,6,3,27,243,0.1111111111111111
0.5,6,4,2,243,0.00823045267489712
0.5,6,5,1,243,0.00411522633744856
0.5,6,6,16,243,0.06584362139917696
0.5,6,7,50,243,0.205761316872428
0.5,6,8,83,243,0.34156378600823045
0.5,6,9,59,243,0.24279835390946503
0.5,6,10,2,243,0.00823045267489712
0.5,7,1,4,243,0.01646090534979424
0.5,7,2,2,243,0.00823045267489712
0.5,7,3,19,243,0.07818930041152264
0.5,7,4,2,243,0.00823045267489712
0.5,7,5,1,243,0.00411522633744856
0.5,7,6,30,243,0.12345679012345678
0.5,7,7,36,243,0.14814814814814814
0.5,7,8,104,243,0.4279835390946502
0.5,7,9,45,243,0.18518518518518517
0.5,8,1,3,243,0.012345679012345678
0.5,8,2,1,243,0.00411522633744856
0.5,8,3,16,243,0.06584362139917696
0.5,8,4,1,243,0.00411522633744856
0.5,8,5,3,243,0.012345679012345678
0.5,8,6,24,243,0.09876543209876543
0.5,8,7,54,243,0.2222222222222222
0.5,8,8,91,243,0.37448559670781895
0.5,8,9,50,243,0.205761316872428
0.5,9,1,3,243,0.012345679012345678
0.5,9,3,13,243,0.053497942386831275
0.5,9,4,1,243,0.00411522633744856
0.5,9,5,2,243,0.00823045267489712
0.5,9,6,16,243,0.06584362139917696
0.5,9,7,30,243,0.12345679012345678
0.5,9,8,132,243,0.5432098765432098
0.5,9,9,46,243,0.18930041152263374
0.5,10,1,3,243,0.012345679012345678
0.5,10,2,1,243,0.00411522633744856
0.5,10,3,5,243,0.0205761316872428
0.5,10,4,4,243,0.01646090534979424
0.5,10,5,4,243,0.01646090534979424
0.5,10,6,25,243,0.102880658436214
0.5,10,7,47,243,0.1934156378600823
0.5,10,8,98,243,0.40329218106995884
0.5,10,9,56,243,0.23045267489711935
0.5,11,1,4,243,0.01646090534979424
0.5,11,2,1,243,0.00411522633744856
0.5,11,3,5,243,0.0205761316872428
0.5,11,4,6,243,0.024691358024691357
0.5,11,5,3,243,0.012345679012345678
0.5,11,6,20,243,0.0823045267489712
0.5,11,7,40,243,0.1646090534979424
0.5,11,8,105,243,0.43209876543209874
0.5,11,9,59,243,0.24279835390946503
0.5,12,1,3,243,0.012345679012345678
0.5,12,2,3,243,0.012345679012345678
0.5,12,3,4,243,0.01646090534979424
0.5,12,4,2,243,0.00823045267489712
0.5,12,5,28,243,0.11522633744855967
0.5,12,6,21,243,0.08641975308641975
0.5,12,7,40,243,0.1646090534979424
0.5,12,8,93,243,0.38271604938271603
0.5,12,9,49,243,0.20164609053497942
0.5,13,1,3,243,0.012345679012345678
0.5,13,2,3,243,0.012345679012345678
0.5,13,3,4,243,0.01646090534979424
0.5,13,4,1,243,0.00411522633744856
0.5,13,5,37,243,0.1522633744855967
0.5,13,6,26,243,0.10699588477366255
0.5,13,7,35,243,0.1440329218106996
0.5,13,8,79,243,0.32510288065843623
0.5,13,9,55,243,0.22633744855967078
0.5,14,1,3,243,0.012345679012345678
0.5,14,2,1,243,0.00411522633744856
0.5,14,3,4,243,0.01646090534979424
0.5,14,4,3,243,0.012345679012345678
0.5,14,5,44,243,0.18106995884773663
0.5,14,6,9,243,0.037037037037037035
0.5,14,7,29,243,0.11934156378600823
0.5,14,8,115,243,0.4732510288065844
0.5,14,9,34,243,0.13991769547325103
0.5,14,10,1,243,0.00411522633744856
0.5,15,1,3,243,0.012345679012345678
0.5,15,2,3,243,0.012345679012345678
0.5,15,3,4,243,0.01646090534979424
0.5,15,4,1,243,0.00411522633744856
0.5,15,5,41,243,0.16872427983539096
0.5,15,6,25,243,0.102880658436214
0.5,15,7,25,243,0.102880658436214
0.5,15,8,70,243,0.2880658436213992
0.5,15,9,69,243,0.2839506172839506
0.5,15,10,2,243,0.00823045267489712
0.5,16,1,3,243,0.012345679012345678
0.5,16,2,2,243,0.00823045267489712
0.5,16,3,4,243,0.01646090534979424
0.5,16,4,4,243,0.01646090534979424
0.5,16,5,42,243,0.1728395061728395
0.5,16,6,30,243,0.12345679012345678
0.5,16,7,27,243,0.1111111111111111
0.5,16,8,83,243,0.34156378600823045
0.5,16,9,47,243,0.1934156378600823
0.5,16,10,1,243,0.00411522633744856
0.5,17,1,3,243,0.012345679012345678
0.5,17,2,2,243,0.00823045267489712
0.5,17,3,4,243,0.01646090534979424
0.5,17,4,3,243,0.012345679012345678
0.5,17,5,45,243,0.18518518518518517
0.5,17,6,24,243,0.09876543209876543
0.5,17,7,28,243,0.11522633744855967
0.5,17,8,86,243,0.35390946502057613
0.5,17,9,48,243,0.19753086419753085
0.5,18,1,3,243,0.012345679012345678
0.5,18,2,2,243,0.00823045267489712
0.5,18,3,4,243,0.01646090534979424
0.5,18,4,3,243,0.012345679012345678
0.5,18,5,38,243,0.15637860082304528
0.5,18,6,18,243,0.07407407407407407
0.5,18,7,27,243,0.1111111111111111
0.5,18,8,83,243,0.34156378600823045
0.5,18,9,65,243,0.2674897119341564
0.5,19,1,3,243,0.012345679012345678
0.5,19,2,2,243,0.00823045267489712
0.5,19,3,3,243,0.012345679012345678
0.5,19,4,2,243,0.00823045267489712
0.5,19,5,37,243,0.1522633744855967
0.5,19,6,16,243,0.06584362139917696
0.5,19,7,32,243,0.13168724279835392
0.5,19,8,91,243,0.37448559670781895
0.5,19,9,57,243,0.2345679012345679
0.5,20,1,5,243,0.0205761316872428
0.5,20,2,1,243,0.00411522633744856
0.5,20,3,12,243,0.04938271604938271
0.5,20,4,7,243,0.02880658436213992
0.5,20,5,37,243,0.1522633744855967
0.5,20,6,19,243,0.07818930041152264
