param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
0.25,0,4.950617283950617,2.040304027951935,1,7,3.0
0.25,1,4.97119341563786,2.045755890842098,1,8,3.0
0.25,2,5.020576131687243,2.049891268373818,1,8,7.0
0.25,3,5.625514403292181,2.231370822318092,1,10,7.0
0.25,4,6.600823045267489,2.1990605013033053,1,10,7.0
0.25,5,7.045267489711934,1.9860068928799852,1,10,8.0
0.25,6,7.506172839506172,1.7400730733453615,1,10,8.0
0.25,7,7.6460905349794235,1.4194105778328416,1,9,8.0
0.25,8,7.666666666666667,1.369683561210851,1,9,8.0
0.25,9,7.621399176954733,1.4448093532615458,1,9,8.0
0.25,10,7.6419753086419755,1.3814770090958965,1,9,8.0
0.25,11,7.57201646090535,1.4735824003553424,1,9,8.0
0.25,12,7.539094650205762,1.488771473151196,1,10,8.0
0.25,13,7.592592592592593,1.4836111108961993,1,10,8.0
0.25,14,7.654320987654321,1.5784747358074793,1,10,8.0
0.25,15,7.699588477366255,1.3862816053938884,1,10,8.0
0.25,16,7.773662551440329,1.3307417932749646,1,10,8.0
0.25,17,7.650205761316872,1.2682836220329754,1,9,8.0
0.25,18,7.7407407407407405,1.3975578857697226,1,10,8.0
0.25,19,7.600823045267489,1.3272102030586888,1,9,8.0
0.25,20,7.592592592592593,1.3886593015017699,1,9,8.0
0.5,0,4.950617283950617,2.040304027951935,1,7,3.0
0.5,1,4.97119341563786,2.0457558908420976,1,8,3.0
0.5,2,5.465020576131687,2.1324458030347824,1,9,7.0
0.5,3,5.843621399176954,2.114547812443699,1,9,7.0
0.5,4,6.349794238683128,2.169727379104594,1,10,7.0
0.5,5,6.847736625514403,2.064423413333805,1,10,7.0
0.5,6,7.234567901234568,1.9302181926395814,1,10,8.0
0.5,7,7.189300411522634,1.84669929032426,1,9,8.0
0.5,8,7.292181069958848,1.7059147760883417,1,9,8.0
0.5,9,7.539094650205762,1.567198111521445,1,9,8.0
0.5,10,7.502057613168724,1.508582843271828,1,9,8.0
0.5,11,7.534979423868313,1.583035940473581,1,9,8.0
0.5,12,7.242798353909465,1.667227739453699,1,9,8.0
0.5,13,7.152263374485597,1.7289062313478782,1,9,8.0
0.5,14,7.1687242798353905,1.6540487572719391,1,10,8.0
0.5,15,7.226337448559671,1.8142587680354374,1,10,8.0
0.5,16,7.041152263374485,1.7434511198478078,1,10,8.0
0.5,17,7.061728395061729,1.7369038594104786,1,9,8.0
0.5,18,7.271604938271605,1.7534783307769846,1,9,8.0
0.5,19,7.283950617283951,1.685386150675896,1,9,8.0
0.5,20,6.967078189300412,1.964285062792761,1,10,8.0
1.0,0,4.950617283950617,2.040304027951935,1,7,3.0
1.0,1,4.97119341563786,2.045755890842098,1,8,3.0
1.0,2,5.329218106995885,2.149055675222951,1,9,7.0
1.0,3,5.481481481481482,2.2403758047605487,1,9,7.0
1.0,4,5.54320987654321,2.227083754781382,1,9,7.0
1.0,5,6.008230452674897,2.2962271778848957,1,9,7.0
1.0,6,6.3580246913580245,2.198658354854453,1,9,7.0
1.0,7,6.995884773662551,2.2314394094188845,1,9,8.0
1.0,8,7.193415637860082,2.1930670860433525,1,10,8.0
1.0,9,7.37037037037037,1.8880514537509365,1,10,8.0
1.0,10,7.329218106995885,1.8426339298244245,1,10,8.0
1.0,11,7.337448559670782,1.9501316104208948,1,10,8.0
1.0,12,7.460905349794238,1.7060642940117587,1,10,8.0
1.0,13,7.432098765432099,1.902184074864442,1,10,8.0
1.0,14,7.7407407407407405,1.609202187557788,1,10,8.0
1.0,15,7.563786008230453,2.202329079748504,1,9,8.0
1.0,16,7.2181069958847734,2.5852732397256895,1,9,8.0
1.0,17,7.432098765432099,2.2190289269486407,1,9,8.0
1.0,18,7.777777777777778,2.030755263971699,1,9,8.0
1.0,19,7.576131687242798,1.6803944388714571,1,9,8.0
1.0,20,8.024691358024691,1.5182795992624603,1,9,8.0
2.0,0,4.950617283950617,2.040304027951935,1,7,3.0
2.0,1,4.979423868312757,2.055929862759178,1,8,3.0
2.0,2,5.2181069958847734,2.1622611454752296,1,10,7.0
2.0,3,5.271604938271605,2.1875625838264225,1,10,7.0
2.0,4,5.551440329218107,2.447892495381558,1,10,7.0
2.0,5,6.7407407407407405,2.255083024865341,1,10,7.0
2.0,6,6.991769547325103,2.2137656664631313,1,10,8.0
2.0,7,7.139917695473251,2.156331057505227,1,9,8.0
2.0,8,7.662551440329218,1.5378545994459862,1,9,8.0
2.0,9,7.917695473251029,1.7864895970684989,1,9,8.0
2.0,10,8.152263374485596,1.359639985078745,1,9,8.0
2.0,11,8.098765432098766,1.2458685934674463,1,9,8.0
2.0,12,7.761316872427984,1.420272902714552,1,10,8.0
2.0,13,8.08641975308642,1.2517511456025485,1,9,8.0
2.0,14,8.127572016460906,1.284113463180385,1,9,8.0
2.0,15,7.946502057613169,1.336556149938301,1,9,8.0
2.0,16,7.8765432098765435,1.664277442670855,1,9,8.0
2.0,17,7.617283950617284,1.520394967452669,1,9,8.0
2.0,18,7.827160493827161,1.2004488498380266,1,9,8.0
2.0,19,7.983539094650205,1.1462013373298332,1,9,8.0
2.0,20,7.810699588477366,1.2585118147607484,1,9,8.0
4.0,0,4.950617283950617,2.040304027951935,1,7,3.0
4.0,1,4.950617283950617,2.040304027951935,1,7,3.0
4.0,2,4.995884773662551,2.0560291151161305,1,8,7.0
4.0,3,5.679012345679013,2.210944754275538,1,9,7.0
4.0,4,6.111111111111111,2.2360679774997894,1,9,7.0
4.0,5,6.279835390946502,2.1675396356157925,1,9,7.0
4.0,6,6.97119341563786,1.8925674042926912,1,9,7.0
4.0,7,7.065843621399177,2.019477984731842,1,9,8.0
4.0,8,7.522633744855967,1.5355639586445058,1,9,8.0
4.0,9,7.345679012345679,1.5573910199764076,1,9,8.0
4.0,10,7.345679012345679,1.7709349481999748,1,10,8.0
4.0,11,7.1234567901234565,2.0412039636104655,1,10,8.0
4.0,12,7.62962962962963,1.8571579934599467,1,10,8.0
4.0,13,7.497942386831276,1.885951730705561,1,9,8.0
4.0,14,7.362139917695473,2.2673861669175195,1,9,8.0
4.0,15,6.761316872427984,2.7015119569830546,1,9,8.0
4.0,16,6.88477366255144,2.5265316625659175,1,9,8.0
4.0,17,6.42798353909465,2.932779766152364,1,9,8.0
4.0,18,7.288065843621399,2.1376547268405846,1,9,8.0
4.0,19,7.378600823045267,2.257374255652342,1,9,8.0
4.0,20,6.8765432098765435,2.769593084275023,1,9,8.0
8.0,0,4.950617283950617,2.040304027951935,1,7,3.0
8.0,1,4.954732510288066,2.0373597985664547,1,7,3.0
8.0,2,5.131687242798354,2.1162359460761175,1,9,7.0
8.0,3,5.901234567901234,2.3807332970174113,1,9,7.0
8.0,4,6.4526748971193415,2.3881644818183028,1,9,7.0
8.0,5,6.617283950617284,2.3261071365640933,1,9,7.0
8.0,6,6.983539094650205,1.9644928228810725,1,9,8.0
8.0,7,7.3539094650205765,1.908618757640582,1,9,8.0
8.0,8,7.325102880658436,1.7666760033866078,1,9,8.0
8.0,9,7.440329218106996,1.7532552647572377,1,9,8.0
8.0,10,7.802469135802469,1.4381440612767593,1,9,8.0
8.0,11,7.707818930041152,1.5484665088601886,1,10,8.0
8.0,12,7.839506172839506,1.5303280325990352,1,10,8.0
8.0,13,7.584362139917696,1.552152033284259,1,10,8.0
8.0,14,7.7407407407407405,1.382695096551495,1,10,8.0
8.0,15,7.769547325102881,1.3683171938549246,1,10,8.0
8.0,16,7.707818930041152,1.3579504853996696,1,10,8.0
8.0,17,7.539094650205762,1.4887714731511958,1,10,8.0
8.0,18,7.6460905349794235,1.584485454984931,1,10,8.0
8.0,19,7.711934156378601,1.566481807058432,1,10,8.0
8.0,20,7.909465020576132,1.4083696547835676,1,10,8.0
