param_value,timestep,variance,bimodality_kurtosis
0.25,0,4.145709495503734,-1.9022128027681664
0.25,1,4.167894460532778,-1.8960693293584543
0.25,2,4.184761807989974,-1.8761343169758677
0.25,3,4.9585259699571544,-1.4431014225949503
0.25,4,4.815966400785788,-0.5042713966442758
0.25,5,3.9279920066385543,0.8438642545784893
0.25,6,3.015393994817863,4.06326969564871
0.25,7,2.0064353333672034,7.1273532198935055
0.25,8,1.8683127572016462,7.257631624910246
0.25,9,2.0788836390116683,6.975122126488831
0.25,10,1.9006249047401311,6.915489325142172
0.25,11,2.1625091026096968,5.000927752904079
0.25,12,2.2073193449508035,4.573885352996939
0.25,13,2.1920438957475996,6.0272250513392045
0.25,14,2.481329065691206,4.768515022728782
0.25,15,1.913868143406324,6.1855619222606215
0.25,16,1.7635861741943133,9.573271505853677
0.25,17,1.601923825975038,8.494924482970717
0.25,18,1.9451303155006858,5.779443623291911
0.25,19,1.7542380057240592,6.81105263939585
0.25,20,1.9204389574759946,5.298508163265305
0.5,0,4.145709495503735,-1.9022128027681664
0.5,1,4.167894460532778,-1.8960693293584545
0.5,2,4.528611830852343,-1.6401989692970218
0.5,3,4.45291198834866,-1.2340655937703786
0.5,4,4.688343579061457,-0.7736628008258108
0.5,5,4.2443055767244156,0.13754031908186715
0.5,6,3.7104099984758423,1.248792130681613
0.5,7,3.3962641196294596,1.9915909372047684
0.5,8,2.898169317007909,2.6995419556199325
0.5,9,2.4460024725228195,4.945440417724371
0.5,10,2.266456671577842,4.617964427542755
0.5,11,2.4956900201527548,4.796649273560263
0.5,12,2.7682094531660137,2.153832413726483
0.5,13,2.976815864790259,1.2824201783840259
0.5,14,2.7246185371471148,1.4680683479765921
0.5,15,3.277989466375383,0.8381366132191661
0.5,16,3.0271130755812976,0.727230691864778
0.5,17,3.0044200579180003,0.7855472291253798
0.5,18,3.0620332266422796,1.1800543398410515
0.5,19,2.828837067520195,1.6533470547525289
0.5,20,3.8425375535572157,0.39889873971348555
1.0,0,4.145709495503734,-1.9022128027681664
1.0,1,4.167894460532778,-1.8960693293584543
1.0,2,4.5994343680671985,-1.6287824389360785
1.0,3,4.998628257887517,-1.595636813624429
1.0,4,4.939490931260478,-1.563341213097558
1.0,5,5.2509610662331285,-1.2481208316867403
1.0,6,4.814205151653712,-0.8336204995477319
1.0,7,4.958830801537705,-0.23537255093959786
1.0,8,4.789750884858338,0.26582894095621556
1.0,9,3.5500685871056246,1.9905639869185796
1.0,10,3.381327372182425,2.2642237563762944
1.0,11,3.7873630374773497,1.9599353926278722
1.0,12,2.8986773696421624,4.909258454785145
1.0,13,3.603414113702179,2.9061266770825442
1.0,14,2.578875171467765,7.69293571751923
1.0,15,4.830293485071722,3.8003765914571455
1.0,16,6.656133042049824,1.5818423526628855
1.0,17,4.903825636335924,3.3816440963731713
1.0,18,4.106995884773664,5.151888948237151
1.0,19,2.812105200765466,6.9384266927010945
1.0,20,2.295686633135192,10.07912302676138
2.0,0,4.145709495503734,-1.9022128027681664
2.0,1,4.209453166014666,-1.886208710766281
2.0,2,4.656133042049825,-1.7241501898753755
2.0,3,4.765736930345984,-1.6839799285461903
2.0,4,5.967518501583432,-1.3335267559474682
2.0,5,5.064471879286694,-0.4988540711725986
2.0,6,4.880590695862758,0.050546314336055165
2.0,7,4.630628799810327,0.3913734633644248
2.0,8,2.35526427204525,6.0527877471960725
2.0,9,3.178411150061813,6.091340269768057
2.0,10,1.8410133956544565,14.441252075152892
2.0,11,1.5458009449779,13.119486393196887
2.0,12,2.008873986011618,5.868089628502229
2.0,13,1.5604328608443836,11.846215969288231
2.0,14,1.6421615946078676,12.496842307607533
2.0,15,1.7790309742756014,11.738368019580449
2.0,16,2.758420972412742,6.490936820799359
2.0,17,2.3020880963267794,4.798428459572949
2.0,18,1.4351470812376164,12.46480903633722
2.0,19,1.3083710139037072,16.718694690732725
2.0,20,1.5773340784771968,10.403733535156354
4.0,0,4.145709495503734,-1.9022128027681664
4.0,1,4.145709495503734,-1.9022128027681664
4.0,2,4.209859608122067,-1.8851224895029817
4.0,3,4.868160341411369,-1.5612991916198529
4.0,4,4.979423868312757,-1.2021760808687942
4.0,5,4.678893800064352,-0.8259534938638007
4.0,6,3.5670714152652883,1.1205584284089198
4.0,7,4.0615082389202195,0.29829230117544236
4.0,8,2.3482531456925604,4.718628801182422
4.0,9,2.4154854442920284,3.711686963176936
4.0,10,3.123304374333182,4.7968688589795025
4.0,11,4.149367474470355,3.137921245916268
4.0,12,3.4348422496570645,5.8376654860210895
4.0,13,3.5421768361868957,4.72786373899394
4.0,14,5.119883486595879,3.148159757104459
4.0,15,7.268133245270875,0.45651462327835324
4.0,16,6.357093261528561,1.1903111240868194
4.0,17,8.565801283679654,-0.6303131815419185
4.0,18,4.550762925705769,3.9196537938729863
4.0,19,5.074768412674221,3.180751729354311
4.0,20,7.639079408626734,0.5730500223247113
8.0,0,4.145709495503734,-1.9022128027681664
8.0,1,4.13375332351098,-1.8989752213669098
8.0,2,4.460024725228201,-1.7763959498333712
8.0,3,5.644566377076667,-1.4696227846529408
8.0,4,5.679859100069433,-1.1016173098946906
8.0,5,5.388507849413199,-0.8672330904783516
8.0,6,3.84335043777202,0.7985526144368418
8.0,7,3.6278345103219367,1.8643131551348553
8.0,8,3.108299886534912,3.189674183030758
8.0,9,3.0612542126030915,2.686259254685476
8.0,10,2.0597469897881417,9.856415566849275
8.0,11,2.3878812511642873,5.451284338203717
8.0,12,2.332266422801402,8.60549827452521
8.0,13,2.3992616301715524,5.821725242321131
8.0,14,1.9039780521262002,10.84834397760965
8.0,15,1.864587037883791,11.669978346565983
8.0,16,1.8364409219461806,11.554162220231763
8.0,17,2.2073193449508035,7.721642369743005
8.0,18,2.500262493861031,7.263425373690971
8.0,19,2.443767040932107,7.71059305495387
8.0,20,1.9753425121509256,13.6545429840024
