param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.25,0,Aggressive,5.0,2.0211646105596452,48
0.25,0,Assertive,4.891891891891892,2.090864457570925,74
0.25,0,Passive,5.0,2.014035259912054,72
0.25,0,Passive-Aggressive,4.918367346938775,2.080031396937291,49
0.25,1,Aggressive,5.0,2.0211646105596452,48
0.25,1,Assertive,4.95945945945946,2.10959445034094,74
0.25,1,Passive,5.0,2.014035259912054,72
0.25,1,Passive-Aggressive,4.918367346938775,2.080031396937291,49
0.25,2,Aggressive,5.0625,2.0043171490666225,48
0.25,2,Assertive,5.081081081081081,2.131028157259878,74
0.25,2,Passive,5.0,2.014035259912054,72
0.25,2,Passive-Aggressive,4.918367346938775,2.080031396937291,49
0.25,3,Aggressive,5.229166666666667,2.0653121275964956,48
0.25,3,Assertive,5.77027027027027,2.2967952497129636,74
0.25,3,Passive,5.583333333333333,2.2997244170478766,72
0.25,3,Passive-Aggressive,5.857142857142857,2.1984843263788196,49
0.25,4,Aggressive,5.9375,2.4004099827126164,48
0.25,4,Assertive,7.202702702702703,2.1000960821446166,74
0.25,4,Passive,6.347222222222222,2.189345018925428,72
0.25,4,Passive-Aggressive,6.714285714285714,1.957890020745122,49
0.25,5,Aggressive,6.6875,2.064453459176637,48
0.25,5,Assertive,7.445945945945946,2.0682988303996725,74
0.25,5,Passive,7.083333333333333,1.8670606559396365,72
0.25,5,Passive-Aggressive,6.73469387755102,1.8904971811237208,49
0.25,6,Aggressive,7.25,1.9406074942678413,48
0.25,6,Assertive,7.635135135135135,1.8175274814626319,74
0.25,6,Passive,7.708333333333333,1.4382843848943732,72
0.25,6,Passive-Aggressive,7.26530612244898,1.8117154647377907,49
0.25,7,Aggressive,7.833333333333333,1.117240775461856,48
0.25,7,Assertive,7.554054054054054,1.7838076244017316,74
0.25,7,Passive,7.736111111111111,1.0069204977995478,72
0.25,7,Passive-Aggressive,7.469387755102041,1.582482764734034,49
0.25,8,Aggressive,7.854166666666667,1.1667299881498832,48
0.25,8,Assertive,7.486486486486487,1.6322372514497896,74
0.25,8,Passive,7.958333333333333,0.8464923483261073,72
0.25,8,Passive-Aggressive,7.326530612244898,1.637932577749066,49
0.25,9,Aggressive,7.666666666666667,1.2087153956996735,48
0.25,9,Assertive,7.4324324324324325,1.8062379057268214,74
0.25,9,Passive,7.875,0.7303770972760252,72
0.25,9,Passive-Aggressive,7.489795918367347,1.780946014758166,49
0.25,10,Aggressive,7.8125,1.196737586550966,48
0.25,10,Assertive,7.635135135135135,1.626613629383621,74
0.25,10,Passive,7.819444444444445,0.9689022231354775,72
0.25,10,Passive-Aggressive,7.224489795918367,1.597723720934059,49
0.25,11,Aggressive,7.604166666666667,1.4252970326236123,48
0.25,11,Assertive,7.513513513513513,1.7220825497153325,74
0.25,11,Passive,7.527777777777778,1.2330224198894042,72
0.25,11,Passive-Aggressive,7.6938775510204085,1.4748457777093886,49
0.25,12,Aggressive,7.520833333333333,1.5572696145761884,48
0.25,12,Assertive,7.418918918918919,1.6048450337577445,74
0.25,12,Passive,7.652777777777778,1.2577615061130551,72
0.25,12,Passive-Aggressive,7.571428571428571,1.5811388300841895,49
0.25,13,Aggressive,7.666666666666667,1.3889125293496338,48
0.25,13,Assertive,7.378378378378378,1.772721015860659,74
0.25,13,Passive,7.791666666666667,1.0472969903114842,72
0.25,13,Passive-Aggressive,7.551020408163265,1.6337740624317765,49
0.25,14,Aggressive,7.75,1.6308201826336053,48
0.25,14,Assertive,7.4324324324324325,1.7833405707442689,74
0.25,14,Passive,7.791666666666667,1.2775140913199852,72
0.25,14,Passive-Aggressive,7.6938775510204085,1.609918238512092,49
0.25,15,Aggressive,7.916666666666667,0.9857135515319646,48
0.25,15,Assertive,7.486486486486487,1.7922454213917844,74
0.25,15,Passive,7.944444444444445,0.8539698330405756,72
0.25,15,Passive-Aggressive,7.448979591836735,1.58194532788215,49
0.25,16,Aggressive,7.854166666666667,0.9222909342370695,48
0.25,16,Assertive,7.608108108108108,1.7424401687223563,74
0.25,16,Passive,8.055555555555555,0.8539698330405759,72
0.25,16,Passive-Aggressive,7.530612244897959,1.4734036674811621,49
0.25,17,Aggressive,7.6875,1.1697653883705859,48
0.25,17,Assertive,7.445945945945946,1.5539775909589295,74
0.25,17,Passive,7.861111111111111,0.9085750421394746,72
0.25,17,Passive-Aggressive,7.612244897959184,1.319979900898309,49
0.25,18,Aggressive,7.875,1.1782605282111531,48
0.25,18,Assertive,7.621621621621622,1.7727210158606588,74
0.25,18,Passive,7.833333333333333,1.07467649898227,72
0.25,18,Passive-Aggressive,7.653061224489796,1.3927045093414954,49
0.25,19,Aggressive,7.395833333333333,1.1058756679246549,48
0.25,19,Assertive,7.554054054054054,1.605998105492766,74
0.25,19,Passive,7.736111111111111,1.1627196815668743,72
0.25,19,Passive-Aggressive,7.673469387755102,1.2972367283004675,49
0.25,20,Aggressive,7.604166666666667,1.1437077318469635,48
0.25,20,Assertive,7.581081081081081,1.6880462627299713,74
0.25,20,Passive,7.708333333333333,1.1680910151688992,72
0.25,20,Passive-Aggressive,7.428571428571429,1.4288690166235205,49
0.5,0,Aggressive,4.84,2.131972354991729,50
0.5,0,Assertive,5.0,2.014035259912054,72
0.5,0,Passive,4.945205479452055,2.0540637970111297,73
0.5,0,Passive-Aggressive,5.0,2.0211646105596452,48
0.5,1,Aggressive,4.84,2.131972354991729,50
0.5,1,Assertive,5.055555555555555,2.013258090189924,72
0.5,1,Passive,4.945205479452055,2.0540637970111297,73
0.5,1,Passive-Aggressive,5.020833333333333,2.0472044595718275,48
0.5,2,Aggressive,4.84,2.131972354991729,50
0.5,2,Assertive,5.694444444444445,2.107257004111542,72
0.5,2,Passive,5.561643835616438,2.121230652827786,73
0.5,2,Passive-Aggressive,5.625,2.130078412301573,48
0.5,3,Aggressive,5.14,2.2407178150161196,50
0.5,3,Assertive,6.027777777777778,2.048511807624767,72
0.5,3,Passive,5.863013698630137,2.1299130687343317,73
0.5,3,Passive-Aggressive,6.270833333333333,1.932252387960781,48
0.5,4,Aggressive,5.38,2.380961904742857,50
0.5,4,Assertive,6.875,1.8684745604633188,72
0.5,4,Passive,6.328767123287672,2.154161312182565,73
0.5,4,Passive-Aggressive,6.604166666666667,2.111161657973944,48
0.5,5,Aggressive,5.7,2.4011051877102303,50
0.5,5,Assertive,7.388888888888889,1.8041857088413822,72
0.5,5,Passive,6.945205479452055,2.033677641333171,73
0.5,5,Passive-Aggressive,7.083333333333333,1.660983217322484,48
0.5,6,Aggressive,6.52,2.53336913687553,50
0.5,6,Assertive,7.638888888888889,1.7385889985244638,72
0.5,6,Passive,7.232876712328767,1.8220908925462942,73
0.5,6,Passive-Aggressive,7.375,1.423585524189134,48
0.5,7,Aggressive,6.5,2.3233508524700848,50
0.5,7,Assertive,7.486111111111111,1.4916958451784637,72
0.5,7,Passive,7.109589041095891,1.9899863472145871,73
0.5,7,Passive-Aggressive,7.583333333333333,1.3019352752702065,48
0.5,8,Aggressive,6.5,2.261027398763488,50
0.5,8,Assertive,7.555555555555555,1.2547250289519853,72
0.5,8,Passive,7.47945205479452,1.7168251467388531,73
0.5,8,Passive-Aggressive,7.4375,1.3823546054899045,48
0.5,9,Aggressive,6.84,2.279992839229715,50
0.5,9,Assertive,7.916666666666667,0.9306971489687671,72
0.5,9,Passive,7.534246575342466,1.6251682971039405,73
0.5,9,Passive-Aggressive,7.708333333333333,1.0510042478877113,48
0.5,10,Aggressive,6.92,2.098006828649808,50
0.5,10,Assertive,7.875,1.033761080632748,72
0.5,10,Passive,7.575342465753424,1.4329244399244236,73
0.5,10,Passive-Aggressive,7.4375,1.3353818483306799,48
0.5,11,Aggressive,7.1,2.072659732649558,50
0.5,11,Assertive,7.833333333333333,1.2447071039597577,72
0.5,11,Passive,7.671232876712328,1.3949790372832365,73
0.5,11,Passive-Aggressive,7.333333333333333,1.6416563163442306,48
0.5,12,Aggressive,6.92,2.1460927952244484,50
0.5,12,Assertive,7.166666666666667,1.5654725246238321,72
0.5,12,Passive,7.534246575342466,1.6165995843541296,73
0.5,12,Passive-Aggressive,7.25,1.2462710336687204,48
0.5,13,Aggressive,6.88,2.228205098096599,50
0.5,13,Assertive,7.152777777777778,1.4885452036002096,72
0.5,13,Passive,7.383561643835616,1.6383438197892723,73
