param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
radius,0.25,0,Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
radius,0.25,0,Assertive,4.891891891891892,2.090864457570925,3.0,0.0,0.0
radius,0.25,0,Passive,5.0,2.014035259912054,5.0,0.0,0.0
radius,0.25,0,Passive-Aggressive,4.918367346938775,2.080031396937291,3.0,0.0,0.0
radius,0.25,1,Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
radius,0.25,1,Assertive,4.95945945945946,2.10959445034094,5.0,0.06756756756756757,0.5812381937190964
radius,0.25,1,Passive,5.0,2.014035259912054,5.0,0.0,0.0
radius,0.25,1,Passive-Aggressive,4.918367346938775,2.080031396937291,3.0,0.0,0.0
radius,0.25,2,Aggressive,5.0625,2.0043171490666225,6.5,0.0625,0.4330127018922193
radius,0.25,2,Assertive,5.081081081081081,2.131028157259878,7.0,0.12162162162162163,0.6815112679136163
radius,0.25,2,Passive,5.0,2.014035259912054,5.0,0.0,0.0
radius,0.25,2,Passive-Aggressive,4.918367346938775,2.080031396937291,3.0,0.0,0.0
radius,0.25,3,Aggressive,5.229166666666667,2.0653121275964956,6.5,0.16666666666666666,0.883256386318056
radius,0.25,3,Assertive,5.77027027027027,2.2967952497129636,7.0,0.6891891891891891,1.4517412848843592
radius,0.25,3,Passive,5.583333333333333,2.2997244170478766,7.0,0.5833333333333334,1.7421857729891015
radius,0.25,3,Passive-Aggressive,5.857142857142857,2.1984843263788196,7.0,0.9387755102040817,1.9622283598130013
radius,0.25,4,Aggressive,5.9375,2.4004099827126164,7.0,0.7083333333333334,1.5292653407010517
radius,0.25,4,Assertive,7.202702702702703,2.1000960821446166,8.0,1.4324324324324325,2.23962497521765
radius,0.25,4,Passive,6.347222222222222,2.189345018925428,7.0,0.7638888888888888,1.9245856005798527
radius,0.25,4,Passive-Aggressive,6.714285714285714,1.957890020745122,7.0,0.8571428571428571,1.8484227510682365
radius,0.25,5,Aggressive,6.6875,2.064453459176637,7.0,0.75,1.9074322720192258
radius,0.25,5,Assertive,7.445945945945946,2.0682988303996725,8.0,0.24324324324324326,1.3730359403332717
radius,0.25,5,Passive,7.083333333333333,1.8670606559396365,8.0,0.7361111111111112,1.7761570761932692
radius,0.25,5,Passive-Aggressive,6.73469387755102,1.8904971811237208,7.0,0.02040816326530612,1.1454583492785642
radius,0.25,6,Aggressive,7.25,1.9406074942678413,8.0,0.5625,2.020177472717829
radius,0.25,6,Assertive,7.635135135135135,1.8175274814626319,8.0,0.1891891891891892,1.3515660695761311
radius,0.25,6,Passive,7.708333333333333,1.4382843848943732,8.0,0.625,2.0924916073333635
radius,0.25,6,Passive-Aggressive,7.26530612244898,1.8117154647377907,8.0,0.5306122448979592,1.308657722253457
radius,0.25,7,Aggressive,7.833333333333333,1.117240775461856,8.0,0.5833333333333334,2.040372654045306
radius,0.25,7,Assertive,7.554054054054054,1.7838076244017316,8.0,-0.08108108108108109,0.9616873976870283
radius,0.25,7,Passive,7.736111111111111,1.0069204977995478,8.0,0.027777777777777776,1.5009126070984626
radius,0.25,7,Passive-Aggressive,7.469387755102041,1.582482764734034,8.0,0.20408163265306123,1.5939938288872428
radius,0.25,8,Aggressive,7.854166666666667,1.1667299881498832,8.0,0.020833333333333332,1.061704437240769
radius,0.25,8,Assertive,7.486486486486487,1.6322372514497896,8.0,-0.06756756756756757,1.4555616632922348
radius,0.25,8,Passive,7.958333333333333,0.8464923483261073,8.0,0.2222222222222222,1.2358748081707338
radius,0.25,8,Passive-Aggressive,7.326530612244898,1.637932577749066,8.0,-0.14285714285714285,1.1726039399558574
radius,0.25,9,Aggressive,7.666666666666667,1.2087153956996735,8.0,-0.1875,1.2658568706695383
radius,0.25,9,Assertive,7.4324324324324325,1.8062379057268214,8.0,-0.05405405405405406,1.4034389455015357
radius,0.25,9,Passive,7.875,0.7303770972760252,8.0,-0.08333333333333333,0.9457093618988333
radius,0.25,9,Passive-Aggressive,7.489795918367347,1.780946014758166,8.0,0.16326530612244897,1.1428571428571426
radius,0.25,10,Aggressive,7.8125,1.196737586550966,8.0,0.14583333333333334,1.6629835189794164
radius,0.25,10,Assertive,7.635135135135135,1.626613629383621,8.0,0.20270270270270271,1.303101986459956
radius,0.25,10,Passive,7.819444444444445,0.9689022231354775,8.0,-0.05555555555555555,1.086263642535946
radius,0.25,10,Passive-Aggressive,7.224489795918367,1.597723720934059,8.0,-0.2653061224489796,1.6043626746583004
radius,0.25,11,Aggressive,7.604166666666667,1.4252970326236123,8.0,-0.20833333333333334,1.6237379168742214
radius,0.25,11,Assertive,7.513513513513513,1.7220825497153325,8.0,-0.12162162162162163,1.1580889158697394
radius,0.25,11,Passive,7.527777777777778,1.2330224198894042,8.0,-0.2916666666666667,1.260868245454047
radius,0.25,11,Passive-Aggressive,7.6938775510204085,1.4748457777093886,8.0,0.46938775510204084,1.370858016236646
radius,0.25,12,Aggressive,7.520833333333333,1.5572696145761884,8.0,-0.08333333333333333,1.1454504518261157
radius,0.25,12,Assertive,7.418918918918919,1.6048450337577445,8.0,-0.0945945945945946,1.2069311124117101
radius,0.25,12,Passive,7.652777777777778,1.2577615061130551,8.0,0.125,0.9632325271752666
radius,0.25,12,Passive-Aggressive,7.571428571428571,1.5811388300841895,8.0,-0.12244897959183673,1.183790751872005
radius,0.25,13,Aggressive,7.666666666666667,1.3889125293496338,8.0,0.14583333333333334,0.9890804526649848
radius,0.25,13,Assertive,7.378378378378378,1.772721015860659,8.0,-0.04054054054054054,1.3891871003229959
radius,0.25,13,Passive,7.791666666666667,1.0472969903114842,8.0,0.1388888888888889,1.0786736189472848
radius,0.25,13,Passive-Aggressive,7.551020408163265,1.6337740624317765,8.0,-0.02040816326530612,1.198780559540391
radius,0.25,14,Aggressive,7.75,1.6308201826336053,8.0,0.08333333333333333,1.7361406616870423
radius,0.25,14,Assertive,7.4324324324324325,1.7833405707442689,8.0,0.05405405405405406,1.54291923892991
radius,0.25,14,Passive,7.791666666666667,1.2775140913199852,8.0,0.0,1.2891748643942433
radius,0.25,14,Passive-Aggressive,7.6938775510204085,1.609918238512092,8.0,0.14285714285714285,1.2416387021459447
radius,0.25,15,Aggressive,7.916666666666667,0.9857135515319646,8.0,0.16666666666666666,1.717659631571132
radius,0.25,15,Assertive,7.486486486486487,1.7922454213917844,8.0,0.05405405405405406,1.4131659966275851
radius,0.25,15,Passive,7.944444444444445,0.8539698330405756,8.0,0.1527777777777778,1.1707674408805442
radius,0.25,15,Passive-Aggressive,7.448979591836735,1.58194532788215,8.0,-0.24489795918367346,1.2505101000008283
radius,0.25,16,Aggressive,7.854166666666667,0.9222909342370695,8.0,-0.0625,1.0799182396159994
radius,0.25,16,Assertive,7.608108108108108,1.7424401687223563,8.0,0.12162162162162163,1.6548202956916354
radius,0.25,16,Passive,8.055555555555555,0.8539698330405759,8.0,0.1111111111111111,0.9576314024578538
radius,0.25,16,Passive-Aggressive,7.530612244897959,1.4734036674811621,8.0,0.08163265306122448,1.605157503874588
radius,0.25,17,Aggressive,7.6875,1.1697653883705859,8.0,-0.16666666666666666,1.3262221715183886
radius,0.25,17,Assertive,7.445945945945946,1.5539775909589295,8.0,-0.16216216216216217,1.4899391090530083
radius,0.25,17,Passive,7.861111111111111,0.9085750421394746,8.0,-0.19444444444444445,1.0830172886774867
radius,0.25,17,Passive-Aggressive,7.612244897959184,1.319979900898309,8.0,0.08163265306122448,1.1696996532920596
radius,0.25,18,Aggressive,7.875,1.1782605282111531,8.0,0.1875,1.4389158152596193
radius,0.25,18,Assertive,7.621621621621622,1.7727210158606588,8.0,0.17567567567567569,1.1269805471465768
radius,0.25,18,Passive,7.833333333333333,1.07467649898227,8.0,-0.027777777777777776,1.1624672913432357
radius,0.25,18,Passive-Aggressive,7.653061224489796,1.3927045093414954,8.0,0.04081632653061224,1.1172731625381016
radius,0.25,19,Aggressive,7.395833333333333,1.1058756679246549,8.0,-0.4791666666666667,1.3525324290497458
radius,0.25,19,Assertive,7.554054054054054,1.605998105492766,8.0,-0.06756756756756757,1.174280089352109
radius,0.25,19,Passive,7.736111111111111,1.1627196815668743,8.0,-0.09722222222222222,1.1886757008338054
radius,0.25,19,Passive-Aggressive,7.673469387755102,1.2972367283004675,8.0,0.02040816326530612,0.9239813291396312
radius,0.25,20,Aggressive,7.604166666666667,1.1437077318469635,8.0,0.20833333333333334,1.2196674351979186
radius,0.25,20,Assertive,7.581081081081081,1.6880462627299713,8.0,0.02702702702702703,1.1700951017779446
radius,0.25,20,Passive,7.708333333333333,1.1680910151688992,8.0,-0.027777777777777776,1.482025851993848
radius,0.25,20,Passive-Aggressive,7.428571428571429,1.4288690166235205,8.0,-0.24489795918367346,1.0903098230338393
radius,0.5,0,Aggressive,4.84,2.131972354991729,3.0,0.0,0.0
radius,0.5,0,Assertive,5.0,2.014035259912054,5.0,0.0,0.0
radius,0.5,0,Passive,4.945205479452055,2.0540637970111297,3.0,0.0,0.0
radius,0.5,0,Passive-Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
radius,0.5,1,Aggressive,4.84,2.131972354991729,3.0,0.0,0.0
radius,0.5,1,Assertive,5.055555555555555,2.013258090189924,7.0,0.05555555555555555,0.4714045207910317
radius,0.5,1,Passive,4.945205479452055,2.0540637970111297,3.0,0.0,0.0
radius,0.5,1,Passive-Aggressive,5.020833333333333,2.0472044595718275,5.0,0.020833333333333332,0.1443375672974064
radius,0.5,2,Aggressive,4.84,2.131972354991729,3.0,0.0,0.0
radius,0.5,2,Assertive,5.694444444444445,2.107257004111542,7.0,0.6388888888888888,1.6809249261043009
radius,0.5,2,Passive,5.561643835616438,2.121230652827786,7.0,0.6164383561643836,1.7129420515130407
radius,0.5,2,Passive-Aggressive,5.625,2.130078412301573,7.0,0.6041666666666666,1.5809986519882466
radius,0.5,3,Aggressive,5.14,2.2407178150161196,7.0,0.3,1.2657175104763823
radius,0.5,3,Assertive,6.027777777777778,2.048511807624767,7.0,0.3333333333333333,1.4822898159913092
radius,0.5,3,Passive,5.863013698630137,2.1299130687343317,7.0,0.3013698630136986,1.3812728782102206
radius,0.5,3,Passive-Aggressive,6.270833333333333,1.932252387960781,7.0,0.6458333333333334,1.7071761346181973
radius,0.5,4,Aggressive,5.38,2.380961904742857,7.0,0.24,1.021403596098256
radius,0.5,4,Assertive,6.875,1.8684745604633188,7.0,0.8472222222222222,1.8049987103286114
radius,0.5,4,Passive,6.328767123287672,2.154161312182565,7.0,0.4657534246575342,1.3445589093001415
radius,0.5,4,Passive-Aggressive,6.604166666666667,2.111161657973944,7.0,0.3333333333333333,0.883256386318056
radius,0.5,5,Aggressive,5.7,2.4011051877102303,7.0,0.32,1.2525891552447412
radius,0.5,5,Assertive,7.388888888888889,1.8041857088413822,8.0,0.5138888888888888,1.3320856838696897
radius,0.5,5,Passive,6.945205479452055,2.033677641333171,7.0,0.6164383561643836,1.6383438197892723
radius,0.5,5,Passive-Aggressive,7.083333333333333,1.660983217322484,7.0,0.4791666666666667,1.9017302685145434
radius,0.5,6,Aggressive,6.52,2.53336913687553,7.0,0.82,1.6744173522117345
radius,0.5,6,Assertive,7.638888888888889,1.7385889985244638,8.0,0.25,1.3712336380576602
radius,0.5,6,Passive,7.232876712328767,1.8220908925462942,8.0,0.2876712328767123,1.5044328209106521
radius,0.5,6,Passive-Aggressive,7.375,1.423585524189134,8.0,0.2916666666666667,1.6367889339143267
radius,0.5,7,Aggressive,6.5,2.3233508524700848,7.0,-0.02,1.7201091564793445
radius,0.5,7,Assertive,7.486111111111111,1.4916958451784637,8.0,-0.1527777777777778,1.252149950771683
radius,0.5,7,Passive,7.109589041095891,1.9899863472145871,8.0,-0.1232876712328767,1.5451106170348023
radius,0.5,7,Passive-Aggressive,7.583333333333333,1.3019352752702065,8.0,0.20833333333333334,1.9673757586913903
radius,0.5,8,Aggressive,6.5,2.261027398763488,7.0,0.0,1.0497813183356477
radius,0.5,8,Assertive,7.555555555555555,1.2547250289519853,8.0,0.06944444444444445,1.4948398462324297
radius,0.5,8,Passive,7.47945205479452,1.7168251467388531,8.0,0.3698630136986301,1.695638599098258
radius,0.5,8,Passive-Aggressive,7.4375,1.3823546054899045,8.0,-0.14583333333333334,1.458497964364962
radius,0.5,9,Aggressive,6.84,2.279992839229715,8.0,0.34,1.2224097980160804
radius,0.5,9,Assertive,7.916666666666667,0.9306971489687671,8.0,0.3611111111111111,1.2815654550780669
radius,0.5,9,Passive,7.534246575342466,1.6251682971039405,8.0,0.0547945205479452,1.116671778084124
radius,0.5,9,Passive-Aggressive,7.708333333333333,1.0510042478877113,8.0,0.2708333333333333,1.4548463885181822
radius,0.5,10,Aggressive,6.92,2.098006828649808,7.5,0.08,1.3678524804098087
radius,0.5,10,Assertive,7.875,1.033761080632748,8.0,-0.041666666666666664,1.3576854787302284
radius,0.5,10,Passive,7.575342465753424,1.4329244399244236,8.0,0.0410958904109589,1.5673611595819934
radius,0.5,10,Passive-Aggressive,7.4375,1.3353818483306799,8.0,-0.2708333333333333,1.3166621779257357
radius,0.5,11,Aggressive,7.1,2.072659732649558,8.0,0.18,1.395181211257125
radius,0.5,11,Assertive,7.833333333333333,1.2447071039597577,8.0,-0.041666666666666664,1.0269262216871922
radius,0.5,11,Passive,7.671232876712328,1.3949790372832365,8.0,0.0958904109589041,1.0822351300490705
radius,0.5,11,Passive-Aggressive,7.333333333333333,1.6416563163442306,8.0,-0.10416666666666667,1.627419094087758
radius,0.5,12,Aggressive,6.92,2.1460927952244484,8.0,-0.18,1.2727922061357855
radius,0.5,12,Assertive,7.166666666666667,1.5654725246238321,8.0,-0.6666666666666666,1.3635083166513744
radius,0.5,12,Passive,7.534246575342466,1.6165995843541296,8.0,-0.136986301369863,1.121941131516052
radius,0.5,12,Passive-Aggressive,7.25,1.2462710336687204,8.0,-0.08333333333333333,1.6989775815751762
radius,0.5,13,Aggressive,6.88,2.228205098096599,8.0,-0.04,1.049003414324904
radius,0.5,13,Assertive,7.152777777777778,1.4885452036002096,7.5,-0.013888888888888888,1.4091557312108487
radius,0.5,13,Passive,7.383561643835616,1.6383438197892723,8.0,-0.1506849315068493,1.126341581264961
radius,0.5,13,Passive-Aggressive,7.083333333333333,1.608928986086553,7.0,-0.16666666666666666,1.4488929498558007
radius,0.5,14,Aggressive,6.78,2.1023796041628633,8.0,-0.1,0.7354021529276429
radius,0.5,14,Assertive,7.236111111111111,1.4091557312108487,8.0,0.08333333333333333,1.0973720208355395
radius,0.5,14,Passive,7.260273972602739,1.675206432223553,8.0,-0.1232876712328767,1.1540412745296906
radius,0.5,14,Passive-Aggressive,7.333333333333333,1.4041478574828783,8.0,0.25,1.577771118422333
radius,0.5,15,Aggressive,6.98,2.3775308749256,8.0,0.2,1.1952286093343936
radius,0.5,15,Assertive,7.5,1.5382448384761744,8.0,0.2638888888888889,1.1985091155917396
radius,0.5,15,Passive,7.219178082191781,1.7657747382323732,8.0,-0.0410958904109589,1.0466660849836968
radius,0.5,15,Passive-Aggressive,7.083333333333333,1.5822598077720298,7.0,-0.25,1.7197228871276435
radius,0.5,16,Aggressive,6.7,2.2337851101588417,8.0,-0.28,0.7570080742566725
