param_value,timestep,ranking,count,total,proportion
0.25,0,1,35,400,0.0875
0.25,0,2,37,400,0.0925
0.25,0,3,28,400,0.07
0.25,0,4,52,400,0.13
0.25,0,5,39,400,0.0975
0.25,0,6,45,400,0.1125
0.25,0,7,40,400,0.1
0.25,0,8,38,400,0.095
0.25,0,9,52,400,0.13
0.25,0,10,34,400,0.085
0.25,1,1,26,326,0.07975460122699386
0.25,1,2,25,326,0.07668711656441718
0.25,1,3,16,326,0.049079754601226995
0.25,1,4,37,326,0.11349693251533742
0.25,1,5,27,326,0.08282208588957055
0.25,1,6,9,326,0.027607361963190184
0.25,1,7,21,326,0.06441717791411043
0.25,1,8,95,326,0.29141104294478526
0.25,1,9,61,326,0.18711656441717792
0.25,1,10,9,326,0.027607361963190184
0.25,2,1,25,320,0.078125
0.25,2,2,22,320,0.06875
0.25,2,3,16,320,0.05
0.25,2,4,35,320,0.109375
0.25,2,5,26,320,0.08125
0.25,2,6,27,320,0.084375
0.25,2,7,39,320,0.121875
0.25,2,8,50,320,0.15625
0.25,2,9,71,320,0.221875
0.25,2,10,9,320,0.028125
0.25,3,1,19,320,0.059375
0.25,3,2,17,320,0.053125
0.25,3,3,13,320,0.040625
0.25,3,4,25,320,0.078125
0.25,3,5,17,320,0.053125
0.25,3,6,38,320,0.11875
0.25,3,7,39,320,0.121875
0.25,3,8,86,320,0.26875
0.25,3,9,53,320,0.165625
0.25,3,10,13,320,0.040625
0.25,4,1,17,320,0.053125
0.25,4,2,14,320,0.04375
0.25,4,3,11,320,0.034375
0.25,4,4,24,320,0.075
0.25,4,5,15,320,0.046875
0.25,4,6,33,320,0.103125
0.25,4,7,39,320,0.121875
0.25,4,8,103,320,0.321875
0.25,4,9,55,320,0.171875
0.25,4,10,9,320,0.028125
0.25,5,1,13,320,0.040625
0.25,5,2,12,320,0.0375
0.25,5,3,10,320,0.03125
0.25,5,4,19,320,0.059375
0.25,5,5,11,320,0.034375
0.25,5,6,33,320,0.103125
0.25,5,7,38,320,0.11875
0.25,5,8,106,320,0.33125
0.25,5,9,71,320,0.221875
0.25,5,10,7,320,0.021875
0.25,6,1,11,320,0.034375
0.25,6,2,9,320,0.028125
0.25,6,3,7,320,0.021875
0.25,6,4,16,320,0.05
0.25,6,5,9,320,0.028125
0.25,6,6,32,320,0.1
0.25,6,7,37,320,0.115625
0.25,6,8,119,320,0.371875
0.25,6,9,73,320,0.228125
0.25,6,10,7,320,0.021875
0.25,7,1,7,320,0.021875
0.25,7,2,8,320,0.025
0.25,7,3,6,320,0.01875
0.25,7,4,14,320,0.04375
0.25,7,5,12,320,0.0375
0.25,7,6,32,320,0.1
0.25,7,7,41,320,0.128125
0.25,7,8,98,320,0.30625
0.25,7,9,99,320,0.309375
0.25,7,10,3,320,0.009375
0.25,8,1,8,320,0.025
0.25,8,2,5,320,0.015625
0.25,8,3,4,320,0.0125
0.25,8,4,8,320,0.025
0.25,8,5,11,320,0.034375
0.25,8,6,34,320,0.10625
0.25,8,7,33,320,0.103125
0.25,8,8,118,320,0.36875
0.25,8,9,96,320,0.3
0.25,8,10,3,320,0.009375
0.25,9,1,6,320,0.01875
0.25,9,2,1,320,0.003125
0.25,9,3,4,320,0.0125
0.25,9,4,13,320,0.040625
0.25,9,5,11,320,0.034375
0.25,9,6,28,320,0.0875
0.25,9,7,34,320,0.10625
0.25,9,8,127,320,0.396875
0.25,9,9,93,320,0.290625
0.25,9,10,3,320,0.009375
0.25,10,1,8,319,0.025078369905956112
0.25,10,2,4,319,0.012539184952978056
0.25,10,3,4,319,0.012539184952978056
0.25,10,4,13,319,0.04075235109717868
0.25,10,5,6,319,0.018808777429467086
0.25,10,6,23,319,0.07210031347962383
0.25,10,7,38,319,0.11912225705329153
0.25,10,8,122,319,0.3824451410658307
0.25,10,9,97,319,0.30407523510971785
0.25,10,10,4,319,0.012539184952978056
0.25,11,1,6,306,0.0196078431372549
0.25,11,2,3,306,0.00980392156862745
0.25,11,3,4,306,0.013071895424836602
0.25,11,4,10,306,0.032679738562091505
0.25,11,5,6,306,0.0196078431372549
0.25,11,6,26,306,0.08496732026143791
0.25,11,7,29,306,0.09477124183006536
0.25,11,8,112,306,0.3660130718954248
0.25,11,9,105,306,0.3431372549019608
0.25,11,10,5,306,0.016339869281045753
0.25,12,1,6,280,0.02142857142857143
0.25,12,2,4,280,0.014285714285714285
