param_name,param_value,trial_id,initial_variance,final_variance,variance_reduction,initial_range,final_range,final_mean,final_std,converged
radius,0.25,0,6.358974358974359,0.742948717948718,0.8831653225667566,9,5,8.225,0.8619447302169194,True
radius,0.25,1,8.448717948717949,1.3429487179487178,0.8410470409612137,9,5,7.875,1.1588566425355287,False
radius,0.25,2,7.67948717948718,2.2762820512820516,0.7035893155167144,8,8,7.675,1.5087352489028854,False
radius,0.25,3,6.342948717948718,3.045512820512821,0.5198585143930169,9,8,7.675,1.7451397710535455,False
radius,0.25,4,9.464102564102562,0.3974358974358974,0.9580059604342015,9,2,8.25,0.6304251719561152,True
radius,0.25,5,9.682051282051283,3.59,0.6292108050782471,9,8,7.44,1.8947295321496416,False
radius,0.25,6,6.727564102564102,6.727564102564102,0.0,9,9,6.125,2.5937548269958173,False
radius,0.25,7,7.997435897435897,1.8666666666666665,0.7665918563546339,9,3,3.6666666666666665,1.3662601021279464,False
radius,0.25,8,6.819871794871795,0.45128205128205123,0.9338283673140636,9,3,8.4,0.6717752982077052,True
radius,0.25,9,7.922435897435896,1.353846153846154,0.82911238772317,9,4,7.923076923076923,1.1635489477654792,False
radius,0.5,0,8.98397435897436,8.98397435897436,0.0,9,9,6.125,2.99732786978241,False
radius,0.5,1,6.840384615384615,1.0873949579831936,0.8410330676989051,9,4,7.828571428571428,1.0427823157223148,False
radius,0.5,2,6.999358974358975,0.3019230769230769,0.9568641816879503,9,2,8.575,0.549475274168981,True
