param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.25,0,Aggressive,5.6125,2.9056633918668977,80
0.25,0,Assertive,5.591666666666667,2.7485544965905793,120
0.25,0,Passive,5.791666666666667,2.7313795367303806,120
0.25,0,Passive-Aggressive,5.5375,2.894533258542753,80
0.25,1,Aggressive,5.46875,2.894816111164977,64
0.25,1,Assertive,7.260416666666667,2.1920660365901226,96
0.25,1,Passive,5.885416666666667,2.670973769469289,96
0.25,1,Passive-Aggressive,5.642857142857143,2.997756234763625,70
0.25,2,Aggressive,5.46875,2.894816111164977,64
0.25,2,Assertive,7.53125,2.097382453892169,96
0.25,2,Passive,5.53125,2.4535822361342783,96
0.25,2,Passive-Aggressive,5.421875,2.8329393983847653,64
0.25,3,Aggressive,5.453125,2.8559583358083183,64
0.25,3,Assertive,7.510416666666667,1.7044510872336378,96
0.25,3,Passive,6.239583333333333,2.405015774832461,96
0.25,3,Passive-Aggressive,6.3125,2.701410566281817,64
0.25,4,Aggressive,5.515625,2.8001824628757364,64
0.25,4,Assertive,7.729166666666667,1.5319692635824667,96
0.25,4,Passive,6.5,2.1569959617364534,96
0.25,4,Passive-Aggressive,6.40625,2.682800893640941,64
0.25,5,Aggressive,5.84375,2.7729919089287165,64
0.25,5,Assertive,7.802083333333333,1.5735965621311188,96
0.25,5,Passive,6.864583333333333,1.922825725834202,96
0.25,5,Passive-Aggressive,6.828125,2.5420569567632763,64
0.25,6,Aggressive,6.21875,2.5910024412944215,64
0.25,6,Assertive,8.010416666666666,1.3258148768660347,96
0.25,6,Passive,7.177083333333333,1.8580963187694448,96
0.25,6,Passive-Aggressive,6.765625,2.3820905017925242,64
0.25,7,Aggressive,6.46875,2.575641390300399,64
0.25,7,Assertive,7.979166666666667,1.5422414765301267,96
0.25,7,Passive,7.229166666666667,1.8721176676169444,96
0.25,7,Passive-Aggressive,7.296875,1.6778641704867454,64
0.25,8,Aggressive,6.875,2.393774995725106,64
0.25,8,Assertive,8.010416666666666,1.3878782872971525,96
0.25,8,Passive,7.322916666666667,1.872205519907451,96
0.25,8,Passive-Aggressive,7.46875,1.5732763306865114,64
0.25,9,Aggressive,6.96875,2.3500675437777225,64
0.25,9,Assertive,8.197916666666666,1.184281186975695,96
0.25,9,Passive,7.416666666666667,1.5805839471648089,96
