param_value,timestep,ranking,count,total,proportion
0.25,0,1,3,123,0.024390243902439025
0.25,0,3,60,123,0.4878048780487805
0.25,0,7,60,123,0.4878048780487805
0.25,1,1,3,123,0.024390243902439025
0.25,1,3,59,123,0.4796747967479675
0.25,1,7,60,123,0.4878048780487805
0.25,1,8,1,123,0.008130081300813009
0.25,2,1,3,123,0.024390243902439025
0.25,2,3,57,123,0.4634146341463415
0.25,2,6,2,123,0.016260162601626018
0.25,2,7,59,123,0.4796747967479675
0.25,2,8,2,123,0.016260162601626018
0.25,3,1,3,123,0.024390243902439025
0.25,3,3,43,123,0.34959349593495936
0.25,3,6,6,123,0.04878048780487805
0.25,3,7,47,123,0.3821138211382114
0.25,3,8,18,123,0.14634146341463414
0.25,3,9,4,123,0.032520325203252036
0.25,3,10,2,123,0.016260162601626018
0.25,4,1,3,123,0.024390243902439025
0.25,4,3,24,123,0.1951219512195122
0.25,4,6,8,123,0.06504065040650407
0.25,4,7,38,123,0.3089430894308943
0.25,4,8,27,123,0.21951219512195122
0.25,4,9,21,123,0.17073170731707318
0.25,4,10,2,123,0.016260162601626018
0.25,5,1,3,123,0.024390243902439025
0.25,5,3,19,123,0.15447154471544716
0.25,5,6,9,123,0.07317073170731707
0.25,5,7,32,123,0.2601626016260163
0.25,5,8,33,123,0.2682926829268293
0.25,5,9,26,123,0.21138211382113822
0.25,5,10,1,123,0.008130081300813009
0.25,6,1,3,123,0.024390243902439025
0.25,6,3,12,123,0.0975609756097561
0.25,6,6,7,123,0.056910569105691054
0.25,6,7,28,123,0.22764227642276422
0.25,6,8,46,123,0.37398373983739835
0.25,6,9,26,123,0.21138211382113822
0.25,6,10,1,123,0.008130081300813009
0.25,7,1,3,123,0.024390243902439025
0.25,7,3,7,123,0.056910569105691054
0.25,7,6,7,123,0.056910569105691054
0.25,7,7,24,123,0.1951219512195122
0.25,7,8,57,123,0.4634146341463415
0.25,7,9,25,123,0.2032520325203252
0.25,8,1,3,123,0.024390243902439025
0.25,8,3,5,123,0.04065040650406504
0.25,8,6,9,123,0.07317073170731707
0.25,8,7,23,123,0.18699186991869918
0.25,8,8,55,123,0.44715447154471544
0.25,8,9,28,123,0.22764227642276422
0.25,9,1,4,123,0.032520325203252036
0.25,9,3,4,123,0.032520325203252036
0.25,9,6,8,123,0.06504065040650407
0.25,9,7,16,123,0.13008130081300814
0.25,9,8,60,123,0.4878048780487805
0.25,9,9,31,123,0.25203252032520324
0.25,10,1,3,123,0.024390243902439025
0.25,10,3,3,123,0.024390243902439025
0.25,10,6,7,123,0.056910569105691054
0.25,10,7,20,123,0.16260162601626016
0.25,10,8,64,123,0.5203252032520326
0.25,10,9,26,123,0.21138211382113822
0.25,11,1,3,123,0.024390243902439025
0.25,11,3,2,123,0.016260162601626018
0.25,11,6,4,123,0.032520325203252036
0.25,11,7,26,123,0.21138211382113822
0.25,11,8,50,123,0.4065040650406504
0.25,11,9,38,123,0.3089430894308943
0.25,12,1,3,123,0.024390243902439025
0.25,12,3,1,123,0.008130081300813009
0.25,12,6,5,123,0.04065040650406504
0.25,12,7,16,123,0.13008130081300814
0.25,12,8,62,123,0.5040650406504065
0.25,12,9,35,123,0.2845528455284553
0.25,12,10,1,123,0.008130081300813009
0.25,13,1,3,123,0.024390243902439025
0.25,13,3,1,123,0.008130081300813009
0.25,13,6,8,123,0.06504065040650407
0.25,13,7,19,123,0.15447154471544716
0.25,13,8,52,123,0.42276422764227645
0.25,13,9,39,123,0.3170731707317073
0.25,13,10,1,123,0.008130081300813009
0.25,14,1,4,123,0.032520325203252036
0.25,14,3,1,123,0.008130081300813009
0.25,14,6,10,123,0.08130081300813008
0.25,14,7,15,123,0.12195121951219512
0.25,14,8,55,123,0.44715447154471544
0.25,14,9,38,123,0.3089430894308943
0.25,15,1,3,123,0.024390243902439025
0.25,15,3,1,123,0.008130081300813009
0.25,15,4,1,123,0.008130081300813009
0.25,15,6,11,123,0.08943089430894309
0.25,15,7,15,123,0.12195121951219512
0.25,15,8,60,123,0.4878048780487805
0.25,15,9,31,123,0.25203252032520324
0.25,15,10,1,123,0.008130081300813009
0.25,16,1,4,123,0.032520325203252036
0.25,16,3,1,123,0.008130081300813009
0.25,16,5,1,123,0.008130081300813009
0.25,16,6,8,123,0.06504065040650407
0.25,16,7,19,123,0.15447154471544716
0.25,16,8,62,123,0.5040650406504065
0.25,16,9,27,123,0.21951219512195122
0.25,16,10,1,123,0.008130081300813009
0.25,17,1,3,123,0.024390243902439025
0.25,17,3,1,123,0.008130081300813009
0.25,17,5,2,123,0.016260162601626018
0.25,17,6,12,123,0.0975609756097561
0.25,17,7,20,123,0.16260162601626016
0.25,17,8,64,123,0.5203252032520326
0.25,17,9,21,123,0.17073170731707318
0.25,18,1,3,123,0.024390243902439025
0.25,18,3,1,123,0.008130081300813009
0.25,18,4,2,123,0.016260162601626018
0.25,18,5,1,123,0.008130081300813009
0.25,18,6,17,123,0.13821138211382114
0.25,18,7,19,123,0.15447154471544716
0.25,18,8,46,123,0.37398373983739835
0.25,18,9,34,123,0.2764227642276423
0.25,19,1,3,123,0.024390243902439025
0.25,19,3,1,123,0.008130081300813009
0.25,19,4,3,123,0.024390243902439025
0.25,19,5,1,123,0.008130081300813009
0.25,19,6,14,123,0.11382113821138211
0.25,19,7,21,123,0.17073170731707318
0.25,19,8,49,123,0.3983739837398374
0.25,19,9,31,123,0.25203252032520324
0.25,20,1,3,123,0.024390243902439025
0.25,20,3,1,123,0.008130081300813009
0.25,20,4,2,123,0.016260162601626018
0.25,20,6,18,123,0.14634146341463414
0.25,20,7,28,123,0.22764227642276422
0.25,20,8,45,123,0.36585365853658536
0.25,20,9,26,123,0.21138211382113822
0.5,0,1,3,123,0.024390243902439025
0.5,0,3,60,123,0.4878048780487805
0.5,0,7,60,123,0.4878048780487805
0.5,1,1,3,123,0.024390243902439025
0.5,1,3,60,123,0.4878048780487805
0.5,1,7,59,123,0.4796747967479675
0.5,1,8,1,123,0.008130081300813009
0.5,2,1,3,123,0.024390243902439025
0.5,2,3,52,123,0.42276422764227645
0.5,2,6,1,123,0.008130081300813009
0.5,2,7,57,123,0.4634146341463415
0.5,2,8,8,123,0.06504065040650407
0.5,2,9,2,123,0.016260162601626018
0.5,3,1,3,123,0.024390243902439025
0.5,3,3,44,123,0.35772357723577236
0.5,3,6,7,123,0.056910569105691054
0.5,3,7,54,123,0.43902439024390244
0.5,3,8,12,123,0.0975609756097561
0.5,3,9,3,123,0.024390243902439025
0.5,4,1,3,123,0.024390243902439025
0.5,4,2,1,123,0.008130081300813009
0.5,4,3,34,123,0.2764227642276423
0.5,4,6,6,123,0.04878048780487805
0.5,4,7,41,123,0.3333333333333333
0.5,4,8,28,123,0.22764227642276422
0.5,4,9,9,123,0.07317073170731707
0.5,4,10,1,123,0.008130081300813009
0.5,5,1,3,123,0.024390243902439025
0.5,5,3,23,123,0.18699186991869918
0.5,5,6,4,123,0.032520325203252036
0.5,5,7,39,123,0.3170731707317073
0.5,5,8,33,123,0.2682926829268293
0.5,5,9,20,123,0.16260162601626016
0.5,5,10,1,123,0.008130081300813009
0.5,6,1,3,123,0.024390243902439025
0.5,6,3,15,123,0.12195121951219512
0.5,6,4,1,123,0.008130081300813009
0.5,6,6,9,123,0.07317073170731707
0.5,6,7,23,123,0.18699186991869918
0.5,6,8,32,123,0.2601626016260163
0.5,6,9,38,123,0.3089430894308943
0.5,6,10,2,123,0.016260162601626018
0.5,7,1,3,123,0.024390243902439025
0.5,7,2,1,123,0.008130081300813009
0.5,7,3,13,123,0.10569105691056911
0.5,7,4,1,123,0.008130081300813009
0.5,7,6,6,123,0.04878048780487805
0.5,7,7,24,123,0.1951219512195122
0.5,7,8,47,123,0.3821138211382114
0.5,7,9,28,123,0.22764227642276422
0.5,8,1,3,123,0.024390243902439025
0.5,8,2,1,123,0.008130081300813009
0.5,8,3,11,123,0.08943089430894309
0.5,8,4,1,123,0.008130081300813009
0.5,8,5,1,123,0.008130081300813009
0.5,8,6,4,123,0.032520325203252036
0.5,8,7,27,123,0.21951219512195122
0.5,8,8,42,123,0.34146341463414637
0.5,8,9,33,123,0.2682926829268293
0.5,9,1,3,123,0.024390243902439025
0.5,9,3,11,123,0.08943089430894309
0.5,9,4,1,123,0.008130081300813009
0.5,9,5,1,123,0.008130081300813009
0.5,9,6,7,123,0.056910569105691054
0.5,9,7,23,123,0.18699186991869918
0.5,9,8,54,123,0.43902439024390244
0.5,9,9,23,123,0.18699186991869918
0.5,10,1,3,123,0.024390243902439025
0.5,10,2,1,123,0.008130081300813009
0.5,10,3,4,123,0.032520325203252036
0.5,10,4,1,123,0.008130081300813009
0.5,10,5,3,123,0.024390243902439025
0.5,10,6,16,123,0.13008130081300814
0.5,10,7,21,123,0.17073170731707318
0.5,10,8,45,123,0.36585365853658536
0.5,10,9,29,123,0.23577235772357724
0.5,11,1,4,123,0.032520325203252036
0.5,11,2,1,123,0.008130081300813009
0.5,11,3,5,123,0.04065040650406504
0.5,11,4,3,123,0.024390243902439025
0.5,11,5,1,123,0.008130081300813009
0.5,11,6,11,123,0.08943089430894309
0.5,11,7,16,123,0.13008130081300814
0.5,11,8,47,123,0.3821138211382114
0.5,11,9,35,123,0.2845528455284553
0.5,12,1,3,123,0.024390243902439025
0.5,12,2,3,123,0.024390243902439025
0.5,12,3,4,123,0.032520325203252036
0.5,12,4,1,123,0.008130081300813009
0.5,12,6,18,123,0.14634146341463414
0.5,12,7,29,123,0.23577235772357724
0.5,12,8,40,123,0.3252032520325203
0.5,12,9,25,123,0.2032520325203252
0.5,13,1,3,123,0.024390243902439025
0.5,13,2,2,123,0.016260162601626018
0.5,13,3,4,123,0.032520325203252036
0.5,13,5,1,123,0.008130081300813009
0.5,13,6,18,123,0.14634146341463414
0.5,13,7,22,123,0.17886178861788618
0.5,13,8,47,123,0.3821138211382114
0.5,13,9,26,123,0.21138211382113822
0.5,14,1,3,123,0.024390243902439025
0.5,14,2,1,123,0.008130081300813009
0.5,14,3,4,123,0.032520325203252036
0.5,14,4,2,123,0.016260162601626018
0.5,14,5,5,123,0.04065040650406504
0.5,14,6,6,123,0.04878048780487805
0.5,14,7,21,123,0.17073170731707318
0.5,14,8,54,123,0.43902439024390244
0.5,14,9,27,123,0.21951219512195122
0.5,15,1,3,123,0.024390243902439025
0.5,15,2,3,123,0.024390243902439025
0.5,15,3,4,123,0.032520325203252036
0.5,15,4,1,123,0.008130081300813009
0.5,15,5,2,123,0.016260162601626018
0.5,15,6,11,123,0.08943089430894309
0.5,15,7,15,123,0.12195121951219512
0.5,15,8,45,123,0.36585365853658536
0.5,15,9,39,123,0.3170731707317073
0.5,16,1,3,123,0.024390243902439025
0.5,16,2,2,123,0.016260162601626018
0.5,16,3,4,123,0.032520325203252036
0.5,16,4,4,123,0.032520325203252036
0.5,16,5,2,123,0.016260162601626018
0.5,16,6,8,123,0.06504065040650407
0.5,16,7,23,123,0.18699186991869918
0.5,16,8,44,123,0.35772357723577236
0.5,16,9,33,123,0.2682926829268293
0.5,17,1,3,123,0.024390243902439025
0.5,17,2,2,123,0.016260162601626018
0.5,17,3,4,123,0.032520325203252036
0.5,17,4,3,123,0.024390243902439025
0.5,17,5,5,123,0.04065040650406504
0.5,17,6,10,123,0.08130081300813008
0.5,17,7,12,123,0.0975609756097561
0.5,17,8,49,123,0.3983739837398374
