param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
0.25,0,4.902439024390244,2.0780454015549394,1,7,3.0
0.25,1,4.943089430894309,2.0893987409046497,1,8,3.0
0.25,2,5.0,2.0882183165811274,1,8,6.0
0.25,3,5.666666666666667,2.2820276670592845,1,10,7.0
0.25,4,6.617886178861789,2.2379745131177855,1,10,7.0
0.25,5,6.878048780487805,2.1523352390386394,1,10,7.0
0.25,6,7.227642276422764,1.9409859254482555,1,10,8.0
0.25,7,7.439024390243903,1.7184931517218776,1,9,8.0
0.25,8,7.520325203252033,1.6464048936102722,1,9,8.0
0.25,9,7.6016260162601625,1.7069762230924168,1,9,8.0
0.25,10,7.642276422764228,1.5156564411350981,1,9,8.0
0.25,11,7.780487804878049,1.4906076732345765,1,9,8.0
0.25,12,7.878048780487805,1.4176022578760894,1,10,8.0
0.25,13,7.837398373983739,1.4675393911536072,1,10,8.0
0.25,14,7.7560975609756095,1.5854950274936586,1,9,8.0
0.25,15,7.723577235772358,1.4948041870125763,1,10,8.0
0.25,16,7.658536585365853,1.561993620464517,1,10,8.0
0.25,17,7.5528455284552845,1.4440565133151382,1,9,8.0
0.25,18,7.544715447154472,1.5901955365914893,1,9,8.0
0.25,19,7.520325203252033,1.5906983387340894,1,9,8.0
0.25,20,7.414634146341464,1.5360521532529399,1,9,8.0
0.5,0,4.902439024390244,2.0780454015549394,1,7,3.0
0.5,1,4.9105691056910565,2.0882502287145197,1,8,3.0
0.5,2,5.252032520325203,2.1826194817724067,1,9,7.0
0.5,3,5.512195121951219,2.162898228881932,1,9,7.0
0.5,4,6.056910569105691,2.3021757812995367,1,10,7.0
0.5,5,6.691056910569106,2.1995904287188757,1,10,7.0
0.5,6,7.195121951219512,2.1488027035483017,1,10,8.0
0.5,7,7.154471544715447,2.0487201935746886,1,9,8.0
0.5,8,7.260162601626016,2.007516197897144,1,9,8.0
0.5,9,7.211382113821138,1.9087891300392905,1,9,8.0
0.5,10,7.317073170731708,1.7709730268457717,1,9,8.0
0.5,11,7.373983739837398,1.9434563345554243,1,9,8.0
0.5,12,7.162601626016261,1.8348805461625723,1,9,8.0
0.5,13,7.284552845528455,1.7765333953999696,1,9,8.0
0.5,14,7.382113821138211,1.7765333953999698,1,9,8.0
0.5,15,7.455284552845528,1.9216285465263576,1,9,8.0
0.5,16,7.341463414634147,1.8897014609073726,1,9,8.0
0.5,17,7.373983739837398,1.9222526658087513,1,9,8.0
0.5,18,7.382113821138211,1.9013382914184327,1,9,8.0
0.5,19,7.560975609756097,1.8113772563919448,1,9,8.0
0.5,20,7.569105691056911,1.7559328043316471,1,10,8.0
1.0,0,4.902439024390244,2.0780454015549394,1,7,3.0
1.0,1,4.943089430894309,2.0893987409046497,1,8,3.0
1.0,2,4.943089430894309,2.0893987409046497,1,8,3.0
1.0,3,4.943089430894309,2.0933180697440337,1,8,3.0
1.0,4,4.959349593495935,2.058163967658123,1,8,6.0
1.0,5,5.227642276422764,2.1532019928015607,1,9,7.0
1.0,6,5.699186991869919,2.2100180228832396,1,9,7.0
1.0,7,6.6016260162601625,2.3285112298450117,1,9,7.0
1.0,8,7.138211382113822,2.3758525760551885,1,10,8.0
1.0,9,7.67479674796748,1.7296637357237568,1,10,8.0
1.0,10,7.520325203252033,1.7002873117671347,1,10,8.0
1.0,11,7.365853658536586,1.8254498330994293,1,10,8.0
1.0,12,7.520325203252033,1.7757454841625033,1,10,8.0
1.0,13,7.349593495934959,2.0763450700192907,1,10,8.0
1.0,14,7.121951219512195,1.8447327135621048,1,10,8.0
1.0,15,6.739837398373984,2.6514375883319237,1,9,8.0
1.0,16,6.016260162601626,3.1099621521006227,1,9,8.0
1.0,17,6.528455284552845,2.7260889033649867,1,9,8.0
1.0,18,7.211382113821138,2.6185092509010754,1,9,8.0
1.0,19,6.813008130081301,1.934796102681043,1,9,7.0
