param_value,timestep,variance,bimodality_kurtosis
0.25,0,4.283164782867341,-1.8286296296296296
0.25,1,4.330094520457401,-1.817276982792342
0.25,2,4.32520325203252,-1.7883571711232968
0.25,3,5.165311653116532,-1.3306050699783867
0.25,4,4.967810165906537,-0.31895932435771446
0.25,5,4.594883997620464,0.29570117258789264
0.25,6,3.7367968801639226,2.0617894724467805
0.25,7,2.9292088042831645,4.637141248850937
0.25,8,2.6886112763566654,5.65685115761354
0.25,9,2.8900786568841297,6.3108943236816
0.25,10,2.2785379073302927,8.55167049517918
0.25,11,2.2038469165179455,9.587202664719445
0.25,12,1.9932579813603015,12.199232791711507
0.25,13,2.1361623372331286,10.002521700533487
0.25,14,2.4933571286932388,8.81774099968555
0.25,15,2.216273382246017,8.63870134948214
0.25,16,2.419988102320047,8.891952587719683
0.25,17,2.0683455615043957,8.806126048375463
0.25,18,2.5081631304117913,5.453730182542902
0.25,19,2.50974948773878,5.478292056389002
0.25,20,2.340273646638905,5.867308945335715
0.5,0,4.283164782867341,-1.8286296296296296
0.5,1,4.3253354484764355,-1.8194299012340265
0.5,2,4.725097494877387,-1.6521484206204682
0.5,3,4.640095181439622,-1.4273705456936245
0.5,4,5.256923788750082,-1.0729604788374105
0.5,5,4.798863110582326,-0.10423542328167912
0.5,6,4.579813603014078,0.770687413472408
0.5,7,4.163130411791922,1.381837182668165
0.5,8,3.997356071121687,1.8135514166268036
0.5,9,3.6138541873223606,2.183937537169318
0.5,10,3.110846718223279,3.2708304836977913
0.5,11,3.746315024125851,2.780323147140674
0.5,12,3.3394143697534537,2.9026811910580443
0.5,13,3.130411791922797,3.5552902402243856
0.5,14,3.1304117919227976,3.578358399507506
0.5,15,3.6626346751272387,3.020235069054184
0.5,16,3.541939321832243,2.666344617885029
0.5,17,3.665014211117721,2.3987169079985238
0.5,18,3.585696344768326,2.635529282613673
0.5,19,3.2544120563156853,4.120758714978171
0.5,20,3.0582325335448473,4.435432582110451
1.0,0,4.283164782867341,-1.8286296296296296
1.0,1,4.330094520457401,-1.817276982792342
1.0,2,4.330094520457401,-1.817276982792342
1.0,3,4.346354683059027,-1.8033988019888392
1.0,4,4.201599576971378,-1.7589083589386971
1.0,5,4.5985854980501015,-1.623968400310027
1.0,6,4.844470883733227,-1.40300910595357
1.0,7,5.37788353493291,-0.6254160865711742
1.0,8,5.598783792715977,-0.013791124297788837
1.0,9,2.9674135765747907,5.9719951398998745
1.0,10,2.867473064974552,5.656529535045333
1.0,11,3.3051754907792983,4.37467961526361
1.0,12,3.127635666600568,6.597975232549219
1.0,13,4.27615837133981,2.7658412087518904
1.0,14,3.3753718024985138,4.479504555406057
1.0,15,6.972965827219247,0.633895892669067
1.0,16,9.59323154207152,-1.0369312696145374
1.0,17,7.371141516293212,0.06164394178407173
1.0,18,6.800846057241059,1.103530943581596
1.0,19,3.7130015202591045,3.617366413884147
1.0,20,3.3211712604930925,5.698956213247964
2.0,0,4.283164782867341,-1.8286296296296296
2.0,1,4.367373917641615,-1.8111149159402697
2.0,2,4.5441205631568495,-1.6507187024481946
2.0,3,4.810628594090819,-1.6098858681948578
2.0,4,7.315883402736467,-1.3586907538523794
2.0,5,4.940048912684249,0.21111529480668478
2.0,6,4.233723312842884,1.4209290317803642
