param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.25,0,Aggressive,5.0,2.043015673820997,24
0.25,0,Assertive,4.7894736842105265,2.1705385399349204,38
0.25,0,Passive,5.0,2.02837021134844,36
0.25,0,Passive-Aggressive,4.84,2.1540659228538015,25
0.25,1,Aggressive,5.0,2.043015673820997,24
0.25,1,Assertive,4.921052631578948,2.2103146278102144,38
0.25,1,Passive,5.0,2.02837021134844,36
0.25,1,Passive-Aggressive,4.84,2.1540659228538015,25
0.25,2,Aggressive,5.125,2.0067819794495563,24
0.25,2,Assertive,5.026315789473684,2.223788368616178,38
0.25,2,Passive,5.0,2.02837021134844,36
0.25,2,Passive-Aggressive,4.84,2.1540659228538015,25
0.25,3,Aggressive,5.375,2.08123082312617,24
0.25,3,Assertive,5.526315789473684,2.2984935384356513,38
0.25,3,Passive,5.944444444444445,2.389793110524656,36
0.25,3,Passive-Aggressive,5.76,2.3678400846904055,25
0.25,4,Aggressive,6.416666666666667,2.4122273068079934,24
0.25,4,Assertive,6.842105263157895,2.354137424970604,38
0.25,4,Passive,6.583333333333333,2.1297216451250818,36
0.25,4,Passive-Aggressive,6.52,2.1432063207571344,25
0.25,5,Aggressive,6.75,2.171955640511064,24
0.25,5,Assertive,6.973684210526316,2.399176008383589,38
0.25,5,Passive,7.055555555555555,1.8814044062036581,36
0.25,5,Passive-Aggressive,6.6,2.1984843263788196,25
0.25,6,Aggressive,7.083333333333333,2.0412414523193148,24
0.25,6,Assertive,7.184210526315789,2.2881039377957624,38
0.25,6,Passive,7.638888888888889,1.1988751341576769,36
0.25,6,Passive-Aggressive,6.84,2.134635019544715,25
0.25,7,Aggressive,7.625,1.2790111669635225,24
0.25,7,Assertive,7.131578947368421,2.2918309997547155,38
0.25,7,Passive,7.777777777777778,0.7968190728895956,36
0.25,7,Passive-Aggressive,7.24,2.005824851110718,25
0.25,8,Aggressive,7.791666666666667,1.3180739131701646,24
0.25,8,Assertive,7.2368421052631575,2.019288214523713,38
0.25,8,Passive,7.944444444444445,0.7538262188687576,36
0.25,8,Passive-Aggressive,7.08,2.0800641015763595,25
0.25,9,Aggressive,8.083333333333334,0.9286112429750728,24
0.25,9,Assertive,7.2368421052631575,2.2593255454540837,38
0.25,9,Passive,7.805555555555555,0.821825301020129,36
0.25,9,Passive-Aggressive,7.4,2.140872096444188,25
0.25,10,Aggressive,8.041666666666666,0.8586727202955211,24
0.25,10,Assertive,7.447368421052632,2.0625013470403806,38
0.25,10,Passive,7.944444444444445,0.629940788348712,36
0.25,10,Passive-Aggressive,7.12,1.7869900204906948,25
0.25,11,Aggressive,8.041666666666666,0.9990937922923461,24
0.25,11,Assertive,7.5,2.0631909162161306,38
0.25,11,Passive,7.888888888888889,0.7474825474418507,36
0.25,11,Passive-Aggressive,7.8,1.6583123951777001,25
0.25,12,Aggressive,8.0,1.0632190661423901,24
0.25,12,Assertive,7.7894736842105265,1.9334592264565198,38
0.25,12,Passive,8.027777777777779,0.6963624307217002,36
0.25,12,Passive-Aggressive,7.68,1.5999999999999996,25
0.25,13,Aggressive,8.041666666666666,0.8064504441319256,24
0.25,13,Assertive,7.526315789473684,1.9415352257213685,38
0.25,13,Passive,8.055555555555555,0.860047986848722,36
0.25,13,Passive-Aggressive,7.8,1.7795130420052183,25
0.25,14,Aggressive,7.875,1.7273377354107426,24
0.25,14,Assertive,7.552631578947368,1.8987530534260475,38
0.25,14,Passive,7.833333333333333,1.0281745265969477,36
0.25,14,Passive-Aggressive,7.84,1.650252505931542,25
0.25,15,Aggressive,8.125,0.8998792189486609,24
0.25,15,Assertive,7.447368421052632,1.9548604487561134,38
