param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
radius,0.25,0,Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
radius,0.25,0,Assertive,4.7894736842105265,2.1705385399349204,3.0,0.0,0.0
radius,0.25,0,Passive,5.0,2.02837021134844,5.0,0.0,0.0
radius,0.25,0,Passive-Aggressive,4.84,2.1540659228538015,3.0,0.0,0.0
radius,0.25,1,Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
radius,0.25,1,Assertive,4.921052631578948,2.2103146278102144,5.0,0.13157894736842105,0.8111071056538126
radius,0.25,1,Passive,5.0,2.02837021134844,5.0,0.0,0.0
radius,0.25,1,Passive-Aggressive,4.84,2.1540659228538015,3.0,0.0,0.0
radius,0.25,2,Aggressive,5.125,2.0067819794495563,6.5,0.125,0.6123724356957946
radius,0.25,2,Assertive,5.026315789473684,2.223788368616178,6.5,0.10526315789473684,0.5088128039041325
radius,0.25,2,Passive,5.0,2.02837021134844,5.0,0.0,0.0
radius,0.25,2,Passive-Aggressive,4.84,2.1540659228538015,3.0,0.0,0.0
radius,0.25,3,Aggressive,5.375,2.08123082312617,7.0,0.25,1.03209369308428
radius,0.25,3,Assertive,5.526315789473684,2.2984935384356513,7.0,0.5,1.2466170438647362
radius,0.25,3,Passive,5.944444444444445,2.389793110524656,7.0,0.9444444444444444,1.9115355748633753
radius,0.25,3,Passive-Aggressive,5.76,2.3678400846904055,7.0,0.92,1.8690461025168248
radius,0.25,4,Aggressive,6.416666666666667,2.4122273068079934,7.0,1.0416666666666667,1.8761469921708918
radius,0.25,4,Assertive,6.842105263157895,2.354137424970604,7.0,1.3157894736842106,2.041531793185917
radius,0.25,4,Passive,6.583333333333333,2.1297216451250818,7.0,0.6388888888888888,2.1132612275516283
radius,0.25,4,Passive-Aggressive,6.52,2.1432063207571344,7.0,0.76,1.877054430040145
radius,0.25,5,Aggressive,6.75,2.171955640511064,7.0,0.3333333333333333,1.6329931618554518
radius,0.25,5,Assertive,6.973684210526316,2.399176008383589,8.0,0.13157894736842105,0.7770718646226045
radius,0.25,5,Passive,7.055555555555555,1.8814044062036581,7.0,0.4722222222222222,1.3832903034041926
radius,0.25,5,Passive-Aggressive,6.6,2.1984843263788196,7.0,0.08,0.8621678104251708
radius,0.25,6,Aggressive,7.083333333333333,2.0412414523193148,8.0,0.3333333333333333,1.307725096316589
radius,0.25,6,Assertive,7.184210526315789,2.2881039377957624,8.0,0.21052631578947367,1.1890921982947829
radius,0.25,6,Passive,7.638888888888889,1.1988751341576769,8.0,0.5833333333333334,1.8727367292662513
radius,0.25,6,Passive-Aggressive,6.84,2.134635019544715,8.0,0.24,1.2000000000000002
radius,0.25,7,Aggressive,7.625,1.2790111669635225,8.0,0.5416666666666666,1.7687914485336584
radius,0.25,7,Assertive,7.131578947368421,2.2918309997547155,8.0,-0.05263157894736842,0.9284502758099077
radius,0.25,7,Passive,7.777777777777778,0.7968190728895956,8.0,0.1388888888888889,1.4172967786353567
radius,0.25,7,Passive-Aggressive,7.24,2.005824851110718,8.0,0.4,1.4433756729740643
radius,0.25,8,Aggressive,7.791666666666667,1.3180739131701646,8.0,0.16666666666666666,0.9630868246861537
radius,0.25,8,Assertive,7.2368421052631575,2.019288214523713,8.0,0.10526315789473684,1.6569179086192751
radius,0.25,8,Passive,7.944444444444445,0.7538262188687576,8.0,0.16666666666666666,1.0
radius,0.25,8,Passive-Aggressive,7.08,2.0800641015763595,8.0,-0.16,0.9865765724632495
radius,0.25,9,Aggressive,8.083333333333334,0.9286112429750728,8.0,0.2916666666666667,1.0417028979206269
radius,0.25,9,Assertive,7.2368421052631575,2.2593255454540837,8.0,0.0,1.4519325425473828
radius,0.25,9,Passive,7.805555555555555,0.821825301020129,8.0,-0.1388888888888889,0.8669413484125102
radius,0.25,9,Passive-Aggressive,7.4,2.140872096444188,8.0,0.32,0.9
radius,0.25,10,Aggressive,8.041666666666666,0.8586727202955211,8.0,-0.041666666666666664,1.0417028979206269
radius,0.25,10,Assertive,7.447368421052632,2.0625013470403806,8.0,0.21052631578947367,1.4915599441042688
radius,0.25,10,Passive,7.944444444444445,0.629940788348712,8.0,0.1388888888888889,0.7231983635323527
radius,0.25,10,Passive-Aggressive,7.12,1.7869900204906948,8.0,-0.28,1.4583095236151573
radius,0.25,11,Aggressive,8.041666666666666,0.9990937922923461,8.0,0.0,0.9325048082403138
radius,0.25,11,Assertive,7.5,2.0631909162161306,8.0,0.05263157894736842,0.7692526531518908
radius,0.25,11,Passive,7.888888888888889,0.7474825474418507,8.0,-0.05555555555555555,0.7908203496350011
radius,0.25,11,Passive-Aggressive,7.8,1.6583123951777001,8.0,0.68,1.4922019523732928
radius,0.25,12,Aggressive,8.0,1.0632190661423901,8.0,-0.041666666666666664,0.9078961186825509
radius,0.25,12,Assertive,7.7894736842105265,1.9334592264565198,8.0,0.2894736842105263,1.0373535647057281
radius,0.25,12,Passive,8.027777777777779,0.6963624307217002,8.0,0.1388888888888889,0.5426273532033236
radius,0.25,12,Passive-Aggressive,7.68,1.5999999999999996,8.0,-0.12,0.6658328118479394
radius,0.25,13,Aggressive,8.041666666666666,0.8064504441319256,8.0,0.041666666666666664,0.954584665735822
radius,0.25,13,Assertive,7.526315789473684,1.9415352257213685,8.0,-0.2631578947368421,0.890921494594548
radius,0.25,13,Passive,8.055555555555555,0.860047986848722,8.0,0.027777777777777776,0.7740842003337552
radius,0.25,13,Passive-Aggressive,7.8,1.7795130420052183,8.0,0.12,1.0535653752852738
radius,0.25,14,Aggressive,7.875,1.7273377354107426,8.0,-0.16666666666666666,1.8804871400937504
radius,0.25,14,Assertive,7.552631578947368,1.8987530534260475,8.0,0.02631578947368421,0.9996443179684749
radius,0.25,14,Passive,7.833333333333333,1.0281745265969477,8.0,-0.2222222222222222,1.26741832334443
radius,0.25,14,Passive-Aggressive,7.84,1.650252505931542,8.0,0.04,1.0984838035522722
radius,0.25,15,Aggressive,8.125,0.8998792189486609,8.0,0.25,1.8474424154113354
radius,0.25,15,Assertive,7.447368421052632,1.9548604487561134,8.0,-0.10526315789473684,0.8633521621582191
radius,0.25,15,Passive,7.861111111111111,0.798311710612833,8.0,0.027777777777777776,0.9407022031018292
radius,0.25,15,Passive-Aggressive,7.56,1.8502252115170557,8.0,-0.28,1.1733143937865362
radius,0.25,16,Aggressive,7.916666666666667,0.8805466023105082,8.0,-0.20833333333333334,1.2150922908825974
radius,0.25,16,Assertive,7.2631578947368425,2.177082234431334,8.0,-0.18421052631578946,1.6742124111725012
radius,0.25,16,Passive,8.055555555555555,0.7908203496350014,8.0,0.19444444444444445,0.749073501808141
radius,0.25,16,Passive-Aggressive,7.44,1.685229954635272,8.0,-0.12,1.480990659434871
radius,0.25,17,Aggressive,7.875,0.8998792189486611,8.0,-0.041666666666666664,1.1970676733137329
radius,0.25,17,Assertive,7.2368421052631575,1.8806872022677843,8.0,-0.02631578947368421,1.7473817031492322
radius,0.25,17,Passive,7.638888888888889,1.0184800377531156,8.0,-0.4166666666666667,0.996422170998389
radius,0.25,17,Passive-Aggressive,7.6,1.607275126832159,8.0,0.16,1.0677078252031311
radius,0.25,18,Aggressive,7.5,1.2510864843424485,8.0,-0.375,1.3452816094393218
radius,0.25,18,Assertive,7.394736842105263,2.1122483689470535,8.0,0.15789473684210525,1.0533425763799704
radius,0.25,18,Passive,7.805555555555555,0.9803627446568495,8.0,0.16666666666666666,0.9411239481143202
radius,0.25,18,Passive-Aggressive,7.44,1.7097758137642878,8.0,-0.16,0.9865765724632495
radius,0.25,19,Aggressive,7.333333333333333,1.2394482175782782,8.0,-0.16666666666666666,1.4039282363260677
radius,0.25,19,Assertive,7.473684210526316,1.9691793064180405,8.0,0.07894736842105263,1.0999159414410407
radius,0.25,19,Passive,7.666666666666667,1.3522468075656269,8.0,-0.1388888888888889,1.2683572677799262
radius,0.25,19,Passive-Aggressive,7.56,1.6350331291240963,8.0,0.12,0.9712534856222311
radius,0.25,20,Aggressive,7.25,1.1515584902738285,8.0,-0.08333333333333333,1.3486439781165913
radius,0.25,20,Assertive,7.342105263157895,2.017173776022843,8.0,-0.13157894736842105,0.9634132068392957
radius,0.25,20,Passive,7.666666666666667,1.0419761445034557,8.0,0.0,1.6035674514745464
radius,0.25,20,Passive-Aggressive,7.32,1.6512621435334451,8.0,-0.24,0.7788880963698616
radius,0.5,0,Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
radius,0.5,0,Assertive,5.0,2.02837021134844,5.0,0.0,0.0
radius,0.5,0,Passive,4.891891891891892,2.1053342804486967,3.0,0.0,0.0
radius,0.5,0,Passive-Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
radius,0.5,1,Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
radius,0.5,1,Assertive,5.0,2.02837021134844,5.0,0.0,0.0
radius,0.5,1,Passive,4.891891891891892,2.1053342804486967,3.0,0.0,0.0
radius,0.5,1,Passive-Aggressive,5.041666666666667,2.095111632735399,5.0,0.041666666666666664,0.20412414523193148
radius,0.5,2,Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
radius,0.5,2,Assertive,5.416666666666667,2.089087292165101,7.0,0.4166666666666667,1.3174650984805198
radius,0.5,2,Passive,5.297297297297297,2.1840948400356313,7.0,0.40540540540540543,1.300842877595981
radius,0.5,2,Passive-Aggressive,5.541666666666667,2.283764372728703,7.0,0.5,1.383128149616249
radius,0.5,3,Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
radius,0.5,3,Assertive,5.638888888888889,2.086045853184273,7.0,0.2222222222222222,1.3333333333333333
radius,0.5,3,Passive,5.621621621621622,2.138942513270302,7.0,0.32432432432432434,1.2484224279299687
radius,0.5,3,Passive-Aggressive,6.041666666666667,2.1157621027332723,7.0,0.5,1.5322617553657472
radius,0.5,4,Aggressive,4.961538461538462,2.4079994888831555,5.0,0.2692307692307692,1.185164707800306
radius,0.5,4,Assertive,6.694444444444445,2.0116722886259075,7.0,1.0555555555555556,1.9704161191331342
radius,0.5,4,Passive,6.027027027027027,2.3032161871619445,7.0,0.40540540540540543,1.2351216642604588
radius,0.5,4,Passive-Aggressive,6.333333333333333,2.2968156910907283,7.0,0.2916666666666667,0.8064504441319253
radius,0.5,5,Aggressive,5.230769230769231,2.5346825017377195,7.0,0.2692307692307692,1.0023050357128733
radius,0.5,5,Assertive,7.333333333333333,1.772810520855837,8.0,0.6388888888888888,1.588400413313933
radius,0.5,5,Passive,6.648648648648648,2.238752333781478,7.0,0.6216216216216216,1.4596679864375433
radius,0.5,5,Passive-Aggressive,7.375,1.582856526223617,8.0,1.0416666666666667,2.274225461398971
radius,0.5,6,Aggressive,5.961538461538462,2.8772315753970066,7.0,0.7307692307692307,1.613882085102683
radius,0.5,6,Assertive,7.861111111111111,1.6928889555647222,8.0,0.5277777777777778,1.576363103767858
radius,0.5,6,Passive,7.135135135135135,2.043447008286654,8.0,0.4864864864864865,1.6603483841521804
radius,0.5,6,Passive-Aggressive,7.625,1.4084373085707127,8.0,0.25,1.6484511834894675
radius,0.5,7,Aggressive,5.8076923076923075,2.63847275171423,7.0,-0.15384615384615385,1.7132964178403616
radius,0.5,7,Assertive,7.694444444444445,1.5642331657478037,8.0,-0.16666666666666666,0.9102589898327995
radius,0.5,7,Passive,7.27027027027027,1.9242408120354118,8.0,0.13513513513513514,1.3976599920772768
radius,0.5,7,Passive-Aggressive,7.625,1.5551457362156016,8.0,0.0,2.284160962880643
radius,0.5,8,Aggressive,6.0,2.6832815729997477,7.0,0.19230769230769232,0.9389027966400258
radius,0.5,8,Assertive,7.75,1.1801936887041646,8.0,0.05555555555555555,1.6203076329502448
radius,0.5,8,Passive,7.513513513513513,1.980763343618673,8.0,0.24324324324324326,1.1644122362187097
radius,0.5,8,Passive-Aggressive,7.5,1.7194539072421902,8.0,-0.125,1.8012676695569998
radius,0.5,9,Aggressive,5.961538461538462,2.6605378287973163,7.0,-0.038461538461538464,0.44549022263293103
radius,0.5,9,Assertive,7.888888888888889,1.0896336940924631,8.0,0.1388888888888889,0.9607371508460953
radius,0.5,9,Passive,7.216216216216216,1.8876077619736211,8.0,-0.2972972972972973,0.5708115501860712
radius,0.5,9,Passive-Aggressive,7.541666666666667,1.2846642825425558,8.0,0.041666666666666664,1.5457984194658723
radius,0.5,10,Aggressive,6.423076923076923,2.4685716829466697,7.0,0.46153846153846156,1.4207257083834088
radius,0.5,10,Assertive,7.75,1.2041594578792296,8.0,-0.1388888888888889,1.5703098470916552
radius,0.5,10,Passive,7.405405405405405,1.7071656083738374,8.0,0.1891891891891892,1.5782873600808538
radius,0.5,10,Passive-Aggressive,7.5,1.4142135623730951,8.0,-0.041666666666666664,0.9990937922923461
radius,0.5,11,Aggressive,6.5,2.533771891863986,7.5,0.07692307692307693,1.4675987714106855
radius,0.5,11,Assertive,7.722222222222222,1.5786270908810263,8.0,-0.027777777777777776,1.3624790663893542
radius,0.5,11,Passive,7.675675675675675,1.700556347755608,8.0,0.2702702702702703,1.0710495540109932
radius,0.5,11,Passive-Aggressive,7.333333333333333,1.88048714009375,8.0,-0.16666666666666666,2.1602468994692865
radius,0.5,12,Aggressive,6.538461538461538,2.5334682825055337,7.5,0.038461538461538464,0.8708969735057864
radius,0.5,12,Assertive,7.055555555555555,1.637846049706651,7.0,-0.6666666666666666,1.5856499343441834
radius,0.5,12,Passive,7.405405405405405,1.8021508670884765,8.0,-0.2702702702702703,1.0710495540109932
radius,0.5,12,Passive-Aggressive,7.625,0.9696480760071396,8.0,0.2916666666666667,1.9666605256597813
radius,0.5,13,Aggressive,6.615384615384615,2.5780135465419582,8.0,0.07692307692307693,0.6883648406522183
radius,0.5,13,Assertive,7.361111111111111,1.376388188137505,8.0,0.3055555555555556,1.6702342768852936
radius,0.5,13,Passive,7.54054054054054,1.7255368664498238,8.0,0.13513513513513514,1.3157626044356296
radius,0.5,13,Passive-Aggressive,7.5,1.1420804814403216,8.0,-0.125,1.3290238326779873
radius,0.5,14,Aggressive,6.576923076923077,2.5325572360454474,7.5,-0.038461538461538464,0.34418242032610913
radius,0.5,14,Assertive,7.555555555555555,1.3189702573153572,8.0,0.19444444444444445,1.3694512862445403
radius,0.5,14,Passive,7.54054054054054,1.788770443544867,8.0,0.0,1.130388330520878
radius,0.5,14,Passive-Aggressive,7.75,1.0733936430981312,8.0,0.25,1.6218615177038684
radius,0.5,15,Aggressive,6.653846153846154,2.8276111145956078,8.0,0.07692307692307693,1.4675987714106855
radius,0.5,15,Assertive,8.083333333333334,1.1801936887041649,8.0,0.5277777777777778,1.3198725287176383
radius,0.5,15,Passive,7.486486486486487,1.8199759098164765,8.0,-0.05405405405405406,1.1041826022987409
radius,0.5,15,Passive-Aggressive,7.333333333333333,1.4939491483885972,8.0,-0.4166666666666667,1.767254482466264
radius,0.5,16,Aggressive,6.5,2.7604347483684517,8.0,-0.15384615384615385,0.6126863923612269
radius,0.5,16,Assertive,7.833333333333333,1.1338934190276817,8.0,-0.25,1.0522085616183026
radius,0.5,16,Passive,7.5675675675675675,1.8187379711788632,8.0,0.08108108108108109,1.0640169792499237
radius,0.5,16,Passive-Aggressive,7.166666666666667,1.4939491483885974,8.0,-0.16666666666666666,2.1802805297497376
radius,0.5,17,Aggressive,6.3076923076923075,2.753459362608873,7.5,-0.19230769230769232,0.9805806756909202
radius,0.5,17,Assertive,7.916666666666667,1.338976154700726,8.0,0.08333333333333333,1.4015297764534702
