param_value,timestep,ranking,count,total,proportion
1.0,0,1,3,243,0.012345679012345678
1.0,0,3,120,243,0.49382716049382713
1.0,0,7,120,243,0.49382716049382713
1.0,1,1,3,243,0.012345679012345678
1.0,1,3,119,243,0.4897119341563786
1.0,1,4,1,243,0.00411522633744856
1.0,1,7,119,243,0.4897119341563786
1.0,1,8,1,243,0.00411522633744856
1.0,2,1,3,243,0.012345679012345678
1.0,2,3,117,243,0.48148148148148145
1.0,2,6,1,243,0.00411522633744856
1.0,2,7,119,243,0.4897119341563786
1.0,2,8,2,243,0.00823045267489712
1.0,2,9,1,243,0.00411522633744856
1.0,3,1,3,243,0.012345679012345678
1.0,3,3,114,243,0.4691358024691358
1.0,3,4,1,243,0.00411522633744856
1.0,3,6,2,243,0.00823045267489712
1.0,3,7,114,243,0.4691358024691358
1.0,3,8,5,243,0.0205761316872428
1.0,3,9,4,243,0.01646090534979424
1.0,4,1,3,243,0.012345679012345678
1.0,4,3,103,243,0.42386831275720166
1.0,4,5,1,243,0.00411522633744856
1.0,4,6,3,243,0.012345679012345678
1.0,4,7,110,243,0.45267489711934156
1.0,4,8,14,243,0.05761316872427984
1.0,4,9,8,243,0.03292181069958848
1.0,4,10,1,243,0.00411522633744856
1.0,5,1,3,243,0.012345679012345678
1.0,5,3,88,243,0.36213991769547327
1.0,5,4,3,243,0.012345679012345678
1.0,5,5,1,243,0.00411522633744856
1.0,5,6,6,243,0.024691358024691357
1.0,5,7,107,243,0.4403292181069959
1.0,5,8,16,243,0.06584362139917696
1.0,5,9,18,243,0.07407407407407407
1.0,5,10,1,243,0.00411522633744856
1.0,6,1,3,243,0.012345679012345678
1.0,6,2,1,243,0.00411522633744856
1.0,6,3,72,243,0.2962962962962963
1.0,6,4,8,243,0.03292181069958848
1.0,6,5,1,243,0.00411522633744856
1.0,6,6,14,243,0.05761316872427984
1.0,6,7,92,243,0.3786008230452675
1.0,6,8,23,243,0.09465020576131687
1.0,6,9,28,243,0.11522633744855967
1.0,6,10,1,243,0.00411522633744856
1.0,7,1,3,243,0.012345679012345678
1.0,7,3,61,243,0.25102880658436216
1.0,7,4,4,243,0.01646090534979424
1.0,7,5,2,243,0.00823045267489712
1.0,7,6,13,243,0.053497942386831275
1.0,7,7,82,243,0.3374485596707819
1.0,7,8,39,243,0.16049382716049382
1.0,7,9,38,243,0.15637860082304528
1.0,7,10,1,243,0.00411522633744856
1.0,8,1,3,243,0.012345679012345678
1.0,8,2,1,243,0.00411522633744856
1.0,8,3,43,243,0.17695473251028807
1.0,8,4,8,243,0.03292181069958848
1.0,8,5,2,243,0.00823045267489712
1.0,8,6,10,243,0.0411522633744856
1.0,8,7,75,243,0.30864197530864196
1.0,8,8,56,243,0.23045267489711935
1.0,8,9,44,243,0.18106995884773663
1.0,8,10,1,243,0.00411522633744856
1.0,9,1,3,243,0.012345679012345678
1.0,9,3,29,243,0.11934156378600823
1.0,9,4,9,243,0.037037037037037035
1.0,9,5,1,243,0.00411522633744856
1.0,9,6,17,243,0.06995884773662552
1.0,9,7,59,243,0.24279835390946503
1.0,9,8,69,243,0.2839506172839506
1.0,9,9,55,243,0.22633744855967078
1.0,9,10,1,243,0.00411522633744856
1.0,10,1,3,243,0.012345679012345678
1.0,10,3,20,243,0.0823045267489712
1.0,10,4,7,243,0.02880658436213992
1.0,10,6,16,243,0.06584362139917696
1.0,10,7,51,243,0.20987654320987653
1.0,10,8,79,243,0.32510288065843623
1.0,10,9,61,243,0.25102880658436216
1.0,10,10,6,243,0.024691358024691357
1.0,11,1,3,243,0.012345679012345678
1.0,11,3,16,243,0.06584362139917696
1.0,11,4,3,243,0.012345679012345678
1.0,11,5,1,243,0.00411522633744856
1.0,11,6,19,243,0.07818930041152264
1.0,11,7,48,243,0.19753086419753085
1.0,11,8,89,243,0.3662551440329218
1.0,11,9,57,243,0.2345679012345679
1.0,11,10,7,243,0.02880658436213992
1.0,12,1,4,243,0.01646090534979424
1.0,12,3,10,243,0.0411522633744856
1.0,12,5,1,243,0.00411522633744856
1.0,12,6,23,243,0.09465020576131687
1.0,12,7,47,243,0.1934156378600823
1.0,12,8,95,243,0.39094650205761317
1.0,12,9,57,243,0.2345679012345679
1.0,12,10,6,243,0.024691358024691357
1.0,13,1,3,243,0.012345679012345678
1.0,13,3,6,243,0.024691358024691357
1.0,13,4,1,243,0.00411522633744856
1.0,13,5,1,243,0.00411522633744856
1.0,13,6,19,243,0.07818930041152264
1.0,13,7,52,243,0.2139917695473251
1.0,13,8,100,243,0.411522633744856
