param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
1.0,0,4.950617283950617,2.040304027951935,1,7,3.0
1.0,1,4.958847736625515,2.0425114962362514,1,8,3.0
1.0,2,5.012345679012346,2.060011797850917,1,9,7.0
1.0,3,5.082304526748971,2.1030810823911796,1,9,7.0
1.0,4,5.345679012345679,2.182729888078176,1,10,7.0
1.0,5,5.633744855967078,2.2234691940628655,1,10,7.0
1.0,6,5.893004115226337,2.246409538359508,1,10,7.0
1.0,7,6.288065843621399,2.24329615711775,1,10,7.0
1.0,8,6.6460905349794235,2.1528030795238946,1,10,7.0
1.0,9,7.008230452674897,2.004111001254619,1,10,8.0
1.0,10,7.345679012345679,1.879602299858158,1,10,8.0
1.0,11,7.460905349794238,1.7514794228566501,1,10,8.0
1.0,12,7.567901234567901,1.6130019618859914,1,10,8.0
1.0,13,7.662551440329218,1.4349953467068217,1,10,8.0
1.0,14,7.724279835390947,1.3884511094568792,1,10,8.0
1.0,15,7.818930041152264,1.3143092359915942,1,10,8.0
1.0,16,7.901234567901234,1.2325302028546332,1,10,8.0
1.0,17,7.802469135802469,1.3150723804334885,1,10,8.0
1.0,18,7.847736625514403,1.2814091145208055,1,10,8.0
1.0,19,7.917695473251029,1.2569704978638458,1,10,8.0
1.0,20,7.88477366255144,1.260941637109361,1,10,8.0
2.0,0,4.950617283950617,2.040304027951935,1,7,3.0
2.0,1,4.962962962962963,2.0556982552905008,1,8,3.0
2.0,2,5.008230452674897,2.079001209551533,1,9,6.0
2.0,3,5.246913580246914,2.186722882208705,1,9,7.0
2.0,4,5.934156378600823,2.318579735953372,1,9,7.0
2.0,5,6.658436213991769,2.242204314752862,1,9,7.0
2.0,6,7.11522633744856,1.9207153266205388,1,10,8.0
2.0,7,7.460905349794238,1.7348858547526542,1,9,8.0
2.0,8,7.576131687242798,1.5920016557287269,1,9,8.0
2.0,9,7.654320987654321,1.331380571857529,1,9,8.0
2.0,10,7.7818930041152266,1.3957437207306789,1,9,8.0
2.0,11,7.732510288065844,1.4194824582480345,1,9,8.0
2.0,12,7.872427983539095,1.228190342965018,1,10,8.0
2.0,13,7.823045267489712,1.3413188072082218,1,9,8.0
2.0,14,7.567901234567901,1.4568584303469057,1,9,8.0
2.0,15,7.604938271604938,1.4546506695952897,1,9,8.0
2.0,16,7.51440329218107,1.3767544606602133,1,9,8.0
2.0,17,7.45679012345679,1.688923927914521,1,9,8.0
2.0,18,7.563786008230453,1.5951389442738078,1,9,8.0
2.0,19,7.506172839506172,1.9033905597369198,1,9,8.0
2.0,20,7.407407407407407,1.9248984803826958,1,9,8.0
3.0,0,4.950617283950617,2.040304027951935,1,7,3.0
3.0,1,4.954732510288066,2.0454566238506295,1,8,3.0
3.0,2,5.102880658436214,2.085395877294664,1,8,7.0
3.0,3,5.54320987654321,2.228938427507825,1,9,7.0
3.0,4,6.275720164609053,2.19929247542089,1,9,7.0
3.0,5,6.979423868312757,1.9401128016766453,1,10,7.0
3.0,6,7.3580246913580245,1.7126798051855163,1,10,8.0
3.0,7,7.621399176954733,1.4843101248091282,1,10,8.0
3.0,8,7.621399176954733,1.3982999185844827,1,9,8.0
3.0,9,7.847736625514403,1.2117984980056429,1,9,8.0
3.0,10,7.753086419753086,1.3003260639801293,1,9,8.0
3.0,11,7.460905349794238,1.6469087005246599,1,9,8.0
3.0,12,7.403292181069959,1.746871307420978,1,9,8.0
3.0,13,7.62962962962963,1.5193880165723246,1,9,8.0
3.0,14,7.6419753086419755,1.5559162640950253,1,9,8.0
3.0,15,7.609053497942387,1.482487414834497,1,9,8.0
3.0,16,7.48559670781893,1.4975180409478628,1,9,8.0
3.0,17,7.378600823045267,1.5550088680354022,1,9,8.0
3.0,18,7.283950617283951,1.650704091456512,1,9,8.0
3.0,19,7.403292181069959,1.7981594886185321,1,9,8.0
3.0,20,7.283950617283951,1.8690690299915582,1,9,8.0
4.0,0,4.950617283950617,2.040304027951935,1,7,3.0
4.0,1,4.950617283950617,2.040304027951935,1,7,3.0
4.0,2,5.078189300411522,2.0983212527446216,1,9,7.0
4.0,3,5.662551440329218,2.3037242737289008,1,10,7.0
4.0,4,6.711934156378601,2.189225485657349,1,10,7.0
4.0,5,7.255144032921811,1.802410082991095,1,10,8.0
4.0,6,7.600823045267489,1.7252138870763059,1,10,8.0
4.0,7,7.703703703703703,1.4122642663916414,1,10,8.0
4.0,8,7.773662551440329,1.3553558288685696,1,9,8.0
4.0,9,7.818930041152264,1.28248358262928,1,9,8.0
4.0,10,7.790123456790123,1.2167839610366071,1,9,8.0
4.0,11,7.670781893004115,1.3631249820524802,1,9,8.0
4.0,12,7.695473251028806,1.4537853419822775,1,9,8.0
4.0,13,7.703703703703703,1.4268190747870972,1,9,8.0
4.0,14,7.637860082304527,1.4144059396652446,1,9,8.0
4.0,15,7.633744855967078,1.4030711476530058,1,9,8.0
4.0,16,7.57201646090535,1.5286380692745287,1,10,8.0
4.0,17,7.390946502057613,1.5291385819837482,1,9,8.0
4.0,18,7.526748971193416,1.6345648341545607,1,9,8.0
4.0,19,7.473251028806584,1.7774716602072305,1,9,8.0
4.0,20,7.3580246913580245,1.790530476651422,1,9,8.0
