param_value,timestep,variance,bimodality_kurtosis
1.0,0,4.145709495503734,-1.9022128027681664
1.0,1,4.154685092042204,-1.8935723182027688
1.0,2,4.226185032769395,-1.8556223693424112
1.0,3,4.404748598621485,-1.764339660000274
1.0,4,4.744703551287913,-1.6100846878096058
1.0,5,4.923470338193703,-1.4401555275747207
1.0,6,5.025588917678539,-1.2759069265938632
1.0,7,5.011668275500009,-1.0023445102777226
1.0,8,4.615488831309591,-0.4520944022715869
1.0,9,3.999932259648766,0.3895202108793492
1.0,10,3.5183661027282427,1.5533208394039697
1.0,11,3.0550559704652067,2.6161896051996525
1.0,12,2.5910684346898334,4.623734657439448
1.0,13,2.050737523074057,6.258870713723283
1.0,14,1.919863164490508,6.752316153324383
1.0,15,1.7203000897559653,8.345500094473032
1.0,16,1.5128791342783114,10.547779804687261
1.0,17,1.7222984301173603,7.552240739290468
1.0,18,1.6352520787820284,8.689910517493578
1.0,19,1.5734728784568748,9.98166693610608
1.0,20,1.5834307100882319,9.566821964597208
2.0,0,4.145709495503734,-1.9022128027681664
2.0,1,4.208504801097395,-1.8867257419397616
2.0,2,4.3044590086199594,-1.8188583463217902
2.0,3,4.762078951379363,-1.6674981312197372
2.0,4,5.3536893088790665,-1.398311504339639
2.0,5,5.006790970211181,-0.6136584177327116
2.0,6,3.6739656895121002,1.1899545794644553
2.0,7,2.9974428017409274,2.790282650055472
2.0,8,2.524039357144067,5.373035382600644
2.0,9,1.765279682975156,8.354247838294986
2.0,10,1.9400836593337738,9.43440108139035
2.0,11,2.0066385544209053,9.869436511640858
2.0,12,1.5022438991346165,11.940304905710256
2.0,13,1.7917322901319246,7.971461713615945
2.0,14,2.113702179545801,6.652392715228645
2.0,15,2.1073007163542146,7.156692384063977
2.0,16,1.8876526274788734,7.267231550568548
2.0,17,2.8407254991617132,6.033103846112789
2.0,18,2.533997188775424,8.580295518493168
2.0,19,3.607986587410456,5.6102121439782895
2.0,20,3.6899862825788756,4.937975705145033
3.0,0,4.145709495503734,-1.9022128027681664
3.0,1,4.1666751342105695,-1.8968041180716395
3.0,2,4.330979356127962,-1.8443439577331837
3.0,3,4.947721383935375,-1.5684307210101143
3.0,4,4.816982506054293,-0.9492329165771003
3.0,5,3.748547816220427,0.8096799485994501
3.0,6,2.9212010364273735,2.8580465703679385
3.0,7,2.1941099764602283,5.58663551540393
3.0,8,1.9471963962133148,8.082661706070562
3.0,9,1.462412572609189,12.490072128764856
3.0,10,1.6838896509678405,10.729295304643909
3.0,11,2.701146505444631,6.883910251982584
3.0,12,3.039001507222815,5.533253147162377
3.0,13,2.2990397805212623,8.770135451495491
3.0,14,2.4109129705837526,8.03623454594725
3.0,15,2.1887246185371474,6.956988399089347
3.0,16,2.233331639824552,5.68972824325699
3.0,17,2.4081017460075533,4.157617128997808
3.0,18,2.7136107300716352,3.319979389645388
3.0,19,3.2200714660705514,4.708186137013336
3.0,20,3.4790428288370676,3.9771952806464608
4.0,0,4.145709495503734,-1.9022128027681664
4.0,1,4.145709495503734,-1.9022128027681664
4.0,2,4.38483293535877,-1.8265686662317078
4.0,3,5.285305424308626,-1.5090238971044625
4.0,4,4.772985147927993,-0.37117608802469126
4.0,5,3.2353130450981387,2.0534761937341566
4.0,6,2.9641145489339356,3.9366649574227592
4.0,7,1.986282578875171,7.36143966911877
4.0,8,1.82942979559349,8.039560772801515
4.0,9,1.6379955630069944,12.162836856056677
4.0,10,1.4744703551287914,11.500668901495763
4.0,11,1.850463174651561,9.330875545352498
4.0,12,2.1047943233585666,8.398504839402248
4.0,13,2.0274348422496566,8.529282887858187
4.0,14,1.9923114701349727,7.954395814019156
4.0,15,1.9605073752307407,8.160013347273031
4.0,16,2.327118156107639,5.768635648754453
4.0,17,2.328642314010399,4.596455604326179
4.0,18,2.66080712628495,4.78787378004573
4.0,19,3.14640383410388,3.8633154267540126
4.0,20,3.1928059746989788,3.6457540606564454
