param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
single,1.0,0,Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
single,1.0,0,Assertive,4.84,2.124757537836869,3.0,0.0,0.0
single,1.0,0,Passive,5.0,2.014035259912054,5.0,0.0,0.0
single,1.0,0,Passive-Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
single,1.0,1,Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
single,1.0,1,Assertive,4.906666666666666,2.1445930334866055,3.0,0.06666666666666667,0.5773502691896258
single,1.0,1,Passive,4.958333333333333,2.003078616445688,3.5,-0.041666666666666664,0.35355339059327373
single,1.0,1,Passive-Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
single,1.0,2,Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
single,1.0,2,Assertive,5.053333333333334,2.198853099903437,7.0,0.14666666666666667,0.7478497705283325
single,1.0,2,Passive,4.986111111111111,2.003469213361884,4.5,0.027777777777777776,0.23570226039551584
single,1.0,2,Passive-Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
single,1.0,3,Aggressive,5.0625,2.0043171490666225,6.5,0.0625,0.4330127018922193
single,1.0,3,Assertive,5.226666666666667,2.3398621658027112,7.0,0.17333333333333334,0.7046818974378274
single,1.0,3,Passive,5.0,1.9929453042960044,5.0,0.013888888888888888,0.20508023545284887
single,1.0,3,Passive-Aggressive,5.0,2.0211646105596452,5.0,0.0,0.0
single,1.0,4,Aggressive,5.208333333333333,2.072703377422863,7.0,0.14583333333333334,1.1848257495250465
single,1.0,4,Assertive,5.76,2.431993954473283,7.0,0.5333333333333333,1.5451172730208498
single,1.0,4,Passive,5.111111111111111,2.038748273498154,7.0,0.1111111111111111,0.7229742082469454
single,1.0,4,Passive-Aggressive,5.1875,2.05929392981228,7.0,0.1875,0.9599700793209596
single,1.0,5,Aggressive,5.354166666666667,2.1287253536343465,7.0,0.14583333333333334,0.8749366745068832
single,1.0,5,Assertive,6.1066666666666665,2.419366308216541,7.0,0.3466666666666667,1.7123820403905934
single,1.0,5,Passive,5.5,2.1029824562434194,7.0,0.3888888888888889,1.3485052293846032
single,1.0,5,Passive-Aggressive,5.375,2.1200662374236874,7.0,0.1875,0.9818837735092943
single,1.0,6,Aggressive,5.395833333333333,2.1999959703380245,7.0,0.041666666666666664,0.4104140790860576
single,1.0,6,Assertive,6.4,2.382367661733947,7.0,0.29333333333333333,1.4591124045148165
single,1.0,6,Passive,5.861111111111111,2.1578912212369987,7.0,0.3611111111111111,1.8936926855961704
single,1.0,6,Passive-Aggressive,5.645833333333333,2.1086406161854496,7.0,0.2708333333333333,1.8535714041694242
single,1.0,7,Aggressive,5.791666666666667,2.369651499050093,7.0,0.3958333333333333,1.3485939617834812
single,1.0,7,Assertive,6.64,2.3517675928566604,7.0,0.24,1.514256574353558
single,1.0,7,Passive,6.319444444444445,2.0612206754557962,7.0,0.4583333333333333,1.7110864681273272
single,1.0,7,Passive-Aggressive,6.1875,2.169971565653495,7.0,0.5416666666666666,1.7253841179893625
single,1.0,8,Aggressive,5.895833333333333,2.3631891842523682,7.0,0.10416666666666667,1.7653832485283176
single,1.0,8,Assertive,7.32,2.144509015816655,8.0,0.68,2.014541729123122
single,1.0,8,Passive,6.722222222222222,1.8554997976872776,7.0,0.4027777777777778,1.6922334788984796
single,1.0,8,Passive-Aggressive,6.229166666666667,2.0858141257973797,7.0,0.041666666666666664,1.3520407480535355
single,1.0,9,Aggressive,6.375,2.058971029938901,7.0,0.4791666666666667,1.8792210171253603
single,1.0,9,Assertive,7.426666666666667,2.100021449911903,8.0,0.10666666666666667,1.0600016998116577
single,1.0,9,Passive,7.152777777777778,1.7575569008657745,7.0,0.4305555555555556,1.668484923675393
single,1.0,9,Passive-Aggressive,6.770833333333333,2.013143866431397,7.0,0.5416666666666666,1.6105811470415494
single,1.0,10,Aggressive,7.083333333333333,1.7725247449982764,8.0,0.7083333333333334,1.6879842357503947
