param_value,timestep,ranking,count,total,proportion
1.0,0,1,3,123,0.024390243902439025
1.0,0,3,60,123,0.4878048780487805
1.0,0,7,60,123,0.4878048780487805
1.0,1,1,3,123,0.024390243902439025
1.0,1,3,59,123,0.4796747967479675
1.0,1,4,1,123,0.008130081300813009
1.0,1,7,59,123,0.4796747967479675
1.0,1,8,1,123,0.008130081300813009
1.0,2,1,3,123,0.024390243902439025
1.0,2,3,59,123,0.4796747967479675
1.0,2,6,1,123,0.008130081300813009
1.0,2,7,59,123,0.4796747967479675
1.0,2,9,1,123,0.008130081300813009
1.0,3,1,3,123,0.024390243902439025
1.0,3,3,58,123,0.4715447154471545
1.0,3,7,58,123,0.4715447154471545
1.0,3,8,2,123,0.016260162601626018
1.0,3,9,2,123,0.016260162601626018
1.0,4,1,3,123,0.024390243902439025
1.0,4,3,51,123,0.4146341463414634
1.0,4,6,2,123,0.016260162601626018
1.0,4,7,57,123,0.4634146341463415
1.0,4,8,5,123,0.04065040650406504
1.0,4,9,5,123,0.04065040650406504
1.0,5,1,3,123,0.024390243902439025
1.0,5,3,45,123,0.36585365853658536
1.0,5,4,2,123,0.016260162601626018
1.0,5,6,3,123,0.024390243902439025
1.0,5,7,54,123,0.43902439024390244
1.0,5,8,6,123,0.04878048780487805
1.0,5,9,9,123,0.07317073170731707
1.0,5,10,1,123,0.008130081300813009
1.0,6,1,3,123,0.024390243902439025
1.0,6,3,38,123,0.3089430894308943
1.0,6,4,7,123,0.056910569105691054
1.0,6,6,7,123,0.056910569105691054
1.0,6,7,49,123,0.3983739837398374
1.0,6,8,10,123,0.08130081300813008
1.0,6,9,9,123,0.07317073170731707
1.0,7,1,3,123,0.024390243902439025
1.0,7,3,35,123,0.2845528455284553
1.0,7,4,4,123,0.032520325203252036
1.0,7,5,1,123,0.008130081300813009
1.0,7,6,6,123,0.04878048780487805
1.0,7,7,49,123,0.3983739837398374
1.0,7,8,16,123,0.13008130081300814
1.0,7,9,9,123,0.07317073170731707
1.0,8,1,3,123,0.024390243902439025
1.0,8,2,1,123,0.008130081300813009
1.0,8,3,25,123,0.2032520325203252
1.0,8,4,7,123,0.056910569105691054
1.0,8,5,1,123,0.008130081300813009
1.0,8,6,7,123,0.056910569105691054
1.0,8,7,43,123,0.34959349593495936
1.0,8,8,21,123,0.17073170731707318
1.0,8,9,15,123,0.12195121951219512
1.0,9,1,3,123,0.024390243902439025
1.0,9,3,17,123,0.13821138211382114
1.0,9,4,7,123,0.056910569105691054
1.0,9,5,1,123,0.008130081300813009
1.0,9,6,8,123,0.06504065040650407
1.0,9,7,37,123,0.3008130081300813
1.0,9,8,33,123,0.2682926829268293
1.0,9,9,17,123,0.13821138211382114
1.0,10,1,3,123,0.024390243902439025
1.0,10,3,13,123,0.10569105691056911
1.0,10,4,6,123,0.04878048780487805
1.0,10,6,10,123,0.08130081300813008
1.0,10,7,29,123,0.23577235772357724
1.0,10,8,38,123,0.3089430894308943
1.0,10,9,24,123,0.1951219512195122
1.0,11,1,3,123,0.024390243902439025
1.0,11,3,10,123,0.08130081300813008
1.0,11,4,3,123,0.024390243902439025
1.0,11,5,1,123,0.008130081300813009
1.0,11,6,9,123,0.07317073170731707
1.0,11,7,29,123,0.23577235772357724
1.0,11,8,43,123,0.34959349593495936
1.0,11,9,24,123,0.1951219512195122
1.0,11,10,1,123,0.008130081300813009
1.0,12,1,4,123,0.032520325203252036
1.0,12,3,5,123,0.04065040650406504
1.0,12,5,1,123,0.008130081300813009
1.0,12,6,15,123,0.12195121951219512
1.0,12,7,29,123,0.23577235772357724
1.0,12,8,37,123,0.3008130081300813
1.0,12,9,31,123,0.25203252032520324
1.0,12,10,1,123,0.008130081300813009
1.0,13,1,3,123,0.024390243902439025
1.0,13,3,3,123,0.024390243902439025
1.0,13,4,1,123,0.008130081300813009
1.0,13,6,14,123,0.11382113821138211
1.0,13,7,28,123,0.22764227642276422
1.0,13,8,39,123,0.3170731707317073
1.0,13,9,34,123,0.2764227642276423
1.0,13,10,1,123,0.008130081300813009
1.0,14,1,3,123,0.024390243902439025
1.0,14,3,2,123,0.016260162601626018
1.0,14,5,1,123,0.008130081300813009
1.0,14,6,16,123,0.13008130081300814
1.0,14,7,31,123,0.25203252032520324
1.0,14,8,41,123,0.3333333333333333
1.0,14,9,28,123,0.22764227642276422
1.0,14,10,1,123,0.008130081300813009
1.0,15,1,3,123,0.024390243902439025
1.0,15,6,16,123,0.13008130081300814
1.0,15,7,21,123,0.17073170731707318
1.0,15,8,53,123,0.43089430894308944
1.0,15,9,29,123,0.23577235772357724
1.0,15,10,1,123,0.008130081300813009
1.0,16,1,3,123,0.024390243902439025
1.0,16,6,11,123,0.08943089430894309
1.0,16,7,24,123,0.1951219512195122
1.0,16,8,51,123,0.4146341463414634
1.0,16,9,33,123,0.2682926829268293
1.0,16,10,1,123,0.008130081300813009
1.0,17,1,3,123,0.024390243902439025
1.0,17,4,2,123,0.016260162601626018
1.0,17,6,17,123,0.13821138211382114
1.0,17,7,23,123,0.18699186991869918
1.0,17,8,50,123,0.4065040650406504
1.0,17,9,27,123,0.21951219512195122
1.0,17,10,1,123,0.008130081300813009
1.0,18,1,3,123,0.024390243902439025
1.0,18,4,1,123,0.008130081300813009
1.0,18,5,1,123,0.008130081300813009
1.0,18,6,13,123,0.10569105691056911
1.0,18,7,21,123,0.17073170731707318
1.0,18,8,47,123,0.3821138211382114
1.0,18,9,35,123,0.2845528455284553
1.0,18,10,2,123,0.016260162601626018
1.0,19,1,3,123,0.024390243902439025
1.0,19,4,1,123,0.008130081300813009
1.0,19,6,9,123,0.07317073170731707
1.0,19,7,16,123,0.13008130081300814
1.0,19,8,55,123,0.44715447154471544
1.0,19,9,38,123,0.3089430894308943
1.0,19,10,1,123,0.008130081300813009
1.0,20,1,3,123,0.024390243902439025
1.0,20,4,1,123,0.008130081300813009
1.0,20,6,7,123,0.056910569105691054
1.0,20,7,25,123,0.2032520325203252
1.0,20,8,50,123,0.4065040650406504
1.0,20,9,36,123,0.2926829268292683
1.0,20,10,1,123,0.008130081300813009
2.0,0,1,3,123,0.024390243902439025
2.0,0,3,60,123,0.4878048780487805
2.0,0,7,60,123,0.4878048780487805
2.0,1,1,3,123,0.024390243902439025
2.0,1,3,60,123,0.4878048780487805
2.0,1,7,58,123,0.4715447154471545
2.0,1,8,2,123,0.016260162601626018
2.0,2,1,3,123,0.024390243902439025
2.0,2,3,59,123,0.4796747967479675
2.0,2,6,1,123,0.008130081300813009
2.0,2,7,57,123,0.4634146341463415
2.0,2,8,2,123,0.016260162601626018
2.0,2,9,1,123,0.008130081300813009
2.0,3,1,3,123,0.024390243902439025
2.0,3,3,56,123,0.45528455284552843
2.0,3,6,1,123,0.008130081300813009
2.0,3,7,55,123,0.44715447154471544
2.0,3,8,5,123,0.04065040650406504
2.0,3,9,3,123,0.024390243902439025
2.0,4,1,3,123,0.024390243902439025
2.0,4,3,43,123,0.34959349593495936
2.0,4,6,2,123,0.016260162601626018
2.0,4,7,46,123,0.37398373983739835
2.0,4,8,14,123,0.11382113821138211
2.0,4,9,15,123,0.12195121951219512
2.0,5,1,3,123,0.024390243902439025
