param_value,timestep,communication_style,mean_ranking,std_ranking,count
1.0,0,Aggressive,5.0,2.043015673820997,24
1.0,0,Assertive,4.6923076923076925,2.2260875066008823,39
1.0,0,Passive,5.0,2.02837021134844,36
1.0,0,Passive-Aggressive,5.0,2.043015673820997,24
1.0,1,Aggressive,5.0,2.043015673820997,24
1.0,1,Assertive,4.82051282051282,2.2696138655100606,39
1.0,1,Passive,4.916666666666667,2.0053499872662055,36
1.0,1,Passive-Aggressive,5.0,2.043015673820997,24
1.0,2,Aggressive,5.0,2.043015673820997,24
1.0,2,Assertive,4.846153846153846,2.3117373455165424,39
1.0,2,Passive,4.972222222222222,2.0069324297987157,36
1.0,2,Passive-Aggressive,5.0,2.043015673820997,24
1.0,3,Aggressive,5.0,2.043015673820997,24
1.0,3,Assertive,5.051282051282051,2.438169265190995,39
1.0,3,Passive,5.0,2.02837021134844,36
1.0,3,Passive-Aggressive,5.0,2.043015673820997,24
1.0,4,Aggressive,5.208333333333333,2.0847096902815085,24
1.0,4,Assertive,5.589743589743589,2.531048760348259,39
1.0,4,Passive,5.166666666666667,2.104417123236605,36
1.0,4,Passive-Aggressive,5.125,2.0067819794495563,24
1.0,5,Aggressive,5.458333333333333,2.166527308784762,24
1.0,5,Assertive,5.641025641025641,2.518219708310861,39
1.0,5,Passive,5.472222222222222,2.1972204663569332,36
1.0,5,Passive-Aggressive,5.541666666666667,2.2646463716010494,24
1.0,6,Aggressive,5.458333333333333,2.186503396166874,24
1.0,6,Assertive,5.641025641025641,2.378491112661438,39
1.0,6,Passive,5.638888888888889,2.153439478439454,36
1.0,6,Passive-Aggressive,5.708333333333333,2.1765382699552314,24
1.0,7,Aggressive,5.625,2.337082908614739,24
1.0,7,Assertive,5.743589743589744,2.424848869061075,39
1.0,7,Passive,5.805555555555555,1.9393584277051807,36
1.0,7,Passive-Aggressive,6.208333333333333,2.206298625115921,24
1.0,8,Aggressive,5.958333333333333,2.3308734445466475,24
1.0,8,Assertive,6.487179487179487,2.469517264480682,39
1.0,8,Passive,6.111111111111111,1.9534259688744326,36
1.0,8,Passive-Aggressive,5.958333333333333,2.156469874317881,24
1.0,9,Aggressive,6.666666666666667,1.857222485950146,24
1.0,9,Assertive,6.743589743589744,2.457190829917139,39
1.0,9,Passive,6.555555555555555,1.8430478552727263,36
1.0,9,Passive-Aggressive,6.333333333333333,2.140025734641417,24
1.0,10,Aggressive,7.041666666666667,1.8052861188782492,24
1.0,10,Assertive,6.897435897435898,2.381893008720848,39
1.0,10,Passive,7.166666666666667,1.6818357317441641,36
1.0,10,Passive-Aggressive,6.375,2.222659981037214,24
1.0,11,Aggressive,7.041666666666667,1.9219366742195603,24
1.0,11,Assertive,6.948717948717949,2.327735718729322,39
1.0,11,Passive,7.472222222222222,1.5943849886597312,36
1.0,11,Passive-Aggressive,7.0,1.7194539072421902,24
1.0,12,Aggressive,7.583333333333333,1.4719601443879746,24
1.0,12,Assertive,7.128205128205129,2.3076473229983456,39
1.0,12,Passive,7.694444444444445,1.327068615826292,36
1.0,12,Passive-Aggressive,6.875,1.7769661492702031,24
1.0,13,Aggressive,7.791666666666667,1.1025333147551268,24
1.0,13,Assertive,7.410256410256411,2.197102741985319,39
1.0,13,Passive,7.777777777777778,1.3545924239123126,36
1.0,13,Passive-Aggressive,7.0,1.383128149616249,24
1.0,14,Aggressive,7.875,1.0759222535351587,24
1.0,14,Assertive,7.153846153846154,1.9806758753205742,39
1.0,14,Passive,7.722222222222222,1.3858697343671664,36
1.0,14,Passive-Aggressive,7.125,1.3290238326779873,24
1.0,15,Aggressive,7.75,1.1887150534341144,24
1.0,15,Assertive,7.435897435897436,2.0493243019265974,39
1.0,15,Passive,7.916666666666667,0.9673232581274398,36
1.0,15,Passive-Aggressive,7.5,0.9325048082403138,24
1.0,16,Aggressive,7.958333333333333,1.122077524511784,24
1.0,16,Assertive,7.3076923076923075,2.0410761629184755,39
1.0,16,Passive,8.11111111111111,0.8544932592822078,36
1.0,16,Passive-Aggressive,7.666666666666667,0.8681147322824311,24
1.0,17,Aggressive,7.666666666666667,1.0901402648748688,24
1.0,17,Assertive,7.410256410256411,2.073871902834339,39
1.0,17,Passive,7.888888888888889,1.0896336940924631,36
1.0,17,Passive-Aggressive,7.083333333333333,1.1764599317505435,24
1.0,18,Aggressive,7.833333333333333,1.2038585308576921,24
1.0,18,Assertive,7.461538461538462,2.0754980866510833,39
1.0,18,Passive,8.0,0.8944271909999159,36
1.0,18,Passive-Aggressive,7.541666666666667,1.4135729219948652,24
1.0,19,Aggressive,7.916666666666667,1.0598058340078629,24
1.0,19,Assertive,7.410256410256411,2.1115964117718677,39
1.0,19,Passive,8.305555555555555,0.709907215041694,36
1.0,19,Passive-Aggressive,7.791666666666667,1.062366786192884,24
1.0,20,Aggressive,7.875,1.3290238326779873,24
1.0,20,Assertive,7.384615384615385,2.00808084099411,39
1.0,20,Passive,8.083333333333334,0.874234358902528,36
1.0,20,Passive-Aggressive,7.916666666666667,0.9286112429750729,24
2.0,0,Aggressive,4.6923076923076925,2.240878948434846,26
2.0,0,Assertive,4.891891891891892,2.1053342804486967,37
2.0,0,Passive,5.0,2.02837021134844,36
2.0,0,Passive-Aggressive,5.0,2.043015673820997,24
2.0,1,Aggressive,4.6923076923076925,2.240878948434846,26
2.0,1,Assertive,4.891891891891892,2.1053342804486967,37
2.0,1,Passive,5.0,2.02837021134844,36
2.0,1,Passive-Aggressive,5.083333333333333,2.1450988964060187,24
2.0,2,Aggressive,4.6923076923076925,2.240878948434846,26
2.0,2,Assertive,5.0,2.1213203435596424,37
2.0,2,Passive,5.0,2.02837021134844,36
2.0,2,Passive-Aggressive,5.125,2.21285768418007,24
2.0,3,Aggressive,5.038461538461538,2.306178990985205,26
2.0,3,Assertive,5.108108108108108,2.2581184865057677,37
2.0,3,Passive,5.166666666666667,2.104417123236605,36
2.0,3,Passive-Aggressive,5.125,2.21285768418007,24
2.0,4,Aggressive,5.653846153846154,2.3990382688453757,26
2.0,4,Assertive,6.0,2.48327740429189,37
2.0,4,Passive,5.75,2.33452350598575,36
2.0,4,Passive-Aggressive,5.708333333333333,2.4223446540879365,24
2.0,5,Aggressive,5.769230769230769,2.502921370042492,26
2.0,5,Assertive,6.513513513513513,2.4565289606545524,37
2.0,5,Passive,6.583333333333333,2.2472205054244228,36
2.0,5,Passive-Aggressive,6.208333333333333,2.4313025077225525,24
2.0,6,Aggressive,6.153846153846154,2.4769708547709266,26
2.0,6,Assertive,6.972972972972973,2.101408079340116,37
2.0,6,Passive,6.944444444444445,1.9264244369066519,36
2.0,6,Passive-Aggressive,6.875,2.2128576841800704,24
2.0,7,Aggressive,6.0,2.4657656011875906,26
2.0,7,Assertive,7.45945945945946,1.8347660249651363,37
2.0,7,Passive,7.583333333333333,1.6453397391246762,36
2.0,7,Passive-Aggressive,7.541666666666667,1.6145847942957392,24
2.0,8,Aggressive,6.923076923076923,2.348158034257097,26
2.0,8,Assertive,7.72972972972973,1.6098421014470927,37
2.0,8,Passive,7.527777777777778,1.6815997674172587,36
2.0,8,Passive-Aggressive,7.666666666666667,1.5788456616111677,24
2.0,9,Aggressive,7.384615384615385,2.0411158335954003,26
2.0,9,Assertive,7.702702702702703,1.4503805030417376,37
2.0,9,Passive,7.527777777777778,1.133543397899099,36
2.0,9,Passive-Aggressive,7.833333333333333,1.3405601251996726,24
2.0,10,Aggressive,7.461538461538462,2.1209576936991312,26
2.0,10,Assertive,7.891891891891892,1.3699915608779774,37
2.0,10,Passive,7.638888888888889,1.150224270747176,36
2.0,10,Passive-Aggressive,7.875,1.3290238326779875,24
2.0,11,Aggressive,7.538461538461538,2.0828973902863144,26
2.0,11,Assertive,7.945945945945946,1.4709397212882869,37
2.0,11,Passive,7.694444444444445,1.1666666666666667,36
2.0,11,Passive-Aggressive,7.666666666666667,1.372609912179893,24
2.0,12,Aggressive,7.6923076923076925,2.1122354181147664,26
2.0,12,Assertive,7.864864864864865,1.4750171780951147,37
2.0,12,Passive,8.11111111111111,0.7474825474418512,36
2.0,12,Passive-Aggressive,7.708333333333333,1.334465099374755,24
2.0,13,Aggressive,7.576923076923077,2.1572774865200244,26
2.0,13,Assertive,8.0,1.5275252316519468,37
2.0,13,Passive,7.805555555555555,1.3270686158262925,36
2.0,13,Passive-Aggressive,7.875,1.3929168644626098,24
2.0,14,Aggressive,7.576923076923077,2.1198693718826527,26
2.0,14,Assertive,7.648648648648648,1.8441531663343207,37
2.0,14,Passive,7.305555555555555,1.6356640319444655,36
2.0,14,Passive-Aggressive,7.625,1.3125646981983485,24
2.0,15,Aggressive,7.269230769230769,2.4747960288911455,26
2.0,15,Assertive,7.783783783783784,1.4745081126172803,37
2.0,15,Passive,7.611111111111111,1.4789528685193414,36
2.0,15,Passive-Aggressive,7.416666666666667,1.3805061033726997,24
2.0,16,Aggressive,7.576923076923077,2.17574036912637,26
2.0,16,Assertive,7.1891891891891895,1.9837931937163802,37
2.0,16,Passive,7.583333333333333,1.0246950765959602,36
2.0,16,Passive-Aggressive,7.541666666666667,1.3180739131701646,24
2.0,17,Aggressive,6.846153846153846,2.7231203820956233,26
2.0,17,Assertive,7.486486486486487,1.7098021591469064,37
2.0,17,Passive,7.111111111111111,2.053259120489427,36
2.0,17,Passive-Aggressive,7.0,2.1467872861962625,24
2.0,18,Aggressive,7.538461538461538,2.0828973902863144,26
2.0,18,Assertive,7.081081081081081,2.2776495972136908,37
2.0,18,Passive,7.638888888888889,1.7752710501743958,36
2.0,18,Passive-Aggressive,7.416666666666667,1.9541854005467711,24
2.0,19,Aggressive,6.615384615384615,2.7579256418826534,26
2.0,19,Assertive,7.45945945945946,2.08958521395189,37
2.0,19,Passive,7.444444444444445,2.395763456537924,36
2.0,19,Passive-Aggressive,7.166666666666667,2.681120250399345,24
2.0,20,Aggressive,7.346153846153846,2.4321563714910717,26
2.0,20,Assertive,6.8108108108108105,2.4814628060193966,37
2.0,20,Passive,6.777777777777778,2.757961059614367,36
2.0,20,Passive-Aggressive,7.541666666666667,2.1260121204339084,24
3.0,0,Aggressive,5.0,2.043015673820997,24
3.0,0,Assertive,4.891891891891892,2.1053342804486967,37
3.0,0,Passive,5.0,2.02837021134844,36
3.0,0,Passive-Aggressive,4.6923076923076925,2.240878948434846,26
3.0,1,Aggressive,5.0,2.043015673820997,24
3.0,1,Assertive,4.891891891891892,2.1053342804486967,37
3.0,1,Passive,5.0,2.02837021134844,36
3.0,1,Passive-Aggressive,4.730769230769231,2.2901125266273237,26
3.0,2,Aggressive,5.0,2.043015673820997,24
3.0,2,Assertive,5.621621621621622,2.2527927279434907,37
3.0,2,Passive,5.0,2.02837021134844,36
3.0,2,Passive-Aggressive,4.6923076923076925,2.240878948434846,26
3.0,3,Aggressive,5.083333333333333,2.165272684236664,24
3.0,3,Assertive,6.513513513513513,2.2684015618152014,37
3.0,3,Passive,5.694444444444445,2.1087497236100345,36
3.0,3,Passive-Aggressive,5.038461538461538,2.3576389754289226,26
3.0,4,Aggressive,5.375,2.2995746298524145,24
3.0,4,Assertive,6.702702702702703,2.1195500684089756,37
3.0,4,Passive,6.305555555555555,2.2015506800492686,36
