param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
single,1.0,0,Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
single,1.0,0,Assertive,4.6923076923076925,2.2260875066008823,3.0,0.0,0.0
single,1.0,0,Passive,5.0,2.02837021134844,5.0,0.0,0.0
single,1.0,0,Passive-Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
single,1.0,1,Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
single,1.0,1,Assertive,4.82051282051282,2.2696138655100606,3.0,0.1282051282051282,0.8006407690254357
single,1.0,1,Passive,4.916666666666667,2.0053499872662055,3.5,-0.08333333333333333,0.5
single,1.0,1,Passive-Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
single,1.0,2,Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
single,1.0,2,Assertive,4.846153846153846,2.3117373455165424,3.0,0.02564102564102564,0.16012815380508713
single,1.0,2,Passive,4.972222222222222,2.0069324297987157,4.5,0.05555555555555555,0.3333333333333333
single,1.0,2,Passive-Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
single,1.0,3,Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
single,1.0,3,Assertive,5.051282051282051,2.438169265190995,7.0,0.20512820512820512,0.8638800836460914
single,1.0,3,Passive,5.0,2.02837021134844,5.0,0.027777777777777776,0.16666666666666666
single,1.0,3,Passive-Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
single,1.0,4,Aggressive,5.208333333333333,2.0847096902815085,7.0,0.20833333333333334,1.0206207261596576
single,1.0,4,Assertive,5.589743589743589,2.531048760348259,7.0,0.5384615384615384,1.501685962092254
single,1.0,4,Passive,5.166666666666667,2.104417123236605,7.0,0.16666666666666666,1.0000000000000002
single,1.0,4,Passive-Aggressive,5.125,2.0067819794495563,6.5,0.125,0.6123724356957946
single,1.0,5,Aggressive,5.458333333333333,2.166527308784762,7.0,0.25,1.2247448713915892
single,1.0,5,Assertive,5.641025641025641,2.518219708310861,7.0,0.05128205128205128,1.6213820931655147
single,1.0,5,Passive,5.472222222222222,2.1972204663569332,7.0,0.3055555555555556,1.1419142936176314
single,1.0,5,Passive-Aggressive,5.541666666666667,2.2646463716010494,7.0,0.4166666666666667,1.282547284209001
single,1.0,6,Aggressive,5.458333333333333,2.186503396166874,7.0,0.0,0.29488391230979427
single,1.0,6,Assertive,5.641025641025641,2.378491112661438,7.0,0.0,1.2139539573337679
single,1.0,6,Passive,5.638888888888889,2.153439478439454,7.0,0.16666666666666666,1.61245154965971
single,1.0,6,Passive-Aggressive,5.708333333333333,2.1765382699552314,7.0,0.16666666666666666,2.315668119696713
single,1.0,7,Aggressive,5.625,2.337082908614739,7.0,0.16666666666666666,0.6370220572706061
single,1.0,7,Assertive,5.743589743589744,2.424848869061075,7.0,0.10256410256410256,1.333670672575501
single,1.0,7,Passive,5.805555555555555,1.9393584277051807,7.0,0.16666666666666666,1.4638501094227996
single,1.0,7,Passive-Aggressive,6.208333333333333,2.206298625115921,7.0,0.5,1.7937088125857625
single,1.0,8,Aggressive,5.958333333333333,2.3308734445466475,7.0,0.3333333333333333,2.2586388102931196
single,1.0,8,Assertive,6.487179487179487,2.469517264480682,7.0,0.7435897435897436,2.022478270235863
single,1.0,8,Passive,6.111111111111111,1.9534259688744326,7.0,0.3055555555555556,1.5272654263551186
single,1.0,8,Passive-Aggressive,5.958333333333333,2.156469874317881,7.0,-0.25,1.2597446256043845
single,1.0,9,Aggressive,6.666666666666667,1.857222485950146,7.0,0.7083333333333334,1.8528278426482998
single,1.0,9,Assertive,6.743589743589744,2.457190829917139,8.0,0.2564102564102564,0.9656726239953907
single,1.0,9,Passive,6.555555555555555,1.8430478552727263,7.0,0.4444444444444444,1.5573685579838916
single,1.0,9,Passive-Aggressive,6.333333333333333,2.140025734641417,7.0,0.375,1.8838558977475588
single,1.0,10,Aggressive,7.041666666666667,1.8052861188782492,7.5,0.375,1.1726039399558574
single,1.0,10,Assertive,6.897435897435898,2.381893008720848,8.0,0.15384615384615385,1.4055989833605784
single,1.0,10,Passive,7.166666666666667,1.6818357317441641,8.0,0.6111111111111112,1.6780563208286594
single,1.0,10,Passive-Aggressive,6.375,2.222659981037214,7.0,0.041666666666666664,1.082636342118332
single,1.0,11,Aggressive,7.041666666666667,1.9219366742195603,7.5,0.0,0.7801894976054939
single,1.0,11,Assertive,6.948717948717949,2.327735718729322,8.0,0.05128205128205128,0.9986495604912494
single,1.0,11,Passive,7.472222222222222,1.5943849886597312,8.0,0.3055555555555556,1.5642331657478041
single,1.0,11,Passive-Aggressive,7.0,1.7194539072421902,7.5,0.625,2.0390215044604543
single,1.0,12,Aggressive,7.583333333333333,1.4719601443879746,8.0,0.5416666666666666,1.3180739131701644
single,1.0,12,Assertive,7.128205128205129,2.3076473229983456,8.0,0.1794871794871795,1.1669076288657096
single,1.0,12,Passive,7.694444444444445,1.327068615826292,8.0,0.2222222222222222,1.0450184170929677
