param_value,timestep,ranking,count,total,proportion
0.1,0,1,10,120,0.08333333333333333
0.1,0,2,11,120,0.09166666666666666
0.1,0,3,12,120,0.1
0.1,0,4,16,120,0.13333333333333333
0.1,0,5,12,120,0.1
0.1,0,6,10,120,0.08333333333333333
0.1,0,7,12,120,0.1
0.1,0,8,13,120,0.10833333333333334
0.1,0,9,11,120,0.09166666666666666
0.1,0,10,13,120,0.10833333333333334
0.1,1,1,7,120,0.058333333333333334
0.1,1,2,7,120,0.058333333333333334
0.1,1,3,9,120,0.075
0.1,1,4,12,120,0.1
0.1,1,5,9,120,0.075
0.1,1,6,2,120,0.016666666666666666
0.1,1,7,15,120,0.125
0.1,1,8,28,120,0.23333333333333334
0.1,1,9,26,120,0.21666666666666667
0.1,1,10,5,120,0.041666666666666664
0.1,2,1,7,120,0.058333333333333334
0.1,2,2,7,120,0.058333333333333334
0.1,2,3,9,120,0.075
0.1,2,4,12,120,0.1
0.1,2,5,9,120,0.075
0.1,2,6,6,120,0.05
0.1,2,7,12,120,0.1
0.1,2,8,24,120,0.2
0.1,2,9,29,120,0.24166666666666667
0.1,2,10,5,120,0.041666666666666664
0.1,3,1,5,120,0.041666666666666664
0.1,3,2,3,120,0.025
0.1,3,3,7,120,0.058333333333333334
0.1,3,4,10,120,0.08333333333333333
0.1,3,5,8,120,0.06666666666666667
0.1,3,6,8,120,0.06666666666666667
0.1,3,7,12,120,0.1
0.1,3,8,31,120,0.25833333333333336
0.1,3,9,29,120,0.24166666666666667
0.1,3,10,7,120,0.058333333333333334
0.1,4,1,3,120,0.025
0.1,4,2,3,120,0.025
0.1,4,3,4,120,0.03333333333333333
0.1,4,4,7,120,0.058333333333333334
0.1,4,5,8,120,0.06666666666666667
0.1,4,6,12,120,0.1
0.1,4,7,10,120,0.08333333333333333
0.1,4,8,36,120,0.3
0.1,4,9,31,120,0.25833333333333336
0.1,4,10,6,120,0.05
0.1,5,1,3,120,0.025
0.1,5,2,3,120,0.025
0.1,5,3,4,120,0.03333333333333333
0.1,5,4,5,120,0.041666666666666664
0.1,5,5,8,120,0.06666666666666667
0.1,5,6,8,120,0.06666666666666667
0.1,5,7,10,120,0.08333333333333333
0.1,5,8,38,120,0.31666666666666665
0.1,5,9,36,120,0.3
0.1,5,10,5,120,0.041666666666666664
0.1,6,1,3,120,0.025
0.1,6,2,1,120,0.008333333333333333
0.1,6,3,3,120,0.025
0.1,6,4,4,120,0.03333333333333333
0.1,6,5,5,120,0.041666666666666664
0.1,6,6,7,120,0.058333333333333334
0.1,6,7,11,120,0.09166666666666666
0.1,6,8,38,120,0.31666666666666665
0.1,6,9,43,120,0.35833333333333334
0.1,6,10,5,120,0.041666666666666664
