param_value,timestep,variance,bimodality_kurtosis
0.1,0,4.145709495503734,-1.9022128027681664
0.1,1,4.145709495503734,-1.9022128027681664
0.1,2,4.216735253772292,-1.864987857527762
0.1,3,4.937797422479636,-1.6119101123599953
0.1,4,5.1298413182272355,-1.078976264708821
0.1,5,4.707751189689918,0.16090948357879453
0.1,6,3.6570644718792873,1.4757520025167565
0.1,7,3.504682551779031,2.5534190154290446
0.1,8,2.8739860116174705,2.790073462231656
0.1,9,2.4804145709495504,4.676026501066618
0.1,10,2.233196159122085,6.9759702744960705
0.1,11,2.0597808599637593,7.052659613311825
0.1,12,2.0752934003962804,7.146999697770376
0.1,13,1.9400836593337736,7.656937128040051
0.1,14,1.8991346170129888,6.531471500949181
0.1,15,2.27468712425274,5.36654927797974
0.1,16,2.4706938305475115,5.283311492901802
0.1,17,2.233026808244001,5.760308383368773
0.1,18,2.3472370404240546,5.224278046458917
0.1,19,2.5734220731934494,4.344069999515857
0.1,20,2.3057460752934005,5.4857252310689315
0.3,0,4.145709495503734,-1.9022128027681664
0.3,1,4.156378600823046,-1.8904087834526029
0.3,2,4.661416789446055,-1.6269658304141035
0.3,3,4.809056884959949,-0.9085207739327408
0.3,4,4.2035597554573325,0.007064726389528264
0.3,5,3.658012836796559,1.6944854151196722
0.3,6,2.701959389659436,4.678235007867693
0.3,7,2.0900607969652323,6.96004502707102
0.3,8,2.0039628105471725,7.885376600891735
0.3,9,1.7954580094497794,12.568138798170171
0.3,10,1.488628088536639,15.43539483866805
0.3,11,1.332249487713594,15.756168491988454
0.3,12,1.5474605835831259,10.654168114469183
0.3,13,1.8771867432132638,8.073400208389343
0.3,14,1.9522769225558436,8.822316164944437
0.3,15,2.180460295686633,7.519903270977471
0.3,16,2.1969212010364267,8.271120703090558
0.3,17,3.661941777168114,4.563251277167073
0.3,18,4.442141272502498,3.463773736768169
0.3,19,5.155548781520433,2.137442347791546
0.3,20,4.741045572321291,2.7278498136360882
0.5,0,4.145709495503734,-1.9022128027681664
0.5,1,4.167894460532778,-1.8960693293584543
0.5,2,4.552287083608529,-1.6034332355071401
0.5,3,4.616606547104947,-0.8240872451598733
0.5,4,4.071669291605278,0.24738120404794728
0.5,5,3.2726041084523025,1.8283760907425846
0.5,6,2.7270233196159124,2.8016519640984736
0.5,7,2.627478873477959,4.154367744624379
0.5,8,2.015851242188691,7.044479712220195
0.5,9,2.34415485444292,6.597455209254587
0.5,10,1.8436213991769552,9.028280452806117
0.5,11,3.010957001812055,6.3232415538288365
0.5,12,3.443072702331962,3.8021558387962093
0.5,13,3.237311385459534,3.673713731686294
0.5,14,3.2523836136090365,4.148165652101386
0.5,15,4.929871801385289,1.413144702505563
0.5,16,2.9114802960253345,4.617848782052796
0.5,17,2.255144032921811,7.942032074164846
0.5,18,1.5915256820606614,10.609109884752618
0.5,19,2.142966011278768,6.734551374013831
0.5,20,3.1881657606394693,4.147879441875714
0.7,0,4.145709495503734,-1.9022128027681664
0.7,1,4.145709495503734,-1.9022128027681664
0.7,2,4.688919372046944,-1.7161476945944933
0.7,3,5.0966146759470945,-1.5159104339718816
0.7,4,5.217836034479838,-1.337776724850537
0.7,5,4.744229368829277,-0.6964643303946447
0.7,6,4.365933377364561,0.00927672896589593
0.7,7,3.7049230300259106,0.9231889194804572
0.7,8,4.204677471252689,1.228320179190984
0.7,9,3.3607681755829906,2.5407443565181174
0.7,10,4.227336618740368,1.8147791971414549
0.7,11,2.4225304408203354,3.9609701108241726
0.7,12,4.574607529340041,1.9280213668440682
0.7,13,3.6079188470592225,3.9922218645425147
0.7,14,3.266101034733865,5.41372471385896
0.7,15,4.342969398296331,3.569002050973028
0.7,16,3.454995004149097,6.504721619309519
0.7,17,2.457179630476383,6.911006122874696
0.7,18,2.446205693576521,10.273183602145174
0.7,19,2.5590611187319,9.827427830953862
0.7,20,2.0291960913817335,11.663785356740608
