param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.1,0,Aggressive,5.0,2.0211646105596452,48
0.1,0,Assertive,5.0,2.014035259912054,72
0.1,0,Passive,4.945205479452055,2.0540637970111293,73
0.1,0,Passive-Aggressive,4.84,2.131972354991729,50
0.1,1,Aggressive,5.0,2.0211646105596452,48
0.1,1,Assertive,5.0,2.014035259912054,72
0.1,1,Passive,4.945205479452055,2.0540637970111293,73
0.1,1,Passive-Aggressive,4.84,2.131972354991729,50
0.1,2,Aggressive,5.041666666666667,2.082943225887231,48
0.1,2,Assertive,5.0,2.014035259912054,72
0.1,2,Passive,4.945205479452055,2.0540637970111293,73
0.1,2,Passive-Aggressive,4.86,2.1571901603138985,50
0.1,3,Aggressive,5.208333333333333,2.192427328020813,48
0.1,3,Assertive,5.819444444444445,2.203239541162819,72
0.1,3,Passive,5.397260273972603,2.215724900364296,73
0.1,3,Passive-Aggressive,5.18,2.3007540911090656,50
0.1,4,Aggressive,5.791666666666667,2.2966982159255185,48
0.1,4,Assertive,6.666666666666667,2.1493529979645394,72
0.1,4,Passive,6.205479452054795,2.315160806207572,73
0.1,4,Passive-Aggressive,6.04,2.3031478015790405,50
0.1,5,Aggressive,6.375,2.208542409479177,48
0.1,5,Assertive,7.347222222222222,1.9367441985886582,72
0.1,5,Passive,7.0,2.2298480267099414,73
0.1,5,Passive-Aggressive,7.06,2.315960593228597,50
0.1,6,Aggressive,6.9375,2.3100727629693325,48
0.1,6,Assertive,7.652777777777778,1.6286149150339528,72
0.1,6,Passive,7.397260273972603,1.8614490026992205,73
0.1,6,Passive-Aggressive,7.34,1.9442222095223578,50
0.1,7,Aggressive,7.208333333333333,2.093132980428827,48
0.1,7,Assertive,7.569444444444445,1.766881464486558,72
0.1,7,Passive,7.47945205479452,1.74092559226643,73
0.1,7,Passive-Aggressive,7.16,2.0138297356235544,50
0.1,8,Aggressive,7.208333333333333,1.9781609053299694,48
0.1,8,Assertive,7.777777777777778,1.2696037112912713,72
0.1,8,Passive,7.438356164383562,1.7715835773073434,73
0.1,8,Passive-Aggressive,7.28,1.818723481467377,50
0.1,9,Aggressive,7.479166666666667,1.9017302685145432,48
0.1,9,Assertive,7.777777777777778,0.9960799535506246,72
0.1,9,Passive,7.410958904109589,1.6485314713940287,73
0.1,9,Passive-Aggressive,7.22,1.7875990053928854,50
0.1,10,Aggressive,7.333333333333333,1.7300022547437441,48
0.1,10,Assertive,7.986111111111111,0.9999021861395421,72
0.1,10,Passive,7.821917808219178,1.5396831000911329,73
0.1,10,Passive-Aggressive,7.48,1.7171404801504824,50
0.1,11,Aggressive,7.5625,1.4572817890737386,48
0.1,11,Assertive,8.01388888888889,0.9418748990755658,72
0.1,11,Passive,7.6438356164383565,1.5843844144028747,73
0.1,11,Passive-Aggressive,7.58,1.7389886810019959,50
0.1,12,Aggressive,7.583333333333333,1.334219563629477,48
0.1,12,Assertive,8.041666666666666,0.9705160526496736,72
0.1,12,Passive,7.863013698630137,1.644140002260137,73
0.1,12,Passive-Aggressive,7.52,1.7407481384831787,50
0.1,13,Aggressive,7.895833333333333,1.1343680091318886,48
0.1,13,Assertive,8.069444444444445,0.8932672878675983,72
0.1,13,Passive,7.684931506849315,1.6234112945752968,73
0.1,13,Passive-Aggressive,7.4,1.7496355305594127,50
0.1,14,Aggressive,7.625,1.160062360759569,48
0.1,14,Assertive,7.763888888888889,0.9567117327560655,72
0.1,14,Passive,7.506849315068493,1.6083401353157796,73
0.1,14,Passive-Aggressive,7.34,1.6976574496424568,50
0.1,15,Aggressive,7.541666666666667,1.2875563748588705,48
0.1,15,Assertive,7.625,1.3367766571069064,72
0.1,15,Passive,7.4520547945205475,1.6418239847669,73
0.1,15,Passive-Aggressive,7.34,1.7567363060458425,50
0.1,16,Aggressive,7.208333333333333,1.5839397868059726,48
0.1,16,Assertive,7.555555555555555,1.3930298207063447,72
