param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
p,0.1,0,Aggressive,6.333333333333333,2.5819888974716108,7.0,0.0,0.0
p,0.1,0,Assertive,4.916666666666667,3.0178043106110866,4.5,0.0,0.0
p,0.1,0,Passive,5.277777777777778,2.8041918735158013,5.0,0.0,0.0
p,0.1,0,Passive-Aggressive,6.25,2.7066745198715223,6.0,0.0,0.0
p,0.1,1,Aggressive,6.333333333333333,2.5819888974716108,7.0,0.0,0.0
p,0.1,1,Assertive,7.083333333333333,2.2472205054244228,8.0,2.1666666666666665,2.6021968740717085
p,0.1,1,Passive,5.694444444444445,3.031448917544635,5.0,0.4166666666666667,0.9964221709983889
p,0.1,1,Passive-Aggressive,6.416666666666667,2.6525896561771427,7.5,0.16666666666666666,0.9630868246861536
p,0.1,2,Aggressive,6.333333333333333,2.5819888974716108,7.0,0.0,0.0
p,0.1,2,Assertive,7.444444444444445,2.4194975209675778,8.0,0.3611111111111111,1.0184800377531154
p,0.1,2,Passive,5.388888888888889,2.7905737021805375,5.0,-0.3055555555555556,0.709907215041694
p,0.1,2,Passive-Aggressive,6.25,2.558022333927045,7.0,-0.16666666666666666,0.8681147322824311
p,0.1,3,Aggressive,6.333333333333333,2.5819888974716108,7.0,0.0,0.0
p,0.1,3,Assertive,7.472222222222222,2.323619234988028,8.0,0.027777777777777776,1.1828805304029435
p,0.1,3,Passive,6.583333333333333,2.370955202324281,8.0,1.1944444444444444,2.482158558817529
p,0.1,3,Passive-Aggressive,6.875,2.4901981761542067,7.5,0.625,1.5269321331121546
p,0.1,4,Aggressive,6.791666666666667,2.4313025077225525,7.0,0.4583333333333333,1.5597983890531346
p,0.1,4,Assertive,7.611111111111111,2.032279195917414,8.0,0.1388888888888889,1.514742369000235
p,0.1,4,Passive,6.861111111111111,2.099697635072764,8.0,0.2777777777777778,1.61441915447916
p,0.1,4,Passive-Aggressive,7.25,2.2506037837221253,8.0,0.375,1.8606333657491827
p,0.1,5,Aggressive,7.0,2.395648228514071,7.5,0.20833333333333334,1.0206207261596576
p,0.1,5,Assertive,7.722222222222222,1.9800593225039798,8.0,0.1111111111111111,0.7474825474418508
p,0.1,5,Passive,7.138888888888889,2.1132612275516283,8.0,0.2777777777777778,0.974272215146439
p,0.1,5,Passive-Aggressive,7.25,2.211629342323457,8.0,0.0,0.8340576562282991
p,0.1,6,Aggressive,7.0,2.395648228514071,7.5,0.0,0.0
p,0.1,6,Assertive,8.11111111111111,1.83268386764607,9.0,0.3888888888888889,1.3153549825650603
p,0.1,6,Passive,7.75,1.5189281935440058,8.0,0.6111111111111112,1.711770641808864
p,0.1,6,Passive-Aggressive,7.333333333333333,2.098999071331208,8.0,0.08333333333333333,0.7755316082290384
p,0.1,7,Aggressive,7.0,2.359071298478354,8.0,0.0,0.7223151185146152
p,0.1,7,Assertive,8.11111111111111,1.7692254605218445,8.5,0.0,0.7559289460184543
p,0.1,7,Passive,7.722222222222222,1.5044906325703937,8.0,-0.027777777777777776,0.5599036198240404
p,0.1,7,Passive-Aggressive,8.166666666666666,1.203858530857692,8.0,0.8333333333333334,2.1196116680157253
p,0.1,8,Aggressive,7.5,1.978141420187361,8.0,0.5,1.5603789952109883
p,0.1,8,Assertive,8.11111111111111,1.4097168464984682,8.0,0.0,1.3938641048743392
