param_value,timestep,ranking,count,total,proportion
0.1,0,1,3,123,0.024390243902439025
0.1,0,3,60,123,0.4878048780487805
0.1,0,7,60,123,0.4878048780487805
0.1,1,1,3,123,0.024390243902439025
0.1,1,3,60,123,0.4878048780487805
0.1,1,7,60,123,0.4878048780487805
0.1,2,1,3,123,0.024390243902439025
0.1,2,3,60,123,0.4878048780487805
0.1,2,7,58,123,0.4715447154471545
0.1,2,8,1,123,0.008130081300813009
0.1,2,9,1,123,0.008130081300813009
0.1,3,1,3,123,0.024390243902439025
0.1,3,2,1,123,0.008130081300813009
0.1,3,3,48,123,0.3902439024390244
0.1,3,5,1,123,0.008130081300813009
0.1,3,7,50,123,0.4065040650406504
0.1,3,8,12,123,0.0975609756097561
0.1,3,9,8,123,0.06504065040650407
0.1,4,1,3,123,0.024390243902439025
0.1,4,3,29,123,0.23577235772357724
0.1,4,4,2,123,0.016260162601626018
0.1,4,6,3,123,0.024390243902439025
0.1,4,7,48,123,0.3902439024390244
0.1,4,8,21,123,0.17073170731707318
0.1,4,9,15,123,0.12195121951219512
0.1,4,10,2,123,0.016260162601626018
0.1,5,1,4,123,0.032520325203252036
0.1,5,2,1,123,0.008130081300813009
0.1,5,3,21,123,0.17073170731707318
0.1,5,4,1,123,0.008130081300813009
0.1,5,6,4,123,0.032520325203252036
0.1,5,7,29,123,0.23577235772357724
0.1,5,8,30,123,0.24390243902439024
0.1,5,9,28,123,0.22764227642276422
0.1,5,10,5,123,0.04065040650406504
0.1,6,1,3,123,0.024390243902439025
0.1,6,3,13,123,0.10569105691056911
0.1,6,4,2,123,0.016260162601626018
0.1,6,5,1,123,0.008130081300813009
0.1,6,6,7,123,0.056910569105691054
0.1,6,7,19,123,0.15447154471544716
0.1,6,8,40,123,0.3252032520325203
0.1,6,9,34,123,0.2764227642276423
0.1,6,10,4,123,0.032520325203252036
0.1,7,1,4,123,0.032520325203252036
0.1,7,2,1,123,0.008130081300813009
0.1,7,3,9,123,0.07317073170731707
0.1,7,4,2,123,0.016260162601626018
0.1,7,6,7,123,0.056910569105691054
0.1,7,7,25,123,0.2032520325203252
0.1,7,8,41,123,0.3333333333333333
0.1,7,9,28,123,0.22764227642276422
0.1,7,10,6,123,0.04878048780487805
0.1,8,1,3,123,0.024390243902439025
0.1,8,3,6,123,0.04878048780487805
0.1,8,4,2,123,0.016260162601626018
0.1,8,5,1,123,0.008130081300813009
0.1,8,6,12,123,0.0975609756097561
0.1,8,7,17,123,0.13821138211382114
0.1,8,8,46,123,0.37398373983739835
0.1,8,9,33,123,0.2682926829268293
0.1,8,10,3,123,0.024390243902439025
0.1,9,1,3,123,0.024390243902439025
0.1,9,3,6,123,0.04878048780487805
0.1,9,6,16,123,0.13008130081300814
0.1,9,7,25,123,0.2032520325203252
0.1,9,8,47,123,0.3821138211382114
0.1,9,9,24,123,0.1951219512195122
0.1,9,10,2,123,0.016260162601626018
0.1,10,1,3,123,0.024390243902439025
0.1,10,3,4,123,0.032520325203252036
0.1,10,5,1,123,0.008130081300813009
0.1,10,6,7,123,0.056910569105691054
0.1,10,7,20,123,0.16260162601626016
0.1,10,8,65,123,0.5284552845528455
0.1,10,9,23,123,0.18699186991869918
0.1,11,1,3,123,0.024390243902439025
0.1,11,3,4,123,0.032520325203252036
0.1,11,4,2,123,0.016260162601626018
0.1,11,5,1,123,0.008130081300813009
0.1,11,6,7,123,0.056910569105691054
0.1,11,7,21,123,0.17073170731707318
0.1,11,8,52,123,0.42276422764227645
0.1,11,9,33,123,0.2682926829268293
0.1,12,1,3,123,0.024390243902439025
0.1,12,3,5,123,0.04065040650406504
0.1,12,4,1,123,0.008130081300813009
0.1,12,6,7,123,0.056910569105691054
0.1,12,7,14,123,0.11382113821138211
0.1,12,8,57,123,0.4634146341463415
0.1,12,9,36,123,0.2926829268292683
0.1,13,1,3,123,0.024390243902439025
0.1,13,3,3,123,0.024390243902439025
0.1,13,4,2,123,0.016260162601626018
0.1,13,6,5,123,0.04065040650406504
0.1,13,7,25,123,0.2032520325203252
0.1,13,8,47,123,0.3821138211382114
0.1,13,9,38,123,0.3089430894308943
0.1,14,1,3,123,0.024390243902439025
0.1,14,3,3,123,0.024390243902439025
0.1,14,4,1,123,0.008130081300813009
0.1,14,6,8,123,0.06504065040650407
0.1,14,7,20,123,0.16260162601626016
0.1,14,8,58,123,0.4715447154471545
0.1,14,9,30,123,0.24390243902439024
0.1,15,1,4,123,0.032520325203252036
0.1,15,2,1,123,0.008130081300813009
0.1,15,3,2,123,0.016260162601626018
0.1,15,4,2,123,0.016260162601626018
