param_value,timestep,mean_ranking,std_ranking,min_ranking,max_ranking,median_ranking
0.1,0,4.902439024390244,2.0780454015549394,1,7,3.0
0.1,1,4.902439024390244,2.0780454015549394,1,7,3.0
0.1,2,4.926829268292683,2.1123009430217192,1,9,3.0
0.1,3,5.463414634146342,2.3234114365988887,1,9,7.0
0.1,4,6.300813008130081,2.2757991187013538,1,10,7.0
0.1,5,6.845528455284553,2.3988812977596528,1,10,8.0
0.1,6,7.284552845528455,2.117531524542282,1,10,8.0
0.1,7,7.300813008130081,2.0918850207784536,1,10,8.0
0.1,8,7.479674796747967,1.843684805997974,1,10,8.0
0.1,9,7.349593495934959,1.7319738566033125,1,10,8.0
0.1,10,7.5528455284552845,1.5744020568452948,1,9,8.0
0.1,11,7.560975609756097,1.6847743511088775,1,9,8.0
0.1,12,7.658536585365853,1.6977770823024798,1,9,8.0
0.1,13,7.666666666666667,1.6279659775448987,1,9,8.0
0.1,14,7.626016260162602,1.5754175818209244,1,9,8.0
0.1,15,7.520325203252033,1.7986770798668328,1,9,8.0
0.1,16,7.520325203252033,1.807768271345689,1,9,8.0
0.1,17,7.471544715447155,1.7288544641553962,1,9,8.0
0.1,18,7.373983739837398,1.9051198231914568,1,9,8.0
0.1,19,7.2682926829268295,1.9630737471081836,1,9,8.0
0.1,20,7.32520325203252,1.8443353014708668,1,9,8.0
0.3,0,4.902439024390244,2.0780454015549394,1,7,3.0
0.3,1,5.0,2.0842893981119723,1,8,7.0
0.3,2,5.2682926829268295,2.157993796355762,1,8,7.0
0.3,3,6.260162601626016,2.1984994822250914,1,9,7.0
0.3,4,6.463414634146342,2.2113443834932265,1,9,7.0
0.3,5,6.691056910569106,2.1506006835331672,1,9,7.0
0.3,6,7.276422764227642,2.0134824778621416,1,9,8.0
0.3,7,7.455284552845528,1.7567296017816239,1,10,8.0
0.3,8,7.7073170731707314,1.5719451629627081,1,9,8.0
0.3,9,7.804878048780488,1.6228821588148163,1,9,8.0
0.3,10,7.813008130081301,1.5059967207415093,1,9,8.0
0.3,11,7.837398373983739,1.3930388043730648,1,9,8.0
0.3,12,7.658536585365853,1.441932152587955,1,9,8.0
0.3,13,7.569105691056911,1.6450686408171953,1,9,8.0
0.3,14,7.308943089430894,1.6943981053334514,1,9,8.0
0.3,15,7.32520325203252,1.7671684072723426,1,9,8.0
0.3,16,7.333333333333333,1.7955622283415842,1,9,8.0
0.3,17,6.7560975609756095,2.3759086731586985,1,9,8.0
0.3,18,6.357723577235772,2.586630447223786,1,9,8.0
0.3,19,6.08130081300813,2.75083741626746,1,9,7.0
0.3,20,6.414634146341464,2.7278972544118574,1,9,8.0
0.5,0,4.902439024390244,2.0780454015549394,1,7,3.0
0.5,1,4.943089430894309,2.0893987409046493,1,8,3.0
0.5,2,5.4227642276422765,2.1916687634188508,1,8,7.0
0.5,3,5.983739837398374,2.206487230639177,1,9,7.0
0.5,4,6.723577235772358,2.2771164286530183,1,9,8.0
0.5,5,6.821138211382114,2.1540374607653368,1,9,7.0
0.5,6,6.983739837398374,1.9834716205344476,1,9,8.0
0.5,7,7.138211382113822,2.0095069261136906,1,9,8.0
0.5,8,7.455284552845528,1.6949879467646556,1,9,8.0
0.5,9,7.585365853658536,1.7967494751715911,1,9,8.0
0.5,10,7.544715447154472,1.6706336901196224,1,9,8.0
0.5,11,7.414634146341464,2.052295113746178,1,9,8.0
0.5,12,6.723577235772358,2.2626721943643697,1,9,7.0
0.5,13,6.747967479674797,2.121681578429062,1,9,8.0
0.5,14,6.934959349593496,2.282290470868239,1,9,8.0
0.5,15,6.016260162601626,2.7845703080750344,1,9,7.0
0.5,16,7.008130081300813,2.132865135881355,1,9,8.0
0.5,17,7.796747967479675,1.9542276558888725,1,9,9.0
0.5,18,7.560975609756097,1.5844859613437163,1,9,8.0
0.5,19,7.739837398373984,1.8369495311252757,1,9,8.0
0.5,20,7.178861788617886,2.2288441477230743,1,9,8.0
0.7,0,4.902439024390244,2.0780454015549394,1,7,3.0
0.7,1,4.902439024390244,2.0780454015549394,1,7,3.0
0.7,2,5.0,2.119387477241603,1,8,7.0
0.7,3,5.056910569105691,2.12055055103092,1,9,7.0
0.7,4,5.3983739837398375,2.1869202740884837,1,9,7.0
0.7,5,5.512195121951219,2.113057972324053,1,9,7.0
0.7,6,5.59349593495935,2.191030143128591,1,9,7.0
0.7,7,5.991869918699187,2.2742173395544945,1,9,7.0
0.7,8,6.170731707317073,2.485061324813689,1,9,7.0
0.7,9,6.4227642276422765,2.2397604163490965,1,9,7.0
0.7,10,6.260162601626016,2.514995676344697,1,9,6.0
0.7,11,7.138211382113822,1.934692771187658,1,9,8.0
0.7,12,6.699186991869919,2.79617701352703,1,9,8.0
0.7,13,7.2926829268292686,2.4950170251959403,1,9,8.0
0.7,14,7.227642276422764,2.278959383355689,1,9,8.0
0.7,15,6.764227642276423,2.6951118496605035,1,9,8.0
0.7,16,7.162601626016261,2.4136700296702696,1,9,8.0
0.7,17,7.479674796747967,1.9767069548062157,1,9,8.0
0.7,18,7.5528455284552845,2.0573867398363466,1,9,8.0
0.7,19,7.699186991869919,2.0997070808575113,1,9,8.0
0.7,20,7.715447154471545,1.875293748370175,1,9,8.0
