param_value,timestep,variance,bimodality_kurtosis
0.1,0,4.283164782867341,-1.8286296296296296
0.1,1,4.283164782867341,-1.8286296296296296
0.1,2,4.425540352964504,-1.7645302447499747
0.1,3,5.3543525679159245,-1.5454288744853777
0.1,4,5.137153810562496,-0.7743572589516621
0.1,5,5.707845858946395,-0.2466607463410897
0.1,6,4.447484962654504,1.0535990023722634
0.1,7,4.34040584308282,1.7438794960980042
0.1,8,3.3715381056249583,3.004193964420078
0.1,9,2.975345363209729,3.761670735597871
0.1,10,2.45858946394342,7.00500801993482
0.1,11,2.815387666071783,5.0431388817492895
0.1,12,2.85901249256395,5.557875879592176
0.1,13,2.6287262872628725,6.264544584971839
0.1,14,2.4617621785973958,7.05684280937936
0.1,15,3.208936479608698,4.5646765441579955
0.1,16,3.24145680481195,4.555164850280361
0.1,17,2.9646374512525617,4.2587713870354795
0.1,18,3.599973560711216,2.9681711980578456
0.1,19,3.8223279793773552,2.445640690613831
0.1,20,3.3739176416154404,3.553807334299373
0.3,0,4.283164782867341,-1.8286296296296296
0.3,1,4.308943089430894,-1.8010893556425773
0.3,2,4.619075946857031,-1.6608542744651529
0.3,3,4.794104038601362,-0.7064729175710718
0.3,4,4.850287527265517,-0.30418742298905777
0.3,5,4.587480996761188,0.8896235137720558
0.3,6,4.021151431026506,2.411435785330828
0.3,7,3.0610086588670766,4.948683256644395
0.3,8,2.450922070196312,8.499397445565078
0.3,9,2.6123339282173306,10.17596469936586
0.3,10,2.249586886112764,11.390851161151799
0.3,11,1.9247802234119902,12.298078809926329
0.3,12,2.062264525084275,9.398681139053254
0.3,13,2.6842487937074493,6.213103788258364
0.3,14,2.8476435983872013,5.670464140982652
0.3,15,3.097494877387798,4.911674612558983
0.3,16,3.1978319783197837,5.054538925596088
0.3,17,5.599048185603808,1.3045321603891482
0.3,18,6.636261484566064,0.233763476373392
0.3,19,7.505585299755437,-0.4608297677298645
0.3,20,7.380924053142971,-0.001406933208152772
0.5,0,4.283164782867341,-1.8286296296296296
0.5,1,4.330094520457401,-1.817276982792342
0.5,2,4.764359838720338,-1.5983991720261492
0.5,3,4.829003899795096,-1.0213177173684607
0.5,4,5.1431026505387,-0.3188499361645656
0.5,5,4.602154802035826,0.38522098729055365
0.5,6,3.9021746315024126,1.2290871568115218
0.5,7,4.005287857756626,1.9404568567452127
0.5,8,2.849626545045938,5.42825052405502
0.5,9,3.2020622645250847,4.38778161063911
0.5,10,2.7683257320378076,6.488634685517857
0.5,11,4.177672020622645,3.4827263433937796
0.5,12,5.0780620001321966,1.0243296587842856
0.5,13,4.464934893251373,1.2818559196493942
0.5,14,5.166501421111772,1.3012400015858532
0.5,15,7.690792517681275,-0.9264040813283891
0.5,16,4.512129023729263,1.701756361158652
0.5,17,3.7879569039592837,4.157460938794261
0.5,18,2.4901844140392626,6.058620651871443
0.5,19,3.3469495670566465,3.9739822796316986
0.5,20,4.927358054068346,1.6879606878466165
0.7,0,4.283164782867341,-1.8286296296296296
0.7,1,4.283164782867341,-1.8286296296296296
0.7,2,4.455284552845528,-1.7925435558633915
0.7,3,4.460175821270408,-1.7288742403772372
0.7,4,4.743737193469495,-1.5876795942550908
0.7,5,4.428713067618483,-1.3287038699149156
0.7,6,4.76158371339811,-1.0648509244014168
0.7,7,5.130015202591049,-0.853989219016376
0.7,8,6.125322228832044,-0.827716429427575
0.7,9,4.975741952541476,0.23503221518172568
0.7,10,6.2737788353493285,-0.2281042138226339
0.7,11,3.712604930927359,2.3463645069025105
0.7,12,7.755039989424285,-0.41566579423294536
0.7,13,6.17449930596867,1.0497191654202682
0.7,14,5.151431026505387,1.984399228434821
0.7,15,7.204573996959484,0.09876305313493106
0.7,16,5.778438759997358,1.9185462656117682
0.7,17,3.8756031462753655,3.3097443716767927
0.7,18,4.198426862317404,4.207822573566202
0.7,19,4.372926168286073,4.262165378368285
0.7,20,3.4881353691585697,6.41753131214101
