param_value,timestep,communication_style,mean_ranking,std_ranking,count
0.1,0,Aggressive,5.0,2.043015673820997,24
0.1,0,Assertive,5.0,2.02837021134844,36
0.1,0,Passive,4.891891891891892,2.1053342804486967,37
0.1,0,Passive-Aggressive,4.6923076923076925,2.240878948434846,26
0.1,1,Aggressive,5.0,2.043015673820997,24
0.1,1,Assertive,5.0,2.02837021134844,36
0.1,1,Passive,4.891891891891892,2.1053342804486967,37
0.1,1,Passive-Aggressive,4.6923076923076925,2.240878948434846,26
0.1,2,Aggressive,5.083333333333333,2.165272684236664,24
0.1,2,Assertive,5.0,2.02837021134844,36
0.1,2,Passive,4.891891891891892,2.1053342804486967,37
0.1,2,Passive-Aggressive,4.730769230769231,2.2901125266273237,26
0.1,3,Aggressive,5.416666666666667,2.357534944490273,24
0.1,3,Assertive,5.805555555555555,2.1885343359615215,36
0.1,3,Passive,5.513513513513513,2.340721892702971,37
0.1,3,Passive-Aggressive,4.961538461538462,2.4896709699198283,26
0.1,4,Aggressive,5.916666666666667,2.4301845817651944,24
0.1,4,Assertive,7.027777777777778,1.8744311306345889,36
0.1,4,Passive,6.1891891891891895,2.3902328784478746,37
0.1,4,Passive-Aggressive,5.8076923076923075,2.349795408442714,26
0.1,5,Aggressive,6.166666666666667,2.49637418228338,24
0.1,5,Assertive,7.472222222222222,1.904672616954887,36
0.1,5,Passive,6.756756756756757,2.532076501887613,37
0.1,5,Passive-Aggressive,6.730769230769231,2.6466233930454455,26
0.1,6,Aggressive,6.875,2.472676775234201,24
0.1,6,Assertive,7.833333333333333,1.52127765851133,36
0.1,6,Passive,7.216216216216216,2.1875294935806657,37
0.1,6,Passive-Aggressive,7.0,2.3323807579381204,26
0.1,7,Aggressive,7.0,2.303116980547657,24
0.1,7,Assertive,7.805555555555555,1.6003471845543737,36
0.1,7,Passive,7.378378378378378,2.0863491684885473,37
0.1,7,Passive-Aggressive,6.769230769230769,2.421696798654899,26
0.1,8,Aggressive,7.416666666666667,2.0412414523193148,24
0.1,8,Assertive,7.861111111111111,1.0461569884316813,36
0.1,8,Passive,7.27027027027027,2.090303654823712,37
0.1,8,Passive-Aggressive,7.3076923076923075,2.14977637477447,26
0.1,9,Aggressive,7.416666666666667,1.9541854005467711,24
0.1,9,Assertive,7.833333333333333,0.8451542547285167,36
0.1,9,Passive,7.0,1.9148542155126762,37
0.1,9,Passive-Aggressive,7.115384615384615,2.0654669801654655,26
0.1,10,Aggressive,7.291666666666667,1.601063957842237,24
0.1,10,Assertive,7.861111111111111,0.8333333333333334,36
0.1,10,Passive,7.648648648648648,1.7828849314183681,37
0.1,10,Passive-Aggressive,7.230769230769231,1.9658625039954816,26
0.1,11,Aggressive,7.375,1.5551457362156014,24
0.1,11,Assertive,7.972222222222222,1.1080513425729774,36
0.1,11,Passive,7.378378378378378,1.9054213787586802,37
0.1,11,Passive-Aggressive,7.423076923076923,2.08178917132503,26
0.1,12,Aggressive,7.541666666666667,1.5597983890531344,24
0.1,12,Assertive,7.972222222222222,1.1080513425729774,36
0.1,12,Passive,7.648648648648648,1.9750698470942494,37
0.1,12,Passive-Aggressive,7.346153846153846,2.0580050085907504,26
0.1,13,Aggressive,7.791666666666667,1.284664282542556,24
0.1,13,Assertive,8.027777777777779,1.027788502732545,36
0.1,13,Passive,7.4324324324324325,1.9226795616266106,37
0.1,13,Passive-Aggressive,7.384615384615385,2.0606197723388577,26
0.1,14,Aggressive,7.791666666666667,1.350657381543832,24
0.1,14,Assertive,7.944444444444445,0.8600479868487216,36
0.1,14,Passive,7.45945945945946,1.8498437560837189,37
0.1,14,Passive-Aggressive,7.269230769230769,2.030914913189468,26
0.1,15,Aggressive,7.583333333333333,1.5580552724098262,24
0.1,15,Assertive,7.777777777777778,1.5139562384902319,36
0.1,15,Passive,7.324324324324325,2.0283279108946157,37
0.1,15,Passive-Aggressive,7.384615384615385,2.0606197723388577,26
0.1,16,Aggressive,7.25,1.5948285992135849,24
0.1,16,Assertive,7.722222222222222,1.560423223013755,36
0.1,16,Passive,7.45945945945946,2.0357171080835723,37
0.1,16,Passive-Aggressive,7.576923076923077,2.0233255185081203,26
0.1,17,Aggressive,7.541666666666667,1.6675722177612804,24
0.1,17,Assertive,7.777777777777778,1.1978817282689618,36
0.1,17,Passive,7.4324324324324325,1.8935642544116602,37
0.1,17,Passive-Aggressive,7.038461538461538,2.1256673160354933,26
0.1,18,Aggressive,7.041666666666667,2.2356628560221465,24
0.1,18,Assertive,7.861111111111111,1.3126369920948722,36
0.1,18,Passive,7.297297297297297,1.8688211504829704,37
0.1,18,Passive-Aggressive,7.115384615384615,2.2685135763653355,26
0.1,19,Aggressive,7.208333333333333,2.2062986251159216,24
0.1,19,Assertive,7.861111111111111,1.1988751341576769,36
0.1,19,Passive,6.945945945945946,2.133671144425155,37
0.1,19,Passive-Aggressive,6.961538461538462,2.2357239405752978,26
0.1,20,Aggressive,7.333333333333333,2.035909510816206,24
0.1,20,Assertive,7.638888888888889,1.268357267779926,36
0.1,20,Passive,7.297297297297297,1.8836263026534878,37
0.1,20,Passive-Aggressive,6.923076923076923,2.2613814702181836,26
0.3,0,Aggressive,5.0,2.043015673820997,24
0.3,0,Assertive,5.0,2.02837021134844,36
0.3,0,Passive,4.891891891891892,2.1053342804486967,37
0.3,0,Passive-Aggressive,4.6923076923076925,2.240878948434846,26
0.3,1,Aggressive,5.0,2.043015673820997,24
0.3,1,Assertive,5.138888888888889,2.058470691387562,36
0.3,1,Passive,4.891891891891892,2.1053342804486967,37
0.3,1,Passive-Aggressive,4.961538461538462,2.2357239405752978,26
0.3,2,Aggressive,5.208333333333333,2.0847096902815085,24
0.3,2,Assertive,5.361111111111111,2.1132612275516283,36
0.3,2,Passive,5.027027027027027,2.1792772309298436,37
0.3,2,Passive-Aggressive,5.538461538461538,2.3363350655378046,26
0.3,3,Aggressive,5.75,2.2506037837221253,24
0.3,3,Assertive,6.916666666666667,1.8727367292662513,36
0.3,3,Passive,6.324324324324325,2.122028040107624,37
0.3,3,Passive-Aggressive,5.730769230769231,2.52281893615364,26
0.3,4,Aggressive,5.958333333333333,2.274225461398971,24
0.3,4,Assertive,7.222222222222222,2.029934708465994,36
0.3,4,Passive,6.243243243243243,2.0331339438496503,37
0.3,4,Passive-Aggressive,6.1923076923076925,2.482244641758435,26
0.3,5,Aggressive,6.291666666666667,1.9219366742195603,24
0.3,5,Assertive,7.194444444444445,1.9096663050976725,36
0.3,5,Passive,6.405405405405405,2.2664149303771888,37
0.3,5,Passive-Aggressive,6.769230769230769,2.454509194241363,26
0.3,6,Aggressive,7.416666666666667,1.998187584584692,24
0.3,6,Assertive,7.916666666666667,0.9063269671749657,36
0.3,6,Passive,6.837837837837838,2.4096278356431533,37
0.3,6,Passive-Aggressive,6.884615384615385,2.355027355712423,26
0.3,7,Aggressive,7.75,1.6218615177038682,24
0.3,7,Assertive,8.027777777777779,0.8101538164751223,36
0.3,7,Passive,7.081081081081081,1.977349212938855,37
0.3,7,Passive-Aggressive,6.923076923076923,2.243623442970356,26
0.3,8,Aggressive,7.791666666666667,1.062366786192884,24
0.3,8,Assertive,7.944444444444445,0.8926507698004839,36
0.3,8,Passive,7.4324324324324325,1.89356425441166,37
0.3,8,Passive-Aggressive,7.6923076923076925,2.1310885625751133,26
0.3,9,Aggressive,8.166666666666666,0.8164965809277263,24
0.3,9,Assertive,8.055555555555555,0.7908203496350009,36
0.3,9,Passive,7.486486486486487,2.1424495536861747,37
0.3,9,Passive-Aggressive,7.576923076923077,2.08178917132503,26
0.3,10,Aggressive,8.25,0.6756639246921763,24
0.3,10,Assertive,7.972222222222222,0.9098229375970788,36
0.3,10,Passive,7.54054054054054,1.8347660249651359,37
0.3,10,Passive-Aggressive,7.576923076923077,2.062485431183977,26
0.3,11,Aggressive,8.208333333333334,0.7210600087592463,24
0.3,11,Assertive,8.027777777777779,0.8446845940894526,36
0.3,11,Passive,7.54054054054054,1.5382998298011885,37
0.3,11,Passive-Aggressive,7.653846153846154,2.0580050085907504,26
0.3,12,Aggressive,8.0,0.9780192938436514,24
0.3,12,Assertive,7.888888888888889,0.9189365834726813,36
0.3,12,Passive,7.648648648648648,1.4760347823404019,37
0.3,12,Passive-Aggressive,7.038461538461538,2.0876928745535195,26
0.3,13,Aggressive,8.083333333333334,1.665941871387048,24
0.3,13,Assertive,7.694444444444445,1.2146591395930078,36
0.3,13,Passive,7.405405405405405,1.6065743310164893,37
0.3,13,Passive-Aggressive,7.153846153846154,2.0917420049768602,26
0.3,14,Aggressive,7.0,2.284160962880643,24
0.3,14,Assertive,7.722222222222222,1.0586004537288471,36
0.3,14,Passive,7.378378378378378,1.4972447167185934,37
0.3,14,Passive-Aggressive,6.923076923076923,1.9783442960835087,26
0.3,15,Aggressive,7.625,1.68915981173044,24
0.3,15,Assertive,7.388888888888889,1.554307889664405,36
0.3,15,Passive,7.162162162162162,1.8183251376765124,37
0.3,15,Passive-Aggressive,7.1923076923076925,2.078831032464751,26
0.3,16,Aggressive,7.333333333333333,1.632993161855452,24
0.3,16,Assertive,7.916666666666667,1.0522085616183023,36
0.3,16,Passive,7.243243243243243,1.6734097825399195,37
0.3,16,Passive-Aggressive,6.653846153846154,2.5914059148239623,26
0.3,17,Aggressive,7.25,1.7507762253652943,24
0.3,17,Assertive,7.361111111111111,2.044543648386781,36
0.3,17,Passive,6.4324324324324325,2.466897968215464,37
0.3,17,Passive-Aggressive,5.923076923076923,2.9109871442255035,26
0.3,18,Aggressive,6.541666666666667,2.466808652396094,24
0.3,18,Assertive,6.416666666666667,2.4770374009518488,36
0.3,18,Passive,6.45945945945946,2.6414915251572317,37
0.3,18,Passive-Aggressive,5.961538461538462,2.8632955730174867,26
0.3,19,Aggressive,6.125,2.5928413154214667,24
0.3,19,Assertive,6.638888888888889,2.576296098530133,36
0.3,19,Passive,5.675675675675675,2.7593684266719642,37
0.3,19,Passive-Aggressive,5.846153846153846,3.1201577869371633,26
0.3,20,Aggressive,6.791666666666667,2.084709690281508,24
0.3,20,Assertive,6.611111111111111,2.675580340548599,36
0.3,20,Passive,6.351351351351352,2.9270407526318394,37
0.3,20,Passive-Aggressive,5.884615384615385,3.0767115311894044,26
0.5,0,Aggressive,5.0,2.043015673820997,24
0.5,0,Assertive,4.7894736842105265,2.1705385399349204,38
0.5,0,Passive,5.0,2.02837021134844,36
0.5,0,Passive-Aggressive,4.84,2.1540659228538015,25
0.5,1,Aggressive,5.0,2.043015673820997,24
0.5,1,Assertive,4.921052631578948,2.2103146278102144,38
0.5,1,Passive,5.0,2.02837021134844,36
0.5,1,Passive-Aggressive,4.84,2.1540659228538015,25
0.5,2,Aggressive,5.166666666666667,1.970801352499661,24
0.5,2,Assertive,5.447368421052632,2.3097603528557817,38
0.5,2,Passive,5.777777777777778,2.1661171464312567,36
0.5,2,Passive-Aggressive,5.12,2.297099620536007,25
0.5,3,Aggressive,5.375,1.9959197509353708,24
0.5,3,Assertive,6.157894736842105,2.1375196005356893,38
0.5,3,Passive,6.444444444444445,2.3107753113798277,36
0.5,3,Passive-Aggressive,5.64,2.2891046284519194,25
0.5,4,Aggressive,6.041666666666667,2.3121449982113194,24
0.5,4,Assertive,7.2894736842105265,2.1041515557485475,38
0.5,4,Passive,6.972222222222222,2.0211186592876316,36
0.5,4,Passive-Aggressive,6.16,2.6564387187862373,25
0.5,5,Aggressive,5.833333333333333,2.3895909540204223,24
0.5,5,Assertive,7.131578947368421,2.158215637243439,38
0.5,5,Passive,7.083333333333333,1.762708954179009,36
0.5,5,Passive-Aggressive,6.92,2.2715633383201093,25
0.5,6,Aggressive,6.541666666666667,2.501810938303391,24
0.5,6,Assertive,7.526315789473684,1.9554061181174056,38
0.5,6,Passive,7.055555555555555,1.510807625920548,36
0.5,6,Passive-Aggressive,6.48,1.9604421270043482,25
0.5,7,Aggressive,6.416666666666667,2.5523504370723056,24
0.5,7,Assertive,7.447368421052632,2.07556398614869,38
0.5,7,Passive,7.638888888888889,1.1988751341576769,36
0.5,7,Passive-Aggressive,6.64,2.0591260281974,25
0.5,8,Aggressive,7.208333333333333,2.1463653132612386,24
0.5,8,Assertive,7.7894736842105265,1.7577303353248457,38
0.5,8,Passive,7.611111111111111,1.153325075665456,36
0.5,8,Passive-Aggressive,6.96,1.7194960502038577,25
0.5,9,Aggressive,7.166666666666667,2.1602468994692865,24
0.5,9,Assertive,7.842105263157895,1.9524941193042036,38
