param_name,param_value,timestep,communication_style,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
p,0.1,0,Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
p,0.1,0,Assertive,5.0,2.02837021134844,5.0,0.0,0.0
p,0.1,0,Passive,4.891891891891892,2.1053342804486967,3.0,0.0,0.0
p,0.1,0,Passive-Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
p,0.1,1,Aggressive,5.0,2.043015673820997,5.0,0.0,0.0
p,0.1,1,Assertive,5.0,2.02837021134844,5.0,0.0,0.0
p,0.1,1,Passive,4.891891891891892,2.1053342804486967,3.0,0.0,0.0
p,0.1,1,Passive-Aggressive,4.6923076923076925,2.240878948434846,3.0,0.0,0.0
p,0.1,2,Aggressive,5.083333333333333,2.165272684236664,5.0,0.08333333333333333,0.40824829046386296
p,0.1,2,Assertive,5.0,2.02837021134844,5.0,0.0,0.0
p,0.1,2,Passive,4.891891891891892,2.1053342804486967,3.0,0.0,0.0
p,0.1,2,Passive-Aggressive,4.730769230769231,2.2901125266273237,3.0,0.038461538461538464,0.19611613513818402
p,0.1,3,Aggressive,5.416666666666667,2.357534944490273,7.0,0.3333333333333333,1.274044114541212
p,0.1,3,Assertive,5.805555555555555,2.1885343359615215,7.0,0.8055555555555556,1.8176821102624778
p,0.1,3,Passive,5.513513513513513,2.340721892702971,7.0,0.6216216216216216,1.6725122711948326
p,0.1,3,Passive-Aggressive,4.961538461538462,2.4896709699198283,5.0,0.23076923076923078,1.0698669938900744
p,0.1,4,Aggressive,5.916666666666667,2.4301845817651944,7.0,0.5,1.4744195615489712
p,0.1,4,Assertive,7.027777777777778,1.8744311306345889,7.0,1.2222222222222223,2.3435151998789108
p,0.1,4,Passive,6.1891891891891895,2.3902328784478746,7.0,0.6756756756756757,1.8265640794498113
p,0.1,4,Passive-Aggressive,5.8076923076923075,2.349795408442714,7.0,0.8461538461538461,2.0531401840557835
p,0.1,5,Aggressive,6.166666666666667,2.49637418228338,7.0,0.25,0.7939992333804207
p,0.1,5,Assertive,7.472222222222222,1.904672616954887,8.0,0.4444444444444444,1.5573685579838916
p,0.1,5,Passive,6.756756756756757,2.532076501887613,8.0,0.5675675675675675,1.5007505629691607
p,0.1,5,Passive-Aggressive,6.730769230769231,2.6466233930454455,7.5,0.9230769230769231,2.6671794378793026
p,0.1,6,Aggressive,6.875,2.472676775234201,7.5,0.7083333333333334,1.9219366742195607
p,0.1,6,Assertive,7.833333333333333,1.52127765851133,8.0,0.3611111111111111,1.7591033069278346
p,0.1,6,Passive,7.216216216216216,2.1875294935806657,8.0,0.4594594594594595,1.894357038308404
p,0.1,6,Passive-Aggressive,7.0,2.3323807579381204,8.0,0.2692307692307692,1.7789365881378079
p,0.1,7,Aggressive,7.0,2.303116980547657,8.0,0.125,1.2958965337120694
p,0.1,7,Assertive,7.805555555555555,1.6003471845543737,8.0,-0.027777777777777776,2.1445760301762093
p,0.1,7,Passive,7.378378378378378,2.0863491684885473,8.0,0.16216216216216217,1.424264206012539
p,0.1,7,Passive-Aggressive,6.769230769230769,2.421696798654899,7.0,-0.23076923076923078,2.3376516816273942
p,0.1,8,Aggressive,7.416666666666667,2.0412414523193148,8.0,0.4166666666666667,2.0834057958412537
