param_name,param_value,timestep,personality,mean_ranking,std_ranking,median_ranking,mean_delta,std_delta
p,0.2,0,ESFJ,5.416666666666667,2.6121727216406683,5.5,0.0,0.0
p,0.2,0,ISFJ,5.383333333333334,2.8941300420964113,5.0,0.0,0.0
p,0.2,0,ISFP,5.133333333333334,3.1919438822019472,5.0,0.0,0.0
p,0.2,0,ISTJ,5.72,2.927979034161583,6.0,0.0,0.0
p,0.2,1,ESFJ,8.183333333333334,0.9653605046586494,8.0,2.7666666666666666,1.844521587568346
p,0.2,1,ISFJ,8.216666666666667,1.090664028286837,8.0,2.8333333333333335,2.0515943916921295
p,0.2,1,ISFP,7.9,1.373392477244478,8.0,2.7666666666666666,2.0288154065914887
p,0.2,1,ISTJ,8.66,1.0615737258948172,9.0,2.94,2.2352464138461885
p,0.2,2,ESFJ,8.933333333333334,0.6604227374117243,9.0,0.75,0.8561838864739436
p,0.2,2,ISFJ,9.033333333333333,0.735692148832042,9.0,0.8166666666666667,0.9111673768855889
p,0.2,2,ISFP,8.8,0.8051557998728979,9.0,0.9,1.2134305884983485
p,0.2,2,ISTJ,9.28,0.7295511619887832,9.0,0.62,0.8780776777502463
p,0.2,3,ESFJ,9.633333333333333,0.4859611014169711,10.0,0.7,0.8295393861778589
p,0.2,3,ISFJ,9.816666666666666,0.3902049294994231,10.0,0.7833333333333333,0.8455600223594
p,0.2,3,ISFP,9.7,0.46609159969939906,10.0,0.9,0.959525744924238
p,0.2,3,ISTJ,9.82,0.3880879344916034,10.0,0.54,0.7615773105863909
p,0.2,4,ESFJ,9.983333333333333,0.12909944487358058,10.0,0.35,0.5150283849343991
p,0.2,4,ISFJ,9.966666666666667,0.1810203347193925,10.0,0.15,0.4443620450923369
p,0.2,4,ISFP,9.933333333333334,0.2537081317024623,10.0,0.23333333333333334,0.5683207771559354
p,0.2,4,ISTJ,9.92,0.2740475156178698,10.0,0.1,0.4629100498862757
p,0.2,5,ESFJ,9.983333333333333,0.12909944487358058,10.0,0.0,0.0
p,0.2,5,ISFJ,9.95,0.21978417765108277,10.0,-0.016666666666666666,0.2906256644485449
p,0.2,5,ISFP,10.0,0.0,10.0,0.06666666666666667,0.2537081317024624
p,0.2,5,ISTJ,9.92,0.27404751561786994,10.0,0.0,0.40406101782088427
p,0.2,6,ESFJ,9.983333333333333,0.12909944487358058,10.0,0.0,0.18411492357966466
p,0.2,6,ISFJ,9.95,0.219784177651083,10.0,0.0,0.31889640207164033
p,0.2,6,ISFP,9.966666666666667,0.1825741858350553,10.0,-0.03333333333333333,0.18257418583505536
p,0.2,6,ISTJ,9.96,0.19794866372215714,10.0,0.04,0.34758643030275543
